-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-shopee-primary,pointer-events-none,img,text-xs/sp14_2,text-xs,pointer-events-none_2,align-middle,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7ra0s-mdttir90fixa88,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,HP 14 i3-1315U 512GB SSD 8GB FHD Win11+OHS - ep0260TU/ep0261TU,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,8.379.000,-13%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,12 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,"HP 14 i3-1315U 512GB SSD 8GB FHD Win11+OHS - ep0260TU/ep0261TU
Rp
8.379.000
-13%
4.8
12 Terjual
Jakarta Barat",https://shopee.co.id/HP-14-i3-1315U-512GB-SSD-8GB-FHD-Win11-OHS-ep0260TU-ep0261TU-i.30121154.29940082095?extraParams=%7B%22display_model_id%22%3A440562982501%2C%22model_selection_logic%22%3A3%7D&sp_atk=03fd6da5-e460-4663-ac62-f364a8c59bbc&xptdk=03fd6da5-e460-4663-ac62-f364a8c59bbc
https://down-id.img.susercontent.com/file/id-11134207-81ztd-mfnfxs42wk5rce,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,HP 14 Core 5 120U 512GB SSD 8GB FHD Win11+OHS - ep1733TU/ep1177TU,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,9.579.000,-4%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,70 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,"HP 14 Core 5 120U 512GB SSD 8GB FHD Win11+OHS - ep1733TU/ep1177TU
Rp
9.579.000
-4%
4.9
70 Terjual
Jakarta Barat",https://shopee.co.id/HP-14-Core-5-120U-512GB-SSD-8GB-FHD-Win11-OHS-ep1733TU-ep1177TU-i.30121154.27854864454?extraParams=%7B%22display_model_id%22%3A281847745559%2C%22model_selection_logic%22%3A3%7D&sp_atk=e860283d-d071-434c-94fb-4584a518f330&xptdk=e860283d-d071-434c-94fb-4584a518f330
https://down-id.img.susercontent.com/file/id-11134207-822wt-mn3yl4or8oaw35,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop HP ELITEBOOK 14 1040 G9 Intel VPro i5 1245U DDR5 32GB 1TB SSD  Wuxga IPS Backlight Windows 11 Pro Original,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,8.894.000,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,22 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,Hadiah Gratis,"Laptop HP ELITEBOOK 14 1040 G9 Intel VPro i5 1245U DDR5 32GB 1TB SSD Wuxga IPS Backlight Windows 11 Pro Original
Rp
8.894.000
-1%
Hadiah Gratis
4.9
22 Terjual
Depok",https://shopee.co.id/Laptop-HP-ELITEBOOK-14-1040-G9-Intel-VPro-i5-1245U-DDR5-32GB-1TB-SSD-Wuxga-IPS-Backlight-Windows-11-Pro-Original-i.1347699624.28859948797?extraParams=%7B%22display_model_id%22%3A355509017651%2C%22model_selection_logic%22%3A3%7D&sp_atk=435c531a-4ec3-4ea2-a0ac-04df56be00db&xptdk=435c531a-4ec3-4ea2-a0ac-04df56be00db
https://down-id.img.susercontent.com/file/id-11134207-7rasf-m2mg69w9m62ncf,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,HP Pro C640 Chromebook i5 10310U - chromebook HP - HP Chromebook PRO C640,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,2.500.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,67 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,"HP Pro C640 Chromebook i5 10310U - chromebook HP - HP Chromebook PRO C640
Rp
2.500.000
4.9
67 Terjual
Jakarta Pusat",https://shopee.co.id/HP-Pro-C640-Chromebook-i5-10310U-chromebook-HP-HP-Chromebook-PRO-C640-i.853725038.27467736942?extraParams=%7B%22display_model_id%22%3A257037311549%2C%22model_selection_logic%22%3A3%7D&sp_atk=af6bfec1-9c0a-4047-bc5d-81a54652b257&xptdk=af6bfec1-9c0a-4047-bc5d-81a54652b257
https://down-id.img.susercontent.com/file/id-11134207-8224o-mhjwr4nb4qv819,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"LAPTOP HP ELITEBOOK 630 430 440 G6 G7 G8 G9 I3 I5 GEN 12 LAYAR 13,3 INCH SLIM MURAH BERGARANSI",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,2.700.000,-4%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.7,95 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,"LAPTOP HP ELITEBOOK 630 430 440 G6 G7 G8 G9 I3 I5 GEN 12 LAYAR 13,3 INCH SLIM MURAH BERGARANSI
Rp
2.700.000
-4%
4.7
95 Terjual
Jakarta Utara",https://shopee.co.id/LAPTOP-HP-ELITEBOOK-630-430-440-G6-G7-G8-G9-I3-I5-GEN-12-LAYAR-13-3-INCH-SLIM-MURAH-BERGARANSI-i.1064874109.56952196303?extraParams=%7B%22display_model_id%22%3A138459028600%2C%22model_selection_logic%22%3A3%7D&sp_atk=8226de59-da62-4bea-8fe7-ff2be7892c7a&xptdk=8226de59-da62-4bea-8fe7-ff2be7892c7a
https://down-id.img.susercontent.com/file/id-11134207-822wr-mlu3zl8l0umnbd,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Hp Elitebook X360 Touchscreen Lipat 360° Intel Core i5 Gen 8 16/256GB SSD Ada Face ID,,Rp,5.600.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Kubu Raya,Produk Baru,"Laptop Hp Elitebook X360 Touchscreen Lipat 360° Intel Core i5 Gen 8 16/256GB SSD Ada Face ID
Rp
5.600.000
Produk Baru
5.0
2 Terjual
Kab. Kubu Raya",https://shopee.co.id/Laptop-Hp-Elitebook-X360-Touchscreen-Lipat-360%C2%B0-Intel-Core-i5-Gen-8-16-256GB-SSD-Ada-Face-ID-i.46402587.52054448693?extraParams=%7B%22display_model_id%22%3A310417929424%2C%22model_selection_logic%22%3A3%7D&sp_atk=2be2d930-8873-4963-9a95-78f990ffbda3&xptdk=2be2d930-8873-4963-9a95-78f990ffbda3
https://down-id.img.susercontent.com/file/id-11134207-7qul0-lhndjdpiv27e47,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"HP ChromeBook 11 G8 EE, INTEL CELERON - N4020, RAM 4GB, TORAGE 32GB EMMc",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.750.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,279 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,"HP ChromeBook 11 G8 EE, INTEL CELERON - N4020, RAM 4GB, TORAGE 32GB EMMc
Rp
1.750.000
4.8
279 Terjual
Jakarta Barat",https://shopee.co.id/HP-ChromeBook-11-G8-EE-INTEL-CELERON-N4020-RAM-4GB-TORAGE-32GB-EMMc-i.83853427.16380539652?extraParams=%7B%22display_model_id%22%3A385343869631%2C%22model_selection_logic%22%3A3%7D&sp_atk=86a306ad-7031-44cb-850a-f7fbfae69685&xptdk=86a306ad-7031-44cb-850a-f7fbfae69685
https://down-id.img.susercontent.com/file/id-11134207-7ra0t-mb3jwl5v9tis16,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop HP EliteBook 250 630 745 845 X360 2in1 G2/G3/G6 Core 8460P 1013 G3 i5/i7 GEN 7/8 HP 725 - MURAH DAN BERGARANSI,,Rp,1.500.000,-6%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.0,20 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,"Laptop HP EliteBook 250 630 745 845 X360 2in1 G2/G3/G6 Core 8460P 1013 G3 i5/i7 GEN 7/8 HP 725 - MURAH DAN BERGARANSI
Rp
1.500.000
-6%
4.0
20 Terjual
Jakarta Utara",https://shopee.co.id/Laptop-HP-EliteBook-250-630-745-845-X360-2in1-G2-G3-G6-Core-8460P-1013-G3-i5-i7-GEN-7-8-HP-725-MURAH-DAN-BERGARANSI-i.795423507.21055613790?extraParams=%7B%22display_model_id%22%3A271824119377%2C%22model_selection_logic%22%3A3%7D&sp_atk=571b3a62-6fd9-4f80-8917-20d460c6eec5&xptdk=571b3a62-6fd9-4f80-8917-20d460c6eec5
https://down-id.img.susercontent.com/file/id-11134207-7ra0i-md5kj5bkipt351,https://down-id.img.susercontent.com/file/id-11134258-822wp-mlyjp115kz5tc6,Laptop HP Elitebook 845 G7 AMD Ryzen 5 PRO RAM 16GB SSD 512GB TOUCH/NO TOUCHS full set,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,3.585.000,-3%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.7,51 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,"Laptop HP Elitebook 845 G7 AMD Ryzen 5 PRO RAM 16GB SSD 512GB TOUCH/NO TOUCHS full set
Rp
3.585.000
-3%
4.7
51 Terjual
Jakarta Barat",https://shopee.co.id/Laptop-HP-Elitebook-845-G7-AMD-Ryzen-5-PRO-RAM-16GB-SSD-512GB-TOUCH-NO-TOUCHS-full-set-i.1050478176.26757387609?extraParams=%7B%22display_model_id%22%3A435456330942%2C%22model_selection_logic%22%3A3%7D&sp_atk=7563cf4b-1390-4f9c-85a0-2b74826ff6f3&xptdk=7563cf4b-1390-4f9c-85a0-2b74826ff6f3
https://down-id.img.susercontent.com/file/id-11134207-8224s-mho1kyt3r9j557,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Hp Series Core i7 / i5 / i3 Probook 440 G3 440 G5 Laptop Pelajar,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.840.000,-8%,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.7,204 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bekasi,,"Laptop Hp Series Core i7 / i5 / i3 Probook 440 G3 440 G5 Laptop Pelajar
Rp
1.840.000
-8%
4.7
204 Terjual
Kab. Bekasi",https://shopee.co.id/Laptop-Hp-Series-Core-i7-i5-i3-Probook-440-G3-440-G5-Laptop-Pelajar-i.51490731.44362504946?extraParams=%7B%22display_model_id%22%3A405827602571%2C%22model_selection_logic%22%3A3%7D&sp_atk=10bfb40c-719e-4cd0-99be-9194808bb905&xptdk=10bfb40c-719e-4cd0-99be-9194808bb905
