-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,img,text-xs/sp14_2,text-xs,pointer-events-none,align-middle,text-shopee-primary,pointer-events-none_2,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-82252-mhk8id6hmosi1f,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop HP Probook Elitebook Murah All Series | Intel Core i7 / i5 / i3 / AMD Ryzen | RAM 8/16GB | SSD 128/256GB,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,650.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,327 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,,"Laptop HP Probook Elitebook Murah All Series | Intel Core i7 / i5 / i3 / AMD Ryzen | RAM 8/16GB | SSD 128/256GB
Rp
650.000
4.8
327 Terjual
Jakarta Pusat",https://shopee.co.id/Laptop-HP-Probook-Elitebook-Murah-All-Series-Intel-Core-i7-i5-i3-AMD-Ryzen-RAM-8-16GB-SSD-128-256GB-i.828697142.28952933713?extraParams=%7B%22display_model_id%22%3A306741370247%2C%22model_selection_logic%22%3A3%7D&sp_atk=d541dea0-e5aa-4d8b-b8d8-5fe1bf6e5440&xptdk=d541dea0-e5aa-4d8b-b8d8-5fe1bf6e5440
https://down-id.img.susercontent.com/file/id-11134207-822wk-mmgtyer0mxov3c,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop HP Elitbook 8470P Core i5-3320M | RAM 4/500GB | BERGARANSI,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.250.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,-7%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"Laptop HP Elitbook 8470P Core i5-3320M | RAM 4/500GB | BERGARANSI
Rp
1.250.000
-7%
5.0
2 Terjual
Jakarta Barat",https://shopee.co.id/Laptop-HP-Elitbook-8470P-Core-i5-3320M-RAM-4-500GB-BERGARANSI-i.239820426.55557986545?extraParams=%7B%22display_model_id%22%3A310709499909%2C%22model_selection_logic%22%3A3%7D&sp_atk=94f1f5a1-c883-4b89-8fc1-c5f527d1b932&xptdk=94f1f5a1-c883-4b89-8fc1-c5f527d1b932
https://down-id.img.susercontent.com/file/id-11134207-8224o-mglvir8hfg23da,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,LAPTOP HP 14S-Dq0510TU INTEL CELERON N4120 RAM 8GB SSD 256GB KEYBOARD BACKLIGHT SLIM TERBARU,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,3.800.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,28 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,,,,"LAPTOP HP 14S-Dq0510TU INTEL CELERON N4120 RAM 8GB SSD 256GB KEYBOARD BACKLIGHT SLIM TERBARU
Rp
3.800.000
5.0
28 Terjual
Jakarta Timur",https://shopee.co.id/LAPTOP-HP-14S-Dq0510TU-INTEL-CELERON-N4120-RAM-8GB-SSD-256GB-KEYBOARD-BACKLIGHT-SLIM-TERBARU-i.21730609.26153429052?extraParams=%7B%22display_model_id%22%3A246062861958%2C%22model_selection_logic%22%3A3%7D&sp_atk=2829debd-f0ec-43bb-b0fa-0d9c1dcf9960&xptdk=2829debd-f0ec-43bb-b0fa-0d9c1dcf9960
https://down-id.img.susercontent.com/file/id-11134207-81ztg-mexdodmzv2869d,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Hp Chromebook 11 G8 EE | Intel Celeroon N4020 | Ram 4/32GB | BERGARANSI,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.550.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.7,96 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,-6%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"Hp Chromebook 11 G8 EE | Intel Celeroon N4020 | Ram 4/32GB | BERGARANSI
Rp
1.550.000
-6%
4.7
96 Terjual
Jakarta Barat",https://shopee.co.id/Hp-Chromebook-11-G8-EE-Intel-Celeroon-N4020-Ram-4-32GB-BERGARANSI-i.239820426.17180428332?extraParams=%7B%22display_model_id%22%3A191451553332%2C%22model_selection_logic%22%3A3%7D&sp_atk=df79b94b-6149-4a26-87da-4661d367b10c&xptdk=df79b94b-6149-4a26-87da-4661d367b10c
https://down-id.img.susercontent.com/file/id-11134207-7r98r-lt0n6qspo6qv93,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop HP Ellitebook 840 G2 CORE I5 GEN 5 RAM 16GB SSD 512GB,,Rp,1.900.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.7,125 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,,,,"Laptop HP Ellitebook 840 G2 CORE I5 GEN 5 RAM 16GB SSD 512GB
Rp
1.900.000
4.7
125 Terjual
Bandung",https://shopee.co.id/Laptop-HP-Ellitebook-840-G2-CORE-I5-GEN-5-RAM-16GB-SSD-512GB-i.275228473.22909131818?extraParams=%7B%22display_model_id%22%3A241189511120%2C%22model_selection_logic%22%3A3%7D&sp_atk=b9a9940f-8c98-49e3-875c-d715bc3e0397&xptdk=b9a9940f-8c98-49e3-875c-d715bc3e0397
https://down-id.img.susercontent.com/file/2e9a3a48e9e28f005f51065fd9447e22,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop HP 14 SSD 256GB/ RAM 8GB / FREE MOUSE + Tas,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.882.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,13 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,-43%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Cicilan,"Laptop HP 14 SSD 256GB/ RAM 8GB / FREE MOUSE + Tas
Rp
1.882.000
-43%
Cicilan
4.8
13 Terjual
Jakarta Barat",https://shopee.co.id/Laptop-HP-14-SSD-256GB-RAM-8GB-FREE-MOUSE-Tas-i.21620531.8628420793?extraParams=%7B%22display_model_id%22%3A64263559631%2C%22model_selection_logic%22%3A3%7D&sp_atk=6beb1335-f68f-4fb2-8d24-9b2d464ed624&xptdk=6beb1335-f68f-4fb2-8d24-9b2d464ed624
https://down-id.img.susercontent.com/file/id-11134207-7r98r-lltboq7b5l7v49,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"LAPTOP HP 820 G2 CORE i5 GEN 5 SSD 256 GB 12 INCH FREE MOUSE DAN TAS - RAM 8 SSD 512GB, i5",,Rp,2.300.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.0,13 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,"LAPTOP HP 820 G2 CORE i5 GEN 5 SSD 256 GB 12 INCH FREE MOUSE DAN TAS - RAM 8 SSD 512GB, i5
Rp
2.300.000
4.0
13 Terjual
Jakarta Barat",https://shopee.co.id/LAPTOP-HP-820-G2-CORE-i5-GEN-5-SSD-256-GB-12-INCH-FREE-MOUSE-DAN-TAS-RAM-8-SSD-512GB-i5-i.795353877.23355144984?extraParams=%7B%22display_model_id%22%3A184590233635%2C%22model_selection_logic%22%3A3%7D&sp_atk=97c41a2e-8ee6-43d7-9ec0-e590bbe34a65&xptdk=97c41a2e-8ee6-43d7-9ec0-e590bbe34a65
https://down-id.img.susercontent.com/file/id-11134207-7ra0q-md1eyryrtmjoed,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,LAPTOP HP 830 G7 Harga Murah Fungsi Ok Core i7 gen 10 /Ram 8 DDR4 Ssd256-512 Gb,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,2.760.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,33 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Cimahi,-27%,,,"LAPTOP HP 830 G7 Harga Murah Fungsi Ok Core i7 gen 10 /Ram 8 DDR4 Ssd256-512 Gb
Rp
2.760.000
-27%
5.0
33 Terjual
Cimahi",https://shopee.co.id/LAPTOP-HP-830-G7-Harga-Murah-Fungsi-Ok-Core-i7-gen-10-Ram-8-DDR4-Ssd256-512-Gb-i.1583423219.41258441821?extraParams=%7B%22display_model_id%22%3A277418299947%2C%22model_selection_logic%22%3A3%7D&sp_atk=12552678-fc6a-4fff-bb80-e409a0a19cbe&xptdk=12552678-fc6a-4fff-bb80-e409a0a19cbe
https://down-id.img.susercontent.com/file/id-11134207-8224r-miempl0end3c36,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,HP Probook x360 435 G8 | Ryzen 7 5850U | RAM 16GB | SSD 256GB | Touchscreen | Laptop 2 In 1,,Rp,4.218.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,4 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,,"HP Probook x360 435 G8 | Ryzen 7 5850U | RAM 16GB | SSD 256GB | Touchscreen | Laptop 2 In 1
Rp
4.218.000
5.0
4 Terjual
Jakarta Pusat",https://shopee.co.id/HP-Probook-x360-435-G8-Ryzen-7-5850U-RAM-16GB-SSD-256GB-Touchscreen-Laptop-2-In-1-i.1523297133.27289719353?extraParams=%7B%22display_model_id%22%3A277555889033%2C%22model_selection_logic%22%3A3%7D&sp_atk=ec3e0a01-ff40-445c-8149-3d162f6b5a0c&xptdk=ec3e0a01-ff40-445c-8149-3d162f6b5a0c
https://down-id.img.susercontent.com/file/id-11134207-822wl-mllksk5f05q85f,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop HP EliteBook 840 G5/6 I7 8TH 32GB/1TB SSD WINDOWS 11 FREE MOUSE & TAS,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,2.590.000,,,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"Laptop HP EliteBook 840 G5/6 I7 8TH 32GB/1TB SSD WINDOWS 11 FREE MOUSE & TAS
Rp
2.590.000
-1%
1 Terjual
Jakarta Barat",https://shopee.co.id/Laptop-HP-EliteBook-840-G5-6-I7-8TH-32GB-1TB-SSD-WINDOWS-11-FREE-MOUSE-TAS-i.1723734222.44506982785?extraParams=%7B%22display_model_id%22%3A177385738379%2C%22model_selection_logic%22%3A3%7D&sp_atk=0e1d0006-0f2f-4715-a72a-26b7fd215492&xptdk=0e1d0006-0f2f-4715-a72a-26b7fd215492
