-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,pointer-events-none,align-middle,text-xs,inline-block,truncate,img,text-xs/sp14_2,text-shopee-primary,pointer-events-none_2,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-822wo-ml9bk30dynf33f,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,laptop bekas second hp 14s dk AMD Ryzen 3,Rp,3.200.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Ponorogo,,,,,,,,"laptop bekas second hp 14s dk AMD Ryzen 3
Rp
3.200.000
Kab. Ponorogo",https://shopee.co.id/laptop-bekas-second-hp-14s-dk-AMD-Ryzen-3-i.80178139.54856578362?extraParams=%7B%22display_model_id%22%3A435591560534%2C%22model_selection_logic%22%3A3%7D&sp_atk=7b282f5f-089c-473d-9b28-35ecb829d1e5&xptdk=7b282f5f-089c-473d-9b28-35ecb829d1e5
https://down-id.img.susercontent.com/file/id-11134207-8224p-mhjy0d7lbxmoe7,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop HP G4 Second | Siap Pakai | Normal | Cocok Sekolah & Kerja,Rp,880.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Semarang,1 Terjual,,,,,,,"Laptop HP G4 Second | Siap Pakai | Normal | Cocok Sekolah & Kerja
Rp
880.000
1 Terjual
Kab. Semarang",https://shopee.co.id/Laptop-HP-G4-Second-Siap-Pakai-Normal-Cocok-Sekolah-Kerja-i.106756359.29740115786?extraParams=%7B%22display_model_id%22%3A248761821649%2C%22model_selection_logic%22%3A3%7D&sp_atk=4226e30f-73fd-4534-bbe9-b067dcbaa166&xptdk=4226e30f-73fd-4534-bbe9-b067dcbaa166
https://down-id.img.susercontent.com/file/id-11134207-8224v-mkdcwwgg9e6eb8,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop HP probook elitebook dualcore core i3 core i5... kondisi ok dan minus,Rp,699.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,,,,"Laptop HP probook elitebook dualcore core i3 core i5... kondisi ok dan minus
Rp
699.000
Jakarta Barat",https://shopee.co.id/Laptop-HP-probook-elitebook-dualcore-core-i3-core-i5...-kondisi-ok-dan-minus-i.548826316.50905566260?extraParams=%7B%22display_model_id%22%3A179136145184%2C%22model_selection_logic%22%3A3%7D&sp_atk=d221a381-4347-40c8-aeb3-299abe81508f&xptdk=d221a381-4347-40c8-aeb3-299abe81508f
https://down-id.img.susercontent.com/file/id-11134207-81ztk-mdwf45z80dfq19,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Laptop Second Bekas Merk HP No Minus Siap Pakai,Rp,1.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sukabumi,3 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,,"Laptop Second Bekas Merk HP No Minus Siap Pakai
Rp
1.500.000
Cicilan
5.0
3 Terjual
Kab. Sukabumi",https://shopee.co.id/Laptop-Second-Bekas-Merk-HP-No-Minus-Siap-Pakai-i.74448851.3471087861?extraParams=%7B%22display_model_id%22%3A194543522750%2C%22model_selection_logic%22%3A3%7D&sp_atk=044858e9-039a-42a5-a99b-c0d7d50ae09f&xptdk=044858e9-039a-42a5-a99b-c0d7d50ae09f
https://down-id.img.susercontent.com/file/id-11134207-822wr-mn6qp6a4n40511,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP SECOND JAMINAN GARANSI TOKO! HP 348 G3 INTEL CORE I7 6500U INTEL UHD GRAPHICS 520 + AMD RADEON R5 M330 (2GB) RAM 8GB DDR4 SSD 256GB 14INCH,Rp,3.622.500,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,,,,,,"LAPTOP SECOND JAMINAN GARANSI TOKO! HP 348 G3 INTEL CORE I7 6500U INTEL UHD GRAPHICS 520 + AMD RADEON R5 M330 (2GB) RAM 8GB DDR4 SSD 256GB 14INCH
Rp
3.622.500
Surabaya",https://shopee.co.id/LAPTOP-SECOND-JAMINAN-GARANSI-TOKO!-HP-348-G3-INTEL-CORE-I7-6500U-INTEL-UHD-GRAPHICS-520-AMD-RADEON-R5-M330-(2GB)-RAM-8GB-DDR4-SSD-256GB-14INCH-i.292476549.47309085909?extraParams=%7B%22display_model_id%22%3A365802980983%2C%22model_selection_logic%22%3A3%7D&sp_atk=a0cf020d-1ed6-481e-9d4c-10863ba9bc97&xptdk=a0cf020d-1ed6-481e-9d4c-10863ba9bc97
https://down-id.img.susercontent.com/file/id-11134207-23030-c2srq5ylueov97,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop HP elitebook 8470p Core i5 Gen 3 - 4GB - 320GB - Webcam - 14inch Murah bekas berkualitas,Rp,1.799.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.0,,,"Laptop HP elitebook 8470p Core i5 Gen 3 - 4GB - 320GB - Webcam - 14inch Murah bekas berkualitas
Rp
1.799.000
4.0
2 Terjual
Jakarta Barat",https://shopee.co.id/Laptop-HP-elitebook-8470p-Core-i5-Gen-3-4GB-320GB-Webcam-14inch-Murah-bekas-berkualitas-i.6197161.18575530696?extraParams=%7B%22display_model_id%22%3A231177845869%2C%22model_selection_logic%22%3A3%7D&sp_atk=647e2553-422d-4bc0-8468-02995d89c410&xptdk=647e2553-422d-4bc0-8468-02995d89c410
https://down-id.img.susercontent.com/file/id-11134207-822wh-mn9s02zv9rsxd5,,LAPTOP HP PROBOOK 430 G7 I3 I5 I7 GENERASI 10 LAYAR 13 INCH SECOND BERKUALITAS HARGA MURAH,Rp,2.944.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,,,-8%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"LAPTOP HP PROBOOK 430 G7 I3 I5 I7 GENERASI 10 LAYAR 13 INCH SECOND BERKUALITAS HARGA MURAH
Rp
2.944.000
-8%
Jakarta Barat",https://shopee.co.id/LAPTOP-HP-PROBOOK-430-G7-I3-I5-I7-GENERASI-10-LAYAR-13-INCH-SECOND-BERKUALITAS-HARGA-MURAH-i.1803076207.27544629106?extraParams=%7B%22display_model_id%22%3A340811762761%2C%22model_selection_logic%22%3A3%7D&sp_atk=5930d6c8-cef2-4345-905f-dd56280acec8&xptdk=5930d6c8-cef2-4345-905f-dd56280acec8
https://down-id.img.susercontent.com/file/id-11134207-822wg-mn2u0eo0qc5g89,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop HP 14s DK1122AU Second,Rp,3.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,,,,,,,,"Laptop HP 14s DK1122AU Second
Rp
3.500.000
Kab. Sidoarjo",https://shopee.co.id/Laptop-HP-14s-DK1122AU-Second-i.621697596.52708873626?extraParams=%7B%22display_model_id%22%3A400787877860%2C%22model_selection_logic%22%3A3%7D&sp_atk=bc0b77db-bdfa-479e-81a3-54f28c91cf15&xptdk=bc0b77db-bdfa-479e-81a3-54f28c91cf15
https://down-id.img.susercontent.com/file/id-11134207-822wj-mml934imq7t221,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop HP ELITEBOOK 840 G3 Core i5 6200U RAM 8GB SSD 256GB Second Original Murah,Rp,3.000.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,-3%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"Laptop HP ELITEBOOK 840 G3 Core i5 6200U RAM 8GB SSD 256GB Second Original Murah
Rp
3.000.000
-3%
5.0
1 Terjual
Bandung",https://shopee.co.id/Laptop-HP-ELITEBOOK-840-G3-Core-i5-6200U-RAM-8GB-SSD-256GB-Second-Original-Murah-i.583716561.53408153868?extraParams=%7B%22display_model_id%22%3A267503674494%2C%22model_selection_logic%22%3A3%7D&sp_atk=832ac520-2f6d-4b69-9d60-cfc769544381&xptdk=832ac520-2f6d-4b69-9d60-cfc769544381
https://down-id.img.susercontent.com/file/id-11134207-8224q-mkkty1cfzk7976,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,HP 14 Celeron N3060 Tanpa Ram/HDD Kondisi Minus Keyboard dan Baterai,Rp,400.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Cimahi,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,,,,"HP 14 Celeron N3060 Tanpa Ram/HDD Kondisi Minus Keyboard dan Baterai
Rp
400.000
Cimahi",https://shopee.co.id/HP-14-Celeron-N3060-Tanpa-Ram-HDD-Kondisi-Minus-Keyboard-dan-Baterai-i.45492512.29725603268?extraParams=%7B%22display_model_id%22%3A385554046755%2C%22model_selection_logic%22%3A3%7D&sp_atk=9518f70a-8f34-47ab-a568-d6b27c0bbf2e&xptdk=9518f70a-8f34-47ab-a568-d6b27c0bbf2e
