-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,text-shopee-primary,pointer-events-none,pointer-events-none_2,align-middle,img,text-xs/sp14_3,text-xs,inline-block,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-822wl-mmcwvoy0cn45c4,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop HP ELITEBOOK 840 Core i5 gen 8 Ram 8/256GB | Laptop Second Mulus Bergaransi | Grade A Kuliah/ Kerja/ Sekolah/ Harian,Rp,3.764.000,-12%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,,,,,,"Laptop HP ELITEBOOK 840 Core i5 gen 8 Ram 8/256GB | Laptop Second Mulus Bergaransi | Grade A Kuliah/ Kerja/ Sekolah/ Harian
Rp
3.764.000
-12%
Bandung",https://shopee.co.id/Laptop-HP-ELITEBOOK-840-Core-i5-gen-8-Ram-8-256GB-Laptop-Second-Mulus-Bergaransi-Grade-A-Kuliah-Kerja-Sekolah-Harian-i.1754488570.54157846791?extraParams=%7B%22display_model_id%22%3A435696797017%2C%22model_selection_logic%22%3A3%7D&sp_atk=32b41eea-c448-42c2-bc66-5a91624cd825&xptdk=32b41eea-c448-42c2-bc66-5a91624cd825
https://down-id.img.susercontent.com/file/id-11134207-7ra0j-mdh4l54szjn328,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,"HP PROBOOK 430 G8, Core i3 Gen 11, Ram 8/256GB - Second Murah & Bergaransi",Rp,3.900.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,18 Terjual,,,"HP PROBOOK 430 G8, Core i3 Gen 11, Ram 8/256GB - Second Murah & Bergaransi
Rp
3.900.000
5.0
18 Terjual
Jakarta Pusat",https://shopee.co.id/HP-PROBOOK-430-G8-Core-i3-Gen-11-Ram-8-256GB-Second-Murah-Bergaransi-i.527268110.28682387014?extraParams=%7B%22display_model_id%22%3A282143260437%2C%22model_selection_logic%22%3A3%7D&sp_atk=04ebb8a9-336b-4139-931c-dfe4283e2305&xptdk=04ebb8a9-336b-4139-931c-dfe4283e2305
https://down-id.img.susercontent.com/file/id-11134207-82252-mjb0ole4fqir48,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP HP 15-FD0XXX N200 4GB SSD 128GB 14 INCH SECOND BERGARANSI,Rp,3.299.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Produk Baru,"LAPTOP HP 15-FD0XXX N200 4GB SSD 128GB 14 INCH SECOND BERGARANSI
Rp
3.299.000
Produk Baru
Jakarta Barat",https://shopee.co.id/LAPTOP-HP-15-FD0XXX-N200-4GB-SSD-128GB-14-INCH-SECOND-BERGARANSI-i.203572497.57604425491?extraParams=%7B%22display_model_id%22%3A267323392957%2C%22model_selection_logic%22%3A3%7D&sp_atk=1122042a-5e34-4383-98ee-ac18fecd22f1&xptdk=1122042a-5e34-4383-98ee-ac18fecd22f1
https://down-id.img.susercontent.com/file/id-11134207-8224z-mi1iohwuew3pdf,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,notebook HP second siap pakai normal,Rp,3.050.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,1 Terjual,,,"notebook HP second siap pakai normal
Rp
3.050.000
1 Terjual
Jakarta Pusat",https://shopee.co.id/notebook-HP-second-siap-pakai-normal-i.40971886.49402862587?extraParams=%7B%22display_model_id%22%3A292242034821%2C%22model_selection_logic%22%3A3%7D&sp_atk=bfec77b0-576a-4bc6-8d5e-5bfe9dea4f91&xptdk=bfec77b0-576a-4bc6-8d5e-5bfe9dea4f91
https://down-id.img.susercontent.com/file/id-11134207-822wu-mlka69gh5m33bf,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop second murah HP 14s-DK0115AU AMD Atlon 300U RAM 8GB/SSD 256GB/HDD 1TB Radeon vega 3 14”FHDIPS,Rp,2.600.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sukoharjo,,,,,,"Laptop second murah HP 14s-DK0115AU AMD Atlon 300U RAM 8GB/SSD 256GB/HDD 1TB Radeon vega 3 14”FHDIPS
Rp
2.600.000
Kab. Sukoharjo",https://shopee.co.id/Laptop-second-murah-HP-14s-DK0115AU-AMD-Atlon-300U-RAM-8GB-SSD-256GB-HDD-1TB-Radeon-vega-3-14%E2%80%9DFHDIPS-i.1060916264.47456951109?extraParams=%7B%22display_model_id%22%3A267442308227%2C%22model_selection_logic%22%3A3%7D&sp_atk=ce9d0172-44ad-4cf0-9b04-f75402b38cf3&xptdk=ce9d0172-44ad-4cf0-9b04-f75402b38cf3
https://down-id.img.susercontent.com/file/id-11134207-822wp-mlofry3714hs04,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP HP CHROMEBOOK N200 4GB SSD 128GB 12 INCH SECOND BERGARANSI RESMI,Rp,3.499.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,"LAPTOP HP CHROMEBOOK N200 4GB SSD 128GB 12 INCH SECOND BERGARANSI RESMI
Rp
3.499.000
Jakarta Barat",https://shopee.co.id/LAPTOP-HP-CHROMEBOOK-N200-4GB-SSD-128GB-12-INCH-SECOND-BERGARANSI-RESMI-i.365327344.45707070610?extraParams=%7B%22display_model_id%22%3A370629025770%2C%22model_selection_logic%22%3A3%7D&sp_atk=169c5909-72e1-4dbf-b5bd-da2f444370f4&xptdk=169c5909-72e1-4dbf-b5bd-da2f444370f4
https://down-id.img.susercontent.com/file/id-11134207-8224x-mkareu6m1bt0d1,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,LAPTOP HP CHROMRBOOK 11 G8 SECOND SIAP PAKAI,Rp,1.100.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,,,,"LAPTOP HP CHROMRBOOK 11 G8 SECOND SIAP PAKAI
Rp
1.100.000
Surabaya",https://shopee.co.id/LAPTOP-HP-CHROMRBOOK-11-G8-SECOND-SIAP-PAKAI-i.301718453.40857302798?extraParams=%7B%22display_model_id%22%3A280618194478%2C%22model_selection_logic%22%3A3%7D&sp_atk=e3ea9fde-a610-4705-9cd0-b7e96eb4734e&xptdk=e3ea9fde-a610-4705-9cd0-b7e96eb4734e
https://down-id.img.susercontent.com/file/id-11134207-822wj-mlncrw32wg7559,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,"HP 14-DQ2053CL i3-1125G4 RAM 12GB SSD 512GB 14"" FHD | Laptop Second Normal Minus WS Layar",Rp,2.800.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,,,"HP 14-DQ2053CL i3-1125G4 RAM 12GB SSD 512GB 14"" FHD | Laptop Second Normal Minus WS Layar
Rp
2.800.000
Jakarta Barat",https://shopee.co.id/HP-14-DQ2053CL-i3-1125G4-RAM-12GB-SSD-512GB-14-FHD-Laptop-Second-Normal-Minus-WS-Layar-i.59256351.49757037382?extraParams=%7B%22display_model_id%22%3A365626794406%2C%22model_selection_logic%22%3A3%7D&sp_atk=fa424a71-c6d1-4513-aa0e-47d125314d41&xptdk=fa424a71-c6d1-4513-aa0e-47d125314d41
https://down-id.img.susercontent.com/file/id-11134207-822wp-mmtx6vkd9a0y03,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,"LEPTOP HP 14S  SECOND LIKE NEW!, FREEE PRINTER!",Rp,3.600.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,,,,,,"LEPTOP HP 14S SECOND LIKE NEW!, FREEE PRINTER!
Rp
3.600.000
Jakarta Selatan",https://shopee.co.id/LEPTOP-HP-14S-SECOND-LIKE-NEW!-FREEE-PRINTER!-i.207150934.55108464339?extraParams=%7B%22display_model_id%22%3A375751539274%2C%22model_selection_logic%22%3A3%7D&sp_atk=b74e77c2-5a5b-4ffc-8bb1-448b0b0bc508&xptdk=b74e77c2-5a5b-4ffc-8bb1-448b0b0bc508
https://down-id.img.susercontent.com/file/id-11134207-7qula-lh9zwxncc6emee,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop HP AMD Athlon 3050U RAM 8 SSD 256GB Second,Rp,3.750.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,,,,"Laptop HP AMD Athlon 3050U RAM 8 SSD 256GB Second
Rp
3.750.000
Surabaya",https://shopee.co.id/Laptop-HP-AMD-Athlon-3050U-RAM-8-SSD-256GB-Second-i.171482134.18489202706?extraParams=%7B%22display_model_id%22%3A146875454957%2C%22model_selection_logic%22%3A3%7D&sp_atk=582bd567-4b3d-42f2-9497-33cad77a8718&xptdk=582bd567-4b3d-42f2-9497-33cad77a8718
