-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-shopee-primary,pointer-events-none,img,text-xs/sp14_2,text-xs,pointer-events-none_2,align-middle,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7r98s-lrgqffj55m8pcd,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"LAPTOP LENOVO THINKPAD L380 L390 X380 X390 INTEL CORE I5 I7 Generasi 8 LAYAR 13"" SECOND MURAH BERKUALITAS -FREE GIFT",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,3.000.000,-3%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,66 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,"LAPTOP LENOVO THINKPAD L380 L390 X380 X390 INTEL CORE I5 I7 Generasi 8 LAYAR 13"" SECOND MURAH BERKUALITAS -FREE GIFT
Rp
3.000.000
-3%
4.9
66 Terjual
Jakarta Utara",https://shopee.co.id/LAPTOP-LENOVO-THINKPAD-L380-L390-X380-X390-INTEL-CORE-I5-I7-Generasi-8-LAYAR-13-SECOND-MURAH-BERKUALITAS-FREE-GIFT-i.817857955.20280730888?extraParams=%7B%22display_model_id%22%3A234598490532%2C%22model_selection_logic%22%3A3%7D&sp_atk=1a2693ad-d9aa-4275-8015-f0348647cc3e&xptdk=1a2693ad-d9aa-4275-8015-f0348647cc3e
https://down-id.img.susercontent.com/file/id-11134207-7ras8-m292tnsxorim7b,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,LAPTOP / TABLET LENOVO THINKPAD YOGA 11E SERIES RAM 8GB/256GB SSD - 4GB / 128GB - Bonus Mouse & Tas,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,2.000.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,38 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,"LAPTOP / TABLET LENOVO THINKPAD YOGA 11E SERIES RAM 8GB/256GB SSD - 4GB / 128GB - Bonus Mouse & Tas
Rp
2.000.000
4.8
38 Terjual
Jakarta Barat",https://shopee.co.id/LAPTOP-TABLET-LENOVO-THINKPAD-YOGA-11E-SERIES-RAM-8GB-256GB-SSD-4GB-128GB-Bonus-Mouse-Tas-i.1370746900.29812990556?extraParams=%7B%22display_model_id%22%3A254086993338%2C%22model_selection_logic%22%3A3%7D&sp_atk=241aa94a-9c99-42c1-8e2d-9b050f58a16a&xptdk=241aa94a-9c99-42c1-8e2d-9b050f58a16a
https://down-id.img.susercontent.com/file/id-11134207-82252-mh1exe7fb7yjf7,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"LAPTOP MURAH DELL 5470 5480 5490 CORE I3 I5 I7  GEN 8 LAYAR 14 INCH MULUS, BAGUS DAN BERKUALITAS",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,2.700.000,-4%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,50 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,"LAPTOP MURAH DELL 5470 5480 5490 CORE I3 I5 I7 GEN 8 LAYAR 14 INCH MULUS, BAGUS DAN BERKUALITAS
Rp
2.700.000
-4%
4.9
50 Terjual
Jakarta Utara",https://shopee.co.id/LAPTOP-MURAH-DELL-5470-5480-5490-CORE-I3-I5-I7-GEN-8-LAYAR-14-INCH-MULUS-BAGUS-DAN-BERKUALITAS-i.1067066233.25663203547?extraParams=%7B%22display_model_id%22%3A355224452615%2C%22model_selection_logic%22%3A3%7D&sp_atk=d93c6423-9ea6-4f56-bf1d-b2322f18a32c&xptdk=d93c6423-9ea6-4f56-bf1d-b2322f18a32c
https://down-id.img.susercontent.com/file/id-11134207-7r98o-lt6hf3udynyl25,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP LENOVO THINKPAD T450 T450S L450 CORE I5/I7 GEN 5 14 INCH - MULUS MURAH BERGARANSI,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.900.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,76 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,"LAPTOP LENOVO THINKPAD T450 T450S L450 CORE I5/I7 GEN 5 14 INCH - MULUS MURAH BERGARANSI
Rp
1.900.000
4.9
76 Terjual
Jakarta Utara",https://shopee.co.id/LAPTOP-LENOVO-THINKPAD-T450-T450S-L450-CORE-I5-I7-GEN-5-14-INCH-MULUS-MURAH-BERGARANSI-i.925485019.21570011720?extraParams=%7B%22display_model_id%22%3A156501569159%2C%22model_selection_logic%22%3A3%7D&sp_atk=2e9f4f30-e513-4466-8184-3973da6ef4bf&xptdk=2e9f4f30-e513-4466-8184-3973da6ef4bf
https://down-id.img.susercontent.com/file/id-11134207-7rbk6-m95ptq7uxeaa93,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop HP Elitebook 840 G7 Intel Core i5-10310U RAM 16GB SSD 256GB FHD 14inch Notebook Second Seken,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,5.400.000,,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Semarang,,"Laptop HP Elitebook 840 G7 Intel Core i5-10310U RAM 16GB SSD 256GB FHD 14inch Notebook Second Seken
Rp
5.400.000
Semarang",https://shopee.co.id/Laptop-HP-Elitebook-840-G7-Intel-Core-i5-10310U-RAM-16GB-SSD-256GB-FHD-14inch-Notebook-Second-Seken-i.257676379.27135412965?extraParams=%7B%22display_model_id%22%3A243333266365%2C%22model_selection_logic%22%3A3%7D&sp_atk=4c6dc029-2499-4b18-98ba-fbc00bb38a2f&xptdk=4c6dc029-2499-4b18-98ba-fbc00bb38a2f
https://down-id.img.susercontent.com/file/id-11134207-7rasa-m21uh5mipc7158,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop second murah mulus hp 14 inch core i5 gen2 ram 8gb normal semua siap pakai & zoom baterai awet garansi windows 10,,Rp,1.300.000,,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Semarang,,"Laptop second murah mulus hp 14 inch core i5 gen2 ram 8gb normal semua siap pakai & zoom baterai awet garansi windows 10
Rp
1.300.000
Semarang",https://shopee.co.id/Laptop-second-murah-mulus-hp-14-inch-core-i5-gen2-ram-8gb-normal-semua-siap-pakai-zoom-baterai-awet-garansi-windows-10-i.890758046.22311113569?extraParams=%7B%22display_model_id%22%3A223405976117%2C%22model_selection_logic%22%3A3%7D&sp_atk=d33a3d71-c23e-48d6-bcbd-d4f2c239be70&xptdk=d33a3d71-c23e-48d6-bcbd-d4f2c239be70
https://down-id.img.susercontent.com/file/id-11134207-8224p-mjqq28o1e1he2c,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop HP 240 G6 Second | CORE I7-7500U | RAM 8GB DDR4 | SSD 256GB | Siap Pakai!,,Rp,3.500.000,,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Medan,,"Laptop HP 240 G6 Second | CORE I7-7500U | RAM 8GB DDR4 | SSD 256GB | Siap Pakai!
Rp
3.500.000
Medan",https://shopee.co.id/Laptop-HP-240-G6-Second-CORE-I7-7500U-RAM-8GB-DDR4-SSD-256GB-Siap-Pakai!-i.324786728.51305005789?extraParams=%7B%22display_model_id%22%3A435461456147%2C%22model_selection_logic%22%3A3%7D&sp_atk=c1d07fb1-3da4-4a30-a257-e8394b2196e2&xptdk=c1d07fb1-3da4-4a30-a257-e8394b2196e2
https://down-id.img.susercontent.com/file/id-11134207-822wr-mn59xfq0cv0m5b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP HP PROBOOK 430 G8 SLIM 11TH GEN INTEL CORE I5 SSD 256GB RAM 8GB BACKLIGHT SECOND,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,4.891.000,,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,,"LAPTOP HP PROBOOK 430 G8 SLIM 11TH GEN INTEL CORE I5 SSD 256GB RAM 8GB BACKLIGHT SECOND
Rp
4.891.000
Bandung",https://shopee.co.id/LAPTOP-HP-PROBOOK-430-G8-SLIM-11TH-GEN-INTEL-CORE-I5-SSD-256GB-RAM-8GB-BACKLIGHT-SECOND-i.379562643.43480136379?extraParams=%7B%22display_model_id%22%3A440796597849%2C%22model_selection_logic%22%3A3%7D&sp_atk=68935372-18c4-4583-b25d-deda15f876b5&xptdk=68935372-18c4-4583-b25d-deda15f876b5
https://down-id.img.susercontent.com/file/id-11134207-822wg-mn15agfhmsqo3d,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,HP ZBOOK STUDIO G7 I7-10850H / 32GB RAM / SSD 256GB / NVIDIA QUADRO T1000 with max-Q design,,Rp,9.000.000,,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bogor,,"HP ZBOOK STUDIO G7 I7-10850H / 32GB RAM / SSD 256GB / NVIDIA QUADRO T1000 with max-Q design
Rp
9.000.000
Bogor",https://shopee.co.id/HP-ZBOOK-STUDIO-G7-I7-10850H-32GB-RAM-SSD-256GB-NVIDIA-QUADRO-T1000-with-max-Q-design-i.1399229929.52208783754?extraParams=%7B%22display_model_id%22%3A325780549560%2C%22model_selection_logic%22%3A3%7D&sp_atk=31106df9-26ad-4637-a487-13eeaa3c022b&xptdk=31106df9-26ad-4637-a487-13eeaa3c022b
https://down-id.img.susercontent.com/file/id-11134207-8224r-miczrm85lypw10,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop HP X2 210 G2 Touchscreen Intel Atom 4/64GB Second Original,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.500.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,Produk Baru,"Laptop HP X2 210 G2 Touchscreen Intel Atom 4/64GB Second Original
Rp
1.500.000
Produk Baru
5.0
1 Terjual
Bandung",https://shopee.co.id/Laptop-HP-X2-210-G2-Touchscreen-Intel-Atom-4-64GB-Second-Original-i.135197970.47303255855?extraParams=%7B%22display_model_id%22%3A310311418188%2C%22model_selection_logic%22%3A3%7D&sp_atk=3cc7305b-a2d6-428b-ad09-d5d9a147e863&xptdk=3cc7305b-a2d6-428b-ad09-d5d9a147e863
