-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-xs,pointer-events-none,align-middle,img,text-xs/sp14_2,text-shopee-primary,truncate,pointer-events-none_2,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-81ztp-mfglhrc6nbig02,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,laptop acer aspire e14 E5-471 intel core i3,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.600.000,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,,,,,,"laptop acer aspire e14 E5-471 intel core i3
Rp
1.600.000
2 Terjual
Tangerang",https://shopee.co.id/laptop-acer-aspire-e14-E5-471-intel-core-i3-i.18199758.43072931952?extraParams=%7B%22display_model_id%22%3A301863102105%2C%22model_selection_logic%22%3A3%7D&sp_atk=492fb003-826c-42c8-a074-007343453128&xptdk=492fb003-826c-42c8-a074-007343453128
https://down-id.img.susercontent.com/file/cd90e008704b2bcb291ea752d056434b,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Acer aspire 3 amd a9 hdd 1tera,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,350.000,33 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bekasi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,,,,"Acer aspire 3 amd a9 hdd 1tera
Rp
350.000
4.8
33 Terjual
Kab. Bekasi",https://shopee.co.id/Acer-aspire-3-amd-a9-hdd-1tera-i.381196765.16383564227?extraParams=%7B%22display_model_id%22%3A59127037623%2C%22model_selection_logic%22%3A3%7D&sp_atk=344f2e61-3575-41da-9fa1-088ed6f378d2&xptdk=344f2e61-3575-41da-9fa1-088ed6f378d2
https://down-id.img.susercontent.com/file/id-11134207-7r98v-lmpwpf5i61hj79,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Laptop Acer Aspire 3 A314, Amd A4-9120e, Gen 7Th, Ram 4Gb / 1Tb, Vga Amd Radeon R3 Graphics, Gaming, Editing Super Ngebut, Seri Baru, Slim, Like New, Lengkap, Black",,Rp,2.300.000,9 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.7,,,,"Laptop Acer Aspire 3 A314, Amd A4-9120e, Gen 7Th, Ram 4Gb / 1Tb, Vga Amd Radeon R3 Graphics, Gaming, Editing Super Ngebut, Seri Baru, Slim, Like New, Lengkap, Black
Rp
2.300.000
4.7
9 Terjual
Jakarta Barat",https://shopee.co.id/Laptop-Acer-Aspire-3-A314-Amd-A4-9120e-Gen-7Th-Ram-4Gb-1Tb-Vga-Amd-Radeon-R3-Graphics-Gaming-Editing-Super-Ngebut-Seri-Baru-Slim-Like-New-Lengkap-Black-i.816009841.22057551912?extraParams=%7B%22display_model_id%22%3A137729838457%2C%22model_selection_logic%22%3A3%7D&sp_atk=88aac273-3275-4b99-8033-6dd7d954af2c&xptdk=88aac273-3275-4b99-8033-6dd7d954af2c
https://down-id.img.susercontent.com/file/id-11134207-7rbkd-m6fiuw7d41il9d,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop acer A315-53-C4DS RAM 4GB HDD 1TB INTEL CELERON 3867U NO MINUS DAN MURAH 15INCH,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.599.000,7 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,-11%,,,"Laptop acer A315-53-C4DS RAM 4GB HDD 1TB INTEL CELERON 3867U NO MINUS DAN MURAH 15INCH
Rp
1.599.000
-11%
5.0
7 Terjual
Tangerang",https://shopee.co.id/Laptop-acer-A315-53-C4DS-RAM-4GB-HDD-1TB-INTEL-CELERON-3867U-NO-MINUS-DAN-MURAH-15INCH-i.18199758.26876715341?extraParams=%7B%22display_model_id%22%3A185800276851%2C%22model_selection_logic%22%3A3%7D&sp_atk=a8a16902-bb3f-4954-a7b3-46c0388603a5&xptdk=a8a16902-bb3f-4954-a7b3-46c0388603a5
https://down-id.img.susercontent.com/file/id-11134207-822wi-mmipnaaf3yf572,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,ACER ASPIRE A114-32 | INTEL CELERON N4000 | 4GB RAM | eMMC 64GB | 14 INCH,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.869.150,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,-15%,Hadiah Gratis,,"ACER ASPIRE A114-32 | INTEL CELERON N4000 | 4GB RAM | eMMC 64GB | 14 INCH
Rp
1.869.150
-15%
Hadiah Gratis
1 Terjual
Jakarta Barat",https://shopee.co.id/ACER-ASPIRE-A114-32-INTEL-CELERON-N4000-4GB-RAM-eMMC-64GB-14-INCH-i.201662108.41560955474?extraParams=%7B%22display_model_id%22%3A300919926120%2C%22model_selection_logic%22%3A3%7D&sp_atk=e16530e5-decb-4dbb-a8b1-84ea8dcbf3fe&xptdk=e16530e5-decb-4dbb-a8b1-84ea8dcbf3fe
https://down-id.img.susercontent.com/file/id-11134207-822wk-mlhaxcn2mj2n88,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,laptop Acer 14inch ES14-431C0IG Intel Celeron n3050 2gb ram 500gb hdd,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.450.000,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,,,"laptop Acer 14inch ES14-431C0IG Intel Celeron n3050 2gb ram 500gb hdd
Rp
1.450.000
5.0
2 Terjual
Tangerang",https://shopee.co.id/laptop-Acer-14inch-ES14-431C0IG-Intel-Celeron-n3050-2gb-ram-500gb-hdd-i.41632262.54806847294?extraParams=%7B%22display_model_id%22%3A310613064049%2C%22model_selection_logic%22%3A3%7D&sp_atk=e6b14d0b-cdf0-4070-b9de-8bbe3bd7a577&xptdk=e6b14d0b-cdf0-4070-b9de-8bbe3bd7a577
https://down-id.img.susercontent.com/file/id-11134207-8224v-mfxek9y24tfyc2,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Acer Aspire Lite AL15-32P-C8T3  Celeron N4500 RAM 8GB SSD 512GB NVMe 15.6” FHD IPS - Iron Grey - Laptop Pelajar Murah,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,6.160.600,25 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,-1%,Hadiah Gratis,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"Laptop Acer Aspire Lite AL15-32P-C8T3 Celeron N4500 RAM 8GB SSD 512GB NVMe 15.6” FHD IPS - Iron Grey - Laptop Pelajar Murah
Rp
6.160.600
-1%
Hadiah Gratis
5.0
25 Terjual
Surabaya",https://shopee.co.id/Laptop-Acer-Aspire-Lite-AL15-32P-C8T3-Celeron-N4500-RAM-8GB-SSD-512GB-NVMe-15.6%E2%80%9D-FHD-IPS-Iron-Grey-Laptop-Pelajar-Murah-i.82593565.28884684176?extraParams=%7B%22display_model_id%22%3A330335927723%2C%22model_selection_logic%22%3A3%7D&sp_atk=fab994d2-245b-48e0-a40e-c54d619da347&xptdk=fab994d2-245b-48e0-a40e-c54d619da347
https://down-id.img.susercontent.com/file/id-11134207-8224s-mkiu3095k54y6e,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Acer TravelMate Core i5 8250U Tanpa Ram/HDD,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.500.000,8 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Cimahi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,,,"Laptop Acer TravelMate Core i5 8250U Tanpa Ram/HDD
Rp
1.500.000
5.0
8 Terjual
Cimahi",https://shopee.co.id/Laptop-Acer-TravelMate-Core-i5-8250U-Tanpa-Ram-HDD-i.45492512.28264706071?extraParams=%7B%22display_model_id%22%3A139105812473%2C%22model_selection_logic%22%3A3%7D&sp_atk=2ef99de0-ea40-4cc2-bd4b-a7bfa0906e7b&xptdk=2ef99de0-ea40-4cc2-bd4b-a7bfa0906e7b
https://down-id.img.susercontent.com/file/sg-11134201-23010-rbr7a5lupkmvc3,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"ACER ASPIRE 3 A314-21 AMD A4-9120E | 8GB RAM 512GB SSD | 14 INCH WINDOWS 10 + OFFICE - BONUS TAS LAPTOP, MOUSE, MOUSE PAD",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.274.000,21 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,-1%,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"ACER ASPIRE 3 A314-21 AMD A4-9120E | 8GB RAM 512GB SSD | 14 INCH WINDOWS 10 + OFFICE - BONUS TAS LAPTOP, MOUSE, MOUSE PAD
Rp
2.274.000
-1%
Cicilan
5.0
21 Terjual
Jakarta Barat",https://shopee.co.id/ACER-ASPIRE-3-A314-21-AMD-A4-9120E-8GB-RAM-512GB-SSD-14-INCH-WINDOWS-10-OFFICE-BONUS-TAS-LAPTOP-MOUSE-MOUSE-PAD-i.566072969.12530556694?extraParams=%7B%22display_model_id%22%3A143134233100%2C%22model_selection_logic%22%3A3%7D&sp_atk=94cbfb7e-53c1-4b50-94d4-f6fa1d775550&xptdk=94cbfb7e-53c1-4b50-94d4-f6fa1d775550
https://down-id.img.susercontent.com/file/cd90e008704b2bcb291ea752d056434b,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,laptop acer aspire 3 amd a9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.000.000,26 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bekasi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,,,,"laptop acer aspire 3 amd a9
Rp
1.000.000
4.8
26 Terjual
Kab. Bekasi",https://shopee.co.id/laptop-acer-aspire-3-amd-a9-i.381196765.19339583801?extraParams=%7B%22display_model_id%22%3A145693193622%2C%22model_selection_logic%22%3A3%7D&sp_atk=b0251e5b-d05e-4dfb-be60-35ed40bc0bce&xptdk=b0251e5b-d05e-4dfb-be60-35ed40bc0bce
https://down-id.img.susercontent.com/file/id-11134207-81zth-mff2kdzm6xag7b,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,laptop acer e5 411 intel core i3 ram 8gb ssd 128gb putih,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.700.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,,,,,,"laptop acer e5 411 intel core i3 ram 8gb ssd 128gb putih
Rp
1.700.000
Tangerang",https://shopee.co.id/laptop-acer-e5-411-intel-core-i3-ram-8gb-ssd-128gb-putih-i.18199758.44222830529?extraParams=%7B%22display_model_id%22%3A224555068960%2C%22model_selection_logic%22%3A3%7D&sp_atk=d9b8c6f9-bf8a-486f-b87f-14378da4acfa&xptdk=d9b8c6f9-bf8a-486f-b87f-14378da4acfa
https://down-id.img.susercontent.com/file/id-11134207-7ra0m-mcxgtueu73hfd6,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,laptop acer aspire es14 hitam 14inch mantap,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.399.000,3 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,,,,,,"laptop acer aspire es14 hitam 14inch mantap
Rp
1.399.000
3 Terjual
Tangerang",https://shopee.co.id/laptop-acer-aspire-es14-hitam-14inch-mantap-i.18199758.42211279615?extraParams=%7B%22display_model_id%22%3A290947089718%2C%22model_selection_logic%22%3A3%7D&sp_atk=33482059-af7f-439c-9895-9a35f3c13a1d&xptdk=33482059-af7f-439c-9895-9a35f3c13a1d
https://down-id.img.susercontent.com/file/c2c0ea4068707b20b84c3e9eb187665c,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Notebook Acer Aspire ES1 Intel Celeron 11.6 inci RAM 4GB SSD 240GB,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.345.000,85 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,-36%,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"Notebook Acer Aspire ES1 Intel Celeron 11.6 inci RAM 4GB SSD 240GB
Rp
1.345.000
-36%
4.8
85 Terjual
Jakarta Barat",https://shopee.co.id/Notebook-Acer-Aspire-ES1-Intel-Celeron-11.6-inci-RAM-4GB-SSD-240GB-i.86838885.13080705782?extraParams=%7B%22display_model_id%22%3A134537535867%2C%22model_selection_logic%22%3A3%7D&sp_atk=4576ae92-cd15-409f-98f1-5c60288462e3&xptdk=4576ae92-cd15-409f-98f1-5c60288462e3
