-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,img,text-xs/sp14_2,text-xs,pointer-events-none,align-middle,inline-block,text-shopee-primary,pointer-events-none_2,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-822wk-mlls5l0yl5a80f,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Acer Chromebook 514/Intel Celeron N3450 Procecor 1.1Ghz / Ram 4GB/ Ssd 32GB SSD,Rp,1.300.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,,,"Laptop Acer Chromebook 514/Intel Celeron N3450 Procecor 1.1Ghz / Ram 4GB/ Ssd 32GB SSD
Rp
1.300.000
5.0
1 Terjual
Jakarta Pusat",https://shopee.co.id/Laptop-Acer-Chromebook-514-Intel-Celeron-N3450-Procecor-1.1Ghz-Ram-4GB-Ssd-32GB-SSD-i.992664915.41079137978?extraParams=%7B%22display_model_id%22%3A400622465664%2C%22model_selection_logic%22%3A3%7D&sp_atk=37f68de1-8f57-4564-8cd9-0b0e410ce65f&xptdk=37f68de1-8f57-4564-8cd9-0b0e410ce65f
https://down-id.img.susercontent.com/file/id-11134207-7r992-lmech8q9b5x031,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Acer E5-471 Core i3-4005U Ram 4/500Gb READYJKT BERGARANSI,Rp,1.900.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,,"Laptop Acer E5-471 Core i3-4005U Ram 4/500Gb READYJKT BERGARANSI
Rp
1.900.000
Jakarta Barat",https://shopee.co.id/Laptop-Acer-E5-471-Core-i3-4005U-Ram-4-500Gb-READYJKT-BERGARANSI-i.346011270.23319105319?extraParams=%7B%22display_model_id%22%3A220778260567%2C%22model_selection_logic%22%3A3%7D&sp_atk=c344887a-ee3e-44ee-9528-51086dab45c4&xptdk=c344887a-ee3e-44ee-9528-51086dab45c4
https://down-id.img.susercontent.com/file/id-11134207-7r98w-llvjprlr544kc1,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Acer Aspire 4752 series intel core i3 DDR3,Rp,400.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.5,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,,"Laptop Acer Aspire 4752 series intel core i3 DDR3
Rp
400.000
4.5
2 Terjual
Kab. Cirebon",https://shopee.co.id/Laptop-Acer-Aspire-4752-series-intel-core-i3-DDR3-i.1022860192.23255297024?extraParams=%7B%22display_model_id%22%3A222043591003%2C%22model_selection_logic%22%3A3%7D&sp_atk=bc485774-9d94-41d7-9005-dd7c5f052e5f&xptdk=bc485774-9d94-41d7-9005-dd7c5f052e5f
https://down-id.img.susercontent.com/file/id-11134207-81ztj-me5haxtu1fr447,https://down-id.img.susercontent.com/file/id-11134258-822wp-mlyjp115kz5tc6,"ACER Aspire Lite 14 AL14-31P Intel N100 8GB RAM 256GB SSD 14"" IPS WUXGA Windows 11",Rp,4.875.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.2,7 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,-25%,,,"ACER Aspire Lite 14 AL14-31P Intel N100 8GB RAM 256GB SSD 14"" IPS WUXGA Windows 11
Rp
4.875.000
-25%
4.2
7 Terjual
Jakarta Barat",https://shopee.co.id/ACER-Aspire-Lite-14-AL14-31P-Intel-N100-8GB-RAM-256GB-SSD-14-IPS-WUXGA-Windows-11-i.1124285767.43217104187?extraParams=%7B%22display_model_id%22%3A276412506633%2C%22model_selection_logic%22%3A3%7D&sp_atk=c4069279-266f-46d9-aafa-1d63b9a2d219&xptdk=c4069279-266f-46d9-aafa-1d63b9a2d219
https://down-id.img.susercontent.com/file/id-11134207-7qul1-lgncug8gk40j4f,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Acer Chromebook 311 (Touchscreen) Celeron-N4020 Ram 4/32Gb BERGARANSI BISA CICILAN,Rp,2.100.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,2.0,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,,"Acer Chromebook 311 (Touchscreen) Celeron-N4020 Ram 4/32Gb BERGARANSI BISA CICILAN
Rp
2.100.000
2.0
1 Terjual
Jakarta Barat",https://shopee.co.id/Acer-Chromebook-311-(Touchscreen)-Celeron-N4020-Ram-4-32Gb-BERGARANSI-BISA-CICILAN-i.850155898.21679681736?extraParams=%7B%22display_model_id%22%3A186737294993%2C%22model_selection_logic%22%3A3%7D&sp_atk=2263cb6c-dd2b-44db-a635-6e900b6f4d66&xptdk=2263cb6c-dd2b-44db-a635-6e900b6f4d66
https://down-id.img.susercontent.com/file/id-11134207-822wg-mncnt11zs55070,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Acer Laptop Aspire Lite 14 AL14 14"" Inch Intel N150 RAM 8GB Storage 256GB SSD Intel Graphics Windows 11 + Office",Rp,6.340.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,2RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,-12%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"Acer Laptop Aspire Lite 14 AL14 14"" Inch Intel N150 RAM 8GB Storage 256GB SSD Intel Graphics Windows 11 + Office
Rp
6.340.000
-12%
4.9
2RB+ Terjual
Jakarta Utara",https://shopee.co.id/Acer-Laptop-Aspire-Lite-14-AL14-14-Inch-Intel-N150-RAM-8GB-Storage-256GB-SSD-Intel-Graphics-Windows-11-Office-i.1085618172.20486733268?extraParams=%7B%22display_model_id%22%3A236044084219%2C%22model_selection_logic%22%3A3%7D&sp_atk=4c09025e-058a-4e76-9287-d2ccb62be1e6&xptdk=4c09025e-058a-4e76-9287-d2ccb62be1e6
https://down-id.img.susercontent.com/file/id-11134207-7rbkb-majpav0ad2ln2d,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"LAPTOP ACER ASPIRE LITE AL14 INTEL N150 8GB 512GB / 256GB 14"" WUXGA WIN 11 OHS ORIGINAL",Rp,6.800.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,45 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Banjarmasin,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,,"LAPTOP ACER ASPIRE LITE AL14 INTEL N150 8GB 512GB / 256GB 14"" WUXGA WIN 11 OHS ORIGINAL
Rp
6.800.000
5.0
45 Terjual
Banjarmasin",https://shopee.co.id/LAPTOP-ACER-ASPIRE-LITE-AL14-INTEL-N150-8GB-512GB-256GB-14-WUXGA-WIN-11-OHS-ORIGINAL-i.312419703.42903073144?extraParams=%7B%22display_model_id%22%3A280254747999%2C%22model_selection_logic%22%3A3%7D&sp_atk=8ac67d81-306d-46bc-8bf5-8d1771d5f079&xptdk=8ac67d81-306d-46bc-8bf5-8d1771d5f079
https://down-id.img.susercontent.com/file/2fe0d6e5b934fb551453d955e81360fd,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,laptop acer aspire v5-471 intel core i3 2gb ram 14inch 320gb hdd silver,Rp,1.499.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,3 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,-44%,,Cicilan,"laptop acer aspire v5-471 intel core i3 2gb ram 14inch 320gb hdd silver
Rp
1.499.000
-44%
Cicilan
5.0
3 Terjual
Tangerang",https://shopee.co.id/laptop-acer-aspire-v5-471-intel-core-i3-2gb-ram-14inch-320gb-hdd-silver-i.18199758.10601914871?extraParams=%7B%22display_model_id%22%3A65279407425%2C%22model_selection_logic%22%3A3%7D&sp_atk=bbe8c9b7-3483-4880-8e90-1f857ef45ba1&xptdk=bbe8c9b7-3483-4880-8e90-1f857ef45ba1
https://down-id.img.susercontent.com/file/id-11134207-8224q-mfuwf8gns6q0bc,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"ACER ASPIRE 3 A314 AMD A4-9120E RAM 8GB SSD 512GB 14"" HD Windows 10",Rp,2.420.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,-56%,,,"ACER ASPIRE 3 A314 AMD A4-9120E RAM 8GB SSD 512GB 14"" HD Windows 10
Rp
2.420.000
-56%
5.0
2 Terjual
Jakarta Barat",https://shopee.co.id/ACER-ASPIRE-3-A314-AMD-A4-9120E-RAM-8GB-SSD-512GB-14-HD-Windows-10-i.1124285767.44124292764?extraParams=%7B%22display_model_id%22%3A306970926409%2C%22model_selection_logic%22%3A3%7D&sp_atk=7bc39240-f137-412f-9f50-c2ae7f7c1173&xptdk=7bc39240-f137-412f-9f50-c2ae7f7c1173
https://down-id.img.susercontent.com/file/id-11134207-81zti-merz9lm534snbd,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"ACER ONE 14 Z2-493 RYZEN 5-3500U RAM 16GB SSD SSD 512GB VGA AMD RADEON VEGA 8 14"" HD FREE INSTALL",Rp,5.719.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,122 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Hadiah Gratis,"ACER ONE 14 Z2-493 RYZEN 5-3500U RAM 16GB SSD SSD 512GB VGA AMD RADEON VEGA 8 14"" HD FREE INSTALL
Rp
5.719.000
-1%
Hadiah Gratis
5.0
122 Terjual
Surabaya",https://shopee.co.id/ACER-ONE-14-Z2-493-RYZEN-5-3500U-RAM-16GB-SSD-SSD-512GB-VGA-AMD-RADEON-VEGA-8-14-HD-FREE-INSTALL-i.91465413.27205441590?extraParams=%7B%22display_model_id%22%3A226550012225%2C%22model_selection_logic%22%3A3%7D&sp_atk=6d530fb0-5096-4ed3-95c8-6b03c6d9c1b6&xptdk=6d530fb0-5096-4ed3-95c8-6b03c6d9c1b6
