-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-shopee-primary,img,text-xs/sp14_2,text-xs,pointer-events-none,align-middle,pointer-events-none_2,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-82250-mhuiqahhmvwja7,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Acer Travelmate P214 Core i5 Gen 11 Ram 16GB SSD 1TB Laptop Bekas Bergaransi Original Siap Pakai,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,3.797.000,-37%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,92 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,"Acer Travelmate P214 Core i5 Gen 11 Ram 16GB SSD 1TB Laptop Bekas Bergaransi Original Siap Pakai
Rp
3.797.000
-37%
4.9
92 Terjual
Jakarta Utara",https://shopee.co.id/Acer-Travelmate-P214-Core-i5-Gen-11-Ram-16GB-SSD-1TB-Laptop-Bekas-Bergaransi-Original-Siap-Pakai-i.1041928516.28652327818?extraParams=%7B%22display_model_id%22%3A340146584947%2C%22model_selection_logic%22%3A3%7D&sp_atk=eed42128-edd4-4f97-a404-596cd1197de6&xptdk=eed42128-edd4-4f97-a404-596cd1197de6
https://down-id.img.susercontent.com/file/id-11134207-822wq-mmpumbibslqa3b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP ACER CHROMEBOOK 514 INTEL CELERON N3450 1.1GHZ RAM 4GB SSD 32GB SECOND ORIGINAL,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.163.158,-8%,,,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"LAPTOP ACER CHROMEBOOK 514 INTEL CELERON N3450 1.1GHZ RAM 4GB SSD 32GB SECOND ORIGINAL
Rp
1.163.158
-8%
1 Terjual
Jakarta Pusat",https://shopee.co.id/LAPTOP-ACER-CHROMEBOOK-514-INTEL-CELERON-N3450-1.1GHZ-RAM-4GB-SSD-32GB-SECOND-ORIGINAL-i.227005289.53208295452?extraParams=%7B%22display_model_id%22%3A355736467016%2C%22model_selection_logic%22%3A3%7D&sp_atk=51cb518f-2dae-41df-b420-defce0a9d7f8&xptdk=51cb518f-2dae-41df-b420-defce0a9d7f8
https://down-id.img.susercontent.com/file/id-11134207-822wt-mn06y1tsmvb7aa,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,LAPTOP ACER ASPIRE 3 A314-35-C80W INTEL CELERON N5100 RAM 4 GB SSD 256 GB SECOND BERGARANSI,,Rp,2.325.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,3 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sleman,,,"LAPTOP ACER ASPIRE 3 A314-35-C80W INTEL CELERON N5100 RAM 4 GB SSD 256 GB SECOND BERGARANSI
Rp
2.325.000
5.0
3 Terjual
Kab. Sleman",https://shopee.co.id/LAPTOP-ACER-ASPIRE-3-A314-35-C80W-INTEL-CELERON-N5100-RAM-4-GB-SSD-256-GB-SECOND-BERGARANSI-i.946640405.51057234740?extraParams=%7B%22display_model_id%22%3A420644537440%2C%22model_selection_logic%22%3A3%7D&sp_atk=05ca3578-239a-475d-822f-92d1400c38ec&xptdk=05ca3578-239a-475d-822f-92d1400c38ec
https://down-id.img.susercontent.com/file/id-11134207-23030-aw0u3bblslova0,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,LAPTOP ACER MULUS,,Rp,850.000,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Nias Utara,,,"LAPTOP ACER MULUS
Rp
850.000
Kab. Nias Utara",https://shopee.co.id/LAPTOP-ACER-MULUS-i.85931654.22831598524?extraParams=%7B%22display_model_id%22%3A175705525744%2C%22model_selection_logic%22%3A3%7D&sp_atk=1746977d-8952-4876-9b4c-99cf8f347ff8&xptdk=1746977d-8952-4876-9b4c-99cf8f347ff8
https://down-id.img.susercontent.com/file/id-11134207-822wg-mn2s0ti1tkw802,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Acer Aspire 4830G Intel Core i5 RAM 4GB SSD 640GB Masih Original Semua kondisi normal bagus siap pakai,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.800.000,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,,,"Laptop Acer Aspire 4830G Intel Core i5 RAM 4GB SSD 640GB Masih Original Semua kondisi normal bagus siap pakai
Rp
1.800.000
Jakarta Timur",https://shopee.co.id/Laptop-Acer-Aspire-4830G-Intel-Core-i5-RAM-4GB-SSD-640GB-Masih-Original-Semua-kondisi-normal-bagus-siap-pakai-i.21730609.51408878208?extraParams=%7B%22display_model_id%22%3A405788032654%2C%22model_selection_logic%22%3A3%7D&sp_atk=0c48968e-a6e5-4acd-9078-c560719a1ae2&xptdk=0c48968e-a6e5-4acd-9078-c560719a1ae2
https://down-id.img.susercontent.com/file/id-11134207-82250-mh8oj38j2u4oed,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Acer Aspire E1-421 RAM 4GB HDD 500GB Kondisi Normal,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.650.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.5,4 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,,,"Laptop Acer Aspire E1-421 RAM 4GB HDD 500GB Kondisi Normal
Rp
1.650.000
4.5
4 Terjual
Jakarta Timur",https://shopee.co.id/Laptop-Acer-Aspire-E1-421-RAM-4GB-HDD-500GB-Kondisi-Normal-i.21730609.53951699024?extraParams=%7B%22display_model_id%22%3A395156403142%2C%22model_selection_logic%22%3A3%7D&sp_atk=cb340b92-d206-46f3-bb5d-5008dd00855c&xptdk=cb340b92-d206-46f3-bb5d-5008dd00855c
https://down-id.img.susercontent.com/file/id-11134207-8224s-misu38d0zr4878,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Acer TravelMate P214 i7 / i5 Gen 11 8GB 16GB 512GB Laptop Second Bergaransi Siap Pakai Original,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,3.800.000,-37%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,182 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"Acer TravelMate P214 i7 / i5 Gen 11 8GB 16GB 512GB Laptop Second Bergaransi Siap Pakai Original
Rp
3.800.000
-37%
4.8
182 Terjual
Jakarta Utara",https://shopee.co.id/Acer-TravelMate-P214-i7-i5-Gen-11-8GB-16GB-512GB-Laptop-Second-Bergaransi-Siap-Pakai-Original-i.20347114.25169526732?extraParams=%7B%22display_model_id%22%3A415051867882%2C%22model_selection_logic%22%3A3%7D&sp_atk=d2df1b6b-5b92-4678-a041-b9a582f1a51b&xptdk=d2df1b6b-5b92-4678-a041-b9a582f1a51b
https://down-id.img.susercontent.com/file/id-11134207-822wr-mln60i9fhszscd,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Acer Aspire E 15 E5 -511 series Intel inde DDR3 kondisi matot,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,400.000,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,,,"Laptop Acer Aspire E 15 E5 -511 series Intel inde DDR3 kondisi matot
Rp
400.000
Kab. Cirebon",https://shopee.co.id/Laptop-Acer-Aspire-E-15-E5-511-series-Intel-inde-DDR3-kondisi-matot-i.1022860192.27761546569?extraParams=%7B%22display_model_id%22%3A158795873531%2C%22model_selection_logic%22%3A3%7D&sp_atk=db5c0a78-5445-46e4-abf4-d06ce9034e5c&xptdk=db5c0a78-5445-46e4-abf4-d06ce9034e5c
https://down-id.img.susercontent.com/file/sg-11134201-7reo7-m8jt59mg7441b2,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop ACER ASPIRE 3 A314-35 N5100 Ram 16Gb 512Gb Normal Siap Pakai - Leptop Laptop Murah - Laptop Malang - Laptop Gaming - Bergaransi - Laptop Bekas - Laptop Bekas Malang,,Rp,2.495.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,6 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,,,"Laptop ACER ASPIRE 3 A314-35 N5100 Ram 16Gb 512Gb Normal Siap Pakai - Leptop Laptop Murah - Laptop Malang - Laptop Gaming - Bergaransi - Laptop Bekas - Laptop Bekas Malang
Rp
2.495.000
5.0
6 Terjual
Malang",https://shopee.co.id/Laptop-ACER-ASPIRE-3-A314-35-N5100-Ram-16Gb-512Gb-Normal-Siap-Pakai-Leptop-Laptop-Murah-Laptop-Malang-Laptop-Gaming-Bergaransi-Laptop-Bekas-Laptop-Bekas-Malang-i.44435356.29733298059?extraParams=%7B%22display_model_id%22%3A205988105024%2C%22model_selection_logic%22%3A3%7D&sp_atk=b92604c8-50ed-4df1-ab84-6a445ccde4cc&xptdk=b92604c8-50ed-4df1-ab84-6a445ccde4cc
https://down-id.img.susercontent.com/file/id-11134207-7ra0m-mc4kgc66hsu142,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Kantoran Acer C740 WINDOWS Celeron 3215U RAM 4GB SSD 256GB 11.6 HD Display Second Original,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.650.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,3 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,,,"Laptop Kantoran Acer C740 WINDOWS Celeron 3215U RAM 4GB SSD 256GB 11.6 HD Display Second Original
Rp
1.650.000
5.0
3 Terjual
Bandung",https://shopee.co.id/Laptop-Kantoran-Acer-C740-WINDOWS-Celeron-3215U-RAM-4GB-SSD-256GB-11.6-HD-Display-Second-Original-i.609539693.29656941884?extraParams=%7B%22display_model_id%22%3A280702397226%2C%22model_selection_logic%22%3A3%7D&sp_atk=256faaeb-28d6-4bee-845a-377ed6103f34&xptdk=256faaeb-28d6-4bee-845a-377ed6103f34
