-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,pointer-events-none,align-middle,text-shopee-primary,inline-block,pointer-events-none_2,text-xs,truncate,img,text-xs/sp14_3,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7r98o-ll33bc75b27s92,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop Acer Aspire E5-421 series second good,Rp,900.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bekasi,,,,,,,,"Laptop Acer Aspire E5-421 series second good
Rp
900.000
Kab. Bekasi",https://shopee.co.id/Laptop-Acer-Aspire-E5-421-series-second-good-i.130731228.21277587821?extraParams=%7B%22display_model_id%22%3A204148495615%2C%22model_selection_logic%22%3A3%7D&sp_atk=21bd8334-bc06-4f09-abfa-c9b27fe3423d&xptdk=21bd8334-bc06-4f09-abfa-c9b27fe3423d
https://down-id.img.susercontent.com/file/id-11134207-8224q-mkrwjxpj7donde,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,LAPTOP SECOND ACER ASPIRE V5 I3 GEN 2 RAM 4 GB SSD 256 GB BONUS TAS DAN MOUSE,Rp,1.859.070,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Pontianak,-7%,,,,,,,"LAPTOP SECOND ACER ASPIRE V5 I3 GEN 2 RAM 4 GB SSD 256 GB BONUS TAS DAN MOUSE
Rp
1.859.070
-7%
Pontianak",https://shopee.co.id/LAPTOP-SECOND-ACER-ASPIRE-V5-I3-GEN-2-RAM-4-GB-SSD-256-GB-BONUS-TAS-DAN-MOUSE-i.244745777.48606256657?extraParams=%7B%22display_model_id%22%3A330565653690%2C%22model_selection_logic%22%3A3%7D&sp_atk=5ce12a10-05e5-4b0c-a8ba-0dbfc8a22e97&xptdk=5ce12a10-05e5-4b0c-a8ba-0dbfc8a22e97
https://down-id.img.susercontent.com/file/id-11134207-7rash-m59z4gpf6g76ea,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"LAPTOP ACER P449-G3-M, Intel Core I5 Gen 8, RAM 8 SSD 256, Second Murah Bergaransi, Keyboard Backlight",Rp,2.375.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,2 Terjual,,,,"LAPTOP ACER P449-G3-M, Intel Core I5 Gen 8, RAM 8 SSD 256, Second Murah Bergaransi, Keyboard Backlight
Rp
2.375.000
-1%
2 Terjual
Jakarta Pusat",https://shopee.co.id/LAPTOP-ACER-P449-G3-M-Intel-Core-I5-Gen-8-RAM-8-SSD-256-Second-Murah-Bergaransi-Keyboard-Backlight-i.1034763811.25040702285?extraParams=%7B%22display_model_id%22%3A252517540431%2C%22model_selection_logic%22%3A3%7D&sp_atk=d4498447-fcfa-4201-8889-850f91d39f32&xptdk=d4498447-fcfa-4201-8889-850f91d39f32
https://down-id.img.susercontent.com/file/id-11134207-82251-mkit3qezvt3888,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,LAPTOP ACER ASPIRE E1-422 KONDISI GA MAU NAMPIL,Rp,400.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bantul,,,,,,,,"LAPTOP ACER ASPIRE E1-422 KONDISI GA MAU NAMPIL
Rp
400.000
Kab. Bantul",https://shopee.co.id/LAPTOP-ACER-ASPIRE-E1-422-KONDISI-GA-MAU-NAMPIL-i.73562024.49856037905?extraParams=%7B%22display_model_id%22%3A335547701698%2C%22model_selection_logic%22%3A3%7D&sp_atk=bd63bfe0-ad88-4e7c-b778-a1b7cd23eabb&xptdk=bd63bfe0-ad88-4e7c-b778-a1b7cd23eabb
https://down-id.img.susercontent.com/file/id-11134207-822wk-mleu7cvxxjwj79,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,LAPTOP ACER ASPIRE V5 SECOND CELERON RAM 3 GB HDD 500 GB FREE MOUSE DAN CHARGER MURAH MERIAH,Rp,1.511.160,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Pontianak,-16%,,,,,,,"LAPTOP ACER ASPIRE V5 SECOND CELERON RAM 3 GB HDD 500 GB FREE MOUSE DAN CHARGER MURAH MERIAH
Rp
1.511.160
-16%
Pontianak",https://shopee.co.id/LAPTOP-ACER-ASPIRE-V5-SECOND-CELERON-RAM-3-GB-HDD-500-GB-FREE-MOUSE-DAN-CHARGER-MURAH-MERIAH-i.244745777.52356729483?extraParams=%7B%22display_model_id%22%3A292433723281%2C%22model_selection_logic%22%3A3%7D&sp_atk=08348ca2-5afa-4db7-bf77-a6f3f3fe7dbc&xptdk=08348ca2-5afa-4db7-bf77-a6f3f3fe7dbc
https://down-id.img.susercontent.com/file/id-11134207-7ra0u-mdgxq3zv66yz7c,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Acer Aspire 2920 series Kondisi mesin hidup nodisplay Casing lcd mulus gambling unit utuh gak ada carger,Rp,400.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,,,,"Laptop Acer Aspire 2920 series Kondisi mesin hidup nodisplay Casing lcd mulus gambling unit utuh gak ada carger
Rp
400.000
Kab. Cirebon",https://shopee.co.id/Laptop-Acer-Aspire-2920-series-Kondisi-mesin-hidup-nodisplay-Casing-lcd-mulus-gambling-unit-utuh-gak-ada-carger-i.1022860192.43313543893?extraParams=%7B%22display_model_id%22%3A301120377897%2C%22model_selection_logic%22%3A3%7D&sp_atk=3a38fbb8-7d56-4cc5-bb6d-c278c58b23ff&xptdk=3a38fbb8-7d56-4cc5-bb6d-c278c58b23ff
https://down-id.img.susercontent.com/file/id-11134207-822wr-mmtsfqw60hs57d,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP LEPTOP SECOND BEKAS ACER A314 a315  AMD  RAM 4GB HDD 1TB 14 15 INC,Rp,2.180.900,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,,,,3 Terjual,,,,"LAPTOP LEPTOP SECOND BEKAS ACER A314 a315 AMD RAM 4GB HDD 1TB 14 15 INC
Rp
2.180.900
3 Terjual
Jakarta Timur",https://shopee.co.id/LAPTOP-LEPTOP-SECOND-BEKAS-ACER-A314-a315-AMD-RAM-4GB-HDD-1TB-14-15-INC-i.1046831392.24026289262?extraParams=%7B%22display_model_id%22%3A380823705482%2C%22model_selection_logic%22%3A3%7D&sp_atk=79f389ea-0073-4cff-a478-3abd8eb6e56c&xptdk=79f389ea-0073-4cff-a478-3abd8eb6e56c
https://down-id.img.susercontent.com/file/sg-11134201-23010-2872xmuln1lv4a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,laptop acer aspire N3350 4gb/500Gb second,Rp,1.999.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bandung,,,,2 Terjual,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,"laptop acer aspire N3350 4gb/500Gb second
Rp
1.999.000
Cicilan
5.0
2 Terjual
Kab. Bandung",https://shopee.co.id/laptop-acer-aspire-N3350-4gb-500Gb-second-i.178014179.10005463569?extraParams=%7B%22display_model_id%22%3A82163910057%2C%22model_selection_logic%22%3A3%7D&sp_atk=511dee4c-1b43-48a0-ab2d-9e227199579d&xptdk=511dee4c-1b43-48a0-ab2d-9e227199579d
https://down-id.img.susercontent.com/file/id-11134207-81zti-mezb45y9h79m42,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop ACER ASPIRE 3 A314-35 N5100 Ram 16Gb 512Gb Normal Siap Pakai - Leptop Laptop Murah - Laptop Malang - Laptop Gaming - Bergaransi - Laptop Bekas - Laptop Bekas Malang Siap Pakai,Rp,2.650.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,,,,2 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,"Laptop ACER ASPIRE 3 A314-35 N5100 Ram 16Gb 512Gb Normal Siap Pakai - Leptop Laptop Murah - Laptop Malang - Laptop Gaming - Bergaransi - Laptop Bekas - Laptop Bekas Malang Siap Pakai
Rp
2.650.000
5.0
2 Terjual
Malang",https://shopee.co.id/Laptop-ACER-ASPIRE-3-A314-35-N5100-Ram-16Gb-512Gb-Normal-Siap-Pakai-Leptop-Laptop-Murah-Laptop-Malang-Laptop-Gaming-Bergaransi-Laptop-Bekas-Laptop-Bekas-Malang-Siap-Pakai-i.79997666.25647123631?extraParams=%7B%22display_model_id%22%3A296690478492%2C%22model_selection_logic%22%3A3%7D&sp_atk=4e41000f-7805-4510-b8b3-42eceb7700e7&xptdk=4e41000f-7805-4510-b8b3-42eceb7700e7
https://down-id.img.susercontent.com/file/id-11134207-81ztg-mdwtyd6251c0dd,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Acer Aspire E1 ZQT Kondisi mati gambling unit Lcd14in Casing mulus utuh gak ada carger,Rp,400.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,1 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,"Laptop Acer Aspire E1 ZQT Kondisi mati gambling unit Lcd14in Casing mulus utuh gak ada carger
Rp
400.000
5.0
1 Terjual
Kab. Cirebon",https://shopee.co.id/Laptop-Acer-Aspire-E1-ZQT-Kondisi-mati-gambling-unit-Lcd14in-Casing-mulus-utuh-gak-ada-carger-i.1022860192.25346614752?extraParams=%7B%22display_model_id%22%3A296262687862%2C%22model_selection_logic%22%3A3%7D&sp_atk=e2e2be44-5f94-410c-891f-7eff92a23e75&xptdk=e2e2be44-5f94-410c-891f-7eff92a23e75
