-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-shopee-primary,pointer-events-none,img,text-xs/sp14_2,text-xs,pointer-events-none_2,align-middle,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-822wq-mn19eb6a2cxveb,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,[Bekas] Laptop Lenovo Thinkpad Yoga 11E/260/300E/370 Core i5 / i7 | BISA LIPAT 360 + STYLUS PEN,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.500.000,-6%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,780 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,"[Bekas] Laptop Lenovo Thinkpad Yoga 11E/260/300E/370 Core i5 / i7 | BISA LIPAT 360 + STYLUS PEN
Rp
1.500.000
-6%
4.9
780 Terjual
Jakarta Utara",https://shopee.co.id/-Bekas-Laptop-Lenovo-Thinkpad-Yoga-11E-260-300E-370-Core-i5-i7-BISA-LIPAT-360-STYLUS-PEN-i.472460537.17480118941?extraParams=%7B%22display_model_id%22%3A248571455828%2C%22model_selection_logic%22%3A3%7D&sp_atk=25b07811-612a-4fe0-bb19-fd76fec882bb&xptdk=25b07811-612a-4fe0-bb19-fd76fec882bb
https://down-id.img.susercontent.com/file/sg-11134201-824hg-mezz795npcsu72,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Acer Aspire E1-431 i3 2328M RAM 8GB SSD256GB Normal Siap Pakai - Laptop Murah - Laptop Malang - Laptop Gaming - Bergaransi - Laptop Bekas - Laptop Bekas Malang - Laptop Kuliah - Laptop Kantoran - Laptop Kerja - Laptop Desain,,Rp,1.320.000,,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,"Laptop Acer Aspire E1-431 i3 2328M RAM 8GB SSD256GB Normal Siap Pakai - Laptop Murah - Laptop Malang - Laptop Gaming - Bergaransi - Laptop Bekas - Laptop Bekas Malang - Laptop Kuliah - Laptop Kantoran - Laptop Kerja - Laptop Desain
Rp
1.320.000
Malang",https://shopee.co.id/Laptop-Acer-Aspire-E1-431-i3-2328M-RAM-8GB-SSD256GB-Normal-Siap-Pakai-Laptop-Murah-Laptop-Malang-Laptop-Gaming-Bergaransi-Laptop-Bekas-Laptop-Bekas-Malang-Laptop-Kuliah-Laptop-Kantoran-Laptop-Kerja-Laptop-Desain-i.141725604.43520795196?extraParams=%7B%22display_model_id%22%3A286697196540%2C%22model_selection_logic%22%3A3%7D&sp_atk=7254e9fe-6639-470b-9634-f79397623b34&xptdk=7254e9fe-6639-470b-9634-f79397623b34
https://down-id.img.susercontent.com/file/id-11134207-82251-mkit3qezvt3888,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,LAPTOP ACER ASPIRE E1-422 KONDISI GA MAU NAMPIL,,Rp,400.000,,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bantul,"LAPTOP ACER ASPIRE E1-422 KONDISI GA MAU NAMPIL
Rp
400.000
Kab. Bantul",https://shopee.co.id/LAPTOP-ACER-ASPIRE-E1-422-KONDISI-GA-MAU-NAMPIL-i.73562024.49856037905?extraParams=%7B%22display_model_id%22%3A335547701698%2C%22model_selection_logic%22%3A3%7D&sp_atk=37c4dc87-a534-4951-991a-d86f1d994a37&xptdk=37c4dc87-a534-4951-991a-d86f1d994a37
https://down-id.img.susercontent.com/file/id-11134207-7ra0o-mbm9ov5ojctp87,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"LAPTOP LENOVO THINKPAD L440 / L450 / L460 / L470 / CORE i3/i5/i7 GEN 7 - Layar 14"" Inch  - MURAH DENGAN GARANSI!!!!",,Rp,1.800.000,-5%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,83 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,"LAPTOP LENOVO THINKPAD L440 / L450 / L460 / L470 / CORE i3/i5/i7 GEN 7 - Layar 14"" Inch - MURAH DENGAN GARANSI!!!!
Rp
1.800.000
-5%
4.9
83 Terjual
Jakarta Utara",https://shopee.co.id/LAPTOP-LENOVO-THINKPAD-L440-L450-L460-L470-CORE-i3-i5-i7-GEN-7-Layar-14-Inch-MURAH-DENGAN-GARANSI!!!!-i.940039185.22319507444?extraParams=%7B%22display_model_id%22%3A207214060255%2C%22model_selection_logic%22%3A3%7D&sp_atk=10dc62fd-8d56-4011-b2b8-3a8839907e32&xptdk=10dc62fd-8d56-4011-b2b8-3a8839907e32
https://down-id.img.susercontent.com/file/id-11134207-8224t-mhsl9mqwao08b5,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP NEC VKA10H M3-7Y30/M3-8100Y/CORE I5-7Y54 SLIM DAN RINGAN,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.475.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,103 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,"LAPTOP NEC VKA10H M3-7Y30/M3-8100Y/CORE I5-7Y54 SLIM DAN RINGAN
Rp
1.475.000
4.8
103 Terjual
Jakarta Pusat",https://shopee.co.id/LAPTOP-NEC-VKA10H-M3-7Y30-M3-8100Y-CORE-I5-7Y54-SLIM-DAN-RINGAN-i.45901998.11544522970?extraParams=%7B%22display_model_id%22%3A325244447656%2C%22model_selection_logic%22%3A3%7D&sp_atk=9816ed64-9f4c-4124-86c6-0aa9c9349bcf&xptdk=9816ed64-9f4c-4124-86c6-0aa9c9349bcf
https://down-id.img.susercontent.com/file/id-11134207-81ztq-mf2ctk34s83y77,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Preloved Laptop Notebook  Acer 11 inch Kecil Warna Merah Aspire A311 31 c5x5,,Rp,1.600.000,,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Yogyakarta,"Preloved Laptop Notebook Acer 11 inch Kecil Warna Merah Aspire A311 31 c5x5
Rp
1.600.000
Yogyakarta",https://shopee.co.id/Preloved-Laptop-Notebook-Acer-11-inch-Kecil-Warna-Merah-Aspire-A311-31-c5x5-i.17819351.41721334571?extraParams=%7B%22display_model_id%22%3A276742356114%2C%22model_selection_logic%22%3A3%7D&sp_atk=75686733-9fc9-4dc2-a2ad-af2e1e87dc3e&xptdk=75686733-9fc9-4dc2-a2ad-af2e1e87dc3e
https://down-id.img.susercontent.com/file/sg-11134201-7rbkx-m5hmztxcgigk3f,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Acer Aspire 4750 Intel Core i3-2310M Ram 4Gb Hdd 500Gb SCu17684 Windows slim Laptop bekas murah Laptop SSD Office,,Rp,1.350.000,,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,"Laptop Acer Aspire 4750 Intel Core i3-2310M Ram 4Gb Hdd 500Gb SCu17684 Windows slim Laptop bekas murah Laptop SSD Office
Rp
1.350.000
Malang",https://shopee.co.id/Laptop-Acer-Aspire-4750-Intel-Core-i3-2310M-Ram-4Gb-Hdd-500Gb-SCu17684-Windows-slim-Laptop-bekas-murah-Laptop-SSD-Office-i.141725604.29924677633?extraParams=%7B%22display_model_id%22%3A257557903962%2C%22model_selection_logic%22%3A3%7D&sp_atk=6597496d-7337-4164-96ff-8350bd055bde&xptdk=6597496d-7337-4164-96ff-8350bd055bde
https://down-id.img.susercontent.com/file/id-11134207-81ztg-mdwtyd6251c0dd,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Acer Aspire E1 ZQT Kondisi mati gambling unit Lcd14in Casing mulus utuh gak ada carger,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,400.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,"Laptop Acer Aspire E1 ZQT Kondisi mati gambling unit Lcd14in Casing mulus utuh gak ada carger
Rp
400.000
5.0
1 Terjual
Kab. Cirebon",https://shopee.co.id/Laptop-Acer-Aspire-E1-ZQT-Kondisi-mati-gambling-unit-Lcd14in-Casing-mulus-utuh-gak-ada-carger-i.1022860192.25346614752?extraParams=%7B%22display_model_id%22%3A296262687862%2C%22model_selection_logic%22%3A3%7D&sp_atk=7bcd881d-4b64-4312-ab3a-3fc05932eb15&xptdk=7bcd881d-4b64-4312-ab3a-3fc05932eb15
https://down-id.img.susercontent.com/file/id-11134207-7ras8-m298psn5xw8kd5,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,LAPTOP LEPTOP SECOND BEKAS ACER A314 AMD A9 RAM 8 GB SSD 128 GB 14 INC SIAP PAKAI DESAIN GAMING,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.289.300,,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,"LAPTOP LEPTOP SECOND BEKAS ACER A314 AMD A9 RAM 8 GB SSD 128 GB 14 INC SIAP PAKAI DESAIN GAMING
Rp
2.289.300
Jakarta Timur",https://shopee.co.id/LAPTOP-LEPTOP-SECOND-BEKAS-ACER-A314-AMD-A9-RAM-8-GB-SSD-128-GB-14-INC-SIAP-PAKAI-DESAIN-GAMING-i.47741239.27316737004?extraParams=%7B%22display_model_id%22%3A29536969709%2C%22model_selection_logic%22%3A3%7D&sp_atk=37537124-2564-4924-b7f3-7246e8eb9e22&xptdk=37537124-2564-4924-b7f3-7246e8eb9e22
https://down-id.img.susercontent.com/file/id-11134207-82250-mh0cyw5l8jyk0e,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Lenovo Thinkpad T495 Ryzen 5 VGA 2GB / T490s i5 Gen 8 16GB 512GB Laptop Second Bergaransi Siap Pakai,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.650.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,824 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,"Lenovo Thinkpad T495 Ryzen 5 VGA 2GB / T490s i5 Gen 8 16GB 512GB Laptop Second Bergaransi Siap Pakai
Rp
2.650.000
4.9
824 Terjual
Jakarta Utara",https://shopee.co.id/Lenovo-Thinkpad-T495-Ryzen-5-VGA-2GB-T490s-i5-Gen-8-16GB-512GB-Laptop-Second-Bergaransi-Siap-Pakai-i.20347114.22276786136?extraParams=%7B%22display_model_id%22%3A139491631753%2C%22model_selection_logic%22%3A3%7D&sp_atk=99450d46-58ef-4bda-84a5-de9800a55a32&xptdk=99450d46-58ef-4bda-84a5-de9800a55a32
