-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,pointer-events-none,align-middle,text-shopee-primary,text-xs,img,text-xs/sp14_3,truncate,inline-block,pointer-events-none_2,_container,_container_link
https://down-id.img.susercontent.com/file/sg-11134201-23010-yrwhvzs88ylv0e,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"LAPTOP ACER ASPIRE 4540 SERIES, NOTEBOOK BEKKA MULUS,NOTEBOOK ACER, LAPTOP MURAH, LAPTOP SECOND",Rp,1.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Malang,,,,,,,,"LAPTOP ACER ASPIRE 4540 SERIES, NOTEBOOK BEKKA MULUS,NOTEBOOK ACER, LAPTOP MURAH, LAPTOP SECOND
Rp
1.500.000
Kab. Malang",https://shopee.co.id/LAPTOP-ACER-ASPIRE-4540-SERIES-NOTEBOOK-BEKKA-MULUS-NOTEBOOK-ACER-LAPTOP-MURAH-LAPTOP-SECOND-i.17080485.14096072267?extraParams=%7B%22display_model_id%22%3A183686439895%2C%22model_selection_logic%22%3A3%7D&sp_atk=f23138b9-c456-4deb-8ddf-d72210b6f69d&xptdk=f23138b9-c456-4deb-8ddf-d72210b6f69d
https://down-id.img.susercontent.com/file/id-11134207-822wr-mmfju5pxagowfe,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop Acer second mulus 15inch,Rp,1.900.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bekasi,-58%,,,,,,,"Laptop Acer second mulus 15inch
Rp
1.900.000
-58%
Bekasi",https://shopee.co.id/Laptop-Acer-second-mulus-15inch-i.299800949.56857932222?extraParams=%7B%22display_model_id%22%3A415705089368%2C%22model_selection_logic%22%3A3%7D&sp_atk=15420037-bae3-46d9-a3fa-9ff8599afc8d&xptdk=15420037-bae3-46d9-a3fa-9ff8599afc8d
https://down-id.img.susercontent.com/file/id-11134207-8224s-miu0zfc6xi4i1e,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Acer ES1-111-CU5A Slim Tipis SSD 128GB Windows 10 Original Ori Netbook Notebook Second Bekas,Rp,1.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Indramayu,,1 Terjual,,,,,,"Acer ES1-111-CU5A Slim Tipis SSD 128GB Windows 10 Original Ori Netbook Notebook Second Bekas
Rp
1.500.000
1 Terjual
Kab. Indramayu",https://shopee.co.id/Acer-ES1-111-CU5A-Slim-Tipis-SSD-128GB-Windows-10-Original-Ori-Netbook-Notebook-Second-Bekas-i.49656833.11910037523?extraParams=%7B%22display_model_id%22%3A110551354502%2C%22model_selection_logic%22%3A3%7D&sp_atk=10cb1521-34bd-4c91-b491-c4621f8dbe79&xptdk=10cb1521-34bd-4c91-b491-c4621f8dbe79
https://down-id.img.susercontent.com/file/id-11134207-7ra0k-mcli1sqrityv9e,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,NOTEBOOK ACER ASPIRE ONE D255 CELERON SECOND,Rp,210.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Muaro Jambi,,,,,,,,"NOTEBOOK ACER ASPIRE ONE D255 CELERON SECOND
Rp
210.000
Kab. Muaro Jambi",https://shopee.co.id/NOTEBOOK-ACER-ASPIRE-ONE-D255-CELERON-SECOND-i.1386365003.26489134431?extraParams=%7B%22display_model_id%22%3A300859107723%2C%22model_selection_logic%22%3A3%7D&sp_atk=15b2523a-7d35-459b-9a46-9ade77600825&xptdk=15b2523a-7d35-459b-9a46-9ade77600825
https://down-id.img.susercontent.com/file/6e3b85bc02c6232c58e5054b74beb622,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Notebook Acer Aspire One 756 Hitam Layar 12 inch RAM 4GB HDD 500GB Intel Celeron 847 Windows 7 Second Bekas,Rp,1.200.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Indramayu,,4 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,,,"Notebook Acer Aspire One 756 Hitam Layar 12 inch RAM 4GB HDD 500GB Intel Celeron 847 Windows 7 Second Bekas
Rp
1.200.000
5.0
4 Terjual
Kab. Indramayu",https://shopee.co.id/Notebook-Acer-Aspire-One-756-Hitam-Layar-12-inch-RAM-4GB-HDD-500GB-Intel-Celeron-847-Windows-7-Second-Bekas-i.49656833.4294582579?extraParams=%7B%22display_model_id%22%3A277120073713%2C%22model_selection_logic%22%3A3%7D&sp_atk=fb4d3753-9bbb-4efa-9128-3c7788d59dce&xptdk=fb4d3753-9bbb-4efa-9128-3c7788d59dce
https://down-id.img.susercontent.com/file/9b43c58a2ab72cf107dbbfc605469ce2,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Acer Aspire One D270 Limited Edition Ballon Carnival Notebook Bekas,Rp,1.000.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Indramayu,,6 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.5,,,,"Acer Aspire One D270 Limited Edition Ballon Carnival Notebook Bekas
Rp
1.000.000
4.5
6 Terjual
Kab. Indramayu",https://shopee.co.id/Acer-Aspire-One-D270-Limited-Edition-Ballon-Carnival-Notebook-Bekas-i.49656833.11453154380?extraParams=%7B%22display_model_id%22%3A112722414019%2C%22model_selection_logic%22%3A3%7D&sp_atk=6a493d3e-1a34-4fb9-99fd-0252612301fb&xptdk=6a493d3e-1a34-4fb9-99fd-0252612301fb
https://down-id.img.susercontent.com/file/1ab4a8a26c45d0c77108b04f4da38867,,Laptop Acer Murah [Second],Rp,1.200.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jambi,,,,,Cicilan,,,"Laptop Acer Murah [Second]
Rp
1.200.000
Cicilan
Jambi",https://shopee.co.id/Laptop-Acer-Murah-Second--i.60318289.7105618757?extraParams=%7B%22display_model_id%22%3A52833642042%2C%22model_selection_logic%22%3A3%7D&sp_atk=507e6f3d-3f1f-4f82-988d-6ca69ddbfd9c&xptdk=507e6f3d-3f1f-4f82-988d-6ca69ddbfd9c
https://down-id.img.susercontent.com/file/sg-11134201-22100-kwg9q75juviva1,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Netbook Acer Aspire v5 123 Bekas,Rp,990.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cilacap,,1 Terjual,,,,,,"Netbook Acer Aspire v5 123 Bekas
Rp
990.000
1 Terjual
Kab. Cilacap",https://shopee.co.id/Netbook-Acer-Aspire-v5-123-Bekas-i.174524797.21456147525?extraParams=%7B%22display_model_id%22%3A212824474980%2C%22model_selection_logic%22%3A3%7D&sp_atk=c321df77-0b0a-4787-ab27-069422cd3dd9&xptdk=c321df77-0b0a-4787-ab27-069422cd3dd9
https://down-id.img.susercontent.com/file/id-11134207-7rbka-m8eic6wmbncy4d,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Acer Aspire 4740 -Second Bekas,Rp,497.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,-1%,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"Acer Aspire 4740 -Second Bekas
Rp
497.000
-1%
5.0
1 Terjual
Jakarta Selatan",https://shopee.co.id/Acer-Aspire-4740-Second-Bekas-i.13625657.27582872410?extraParams=%7B%22display_model_id%22%3A258138083532%2C%22model_selection_logic%22%3A3%7D&sp_atk=dde8a902-4b25-47ad-ab82-45547734f9a3&xptdk=dde8a902-4b25-47ad-ab82-45547734f9a3
https://down-id.img.susercontent.com/file/id-11134207-81ztg-mfh1ae1umolra4,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ACER ONE HAPPY Intel Atom Ram2GB HDD320GB 10inc Second,Rp,999.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bandung,,5 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,Cicilan,,,"ACER ONE HAPPY Intel Atom Ram2GB HDD320GB 10inc Second
Rp
999.000
Cicilan
5.0
5 Terjual
Kab. Bandung",https://shopee.co.id/ACER-ONE-HAPPY-Intel-Atom-Ram2GB-HDD320GB-10inc-Second-i.32664305.7829668689?extraParams=%7B%22display_model_id%22%3A23629226944%2C%22model_selection_logic%22%3A3%7D&sp_atk=b6522360-fbd0-409d-82a7-0798e879611a&xptdk=b6522360-fbd0-409d-82a7-0798e879611a
