-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-shopee-primary,pointer-events-none,text-xs/sp14_2,pointer-events-none_2,w-auto,text-white,pointer-events-none_3,align-middle,truncate,img_2,text-xs_2,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-822wm-mmjytw5cqosv49,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Advan Workplus Heritage 14 Ryzen 5 32GB 1TB IPS,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,5.798.000,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,4.8,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,55 Terjual,"Advan Workplus Heritage 14 Ryzen 5 32GB 1TB IPS
Rp
5.798.000
-1%
4.8
55 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Advan-Workplus-Heritage-14-Ryzen-5-32GB-1TB-IPS-i.748792991.42603460593?extraParams=%7B%22display_model_id%22%3A261011936782%2C%22model_selection_logic%22%3A3%7D&sp_atk=fc67c9cb-a607-4624-a300-c5280fbfbb38&xptdk=fc67c9cb-a607-4624-a300-c5280fbfbb38
https://down-id.img.susercontent.com/file/id-11134207-7rash-m4yd4u17066826,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Laptop ADVAN TBOOK INTEL N100 4GB 128GB SSD 14"" HD Windows 11",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,4.290.000,,,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sleman,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,11 Terjual,"Laptop ADVAN TBOOK INTEL N100 4GB 128GB SSD 14"" HD Windows 11
Rp
4.290.000
5.0
11 Terjual
< 2 Hari
Kab. Sleman",https://shopee.co.id/Laptop-ADVAN-TBOOK-INTEL-N100-4GB-128GB-SSD-14-HD-Windows-11-i.40255164.26206801273?extraParams=%7B%22display_model_id%22%3A325785337046%2C%22model_selection_logic%22%3A3%7D&sp_atk=321aedf9-c93a-4652-81ca-9908e8fc333b&xptdk=321aedf9-c93a-4652-81ca-9908e8fc333b
https://down-id.img.susercontent.com/file/id-11134207-8224s-mgx5cc218y6gb6,https://down-id.img.susercontent.com/file/id-11134258-8224q-mkvvibsp8oowa6,"ADVAN SOULMATE Celeron N4020 4GB /8GB 128  Laptop 14"" HD WINDOWS 11 RESMI",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,4.099.000,,,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,Pilih Lokal,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,112 Terjual,"ADVAN SOULMATE Celeron N4020 4GB /8GB 128 Laptop 14"" HD WINDOWS 11 RESMI
Rp
4.099.000
Pilih Lokal
5.0
112 Terjual
< 2 Hari
Malang",https://shopee.co.id/ADVAN-SOULMATE-Celeron-N4020-4GB-8GB-128-Laptop-14-HD-WINDOWS-11-RESMI-i.291684613.18190799708?extraParams=%7B%22display_model_id%22%3A225433924052%2C%22model_selection_logic%22%3A3%7D&sp_atk=12af2c65-0e99-4b48-a02c-b4664eab8f54&xptdk=12af2c65-0e99-4b48-a02c-b4664eab8f54
https://down-id.img.susercontent.com/file/id-11134207-8224u-mknc40x97awz19,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP ADVAN SOULMATE X2 AMD 3020 - RAM 8GB 128GB WINDOWS11 14.0 IPS,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,3.753.000,-56%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,113 Terjual,"LAPTOP ADVAN SOULMATE X2 AMD 3020 - RAM 8GB 128GB WINDOWS11 14.0 IPS
Rp
3.753.000
-56%
Cicilan
Hadiah Gratis
4.9
113 Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/LAPTOP-ADVAN-SOULMATE-X2-AMD-3020-RAM-8GB-128GB-WINDOWS11-14.0-IPS-i.250649369.15511352621?extraParams=%7B%22display_model_id%22%3A282553749751%2C%22model_selection_logic%22%3A3%7D&sp_atk=c266938f-aca1-4ccb-8fb6-28620189e657&xptdk=c266938f-aca1-4ccb-8fb6-28620189e657
https://down-id.img.susercontent.com/file/id-11134207-822wj-ml7ize5k51qg82,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Laptop Resmi Advan Soulmate X2 AMD 3020E 8GB 384GB FHD IPS WIN11HOME Original,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,3.699.000,,,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,9 Terjual,"Laptop Resmi Advan Soulmate X2 AMD 3020E 8GB 384GB FHD IPS WIN11HOME Original
Rp
3.699.000
5.0
9 Terjual
< 2 Hari
Jakarta Selatan",https://shopee.co.id/Laptop-Resmi-Advan-Soulmate-X2-AMD-3020E-8GB-384GB-FHD-IPS-WIN11HOME-Original-i.1552037264.43625008755?extraParams=%7B%22display_model_id%22%3A400702243018%2C%22model_selection_logic%22%3A3%7D&sp_atk=7824b3e5-e0a1-49c2-9af9-99f6cde71e2c&xptdk=7824b3e5-e0a1-49c2-9af9-99f6cde71e2c
https://down-id.img.susercontent.com/file/id-11134207-822wj-mmmnaqro7qx299,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Advan Soulmate X2 AMD 8GB 128GB Windows 11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,3.754.000,,,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,355 Terjual,"Advan Soulmate X2 AMD 8GB 128GB Windows 11
Rp
3.754.000
Cicilan
4.9
355 Terjual
3-4 Hari
Jakarta Utara",https://shopee.co.id/Advan-Soulmate-X2-AMD-8GB-128GB-Windows-11-i.364038165.11827296421?extraParams=%7B%22display_model_id%22%3A236871862322%2C%22model_selection_logic%22%3A3%7D&sp_atk=87f71da4-d03c-4f5e-975c-1c4322b1ab9f&xptdk=87f71da4-d03c-4f5e-975c-1c4322b1ab9f
https://down-id.img.susercontent.com/file/id-11134207-7ra0r-mdk1wo6n4houff,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Advan Laptop Workmate AMD Ryzen 5 3500U / Intel i3-1215U 8GB SSD 256GB 14 Inch FHD+ Windows 11 Original Garansi Resmi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,5.996.000,-26%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Mojokerto,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,176 Terjual,"Advan Laptop Workmate AMD Ryzen 5 3500U / Intel i3-1215U 8GB SSD 256GB 14 Inch FHD+ Windows 11 Original Garansi Resmi
Rp
5.996.000
-26%
4.9
176 Terjual
2-3 Hari
Mojokerto",https://shopee.co.id/Advan-Laptop-Workmate-AMD-Ryzen-5-3500U-Intel-i3-1215U-8GB-SSD-256GB-14-Inch-FHD-Windows-11-Original-Garansi-Resmi-i.318218543.28490099609?extraParams=%7B%22display_model_id%22%3A248851735315%2C%22model_selection_logic%22%3A3%7D&sp_atk=cdbe059a-ce0f-45fc-b219-07515016c3d8&xptdk=cdbe059a-ce0f-45fc-b219-07515016c3d8
https://down-id.img.susercontent.com/file/id-11134207-82250-mjjum06wamf978,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,"Advan Soulmate X 14"" IPS FHD AMD 3020e 8GB/128GB Upgradeable",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,3.650.000,,,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Banyuwangi,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,11 Terjual,"Advan Soulmate X 14"" IPS FHD AMD 3020e 8GB/128GB Upgradeable
Rp
3.650.000
5.0
11 Terjual
< 2 Hari
Kab. Banyuwangi",https://shopee.co.id/Advan-Soulmate-X-14-IPS-FHD-AMD-3020e-8GB-128GB-Upgradeable-i.19508006.27235394870?extraParams=%7B%22display_model_id%22%3A258982887540%2C%22model_selection_logic%22%3A3%7D&sp_atk=98cc108d-04fe-430a-8298-d5b89484bf89&xptdk=98cc108d-04fe-430a-8298-d5b89484bf89
https://down-id.img.susercontent.com/file/sg-11134201-7rd5e-m782ef32ofqh1e,https://down-id.img.susercontent.com/file/id-11134258-8224q-mkvvibsp8oowa6,"[FREE STYLUS PEN +KEYBOARD] ADVAN Laptop 2 in 1 EVO-X 16” / 13"" Touchscreen Detachable 2.5K Display Intel i3-1215U/Intel N100/Intel N100 12GB/512GB Windows 11 - Garansi Resmi 1 Tahun",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,7.499.000,-50%,,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,Pilih Lokal,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,65 Terjual,"[FREE STYLUS PEN +KEYBOARD] ADVAN Laptop 2 in 1 EVO-X 16” / 13"" Touchscreen Detachable 2.5K Display Intel i3-1215U/Intel N100/Intel N100 12GB/512GB Windows 11 - Garansi Resmi 1 Tahun
Rp
7.499.000
-50%
Pilih Lokal
4.9
65 Terjual
3-5 Hari
Kab. Tangerang",https://shopee.co.id/-FREE-STYLUS-PEN-KEYBOARD-ADVAN-Laptop-2-in-1-EVO-X-16%E2%80%9D-13-Touchscreen-Detachable-2.5K-Display-Intel-i3-1215U-Intel-N100-Intel-N100-12GB-512GB-Windows-11-Garansi-Resmi-1-Tahun-i.478083269.26029269748?extraParams=%7B%22display_model_id%22%3A258138907215%2C%22model_selection_logic%22%3A3%7D&sp_atk=8121858d-09df-43e1-934c-2684dda5a407&xptdk=8121858d-09df-43e1-934c-2684dda5a407
https://down-id.img.susercontent.com/file/id-11134207-81ztn-mfol941fd8ne0a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP ADVAN SOULMATE X AMD ATHLON 3020E 8GB 128GB 14” FHD WIN 11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,4.100.000,,,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Banjarmasin,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,12 Terjual,"LAPTOP ADVAN SOULMATE X AMD ATHLON 3020E 8GB 128GB 14” FHD WIN 11
Rp
4.100.000
5.0
12 Terjual
3-5 Hari
Banjarmasin",https://shopee.co.id/LAPTOP-ADVAN-SOULMATE-X-AMD-ATHLON-3020E-8GB-128GB-14%E2%80%9D-FHD-WIN-11-i.312419703.28292781382?extraParams=%7B%22display_model_id%22%3A310486990159%2C%22model_selection_logic%22%3A3%7D&sp_atk=146268ac-82d1-4a35-84a3-9827cb6a2054&xptdk=146268ac-82d1-4a35-84a3-9827cb6a2054
