-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-shopee-primary,text-xs/sp14_2,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,truncate,img_2,w-auto,text-white,pointer-events-none_3,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-81ztk-meqv0d6a5qmda5,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ADVAN Soulmate X | 14 Inch FHD | AMD 3020e | 4GB/128GB Upgradable | Slim & Elegant Design | Charger Type C | Free WINDOWS 11 Original | Garansi Resmi 1 Tahun,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,3.399.000,-43%,4.8,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Semarang,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,,"ADVAN Soulmate X | 14 Inch FHD | AMD 3020e | 4GB/128GB Upgradable | Slim & Elegant Design | Charger Type C | Free WINDOWS 11 Original | Garansi Resmi 1 Tahun
Rp
3.399.000
-43%
4.8
3RB+ Terjual
3-4 Hari
Semarang",https://shopee.co.id/ADVAN-Soulmate-X-14-Inch-FHD-AMD-3020e-4GB-128GB-Upgradable-Slim-Elegant-Design-Charger-Type-C-Free-WINDOWS-11-Original-Garansi-Resmi-1-Tahun-i.919692407.40719373929?extraParams=%7B%22display_model_id%22%3A360396160484%2C%22model_selection_logic%22%3A3%7D&sp_atk=e0d04dab-2df9-4a40-80b5-041f6b230654&xptdk=e0d04dab-2df9-4a40-80b5-041f6b230654
https://down-id.img.susercontent.com/file/id-11134207-8224o-mh2uyqv3v30s30,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,[BEST SELLER] ADVAN Laptop WorkMate | AMD Ryzen 5 3500U / Intel i3-1215U | 14 Inch FHD+ 16:10 IPS | 8GB/256GB Upgradable | WIFI 5 | Garansi Resmi 1 Tahun,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,6.199.000,-23%,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,5RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Semarang,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,,"[BEST SELLER] ADVAN Laptop WorkMate | AMD Ryzen 5 3500U / Intel i3-1215U | 14 Inch FHD+ 16:10 IPS | 8GB/256GB Upgradable | WIFI 5 | Garansi Resmi 1 Tahun
Rp
6.199.000
-23%
4.9
5RB+ Terjual
3-4 Hari
Semarang",https://shopee.co.id/-BEST-SELLER-ADVAN-Laptop-WorkMate-AMD-Ryzen-5-3500U-Intel-i3-1215U-14-Inch-FHD-16-10-IPS-8GB-256GB-Upgradable-WIFI-5-Garansi-Resmi-1-Tahun-i.919692407.44210886492?extraParams=%7B%22display_model_id%22%3A285914571025%2C%22model_selection_logic%22%3A3%7D&sp_atk=4b4f8da1-2076-4546-8f7d-d1148bac7c3a&xptdk=4b4f8da1-2076-4546-8f7d-d1148bac7c3a
https://down-id.img.susercontent.com/file/id-11134207-81ztk-mf8hu5rx4g7efd,https://down-id.img.susercontent.com/file/id-11134258-8224q-mkvvibsp8oowa6,ADVAN Soulmate X Amd Athlon 3020e RAM16GB SSD512GB Windows 11 Original,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,3.549.000,,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,1RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,Pilih Lokal,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,"ADVAN Soulmate X Amd Athlon 3020e RAM16GB SSD512GB Windows 11 Original
Rp
3.549.000
Pilih Lokal
4.9
1RB+ Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/ADVAN-Soulmate-X-Amd-Athlon-3020e-RAM16GB-SSD512GB-Windows-11-Original-i.32829345.20680689826?extraParams=%7B%22display_model_id%22%3A260188664700%2C%22model_selection_logic%22%3A3%7D&sp_atk=5bfe7d7e-0927-41b4-a8dc-5a5d1fe0c00f&xptdk=5bfe7d7e-0927-41b4-a8dc-5a5d1fe0c00f
https://down-id.img.susercontent.com/file/id-11134207-7rbk7-m9jnsfc6ym0r29,https://down-id.img.susercontent.com/file/id-11134258-8224q-mkvvibsp8oowa6,"ADVAN Laptop Workplus Heritage Ryzen 5 7535HS | 16GB/1TB | Desain Eksklusif Batik Megamendung |  14"" IPS Full HD Plus WUXGA 1920x1200 Display 16:10 | 1.55 KG Weigth | Windows 11 | Garansi Resmi 2 Tahun",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,7.699.000,-30%,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,1RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Semarang,Pilih Lokal,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,,"ADVAN Laptop Workplus Heritage Ryzen 5 7535HS | 16GB/1TB | Desain Eksklusif Batik Megamendung | 14"" IPS Full HD Plus WUXGA 1920x1200 Display 16:10 | 1.55 KG Weigth | Windows 11 | Garansi Resmi 2 Tahun
Rp
7.699.000
-30%
Pilih Lokal
4.9
1RB+ Terjual
3-4 Hari
Semarang",https://shopee.co.id/ADVAN-Laptop-Workplus-Heritage-Ryzen-5-7535HS-16GB-1TB-Desain-Eksklusif-Batik-Megamendung-14-IPS-Full-HD-Plus-WUXGA-1920x1200-Display-16-10-1.55-KG-Weigth-Windows-11-Garansi-Resmi-2-Tahun-i.919692407.27885387223?extraParams=%7B%22display_model_id%22%3A186048778351%2C%22model_selection_logic%22%3A3%7D&sp_atk=b2f0966c-6799-47d3-87db-ac83de889147&xptdk=b2f0966c-6799-47d3-87db-ac83de889147
https://down-id.img.susercontent.com/file/id-11134207-82252-mjo8azgyt1qc42,https://down-id.img.susercontent.com/file/id-11134258-8224q-mkvvibsp8oowa6,Advan Soulmate X Amd 3020e RAM16GB SSD512GB 14'' HD Windows 11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,3.549.000,,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,1RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,Pilih Lokal,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,"Advan Soulmate X Amd 3020e RAM16GB SSD512GB 14'' HD Windows 11
Rp
3.549.000
Pilih Lokal
4.9
1RB+ Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Advan-Soulmate-X-Amd-3020e-RAM16GB-SSD512GB-14''-HD-Windows-11-i.186855095.22270594690?extraParams=%7B%22display_model_id%22%3A286814674200%2C%22model_selection_logic%22%3A3%7D&sp_atk=8e3eee99-dbb2-449d-afc4-b37aecb93977&xptdk=8e3eee99-dbb2-449d-afc4-b37aecb93977
https://down-id.img.susercontent.com/file/id-11134207-822wi-mmm04mo1hrsx75,https://down-id.img.susercontent.com/file/id-11134258-8224q-mkvvibsp8oowa6,ADVAN Workpro Intel core i5 12450H RAM32GB SSD1TB 14'' Fhd Ips Windows 11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,7.099.000,,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,1RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,Pilih Lokal,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,"ADVAN Workpro Intel core i5 12450H RAM32GB SSD1TB 14'' Fhd Ips Windows 11
Rp
7.099.000
Pilih Lokal
4.9
1RB+ Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/ADVAN-Workpro-Intel-core-i5-12450H-RAM32GB-SSD1TB-14''-Fhd-Ips-Windows-11-i.186855095.20182930512?extraParams=%7B%22display_model_id%22%3A234369883020%2C%22model_selection_logic%22%3A3%7D&sp_atk=07f6b416-226b-489b-99a2-0c68345883de&xptdk=07f6b416-226b-489b-99a2-0c68345883de
https://down-id.img.susercontent.com/file/id-11134207-82250-mh2uyquzvt3hca,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ADVAN Laptop WorkMate | Intel i3-1215U | 14 Inch FHD+ 16:10 IPS | 8GB/256GB Upgradable | WIFI 5 | Free WIndows 11 | Garansi Resmi 1 Tahun,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,6.199.000,-23%,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,,"ADVAN Laptop WorkMate | Intel i3-1215U | 14 Inch FHD+ 16:10 IPS | 8GB/256GB Upgradable | WIFI 5 | Free WIndows 11 | Garansi Resmi 1 Tahun
Rp
6.199.000
-23%
4.9
3RB+ Terjual
3-5 Hari
Kab. Tangerang",https://shopee.co.id/ADVAN-Laptop-WorkMate-Intel-i3-1215U-14-Inch-FHD-16-10-IPS-8GB-256GB-Upgradable-WIFI-5-Free-WIndows-11-Garansi-Resmi-1-Tahun-i.919692407.26869436951?extraParams=%7B%22display_model_id%22%3A262149319867%2C%22model_selection_logic%22%3A3%7D&sp_atk=25ab6121-df3d-4397-ae11-81066c6b5afd&xptdk=25ab6121-df3d-4397-ae11-81066c6b5afd
https://down-id.img.susercontent.com/file/id-11134207-7ra0l-md1vl4vras3cbf,https://down-id.img.susercontent.com/file/id-11134258-8224q-mkvvibsp8oowa6,ADVAN Workmate AMD RYZEN 5 3500U RAM32GB SSD1TB 14'' FHD+ IPS Windows 11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,5.549.000,,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,598 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,Pilih Lokal,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,"ADVAN Workmate AMD RYZEN 5 3500U RAM32GB SSD1TB 14'' FHD+ IPS Windows 11
Rp
5.549.000
Pilih Lokal
4.9
598 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/ADVAN-Workmate-AMD-RYZEN-5-3500U-RAM32GB-SSD1TB-14''-FHD-IPS-Windows-11-i.186855095.27210345844?extraParams=%7B%22display_model_id%22%3A241537065360%2C%22model_selection_logic%22%3A3%7D&sp_atk=868dcd2b-bf58-4796-a5c4-3be636b03a80&xptdk=868dcd2b-bf58-4796-a5c4-3be636b03a80
https://down-id.img.susercontent.com/file/id-11134207-7quky-lhyhrteukimz70,,LAPTOP ADVAN SOULMATE INTEL N4020 4GB 384GB WINDOWS,,Rp,3.650.000,,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,235 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 11:00,,"LAPTOP ADVAN SOULMATE INTEL N4020 4GB 384GB WINDOWS
Rp
3.650.000
5.0
235 Terjual
Besok 11:00
Surabaya",https://shopee.co.id/LAPTOP-ADVAN-SOULMATE-INTEL-N4020-4GB-384GB-WINDOWS-i.1058807.20889784508?extraParams=%7B%22display_model_id%22%3A165940862354%2C%22model_selection_logic%22%3A3%7D&sp_atk=aaf384e8-4007-4d85-aeed-a6345e9f5038&xptdk=aaf384e8-4007-4d85-aeed-a6345e9f5038
https://down-id.img.susercontent.com/file/id-11134207-7r98o-lkrwj8gyfmvj63,,LAPTOP ADVAN WORKPRO INTEL i5 1035G7 8GB 256SSD W11,,Rp,5.850.000,,4.8,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,32 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 11:00,,"LAPTOP ADVAN WORKPRO INTEL i5 1035G7 8GB 256SSD W11
Rp
5.850.000
4.8
32 Terjual
Besok 11:00
Surabaya",https://shopee.co.id/LAPTOP-ADVAN-WORKPRO-INTEL-i5-1035G7-8GB-256SSD-W11-i.1058807.21592241070?extraParams=%7B%22display_model_id%22%3A265172139610%2C%22model_selection_logic%22%3A3%7D&sp_atk=fa89a93c-3e2c-4272-914d-7f19d9e18803&xptdk=fa89a93c-3e2c-4272-914d-7f19d9e18803
