-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-shopee-primary,pointer-events-none,pointer-events-none_2,w-auto,text-white,pointer-events-none_3,align-middle,img,text-xs/sp14_2,text-shopee-green,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-8224y-mg4sqojkim177e,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ADVAN SOULMATE X2 AMD 3020 8GB 128GB Windows11 14.0 IPS,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,3.729.000,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,2 Terjual,,"ADVAN SOULMATE X2 AMD 3020 8GB 128GB Windows11 14.0 IPS
Rp
3.729.000
-1%
2 Terjual
Besok
Surabaya",https://shopee.co.id/ADVAN-SOULMATE-X2-AMD-3020-8GB-128GB-Windows11-14.0-IPS-i.1471949508.40875444816?extraParams=%7B%22display_model_id%22%3A410693503214%2C%22model_selection_logic%22%3A3%7D&sp_atk=dd9b2e42-c9cd-4886-b4a0-49e014ab777a&xptdk=dd9b2e42-c9cd-4886-b4a0-49e014ab777a
https://down-id.img.susercontent.com/file/id-11134207-8224z-mie5e70jigp215,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"ADVAN Laptop | Workmate R5 8GB 256GB Win11 14"" Laptop",,Rp,5.599.000,-15%,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,18 Terjual,,"ADVAN Laptop | Workmate R5 8GB 256GB Win11 14"" Laptop
Rp
5.599.000
-15%
5.0
18 Terjual
< 2 Hari
Jakarta Selatan",https://shopee.co.id/ADVAN-Laptop-Workmate-R5-8GB-256GB-Win11-14-Laptop-i.45695884.27039618166?extraParams=%7B%22display_model_id%22%3A375135948021%2C%22model_selection_logic%22%3A3%7D&sp_atk=8b1e1f83-29e9-4438-9422-17b8bd5ae16b&xptdk=8b1e1f83-29e9-4438-9422-17b8bd5ae16b
https://down-id.img.susercontent.com/file/id-11134207-82252-mgrgcsd4wx7122,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Advan Soulmate X2 AMD Athlon 3020e 8GB 128GB SSD 14Inch FHD Windows 11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,4.119.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,,,1 Terjual,,"Advan Soulmate X2 AMD Athlon 3020e 8GB 128GB SSD 14Inch FHD Windows 11
Rp
4.119.000
1 Terjual
1-3 Hari
Malang",https://shopee.co.id/Advan-Soulmate-X2-AMD-Athlon-3020e-8GB-128GB-SSD-14Inch-FHD-Windows-11-i.164898651.48900976798?extraParams=%7B%22display_model_id%22%3A435086282694%2C%22model_selection_logic%22%3A3%7D&sp_atk=4873ed36-63a4-40cb-a7e5-a8b620535b51&xptdk=4873ed36-63a4-40cb-a7e5-a8b620535b51
https://down-id.img.susercontent.com/file/id-11134207-822wu-mmzn7if0hmh4d6,,Intel N100 QuadCore Laptop Dual Slot Storage Rotasi 180 ADVAN T-BOOK 8/128,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,2.403.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Semarang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,,"Intel N100 QuadCore Laptop Dual Slot Storage Rotasi 180 ADVAN T-BOOK 8/128
Rp
2.403.000
< 2 Hari
Semarang",https://shopee.co.id/Intel-N100-QuadCore-Laptop-Dual-Slot-Storage-Rotasi-180-ADVAN-T-BOOK-8-128-i.1315466012.49258735954?extraParams=%7B%22display_model_id%22%3A380773609227%2C%22model_selection_logic%22%3A3%7D&sp_atk=ddd4f266-f7f2-45e1-a8af-fc583a8889a9&xptdk=ddd4f266-f7f2-45e1-a8af-fc583a8889a9
https://down-id.img.susercontent.com/file/id-11134207-7rbkd-ma89l8acd2m84e,https://down-id.img.susercontent.com/file/id-11134258-8224q-mkvvibsp8oowa6,Advan WorkPlus 14 Ryzen 5 16GB 512GB Win11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,5.799.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,35 Terjual,Pilih Lokal,"Advan WorkPlus 14 Ryzen 5 16GB 512GB Win11
Rp
5.799.000
Pilih Lokal
Hadiah Gratis
4.9
35 Terjual
< 2 Hari
Tangerang",https://shopee.co.id/Advan-WorkPlus-14-Ryzen-5-16GB-512GB-Win11-i.290474546.42402193976?extraParams=%7B%22display_model_id%22%3A248714898896%2C%22model_selection_logic%22%3A3%7D&sp_atk=19e83d9c-13a2-43db-8e21-3d91e417b4d5&xptdk=19e83d9c-13a2-43db-8e21-3d91e417b4d5
https://down-id.img.susercontent.com/file/id-11134207-7ra0q-mdbig0vjijh3ef,,ADVAN WORKMATE RYZEN 5 3500U 16GB 256SSD W11,,Rp,5.800.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 11:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,39 Terjual,,"ADVAN WORKMATE RYZEN 5 3500U 16GB 256SSD W11
Rp
5.800.000
5.0
39 Terjual
Besok 11:00
Surabaya",https://shopee.co.id/ADVAN-WORKMATE-RYZEN-5-3500U-16GB-256SSD-W11-i.1058807.25741607350?extraParams=%7B%22display_model_id%22%3A271036293377%2C%22model_selection_logic%22%3A3%7D&sp_atk=1de58d16-35c2-4f33-9b2e-e8ff5db56706&xptdk=1de58d16-35c2-4f33-9b2e-e8ff5db56706
https://down-id.img.susercontent.com/file/id-11134207-8224y-mkmlqva97pxi4b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Advan Workplus Heritage Ryzen 5 16GB 1TB IPS,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,7.349.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,216 Terjual,,"Advan Workplus Heritage Ryzen 5 16GB 1TB IPS
Rp
7.349.000
4.9
216 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Advan-Workplus-Heritage-Ryzen-5-16GB-1TB-IPS-i.32829345.23378795964?extraParams=%7B%22display_model_id%22%3A400557455382%2C%22model_selection_logic%22%3A3%7D&sp_atk=aa5325a1-3f3a-451a-a4e3-3b8dce98c2b0&xptdk=aa5325a1-3f3a-451a-a4e3-3b8dce98c2b0
https://down-id.img.susercontent.com/file/id-11134207-82250-mie20b4388hyd5,https://down-id.img.susercontent.com/file/id-11134258-822wp-mlyjp115kz5tc6,ADVAN Laptop WorkMate | AMD Ryzen 5 3500U / Intel i3-1215U | 14 Inch LIGHT BLUE,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,6.115.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jambi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,1 Terjual,Produk Baru,"ADVAN Laptop WorkMate | AMD Ryzen 5 3500U / Intel i3-1215U | 14 Inch LIGHT BLUE
Rp
6.115.000
Produk Baru
1 Terjual
< 2 Hari
Jambi",https://shopee.co.id/ADVAN-Laptop-WorkMate-AMD-Ryzen-5-3500U-Intel-i3-1215U-14-Inch-LIGHT-BLUE-i.348466600.42477344251?extraParams=%7B%22display_model_id%22%3A330317630342%2C%22model_selection_logic%22%3A3%7D&sp_atk=0d715265-48c8-4d09-8561-4c60a046f90d&xptdk=0d715265-48c8-4d09-8561-4c60a046f90d
https://down-id.img.susercontent.com/file/id-11134207-8224r-mhfyedzmrc3w62,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Advan Laptop WorkMate Ryzen 5 16GB 1TB SSD 14""",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,5.798.000,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bogor,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,39 Terjual,,"Advan Laptop WorkMate Ryzen 5 16GB 1TB SSD 14""
Rp
5.798.000
-1%
5.0
39 Terjual
< 2 Hari
Bogor",https://shopee.co.id/Advan-Laptop-WorkMate-Ryzen-5-16GB-1TB-SSD-14--i.757795871.20768130469?extraParams=%7B%22display_model_id%22%3A395163549112%2C%22model_selection_logic%22%3A3%7D&sp_atk=6bce6c66-7da9-4d0a-bb7a-4e192fc9480b&xptdk=6bce6c66-7da9-4d0a-bb7a-4e192fc9480b
https://down-id.img.susercontent.com/file/id-11134207-7ra0p-mdo2vmbiajymd9,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Advan 1405 AMD Ryzen 5 3500U Ram 16Gb Ssd NVMe 512Gb,,Rp,3.850.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,1 Terjual,Cicilan,"Advan 1405 AMD Ryzen 5 3500U Ram 16Gb Ssd NVMe 512Gb
Rp
3.850.000
Cicilan
1 Terjual
< 2 Hari
Malang",https://shopee.co.id/Advan-1405-AMD-Ryzen-5-3500U-Ram-16Gb-Ssd-NVMe-512Gb-i.44435356.10652856944?extraParams=%7B%22display_model_id%22%3A301176166551%2C%22model_selection_logic%22%3A3%7D&sp_atk=c50b97f6-3e04-484d-a1a2-d713e99a610d&xptdk=c50b97f6-3e04-484d-a1a2-d713e99a610d
