-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-shopee-primary,truncate,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,img,text-xs/sp14_3,text-xs_2,pointer-events-none_3,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-8224r-ml09cyp9a41xd2,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Laptop Advan Soulmate X2 Amd 3020E RAM 16GB 640GB SSD 14""FHD IPS Win11Home",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,3.499.000,-8%,Hadiah Gratis,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,,"Laptop Advan Soulmate X2 Amd 3020E RAM 16GB 640GB SSD 14""FHD IPS Win11Home
Rp
3.499.000
-8%
Hadiah Gratis
< 2 Hari
Bandung",https://shopee.co.id/Laptop-Advan-Soulmate-X2-Amd-3020E-RAM-16GB-640GB-SSD-14-FHD-IPS-Win11Home-i.300290440.48356342085?extraParams=%7B%22display_model_id%22%3A355571408944%2C%22model_selection_logic%22%3A3%7D&sp_atk=817499ab-8ed6-4273-b05f-d340df95f31d&xptdk=817499ab-8ed6-4273-b05f-d340df95f31d
https://down-id.img.susercontent.com/file/id-11134207-8224q-mkjez9n0nuv936,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Laptop Advan Workmate Core i3-1215U 8GB 256GB Win11 WUXGA IPS,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,5.800.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Palembang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,6 Terjual,,"Laptop Advan Workmate Core i3-1215U 8GB 256GB Win11 WUXGA IPS
Rp
5.800.000
5.0
6 Terjual
< 2 Hari
Palembang",https://shopee.co.id/Laptop-Advan-Workmate-Core-i3-1215U-8GB-256GB-Win11-WUXGA-IPS-i.148017040.25783781781?extraParams=%7B%22display_model_id%22%3A157388348772%2C%22model_selection_logic%22%3A3%7D&sp_atk=d337a363-0490-4094-9474-86e418f353c6&xptdk=d337a363-0490-4094-9474-86e418f353c6
https://down-id.img.susercontent.com/file/id-11134207-82251-mj8d7ewx5seda3,https://down-id.img.susercontent.com/file/id-11134258-8224q-mkvvibsp8oowa6,"Advan Heritage Ryzen 5 14"" IPS SSD 8GB 512GB",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,7.350.000,-8%,Pilih Lokal,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Kediri,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,35 Terjual,,"Advan Heritage Ryzen 5 14"" IPS SSD 8GB 512GB
Rp
7.350.000
-8%
Pilih Lokal
5.0
35 Terjual
2-3 Hari
Kab. Kediri",https://shopee.co.id/Advan-Heritage-Ryzen-5-14-IPS-SSD-8GB-512GB-i.12084313.23663630809?extraParams=%7B%22display_model_id%22%3A271178821285%2C%22model_selection_logic%22%3A3%7D&sp_atk=a7b4a8a9-767b-4cf2-8a18-2f14d80b946e&xptdk=a7b4a8a9-767b-4cf2-8a18-2f14d80b946e
https://down-id.img.susercontent.com/file/id-11134207-8224s-mgx5cc218y6gb6,https://down-id.img.susercontent.com/file/id-11134258-8224q-mkvvibsp8oowa6,"ADVAN SOULMATE Celeron N4020 4GB /8GB 128  Laptop 14"" HD WINDOWS 11 RESMI",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,4.099.000,,Pilih Lokal,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,112 Terjual,,"ADVAN SOULMATE Celeron N4020 4GB /8GB 128 Laptop 14"" HD WINDOWS 11 RESMI
Rp
4.099.000
Pilih Lokal
5.0
112 Terjual
< 2 Hari
Malang",https://shopee.co.id/ADVAN-SOULMATE-Celeron-N4020-4GB-8GB-128-Laptop-14-HD-WINDOWS-11-RESMI-i.291684613.18190799708?extraParams=%7B%22display_model_id%22%3A225433924052%2C%22model_selection_logic%22%3A3%7D&sp_atk=b4b39f8a-3179-4f70-a994-f78f2adc8eef&xptdk=b4b39f8a-3179-4f70-a994-f78f2adc8eef
https://down-id.img.susercontent.com/file/id-11134207-81ztm-mek115sl39jb8b,https://down-id.img.susercontent.com/file/id-11134258-8224q-mkvvibsp8oowa6,Advan T-Book 14 Intel N100 8GB 384GB SSD Win11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,4.298.000,-1%,Pilih Lokal,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang Selatan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,18 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"Advan T-Book 14 Intel N100 8GB 384GB SSD Win11
Rp
4.298.000
-1%
Pilih Lokal
Hadiah Gratis
5.0
18 Terjual
< 2 Hari
Tangerang Selatan",https://shopee.co.id/Advan-T-Book-14-Intel-N100-8GB-384GB-SSD-Win11-i.1407296337.41202136693?extraParams=%7B%22display_model_id%22%3A275710157120%2C%22model_selection_logic%22%3A3%7D&sp_atk=4b27fff1-43d5-48f7-a50e-5c908293cc67&xptdk=4b27fff1-43d5-48f7-a50e-5c908293cc67
https://down-id.img.susercontent.com/file/id-11134207-7r98z-llxeagz4swefbf,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Advan Laptop WorkPlus / WorkPlus Heritage 8/256 16/512Garansi Resmi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,7.469.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,61 Terjual,,"Advan Laptop WorkPlus / WorkPlus Heritage 8/256 16/512Garansi Resmi
Rp
7.469.000
5.0
61 Terjual
Besok 12:00
Surabaya",https://shopee.co.id/Advan-Laptop-WorkPlus-WorkPlus-Heritage-8-256-16-512Garansi-Resmi-i.41047020.23580999068?extraParams=%7B%22display_model_id%22%3A301494374691%2C%22model_selection_logic%22%3A3%7D&sp_atk=ce79e170-25c5-496a-99d9-4763f4462b60&xptdk=ce79e170-25c5-496a-99d9-4763f4462b60
https://down-id.img.susercontent.com/file/id-11134207-7rasj-m4a0dpike7x586,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Promo Laptop Advan Soulmate Intel N4020 14""",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,3.718.650,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 11:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Besok 11:00,,"Promo Laptop Advan Soulmate Intel N4020 14""
Rp
3.718.650
Besok 11:00
Surabaya",https://shopee.co.id/Promo-Laptop-Advan-Soulmate-Intel-N4020-14--i.7217222.26871917067?extraParams=%7B%22display_model_id%22%3A242354412881%2C%22model_selection_logic%22%3A3%7D&sp_atk=eeb03710-13d7-4792-af93-ea5e5208b492&xptdk=eeb03710-13d7-4792-af93-ea5e5208b492
https://down-id.img.susercontent.com/file/id-11134207-82250-mjjum06wamf978,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,"Advan Soulmate X 14"" IPS FHD AMD 3020e 8GB/128GB Upgradeable",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,3.650.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Banyuwangi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,11 Terjual,,"Advan Soulmate X 14"" IPS FHD AMD 3020e 8GB/128GB Upgradeable
Rp
3.650.000
5.0
11 Terjual
< 2 Hari
Kab. Banyuwangi",https://shopee.co.id/Advan-Soulmate-X-14-IPS-FHD-AMD-3020e-8GB-128GB-Upgradeable-i.19508006.27235394870?extraParams=%7B%22display_model_id%22%3A258982887540%2C%22model_selection_logic%22%3A3%7D&sp_atk=92383a9e-a9d7-4e3c-b44b-614d2177d726&xptdk=92383a9e-a9d7-4e3c-b44b-614d2177d726
https://down-id.img.susercontent.com/file/id-11134207-822wq-mn58vhdqq1hg4f,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Advan T-Book 14 1405 L24E-NSNS1 8GB 128GB HD Win11,,Rp,4.298.000,-1%,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"Advan T-Book 14 1405 L24E-NSNS1 8GB 128GB HD Win11
Rp
4.298.000
-1%
5.0
2 Terjual
< 2 Hari
Depok",https://shopee.co.id/Advan-T-Book-14-1405-L24E-NSNS1-8GB-128GB-HD-Win11-i.1127285855.43652391528?extraParams=%7B%22display_model_id%22%3A218765883393%2C%22model_selection_logic%22%3A3%7D&sp_atk=357eb2e4-b557-4f2d-b955-af00e4d86a2a&xptdk=357eb2e4-b557-4f2d-b955-af00e4d86a2a
https://down-id.img.susercontent.com/file/id-11134207-7rbk9-m9vfo5e82drk78,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Advan TBook 1405 Intel N100 Ram 16Gb 512Gb Windows 11,,Rp,2.500.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,,"Laptop Advan TBook 1405 Intel N100 Ram 16Gb 512Gb Windows 11
Rp
2.500.000
< 2 Hari
Malang",https://shopee.co.id/Laptop-Advan-TBook-1405-Intel-N100-Ram-16Gb-512Gb-Windows-11-i.79997666.29136581403?extraParams=%7B%22display_model_id%22%3A253419121177%2C%22model_selection_logic%22%3A3%7D&sp_atk=d1d487cf-5428-4b39-8afa-7984546271a0&xptdk=d1d487cf-5428-4b39-8afa-7984546271a0
