-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,inline-block,text-shopee-primary,pointer-events-none_3,truncate,img,text-xs/sp14_3,text-xs,text-white_2,text-white_2_link,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7r98t-lpbsdugbvwje43,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,ADVAN WORKPLUS AMD RYZEN 5 6600H 14” FHD IPS RAM 16GB SSD 512GB WIN 11 Garansi On Nota pembelian 24/04/2025,Rp,5.750.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Semarang,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=23062951053&shopid=1102209477,"ADVAN WORKPLUS AMD RYZEN 5 6600H 14” FHD IPS RAM 16GB SSD 512GB WIN 11 Garansi On Nota pembelian 24/04/2025
Rp
5.750.000
< 2 Hari
Semarang",https://shopee.co.id/ADVAN-WORKPLUS-AMD-RYZEN-5-6600H-14%E2%80%9D-FHD-IPS-RAM-16GB-SSD-512GB-WIN-11-Garansi-On-Nota-pembelian-24-04-2025-i.1102209477.23062951053?extraParams=%7B%22display_model_id%22%3A255097867616%2C%22model_selection_logic%22%3A3%7D&sp_atk=9f9af988-af16-4893-af92-bfd42d28c6c9&xptdk=9f9af988-af16-4893-af92-bfd42d28c6c9
https://down-id.img.susercontent.com/file/id-11134207-822wi-mn7civhxp62sa5,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,ADVAN TBOOK Intel N100 8GB/640GB SSD 14Inch W11 - Laptop Murah 3 Jutaan,Rp,3.698.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Hadiah Gratis,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,64 Terjual,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=43002170497&shopid=1305769617,"ADVAN TBOOK Intel N100 8GB/640GB SSD 14Inch W11 - Laptop Murah 3 Jutaan
Rp
3.698.000
-1%
Hadiah Gratis
5.0
64 Terjual
< 2 Hari
Kab. Tangerang",https://shopee.co.id/ADVAN-TBOOK-Intel-N100-8GB-640GB-SSD-14Inch-W11-Laptop-Murah-3-Jutaan-i.1305769617.43002170497?extraParams=%7B%22display_model_id%22%3A335746522805%2C%22model_selection_logic%22%3A3%7D&sp_atk=da2e9dd8-be86-4c8d-8bf6-9cac3108f8f8&xptdk=da2e9dd8-be86-4c8d-8bf6-9cac3108f8f8
https://down-id.img.susercontent.com/file/id-11134207-8224w-mkxjey2at9mqdb,https://down-id.img.susercontent.com/file/id-11134258-8224q-mkvvibsp8oowa6,Laptop Advan Workplus Heritage Batik Ryzen 5 7535HS 8GB 512GB Win 11 14.0 WUXGA IPS,Rp,7.510.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,-35%,,Pilih Lokal,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,31 Terjual,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=29876435765&shopid=1274014683,"Laptop Advan Workplus Heritage Batik Ryzen 5 7535HS 8GB 512GB Win 11 14.0 WUXGA IPS
Rp
7.510.000
-35%
Pilih Lokal
5.0
31 Terjual
< 2 Hari
Depok",https://shopee.co.id/Laptop-Advan-Workplus-Heritage-Batik-Ryzen-5-7535HS-8GB-512GB-Win-11-14.0-WUXGA-IPS-i.1274014683.29876435765?extraParams=%7B%22display_model_id%22%3A234653882849%2C%22model_selection_logic%22%3A3%7D&sp_atk=bdc03f27-0a51-49a9-b23c-4ac25a14fffc&xptdk=bdc03f27-0a51-49a9-b23c-4ac25a14fffc
https://down-id.img.susercontent.com/file/id-11134207-8224v-mj9jmiesw2ddf2,https://down-id.img.susercontent.com/file/id-11134258-822wk-mlx5wnmfz7k3dd,Advan Workmate Ryzen 5 16GB 512GB SSD Windows 11,Rp,5.683.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,Pilih Lokal,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,8 Terjual,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=24541652403&shopid=217781231,"Advan Workmate Ryzen 5 16GB 512GB SSD Windows 11
Rp
5.683.000
Pilih Lokal
5.0
8 Terjual
< 2 Hari
Jakarta Selatan",https://shopee.co.id/Advan-Workmate-Ryzen-5-16GB-512GB-SSD-Windows-11-i.217781231.24541652403?extraParams=%7B%22display_model_id%22%3A138222172786%2C%22model_selection_logic%22%3A3%7D&sp_atk=8514b336-7c2f-444f-befb-55a51d9ae073&xptdk=8514b336-7c2f-444f-befb-55a51d9ae073
https://down-id.img.susercontent.com/file/id-11134207-7rbkc-ma2nknndc5y520,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Advan Workpro i5 12450H 14'' FHD IPS 8GB 512GB Win 11,Rp,6.999.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,15 Terjual,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=26201357360&shopid=269392542,"Advan Workpro i5 12450H 14'' FHD IPS 8GB 512GB Win 11
Rp
6.999.000
4.9
15 Terjual
< 2 Hari
Tangerang",https://shopee.co.id/Advan-Workpro-i5-12450H-14''-FHD-IPS-8GB-512GB-Win-11-i.269392542.26201357360?extraParams=%7B%22display_model_id%22%3A226388210863%2C%22model_selection_logic%22%3A3%7D&sp_atk=8138a356-fa67-425a-b1d1-4134b97f4640&xptdk=8138a356-fa67-425a-b1d1-4134b97f4640
https://down-id.img.susercontent.com/file/id-11134207-8224o-mil16p7llgjo1b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"ADVAN Soulmate X AMD 3020e  8GB/128GB 14""FHD IPS Win11 LAPTOP NOTEBOOK",Rp,3.950.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandar Lampung,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.5,7 Terjual,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=26211935283&shopid=41442889,"ADVAN Soulmate X AMD 3020e 8GB/128GB 14""FHD IPS Win11 LAPTOP NOTEBOOK
Rp
3.950.000
4.5
7 Terjual
< 2 Hari
Bandar Lampung",https://shopee.co.id/ADVAN-Soulmate-X-AMD-3020e-8GB-128GB-14-FHD-IPS-Win11-LAPTOP-NOTEBOOK-i.41442889.26211935283?extraParams=%7B%22display_model_id%22%3A292276760243%2C%22model_selection_logic%22%3A3%7D&sp_atk=2f871989-25df-4148-b66a-b8b12cebe48c&xptdk=2f871989-25df-4148-b66a-b8b12cebe48c
https://down-id.img.susercontent.com/file/id-11134207-7r98u-lzlef598tpgged,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Advan Soulmate Intel N4020 ram 8GB ssd 128GB 14"" HD Windows 11",Rp,4.669.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Makassar,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,68 Terjual,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=22738996858&shopid=125813652,"Advan Soulmate Intel N4020 ram 8GB ssd 128GB 14"" HD Windows 11
Rp
4.669.000
4.8
68 Terjual
< 2 Hari
Makassar",https://shopee.co.id/Advan-Soulmate-Intel-N4020-ram-8GB-ssd-128GB-14-HD-Windows-11-i.125813652.22738996858?extraParams=%7B%22display_model_id%22%3A307217662243%2C%22model_selection_logic%22%3A3%7D&sp_atk=f863519d-f58f-4312-98d6-36293448b441&xptdk=f863519d-f58f-4312-98d6-36293448b441
https://down-id.img.susercontent.com/file/id-11134207-7rasi-m2c7f894srjo87,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Advan Tbook T Book 1 Intel N100 4Gb/128GB 14 HD Free Windows 11 Home,Rp,3.650.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Yogyakarta,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=29207112023&shopid=259775845,"Advan Tbook T Book 1 Intel N100 4Gb/128GB 14 HD Free Windows 11 Home
Rp
3.650.000
5.0
1 Terjual
< 2 Hari
Yogyakarta",https://shopee.co.id/Advan-Tbook-T-Book-1-Intel-N100-4Gb-128GB-14-HD-Free-Windows-11-Home-i.259775845.29207112023?extraParams=%7B%22display_model_id%22%3A246326045386%2C%22model_selection_logic%22%3A3%7D&sp_atk=548b1d22-af34-4abc-8068-6870e7c41667&xptdk=548b1d22-af34-4abc-8068-6870e7c41667
https://down-id.img.susercontent.com/file/id-11134207-7rbke-m75v7nkvx2gd89,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Advan Soulmate Intel N4020 14 Inch HD Notebook,Rp,3.150.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Cirebon,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,14 Terjual,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=20076172554&shopid=481116800,"Advan Soulmate Intel N4020 14 Inch HD Notebook
Rp
3.150.000
5.0
14 Terjual
< 2 Hari
Cirebon",https://shopee.co.id/Advan-Soulmate-Intel-N4020-14-Inch-HD-Notebook-i.481116800.20076172554?extraParams=%7B%22display_model_id%22%3A168767035222%2C%22model_selection_logic%22%3A3%7D&sp_atk=2f8dac9e-a595-4dc3-9785-d2b9873f3f15&xptdk=2f8dac9e-a595-4dc3-9785-d2b9873f3f15
https://down-id.img.susercontent.com/file/id-11134207-8224p-ml3dsuo48r9e91,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Advan Workplus Heritage Amd Ryzen 5-7535Hs 8Gb 512Gb 14 Inch Wuxga W11,Rp,8.299.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,10 Terjual,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=44302011873&shopid=437285338,"Advan Workplus Heritage Amd Ryzen 5-7535Hs 8Gb 512Gb 14 Inch Wuxga W11
Rp
8.299.000
5.0
10 Terjual
Besok 12:00
Surabaya",https://shopee.co.id/Advan-Workplus-Heritage-Amd-Ryzen-5-7535Hs-8Gb-512Gb-14-Inch-Wuxga-W11-i.437285338.44302011873?extraParams=%7B%22display_model_id%22%3A265165650940%2C%22model_selection_logic%22%3A3%7D&sp_atk=e49f769c-8ebe-42ff-9296-79e2ad210d8f&xptdk=e49f769c-8ebe-42ff-9296-79e2ad210d8f
