-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,text-shopee-green,truncate,img,text-xs/sp14_2,text-shopee-primary,pointer-events-none_3,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-822wk-mn2q0anmp0cmde,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Laptop Advan Tbook 1405 Transformer, 1405, 1.33Kg, Like New, Mulus, Fullset, Silver",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,2.400.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,< 2 Hari,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,"Laptop Advan Tbook 1405 Transformer, 1405, 1.33Kg, Like New, Mulus, Fullset, Silver
Rp
2.400.000
< 2 Hari
Jakarta Barat",https://shopee.co.id/Laptop-Advan-Tbook-1405-Transformer-1405-1.33Kg-Like-New-Mulus-Fullset-Silver-i.953200515.49508901662?extraParams=%7B%22display_model_id%22%3A425787614899%2C%22model_selection_logic%22%3A3%7D&sp_atk=018292c9-498e-472c-a78c-bd71e96be9e1&xptdk=018292c9-498e-472c-a78c-bd71e96be9e1
https://down-id.img.susercontent.com/file/id-11134207-7rasi-m2qp5mol3xmnb7,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,ADVAN WORKPLUS CORE i5 GEN 10 RAM 8GB SSD 256GB SECOND/BEKAS,,Rp,5.665.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,,,,,"ADVAN WORKPLUS CORE i5 GEN 10 RAM 8GB SSD 256GB SECOND/BEKAS
Rp
5.665.000
Jakarta Utara",https://shopee.co.id/ADVAN-WORKPLUS-CORE-i5-GEN-10-RAM-8GB-SSD-256GB-SECOND-BEKAS-i.939372100.26867975275?extraParams=%7B%22display_model_id%22%3A109323336006%2C%22model_selection_logic%22%3A3%7D&sp_atk=21d207e3-71c2-4e5a-8f5a-5cc0171c7f4b&xptdk=21d207e3-71c2-4e5a-8f5a-5cc0171c7f4b
https://down-id.img.susercontent.com/file/id-11134207-7ra0n-mbt4hs3wl2500a,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Advan U3-23125 Laptop Casing Mesin Tanpa LCD RAM SSD,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,300.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,< 2 Hari,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,"Advan U3-23125 Laptop Casing Mesin Tanpa LCD RAM SSD
Rp
300.000
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Advan-U3-23125-Laptop-Casing-Mesin-Tanpa-LCD-RAM-SSD-i.190867081.26438371061?extraParams=%7B%22display_model_id%22%3A305628303413%2C%22model_selection_logic%22%3A3%7D&sp_atk=5776d924-d8e5-4809-901d-eb7145e0a47e&xptdk=5776d924-d8e5-4809-901d-eb7145e0a47e
https://down-id.img.susercontent.com/file/id-11134207-7rasf-m59prk0282vxd2,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop ADVAN G4i Intel core i3 DDR3 kondisi matot tidak ada Hardisk & Charger,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,350.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,3-4 Hari,,,,,,"Laptop ADVAN G4i Intel core i3 DDR3 kondisi matot tidak ada Hardisk & Charger
Rp
350.000
3-4 Hari
Kab. Cirebon",https://shopee.co.id/Laptop-ADVAN-G4i-Intel-core-i3-DDR3-kondisi-matot-tidak-ada-Hardisk-Charger-i.1022860192.29874128789?extraParams=%7B%22display_model_id%22%3A198166148629%2C%22model_selection_logic%22%3A3%7D&sp_atk=7489c2ff-092c-4dfa-9fbd-98e41791ab1e&xptdk=7489c2ff-092c-4dfa-9fbd-98e41791ab1e
https://down-id.img.susercontent.com/file/id-11134207-7rask-m4x4sdhdfmy02f,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,ADVAN WORKPLUS CORE i5 GEN 10 RAM 8GB SSD 256GB SECOND/BEKAS,,Rp,7.855.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,4-8 Hari,,,,,,"ADVAN WORKPLUS CORE i5 GEN 10 RAM 8GB SSD 256GB SECOND/BEKAS
Rp
7.855.000
4-8 Hari
Jakarta Utara",https://shopee.co.id/ADVAN-WORKPLUS-CORE-i5-GEN-10-RAM-8GB-SSD-256GB-SECOND-BEKAS-i.939372100.29773313827?extraParams=%7B%22display_model_id%22%3A227266088156%2C%22model_selection_logic%22%3A3%7D&sp_atk=e567d46b-ef38-420a-90e6-8ffbf8505029&xptdk=e567d46b-ef38-420a-90e6-8ffbf8505029
https://down-id.img.susercontent.com/file/be957039d55759b3d7a1c944a768af3a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Advan Vanbook P3N-41125 Coklat Motif 14 inch RAM 2GB HDD 320GB Second,,Rp,1.000.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Indramayu,1 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,"Advan Vanbook P3N-41125 Coklat Motif 14 inch RAM 2GB HDD 320GB Second
Rp
1.000.000
1 Terjual
< 2 Hari
Kab. Indramayu",https://shopee.co.id/Advan-Vanbook-P3N-41125-Coklat-Motif-14-inch-RAM-2GB-HDD-320GB-Second-i.49656833.15072547625?extraParams=%7B%22display_model_id%22%3A48616801160%2C%22model_selection_logic%22%3A3%7D&sp_atk=ff33fe84-1907-4394-9713-f306af68025d&xptdk=ff33fe84-1907-4394-9713-f306af68025d
https://down-id.img.susercontent.com/file/4773c622c8c3b888a1f506dc13e280aa,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Advan Vanbook Pin 46132 Merah RAM 2GB windows 7 Netbook Second 10 inch,,Rp,900.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Indramayu,< 2 Hari,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,"Advan Vanbook Pin 46132 Merah RAM 2GB windows 7 Netbook Second 10 inch
Rp
900.000
< 2 Hari
Kab. Indramayu",https://shopee.co.id/Advan-Vanbook-Pin-46132-Merah-RAM-2GB-windows-7-Netbook-Second-10-inch-i.49656833.14349367719?extraParams=%7B%22display_model_id%22%3A134079130122%2C%22model_selection_logic%22%3A3%7D&sp_atk=3754cc39-9af2-470b-9474-4c8137deba94&xptdk=3754cc39-9af2-470b-9474-4c8137deba94
https://down-id.img.susercontent.com/file/id-11134207-81ztk-mf8hu5rx4g7efd,https://down-id.img.susercontent.com/file/id-11134258-8224q-mkvvibsp8oowa6,ADVAN Soulmate X Amd Athlon 3020e RAM16GB SSD512GB Windows 11 Original,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,3.549.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,1RB+ Terjual,Pilih Lokal,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,,,"ADVAN Soulmate X Amd Athlon 3020e RAM16GB SSD512GB Windows 11 Original
Rp
3.549.000
Pilih Lokal
4.9
1RB+ Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/ADVAN-Soulmate-X-Amd-Athlon-3020e-RAM16GB-SSD512GB-Windows-11-Original-i.32829345.20680689826?extraParams=%7B%22display_model_id%22%3A260188664700%2C%22model_selection_logic%22%3A3%7D&sp_atk=70444af2-8e64-4cee-a335-082417b996f2&xptdk=70444af2-8e64-4cee-a335-082417b996f2
https://down-id.img.susercontent.com/file/id-11134207-7r98o-lkrwj8gyfmvj63,,LAPTOP ADVAN WORKPRO INTEL i5 1035G7 8GB 256SSD W11,,Rp,5.850.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 11:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,32 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,,,"LAPTOP ADVAN WORKPRO INTEL i5 1035G7 8GB 256SSD W11
Rp
5.850.000
4.8
32 Terjual
Besok 11:00
Surabaya",https://shopee.co.id/LAPTOP-ADVAN-WORKPRO-INTEL-i5-1035G7-8GB-256SSD-W11-i.1058807.21592241070?extraParams=%7B%22display_model_id%22%3A265172139610%2C%22model_selection_logic%22%3A3%7D&sp_atk=76476883-9490-4d86-8ad7-4e532862e1da&xptdk=76476883-9490-4d86-8ad7-4e532862e1da
https://down-id.img.susercontent.com/file/id-11134207-822wi-mmm04mo1hrsx75,https://down-id.img.susercontent.com/file/id-11134258-8224q-mkvvibsp8oowa6,ADVAN Workpro Intel core i5 12450H RAM32GB SSD1TB 14'' Fhd Ips Windows 11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,7.099.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,1RB+ Terjual,Pilih Lokal,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,,,"ADVAN Workpro Intel core i5 12450H RAM32GB SSD1TB 14'' Fhd Ips Windows 11
Rp
7.099.000
Pilih Lokal
4.9
1RB+ Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/ADVAN-Workpro-Intel-core-i5-12450H-RAM32GB-SSD1TB-14''-Fhd-Ips-Windows-11-i.186855095.20182930512?extraParams=%7B%22display_model_id%22%3A234369883020%2C%22model_selection_logic%22%3A3%7D&sp_atk=2bb14504-d0f6-45ba-915b-7adea800bc74&xptdk=2bb14504-d0f6-45ba-915b-7adea800bc74
