-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,truncate,img,text-xs/sp14_2,text-xs,pointer-events-none,align-middle,text-shopee-primary,pointer-events-none_2,pointer-events-none_3,w-auto,text-white,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-8224x-mjcixwq04cg48c,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,IBOX APPLE MACBOOK AIR 13 M4 10C GPU 16GB 512GB 10C CPU,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,20.655.000,Produk Baru,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Batam,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,,,"IBOX APPLE MACBOOK AIR 13 M4 10C GPU 16GB 512GB 10C CPU
Rp
20.655.000
Produk Baru
5.0
1 Terjual
Batam",https://shopee.co.id/IBOX-APPLE-MACBOOK-AIR-13-M4-10C-GPU-16GB-512GB-10C-CPU-i.1534007650.50254458997?extraParams=%7B%22display_model_id%22%3A395417677315%2C%22model_selection_logic%22%3A3%7D&sp_atk=28f49984-d4df-471d-add9-27d41f5da1b1&xptdk=28f49984-d4df-471d-add9-27d41f5da1b1
https://down-id.img.susercontent.com/file/id-11134207-8224t-mjqvic2y5qmba4,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Macbook Air Pro M3 M4 8/16GB 256GB SSD Retina,,Rp,10.579.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,10 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sleman,-34%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,"Macbook Air Pro M3 M4 8/16GB 256GB SSD Retina
Rp
10.579.000
-34%
5.0
10 Terjual
< 2 Hari
Kab. Sleman",https://shopee.co.id/Macbook-Air-Pro-M3-M4-8-16GB-256GB-SSD-Retina-i.27687459.11734313002?extraParams=%7B%22display_model_id%22%3A258598632559%2C%22model_selection_logic%22%3A3%7D&sp_atk=df04c94c-e234-40b7-b063-4a743808fe45&xptdk=df04c94c-e234-40b7-b063-4a743808fe45
https://down-id.img.susercontent.com/file/id-11134207-822wk-mms93ruowpab8d,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"New Macbook Neo 13-inch chip A18 Pro, Ram 8GB, SSD 256GB - Garansi 1 Tahun",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,14.700.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,"New Macbook Neo 13-inch chip A18 Pro, Ram 8GB, SSD 256GB - Garansi 1 Tahun
Rp
14.700.000
5.0
1 Terjual
< 2 Hari
Jakarta Timur",https://shopee.co.id/New-Macbook-Neo-13-inch-chip-A18-Pro-Ram-8GB-SSD-256GB-Garansi-1-Tahun-i.180134181.40159285331?extraParams=%7B%22display_model_id%22%3A262514019290%2C%22model_selection_logic%22%3A3%7D&sp_atk=40ec1637-1190-4ada-bbdc-76664dd926e1&xptdk=40ec1637-1190-4ada-bbdc-76664dd926e1
https://down-id.img.susercontent.com/file/id-11134207-7ra0j-md9up0v47kfb6f,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"MacBook Air M3 13"" 16GB 256GB 2023 Garansi Resmi",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,17.279.000,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,-9%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,"MacBook Air M3 13"" 16GB 256GB 2023 Garansi Resmi
Rp
17.279.000
-9%
Cicilan
5.0
2 Terjual
< 2 Hari
Malang",https://shopee.co.id/MacBook-Air-M3-13-16GB-256GB-2023-Garansi-Resmi-i.324462083.3460553049?extraParams=%7B%22display_model_id%22%3A159247792210%2C%22model_selection_logic%22%3A3%7D&sp_atk=68543ab2-6c0a-43bc-8d3b-f1aab704d452&xptdk=68543ab2-6c0a-43bc-8d3b-f1aab704d452
https://down-id.img.susercontent.com/file/id-11134207-822wl-mmvig3kelced6b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Apple MacBook Pro (16 inci, M3 Pro) 36 GB/512 GB",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,47.499.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bekasi,-7%,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,"Apple MacBook Pro (16 inci, M3 Pro) 36 GB/512 GB
Rp
47.499.000
-7%
< 2 Hari
Bekasi",https://shopee.co.id/Apple-MacBook-Pro-(16-inci-M3-Pro)-36-GB-512-GB-i.1269032741.29301578844?extraParams=%7B%22display_model_id%22%3A246085225117%2C%22model_selection_logic%22%3A3%7D&sp_atk=a225b769-55f2-4ebd-a28c-5d6e23711261&xptdk=a225b769-55f2-4ebd-a28c-5d6e23711261
https://down-id.img.susercontent.com/file/id-11134207-7rasj-m1s8861op4yn1b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Macbook Pro 2015 13inch 15Inch Core i5 i7 Ram 8/256GB Termurah Original,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.490.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,17 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,-73%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,"Macbook Pro 2015 13inch 15Inch Core i5 i7 Ram 8/256GB Termurah Original
Rp
1.490.000
-73%
5.0
17 Terjual
< 2 Hari
Malang",https://shopee.co.id/Macbook-Pro-2015-13inch-15Inch-Core-i5-i7-Ram-8-256GB-Termurah-Original-i.324462083.13275236229?extraParams=%7B%22display_model_id%22%3A315773873024%2C%22model_selection_logic%22%3A3%7D&sp_atk=5902fcf5-8448-4375-882b-3827d6426299&xptdk=5902fcf5-8448-4375-882b-3827d6426299
https://down-id.img.susercontent.com/file/id-11134207-81ztf-mfc7jy3c6l1k25,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Apple MacBook Air M1 8GB RAM 256GB SSD MGN63 13.3 Inch Retina Display,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,9.098.001,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,16 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,-11%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,"Apple MacBook Air M1 8GB RAM 256GB SSD MGN63 13.3 Inch Retina Display
Rp
9.098.001
-11%
5.0
16 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Apple-MacBook-Air-M1-8GB-RAM-256GB-SSD-MGN63-13.3-Inch-Retina-Display-i.1614564259.41122646694?extraParams=%7B%22display_model_id%22%3A340646134321%2C%22model_selection_logic%22%3A3%7D&sp_atk=5c632e9c-1564-4f05-b62a-147e1139f928&xptdk=5c632e9c-1564-4f05-b62a-147e1139f928
https://down-id.img.susercontent.com/file/id-11134207-822wu-mlg7d4b13ytk86,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Apple Macbook Air 3 MGN63 M1 8GB 256GB 13.3 Space Grey,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,9.100.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bogor,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,"Apple Macbook Air 3 MGN63 M1 8GB 256GB 13.3 Space Grey
Rp
9.100.000
< 2 Hari
Bogor",https://shopee.co.id/Apple-Macbook-Air-3-MGN63-M1-8GB-256GB-13.3-Space-Grey-i.1415162945.50854961403?extraParams=%7B%22display_model_id%22%3A435458003862%2C%22model_selection_logic%22%3A3%7D&sp_atk=70066600-208e-415a-98f1-c2aaf21fd569&xptdk=70066600-208e-415a-98f1-c2aaf21fd569
https://down-id.img.susercontent.com/file/id-11134207-7r98z-lleil1dun6duab,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"MacBook Air M2, M3, DAN M4 2025",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,10.700.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,62 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,"MacBook Air M2, M3, DAN M4 2025
Rp
10.700.000
5.0
62 Terjual
< 2 Hari
Jakarta Selatan",https://shopee.co.id/MacBook-Air-M2-M3-DAN-M4-2025-i.936566473.11899897612?extraParams=%7B%22display_model_id%22%3A375600010171%2C%22model_selection_logic%22%3A3%7D&sp_atk=815e9a7d-8b70-4187-984c-6e0022d8f859&xptdk=815e9a7d-8b70-4187-984c-6e0022d8f859
https://down-id.img.susercontent.com/file/id-11134207-7ras9-m1s8up6vsxwxe4,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Macbook Pro Retina 2020 13"" i5 8GB 256GB Original",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,6.639.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,28 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,-30%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,"Macbook Pro Retina 2020 13"" i5 8GB 256GB Original
Rp
6.639.000
-30%
5.0
28 Terjual
< 2 Hari
Malang",https://shopee.co.id/Macbook-Pro-Retina-2020-13-i5-8GB-256GB-Original-i.324462083.15095520909?extraParams=%7B%22display_model_id%22%3A325596371733%2C%22model_selection_logic%22%3A3%7D&sp_atk=6fb11f1e-23d5-4902-b296-b91a7a08889e&xptdk=6fb11f1e-23d5-4902-b296-b91a7a08889e
