-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-xs/sp14_2,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,text-shopee-primary,pointer-events-none_3,text-shopee-green,truncate,img_2,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-8224s-mgn85zfo17gq8e,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Apple Macbook Air Retina 2020 13 inch M1 Core i3 i5 i7 M1,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,8.399.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Pekanbaru,,,3 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Apple Macbook Air Retina 2020 13 inch M1 Core i3 i5 i7 M1
Rp
8.399.000
5.0
3 Terjual
< 2 Hari
Pekanbaru",https://shopee.co.id/Apple-Macbook-Air-Retina-2020-13-inch-M1-Core-i3-i5-i7-M1-i.8739465.22353897356?extraParams=%7B%22display_model_id%22%3A425738643068%2C%22model_selection_logic%22%3A3%7D&sp_atk=e5e9b322-6f20-4845-b20a-b8115a2d99c0&xptdk=e5e9b322-6f20-4845-b20a-b8115a2d99c0
https://down-id.img.susercontent.com/file/id-11134207-822wp-mn2vra62bz0j26,,Macbook Pro Touch Bar 13 15 16 2016 2017 2018 2019 2020,,Rp,8.132.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surakarta (Solo),,,6 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Macbook Pro Touch Bar 13 15 16 2016 2017 2018 2019 2020
Rp
8.132.000
5.0
6 Terjual
< 2 Hari
Surakarta (Solo)",https://shopee.co.id/Macbook-Pro-Touch-Bar-13-15-16-2016-2017-2018-2019-2020-i.1691758562.53858059613?extraParams=%7B%22display_model_id%22%3A262559814056%2C%22model_selection_logic%22%3A3%7D&sp_atk=7a7d521a-1eb1-4ca3-b303-b208aa5740ee&xptdk=7a7d521a-1eb1-4ca3-b303-b208aa5740ee
https://down-id.img.susercontent.com/file/id-11134207-822wi-mn7fiigdxon695,,Macbook Air Retina 2018 2019 2020 M1,,Rp,3.745.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surakarta (Solo),,,12 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Macbook Air Retina 2018 2019 2020 M1
Rp
3.745.000
5.0
12 Terjual
< 2 Hari
Surakarta (Solo)",https://shopee.co.id/Macbook-Air-Retina-2018-2019-2020-M1-i.1691758562.28444488574?extraParams=%7B%22display_model_id%22%3A390826576979%2C%22model_selection_logic%22%3A3%7D&sp_atk=a88800ff-019f-4dfd-90d7-28148692185f&xptdk=a88800ff-019f-4dfd-90d7-28148692185f
https://down-id.img.susercontent.com/file/id-11134207-7r98p-lnph0ceusora61,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Macbook Air 2018 13"" Dual Core i5 16/512GB Retina",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,4.979.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,-48%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,63 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Macbook Air 2018 13"" Dual Core i5 16/512GB Retina
Rp
4.979.000
-48%
5.0
63 Terjual
< 2 Hari
Jakarta Selatan",https://shopee.co.id/Macbook-Air-2018-13-Dual-Core-i5-16-512GB-Retina-i.28367850.19361804890?extraParams=%7B%22display_model_id%22%3A213481714810%2C%22model_selection_logic%22%3A3%7D&sp_atk=8807dee3-030a-4318-a8f0-837a115e9ff8&xptdk=8807dee3-030a-4318-a8f0-837a115e9ff8
https://down-id.img.susercontent.com/file/id-11134207-822wg-mn48bj1z670g41,,Macbook Air M2 M3 M4 Neo,,Rp,13.696.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surakarta (Solo),,,11 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Macbook Air M2 M3 M4 Neo
Rp
13.696.000
5.0
11 Terjual
< 2 Hari
Surakarta (Solo)",https://shopee.co.id/Macbook-Air-M2-M3-M4-Neo-i.1691758562.44958074499?extraParams=%7B%22display_model_id%22%3A148009786803%2C%22model_selection_logic%22%3A3%7D&sp_atk=d8539709-c97b-4225-9eb6-a9711893982e&xptdk=d8539709-c97b-4225-9eb6-a9711893982e
https://down-id.img.susercontent.com/file/id-11134207-7rasd-m2m7eumqo54v6a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"MacBook Air 2020 13"" Intel Quad Core i7 16/512GB Retina",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,5.679.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,-19%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,60 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"MacBook Air 2020 13"" Intel Quad Core i7 16/512GB Retina
Rp
5.679.000
-19%
5.0
60 Terjual
< 2 Hari
Tangerang",https://shopee.co.id/MacBook-Air-2020-13-Intel-Quad-Core-i7-16-512GB-Retina-i.969760851.27567706421?extraParams=%7B%22display_model_id%22%3A296222809147%2C%22model_selection_logic%22%3A3%7D&sp_atk=9e2950da-49d2-4d3f-8d6b-800afafac47e&xptdk=9e2950da-49d2-4d3f-8d6b-800afafac47e
https://down-id.img.susercontent.com/file/id-11134207-7rasl-m31rg1tvp3pb32,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Macbook Pro M1 2020 Touchbar 13 Inch Ram 8/256GB Termurah Original TERLENGKAP,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,10.879.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,-22%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,21 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Macbook Pro M1 2020 Touchbar 13 Inch Ram 8/256GB Termurah Original TERLENGKAP
Rp
10.879.000
-22%
5.0
21 Terjual
< 2 Hari
Malang",https://shopee.co.id/Macbook-Pro-M1-2020-Touchbar-13-Inch-Ram-8-256GB-Termurah-Original-TERLENGKAP-i.324462083.22621884396?extraParams=%7B%22display_model_id%22%3A260524710105%2C%22model_selection_logic%22%3A3%7D&sp_atk=134616ea-f589-4773-a0bc-a69b9498270d&xptdk=134616ea-f589-4773-a0bc-a69b9498270d
https://down-id.img.susercontent.com/file/id-11134207-7r98x-lvyk8kd2a2kt83,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Macbook Pro 2020 13"" Quad Core i7 32/1TB Touchbar",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,7.379.000,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,-18%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,222 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Macbook Pro 2020 13"" Quad Core i7 32/1TB Touchbar
Rp
7.379.000
-18%
4.9
222 Terjual
< 2 Hari
Jakarta Selatan",https://shopee.co.id/Macbook-Pro-2020-13-Quad-Core-i7-32-1TB-Touchbar-i.28367850.26801472709?extraParams=%7B%22display_model_id%22%3A223575870527%2C%22model_selection_logic%22%3A3%7D&sp_atk=73305998-b9fe-4853-ad81-d03c738540a7&xptdk=73305998-b9fe-4853-ad81-d03c738540a7
https://down-id.img.susercontent.com/file/id-11134207-822wg-mmyafdpj94w4bf,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Macbook Air 13 M1 M2 2020 2022,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,8.132.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Semarang,,,84 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Macbook Air 13 M1 M2 2020 2022
Rp
8.132.000
5.0
84 Terjual
< 2 Hari
Semarang",https://shopee.co.id/Macbook-Air-13-M1-M2-2020-2022-i.1198084770.29430792532?extraParams=%7B%22display_model_id%22%3A390806212538%2C%22model_selection_logic%22%3A3%7D&sp_atk=91768f96-99e2-4b65-a6fb-8f9815430270&xptdk=91768f96-99e2-4b65-a6fb-8f9815430270
https://down-id.img.susercontent.com/file/id-11134207-7rasb-m361dhm9tez5b0,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"MacBook Pro 2020 13"" Quad Core i7 32/512GB TouchBar",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,7.379.000,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,-22%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,67 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"MacBook Pro 2020 13"" Quad Core i7 32/512GB TouchBar
Rp
7.379.000
-22%
4.9
67 Terjual
< 2 Hari
Tangerang",https://shopee.co.id/MacBook-Pro-2020-13-Quad-Core-i7-32-512GB-TouchBar-i.969760851.26869191256?extraParams=%7B%22display_model_id%22%3A237300867571%2C%22model_selection_logic%22%3A3%7D&sp_atk=91fd831a-f1f7-45e2-a096-5b6faa821dae&xptdk=91fd831a-f1f7-45e2-a096-5b6faa821dae
