-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,inline-block,text-shopee-primary,pointer-events-none_3,img,text-xs/sp14_3,text-shopee-green,truncate,text-white_2,text-white_2_link,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7ra0g-mbs4mzhdo9wzfe,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Second MacBook Air M1 2020 13 inch 8/256GB Gray,Rp,8.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sleman,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=43157335888&shopid=426322505,"Second MacBook Air M1 2020 13 inch 8/256GB Gray
Rp
8.500.000
< 2 Hari
Kab. Sleman",https://shopee.co.id/Second-MacBook-Air-M1-2020-13-inch-8-256GB-Gray-i.426322505.43157335888?extraParams=%7B%22display_model_id%22%3A405520036064%2C%22model_selection_logic%22%3A3%7D&sp_atk=5ab9d2e4-ad75-4f87-b197-a7cf11516e4e&xptdk=5ab9d2e4-ad75-4f87-b197-a7cf11516e4e
https://down-id.img.susercontent.com/file/id-11134207-7qula-lhxh53kup4ogef,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,"Macbook Pro Retina 13"" 2015 8GB Second Original",Rp,6.497.999,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,59 Terjual,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=23211465636&shopid=106426056,"Macbook Pro Retina 13"" 2015 8GB Second Original
Rp
6.497.999
-1%
5.0
59 Terjual
3-4 Hari
Jakarta Barat",https://shopee.co.id/Macbook-Pro-Retina-13-2015-8GB-Second-Original-i.106426056.23211465636?extraParams=%7B%22display_model_id%22%3A49276203797%2C%22model_selection_logic%22%3A3%7D&sp_atk=bb736380-3c92-49e0-af64-2d053ed5b45c&xptdk=bb736380-3c92-49e0-af64-2d053ed5b45c
https://down-id.img.susercontent.com/file/id-11134207-822wu-mmuc5ne8r66ac5,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,MacBook Pro 2017 15 inch | i7/i9 | RAM 16 | SSD 256/512/1TB/2TB | Second Like New | Original | Fullset / Unit + Charger | Murah dan Bergaransi | Ex iBox dan Ex inter,Rp,5.700.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=55906545641&shopid=976133661,"MacBook Pro 2017 15 inch | i7/i9 | RAM 16 | SSD 256/512/1TB/2TB | Second Like New | Original | Fullset / Unit + Charger | Murah dan Bergaransi | Ex iBox dan Ex inter
Rp
5.700.000
< 2 Hari
Kab. Tangerang",https://shopee.co.id/MacBook-Pro-2017-15-inch-i7-i9-RAM-16-SSD-256-512-1TB-2TB-Second-Like-New-Original-Fullset-Unit-Charger-Murah-dan-Bergaransi-Ex-iBox-dan-Ex-inter-i.976133661.55906545641?extraParams=%7B%22display_model_id%22%3A445587554554%2C%22model_selection_logic%22%3A3%7D&sp_atk=6809b1a5-6a14-4d3b-8022-136f7786a2dc&xptdk=6809b1a5-6a14-4d3b-8022-136f7786a2dc
https://down-id.img.susercontent.com/file/id-11134207-7quky-lje79rfrvkor66,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Macbook Air 11 inch 2015 second preloved bekas,Rp,3.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tapin,,,,,,5-9 Hari,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=20590984986&shopid=5266554,"Macbook Air 11 inch 2015 second preloved bekas
Rp
3.500.000
5-9 Hari
Kab. Tapin",https://shopee.co.id/Macbook-Air-11-inch-2015-second-preloved-bekas-i.5266554.20590984986?extraParams=%7B%22display_model_id%22%3A235432136486%2C%22model_selection_logic%22%3A3%7D&sp_atk=576d0a41-1353-482b-af5a-ed6a7d5c161b&xptdk=576d0a41-1353-482b-af5a-ed6a7d5c161b
https://down-id.img.susercontent.com/file/id-11134207-7rbk2-m8x57u7xwi3605,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Macbook Air 2018 13"" Core i5 8GB 256GB SSD",Rp,4.780.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=26934583370&shopid=1517673547,"Macbook Air 2018 13"" Core i5 8GB 256GB SSD
Rp
4.780.000
-1%
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Macbook-Air-2018-13-Core-i5-8GB-256GB-SSD-i.1517673547.26934583370?extraParams=%7B%22display_model_id%22%3A99829280929%2C%22model_selection_logic%22%3A3%7D&sp_atk=c1fd1411-4a58-451a-82ca-055956c1fae0&xptdk=c1fd1411-4a58-451a-82ca-055956c1fae0
https://down-id.img.susercontent.com/file/id-11134207-7qukz-liiate8106n7b2,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Macbook Pro Retina 15"" 2013 Core i7 8GB SSD 128GB",Rp,3.195.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,,1 Terjual,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=19690203125&shopid=1021187906,"Macbook Pro Retina 15"" 2013 Core i7 8GB SSD 128GB
Rp
3.195.000
-1%
1 Terjual
3-5 Hari
Jakarta Pusat",https://shopee.co.id/Macbook-Pro-Retina-15-2013-Core-i7-8GB-SSD-128GB-i.1021187906.19690203125?extraParams=%7B%22display_model_id%22%3A177724458942%2C%22model_selection_logic%22%3A3%7D&sp_atk=55160a0e-5e19-48a8-b7b4-46544ba6c0ef&xptdk=55160a0e-5e19-48a8-b7b4-46544ba6c0ef
https://down-id.img.susercontent.com/file/id-11134207-7qul9-lhiqozueqea667,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,MacBook Air M1 Chip 256gb 512gb Second Original Bergaransi,Rp,8.880.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,54 Terjual,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=22744315645&shopid=76904092,"MacBook Air M1 Chip 256gb 512gb Second Original Bergaransi
Rp
8.880.000
5.0
54 Terjual
< 2 Hari
Depok",https://shopee.co.id/MacBook-Air-M1-Chip-256gb-512gb-Second-Original-Bergaransi-i.76904092.22744315645?extraParams=%7B%22display_model_id%22%3A235271270686%2C%22model_selection_logic%22%3A3%7D&sp_atk=49f20eb5-07cc-4d9b-9f71-22a8eb856905&xptdk=49f20eb5-07cc-4d9b-9f71-22a8eb856905
https://down-id.img.susercontent.com/file/id-11134207-7ra0q-mdobul2q0u271d,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Macbook Retina 2017 12"" Core M5 8GB 512GB Original",Rp,4.450.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,-32%,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.0,4 Terjual,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=25258071257&shopid=1088443349,"Macbook Retina 2017 12"" Core M5 8GB 512GB Original
Rp
4.450.000
-32%
4.0
4 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Macbook-Retina-2017-12-Core-M5-8GB-512GB-Original-i.1088443349.25258071257?extraParams=%7B%22display_model_id%22%3A168738617087%2C%22model_selection_logic%22%3A3%7D&sp_atk=1b92b17c-ed68-4d3d-8280-32a16a13bf5a&xptdk=1b92b17c-ed68-4d3d-8280-32a16a13bf5a
https://down-id.img.susercontent.com/file/id-11134207-7ras9-m3wz96o1llim60,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,MacBook Pro Retina 13inch 2015 Core i7 Second Like New Grade A+,Rp,8.495.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=27770980579&shopid=238531509,"MacBook Pro Retina 13inch 2015 Core i7 Second Like New Grade A+
Rp
8.495.000
-1%
< 2 Hari
Jakarta Pusat",https://shopee.co.id/MacBook-Pro-Retina-13inch-2015-Core-i7-Second-Like-New-Grade-A--i.238531509.27770980579?extraParams=%7B%22display_model_id%22%3A233600862405%2C%22model_selection_logic%22%3A3%7D&sp_atk=c819d6de-8455-4f0b-a946-8992de51d2b8&xptdk=c819d6de-8455-4f0b-a946-8992de51d2b8
https://down-id.img.susercontent.com/file/id-11134207-7rbkd-m6mc39z577fl8d,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Macbook Air 13 Inch 2015 Ram 8GB SSD 128GB Core i5 Second Mulus Ori,Rp,2.775.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=28427275623&shopid=1034763811,"Macbook Air 13 Inch 2015 Ram 8GB SSD 128GB Core i5 Second Mulus Ori
Rp
2.775.000
-1%
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Macbook-Air-13-Inch-2015-Ram-8GB-SSD-128GB-Core-i5-Second-Mulus-Ori-i.1034763811.28427275623?extraParams=%7B%22display_model_id%22%3A242714333142%2C%22model_selection_logic%22%3A3%7D&sp_atk=4e0ce01c-d267-4cc7-85fa-3197c65f076f&xptdk=4e0ce01c-d267-4cc7-85fa-3197c65f076f
