-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-shopee-primary,text-xs/sp14_2,text-xs,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,pointer-events-none_3,truncate,text-white_2,text-white_2_link,img_2,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7r98y-lxncbhyqcq6lde,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Macbook Air 2017 13 Inch Core i5 128gb 256gb 512gb Second Original Bergaransi Silver,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,4.200.000,-30%,4.8,33 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=24983434861&shopid=27476373,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Macbook Air 2017 13 Inch Core i5 128gb 256gb 512gb Second Original Bergaransi Silver
Rp
4.200.000
-30%
4.8
33 Terjual
Besok 12:00
Surabaya",https://shopee.co.id/Macbook-Air-2017-13-Inch-Core-i5-128gb-256gb-512gb-Second-Original-Bergaransi-Silver-i.27476373.24983434861?extraParams=%7B%22display_model_id%22%3A241188762853%2C%22model_selection_logic%22%3A3%7D&sp_atk=1051d52f-ef15-4a10-8387-cb95e248f350&xptdk=1051d52f-ef15-4a10-8387-cb95e248f350
https://down-id.img.susercontent.com/file/id-11134207-822wr-mn5qlfn121ac1f,,Macbook Pro 2018 Intel Core i5 13 Inch Second Like New Mulus Garansi 60 Hari Urban Mac Store Yogyakarta,,Rp,6.489.000,,,4-7 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sleman,,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=57009015102&shopid=1802108715,,"Macbook Pro 2018 Intel Core i5 13 Inch Second Like New Mulus Garansi 60 Hari Urban Mac Store Yogyakarta
Rp
6.489.000
4-7 Hari
Kab. Sleman",https://shopee.co.id/Macbook-Pro-2018-Intel-Core-i5-13-Inch-Second-Like-New-Mulus-Garansi-60-Hari-Urban-Mac-Store-Yogyakarta-i.1802108715.57009015102?extraParams=%7B%22display_model_id%22%3A375799041496%2C%22model_selection_logic%22%3A3%7D&sp_atk=02698dd2-318b-4cf7-a49a-0e7b65d54f05&xptdk=02698dd2-318b-4cf7-a49a-0e7b65d54f05
https://down-id.img.susercontent.com/file/id-11134207-7rbka-majr6i92of3f2c,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"{FLASH SALE} MacBook Air 11"" 2014/2015 Core i5 4GB/8GB SSD 128GB Mulus",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.145.000,-39%,5.0,16 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=24961337960&shopid=1021187906,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"{FLASH SALE} MacBook Air 11"" 2014/2015 Core i5 4GB/8GB SSD 128GB Mulus
Rp
2.145.000
-39%
5.0
16 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/-FLASH-SALE-MacBook-Air-11-2014-2015-Core-i5-4GB-8GB-SSD-128GB-Mulus-i.1021187906.24961337960?extraParams=%7B%22display_model_id%22%3A258739135605%2C%22model_selection_logic%22%3A3%7D&sp_atk=c453dc16-f449-48ac-8f55-bba40d5a64e8&xptdk=c453dc16-f449-48ac-8f55-bba40d5a64e8
https://down-id.img.susercontent.com/file/sg-11134201-23010-7k45x3la4imv05,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Macbook Pro 13 Inch 2020 Retina Core i5 i7 M1,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,7.500.000,,4.9,215 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=20071608922&shopid=936566473,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Macbook Pro 13 Inch 2020 Retina Core i5 i7 M1
Rp
7.500.000
4.9
215 Terjual
< 2 Hari
Jakarta Selatan",https://shopee.co.id/Macbook-Pro-13-Inch-2020-Retina-Core-i5-i7-M1-i.936566473.20071608922?extraParams=%7B%22display_model_id%22%3A286831348046%2C%22model_selection_logic%22%3A3%7D&sp_atk=dffc82ad-9ae6-471b-8d8e-cee8d24dd5a2&xptdk=dffc82ad-9ae6-471b-8d8e-cee8d24dd5a2
https://down-id.img.susercontent.com/file/id-11134207-822wu-mmuc5ne8r66ac5,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"MacBook Pro 2017 13"" 8GB RAM 128GB SSD Like New",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,4.500.000,,4.9,747 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=22636164158&shopid=976133661,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"MacBook Pro 2017 13"" 8GB RAM 128GB SSD Like New
Rp
4.500.000
4.9
747 Terjual
< 2 Hari
Kab. Tangerang",https://shopee.co.id/MacBook-Pro-2017-13-8GB-RAM-128GB-SSD-Like-New-i.976133661.22636164158?extraParams=%7B%22display_model_id%22%3A198511530576%2C%22model_selection_logic%22%3A3%7D&sp_atk=9fe07509-00d6-4ff0-9be0-7c1f99e3c5b9&xptdk=9fe07509-00d6-4ff0-9be0-7c1f99e3c5b9
https://down-id.img.susercontent.com/file/id-11134207-7rbk5-ma6sq3nm5bit27,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,[PROMO] MACBOOK AIR RETINA M1 2020 13 INCH RAM 8GB SSD 128GB MULUS SECOND,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,7.075.000,-1%,5.0,12 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=29927880021&shopid=1034763811,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"[PROMO] MACBOOK AIR RETINA M1 2020 13 INCH RAM 8GB SSD 128GB MULUS SECOND
Rp
7.075.000
-1%
5.0
12 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/-PROMO-MACBOOK-AIR-RETINA-M1-2020-13-INCH-RAM-8GB-SSD-128GB-MULUS-SECOND-i.1034763811.29927880021?extraParams=%7B%22display_model_id%22%3A233911818736%2C%22model_selection_logic%22%3A3%7D&sp_atk=d735565d-648e-419b-aad3-78ce0f4d6120&xptdk=d735565d-648e-419b-aad3-78ce0f4d6120
https://down-id.img.susercontent.com/file/id-11134207-822wm-mmvm16gpd91h2d,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Notebook Macbook Air 2013 A1370 Core i5 11""Minus second",,Rp,1.200.000,,,3-4 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bandung,,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=49908581105&shopid=8787617,,"Notebook Macbook Air 2013 A1370 Core i5 11""Minus second
Rp
1.200.000
3-4 Hari
Kab. Bandung",https://shopee.co.id/Notebook-Macbook-Air-2013-A1370-Core-i5-11-Minus-second-i.8787617.49908581105?extraParams=%7B%22display_model_id%22%3A262523172822%2C%22model_selection_logic%22%3A3%7D&sp_atk=c5771878-043b-42ce-ab36-44a4922e9c5b&xptdk=c5771878-043b-42ce-ab36-44a4922e9c5b
https://down-id.img.susercontent.com/file/id-11134207-822wl-mna252pjez2b86,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,MacBook Pro 2017 GHz Dual-Core Intel Core i5 Intel Iris Plus Graphics inter second original NON TOUCHBAR ( Lengkap ),,Rp,4.300.000,,,5-8 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=55609170906&shopid=158135712,,"MacBook Pro 2017 GHz Dual-Core Intel Core i5 Intel Iris Plus Graphics inter second original NON TOUCHBAR ( Lengkap )
Rp
4.300.000
5-8 Hari
Jakarta Selatan",https://shopee.co.id/MacBook-Pro-2017-GHz-Dual-Core-Intel-Core-i5-Intel-Iris-Plus-Graphics-inter-second-original-NON-TOUCHBAR-(-Lengkap-)-i.158135712.55609170906?extraParams=%7B%22display_model_id%22%3A262554412194%2C%22model_selection_logic%22%3A3%7D&sp_atk=5ed6a43c-885f-46a7-a347-0f543d09c24b&xptdk=5ed6a43c-885f-46a7-a347-0f543d09c24b
https://down-id.img.susercontent.com/file/id-11134207-8224z-mkywxm9wak1sc6,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Laptop Macbook Pro M1 2020 8/512GB SSD 13"" Second Original Bergaransi",,Rp,6.200.000,,,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Semarang,,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=57356299626&shopid=154769673,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,"Laptop Macbook Pro M1 2020 8/512GB SSD 13"" Second Original Bergaransi
Rp
6.200.000
< 2 Hari
Semarang",https://shopee.co.id/Laptop-Macbook-Pro-M1-2020-8-512GB-SSD-13-Second-Original-Bergaransi-i.154769673.57356299626?extraParams=%7B%22display_model_id%22%3A380570558011%2C%22model_selection_logic%22%3A3%7D&sp_atk=37d787f8-a15e-4f36-83eb-1f0ac86415ed&xptdk=37d787f8-a15e-4f36-83eb-1f0ac86415ed
https://down-id.img.susercontent.com/file/id-11134207-822wi-mn5i32hyuozs4a,,Macbook Pro M1 14 inch 2021 Second Like New Mulus Garansi 60 Hari Urban Mac Store Yogyakarta,,Rp,15.656.000,,,4-7 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sleman,,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=54658999739&shopid=1802108715,,"Macbook Pro M1 14 inch 2021 Second Like New Mulus Garansi 60 Hari Urban Mac Store Yogyakarta
Rp
15.656.000
4-7 Hari
Kab. Sleman",https://shopee.co.id/Macbook-Pro-M1-14-inch-2021-Second-Like-New-Mulus-Garansi-60-Hari-Urban-Mac-Store-Yogyakarta-i.1802108715.54658999739?extraParams=%7B%22display_model_id%22%3A340798820010%2C%22model_selection_logic%22%3A3%7D&sp_atk=112d91cb-cc60-481c-868c-c86b4c9b0652&xptdk=112d91cb-cc60-481c-868c-c86b4c9b0652
