-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-xs/sp14_2,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,text-shopee-primary,pointer-events-none_3,text-shopee-green,truncate,img_2,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7rbk6-mappmxzldtt000,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ASUS Expertbook P1403CVA Intel Core i3 1315U RAM24GB SSD1TB 14'' Fhd Windows 11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,7.999.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,116 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"ASUS Expertbook P1403CVA Intel Core i3 1315U RAM24GB SSD1TB 14'' Fhd Windows 11
Rp
7.999.000
5.0
116 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/ASUS-Expertbook-P1403CVA-Intel-Core-i3-1315U-RAM24GB-SSD1TB-14''-Fhd-Windows-11-i.186855095.20740481441?extraParams=%7B%22display_model_id%22%3A246138233383%2C%22model_selection_logic%22%3A3%7D&sp_atk=7fb79b86-995c-49b7-a3f5-1f52403d7e1e&xptdk=7fb79b86-995c-49b7-a3f5-1f52403d7e1e
https://down-id.img.susercontent.com/file/id-11134207-822wn-mlr7qve8j3ew75,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"ASUS EXPERTBOOK P1 P1403CVA-S63850WS I3 1315U 8GB 512GB SSD INTEGRATED 14"" FHD",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,8.298.800,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,-19%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,2 Terjual,,,"ASUS EXPERTBOOK P1 P1403CVA-S63850WS I3 1315U 8GB 512GB SSD INTEGRATED 14"" FHD
Rp
8.298.800
-19%
2 Terjual
3-4 Hari
Jakarta Utara",https://shopee.co.id/ASUS-EXPERTBOOK-P1-P1403CVA-S63850WS-I3-1315U-8GB-512GB-SSD-INTEGRATED-14-FHD-i.1609963553.54507133509?extraParams=%7B%22display_model_id%22%3A244181915928%2C%22model_selection_logic%22%3A3%7D&sp_atk=434f6e43-5a8c-4d69-a668-b50d56e87dd5&xptdk=434f6e43-5a8c-4d69-a668-b50d56e87dd5
https://down-id.img.susercontent.com/file/id-11134207-81ztc-mef9ferma684db,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Asus E1504FA-VIPS3153M Vivobook AMD Ryzen R3-7320U / 512GB / 16GB DDR5 Non Upgrade / GREEN GREY / 15.6"" FHD VIPS , fingerprint, backlight KB / WIN 11 Home + OHS 2024 + O365 Basic (1 year free trial)",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,8.577.300,4.8,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,-4%,,168 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Asus E1504FA-VIPS3153M Vivobook AMD Ryzen R3-7320U / 512GB / 16GB DDR5 Non Upgrade / GREEN GREY / 15.6"" FHD VIPS , fingerprint, backlight KB / WIN 11 Home + OHS 2024 + O365 Basic (1 year free trial)
Rp
8.577.300
-4%
4.8
168 Terjual
3-4 Hari
Jakarta Utara",https://shopee.co.id/Asus-E1504FA-VIPS3153M-Vivobook-AMD-Ryzen-R3-7320U-512GB-16GB-DDR5-Non-Upgrade-GREEN-GREY-15.6-FHD-VIPS-fingerprint-backlight-KB-WIN-11-Home-OHS-2024-O365-Basic-(1-year-free-trial)-i.54873248.28927217974?extraParams=%7B%22display_model_id%22%3A205813979652%2C%22model_selection_logic%22%3A3%7D&sp_atk=882fecee-0e6f-428f-bc2b-f64866a33498&xptdk=882fecee-0e6f-428f-bc2b-f64866a33498
https://down-id.img.susercontent.com/file/id-11134207-8224r-mjgv5j8q76rk87,,ASUS Vivobook 14 A1404VA i3-1315U 512GB SSD 8GB FHD IPS Win11+OHS,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,9.999.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,-17%,,37 Terjual,Produk Baru,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"ASUS Vivobook 14 A1404VA i3-1315U 512GB SSD 8GB FHD IPS Win11+OHS
Rp
9.999.000
-17%
Produk Baru
5.0
37 Terjual
< 2 Hari
Jakarta Barat",https://shopee.co.id/ASUS-Vivobook-14-A1404VA-i3-1315U-512GB-SSD-8GB-FHD-IPS-Win11-OHS-i.1563856390.53053758894?extraParams=%7B%22display_model_id%22%3A425357296100%2C%22model_selection_logic%22%3A3%7D&sp_atk=c9256964-fe01-48f7-bb89-0286b4be081e&xptdk=c9256964-fe01-48f7-bb89-0286b4be081e
https://down-id.img.susercontent.com/file/id-11134207-82252-miu279rdleys03,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Asus Vivobook Go 14 Ryzen 3 8GB 512GB SSD W11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,7.750.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Kediri,-14%,,369 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Asus Vivobook Go 14 Ryzen 3 8GB 512GB SSD W11
Rp
7.750.000
-14%
5.0
369 Terjual
2-3 Hari
Kab. Kediri",https://shopee.co.id/Asus-Vivobook-Go-14-Ryzen-3-8GB-512GB-SSD-W11-i.12084313.18691939422?extraParams=%7B%22display_model_id%22%3A335767125497%2C%22model_selection_logic%22%3A3%7D&sp_atk=455fbb0e-b8a9-49a6-a4b1-77a56883b88e&xptdk=455fbb0e-b8a9-49a6-a4b1-77a56883b88e
https://down-id.img.susercontent.com/file/id-11134207-7rbk4-m8qgbws9f0mlf5,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ASUS VIVOBOOK 14 A1407QA SNAPDRAGON X X1 26100 16GB 512GB Windows11+OHS 14.0 WUXGA VIPS,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,10.047.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 07:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,3 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"ASUS VIVOBOOK 14 A1407QA SNAPDRAGON X X1 26100 16GB 512GB Windows11+OHS 14.0 WUXGA VIPS
Rp
10.047.000
5.0
3 Terjual
Besok 07:00
Surabaya",https://shopee.co.id/ASUS-VIVOBOOK-14-A1407QA-SNAPDRAGON-X-X1-26100-16GB-512GB-Windows11-OHS-14.0-WUXGA-VIPS-i.1039970542.25142907728?extraParams=%7B%22display_model_id%22%3A198333351497%2C%22model_selection_logic%22%3A3%7D&sp_atk=2daef26e-94bc-4173-a6fc-a14f0860e313&xptdk=2daef26e-94bc-4173-a6fc-a14f0860e313
https://down-id.img.susercontent.com/file/id-11134207-822wm-mm5o7hzoq87709,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Asus Vivobook 14 X1404VA i3 24GB 512GB SSD FHD,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,7.697.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,92 Terjual,Hadiah Gratis,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Asus Vivobook 14 X1404VA i3 24GB 512GB SSD FHD
Rp
7.697.000
-1%
Hadiah Gratis
5.0
92 Terjual
< 2 Hari
Depok",https://shopee.co.id/Asus-Vivobook-14-X1404VA-i3-24GB-512GB-SSD-FHD-i.768368658.27861145710?extraParams=%7B%22display_model_id%22%3A233976076538%2C%22model_selection_logic%22%3A3%7D&sp_atk=62a49d47-b706-47cc-a4b8-f10e60564780&xptdk=62a49d47-b706-47cc-a4b8-f10e60564780
https://down-id.img.susercontent.com/file/id-11134207-7r98y-lydtf9ppw8jp05,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ASUS Vivobook E410KA Intel N4500 RAM8GB SSD1TB 14'' Fhd Windows 11 Office 2021,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,6.349.000,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,692 Terjual,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"ASUS Vivobook E410KA Intel N4500 RAM8GB SSD1TB 14'' Fhd Windows 11 Office 2021
Rp
6.349.000
Cicilan
4.9
692 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/ASUS-Vivobook-E410KA-Intel-N4500-RAM8GB-SSD1TB-14''-Fhd-Windows-11-Office-2021-i.186855095.3160066324?extraParams=%7B%22display_model_id%22%3A143276726478%2C%22model_selection_logic%22%3A3%7D&sp_atk=141708a6-6585-48e7-9a09-a92bb2b17f37&xptdk=141708a6-6585-48e7-9a09-a92bb2b17f37
https://down-id.img.susercontent.com/file/id-11134207-7ra0p-mdhcetghujym37,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Asus E1404GA Intel i3-N305 8GB RAM 256GB 512GB SSD Windows 11 + OHS24,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,8.422.500,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,2 jam,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,7 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Laptop Asus E1404GA Intel i3-N305 8GB RAM 256GB 512GB SSD Windows 11 + OHS24
Rp
8.422.500
-1%
5.0
7 Terjual
2 jam
Surabaya",https://shopee.co.id/Laptop-Asus-E1404GA-Intel-i3-N305-8GB-RAM-256GB-512GB-SSD-Windows-11-OHS24-i.1582963600.41063590445?extraParams=%7B%22display_model_id%22%3A365683065079%2C%22model_selection_logic%22%3A3%7D&sp_atk=8a27e650-7eb7-4745-93e9-dee731da71bb&xptdk=8a27e650-7eb7-4745-93e9-dee731da71bb
https://down-id.img.susercontent.com/file/id-11134207-822wi-mmy4c9ydydxh48,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Asus Vivobook 15 F1504ZA i5 1235U 24GB 1TB SSD,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,6.998.000,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,31 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Asus Vivobook 15 F1504ZA i5 1235U 24GB 1TB SSD
Rp
6.998.000
-1%
4.9
31 Terjual
< 2 Hari
Depok",https://shopee.co.id/Asus-Vivobook-15-F1504ZA-i5-1235U-24GB-1TB-SSD-i.714643627.25359717998?extraParams=%7B%22display_model_id%22%3A420768171641%2C%22model_selection_logic%22%3A3%7D&sp_atk=950605fb-a626-4058-b305-4fb88fc3a36d&xptdk=950605fb-a626-4058-b305-4fb88fc3a36d
