-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-xs/sp14_2,text-xs,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,text-shopee-primary,pointer-events-none_3,truncate,img_2,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-81ztm-mejmhzs99s7bbc,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ASUS Vivobook 14 Core i3 16GB 512GB SSD W11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,8.490.000,5.0,75 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sleman,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"ASUS Vivobook 14 Core i3 16GB 512GB SSD W11
Rp
8.490.000
5.0
75 Terjual
< 2 Hari
Kab. Sleman",https://shopee.co.id/ASUS-Vivobook-14-Core-i3-16GB-512GB-SSD-W11-i.40255164.25202658543?extraParams=%7B%22display_model_id%22%3A227823261210%2C%22model_selection_logic%22%3A3%7D&sp_atk=191c5fc9-8483-4792-a0c3-1a6c45ad6c4f&xptdk=191c5fc9-8483-4792-a0c3-1a6c45ad6c4f
https://down-id.img.susercontent.com/file/id-11134207-8224p-ml5uvs965lvse0,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ASUS EXPERTBOOK PM1403CDA - AMD RYZEN 5 150U 16GB 512GB W11+OHS+M365B 14.0FHD VIPS 3Y,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,9.539.000,5.0,282 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,-52%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"ASUS EXPERTBOOK PM1403CDA - AMD RYZEN 5 150U 16GB 512GB W11+OHS+M365B 14.0FHD VIPS 3Y
Rp
9.539.000
-52%
5.0
282 Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/ASUS-EXPERTBOOK-PM1403CDA-AMD-RYZEN-5-150U-16GB-512GB-W11-OHS-M365B-14.0FHD-VIPS-3Y-i.78730497.12039016837?extraParams=%7B%22display_model_id%22%3A325600524105%2C%22model_selection_logic%22%3A3%7D&sp_atk=0beff106-b38a-49d8-9356-cd96d04bcdb6&xptdk=0beff106-b38a-49d8-9356-cd96d04bcdb6
https://down-id.img.susercontent.com/file/id-11134207-7rbk8-m8viww22934ha0,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Asus Vivobook 14 Core i3 16GB 1TB SSD Windows 11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,7.868.000,5.0,127 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,-2%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Asus Vivobook 14 Core i3 16GB 1TB SSD Windows 11
Rp
7.868.000
-2%
5.0
127 Terjual
< 2 Hari
Jakarta Selatan",https://shopee.co.id/Asus-Vivobook-14-Core-i3-16GB-1TB-SSD-Windows-11-i.256652736.17996093794?extraParams=%7B%22display_model_id%22%3A89147417431%2C%22model_selection_logic%22%3A3%7D&sp_atk=79c87a82-5eed-4cd8-9ca2-428d1c5e734c&xptdk=79c87a82-5eed-4cd8-9ca2-428d1c5e734c
https://down-id.img.susercontent.com/file/id-11134207-7r98r-lzodivpak1cua4,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Laptop Asus Vivobook Go 14 E410KA N4500 Ram 8GB Ssd 512GB Win 11+Ohs 14"" Fhd Blit",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,6.485.000,5.0,23 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Karawang,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Laptop Asus Vivobook Go 14 E410KA N4500 Ram 8GB Ssd 512GB Win 11+Ohs 14"" Fhd Blit
Rp
6.485.000
-1%
5.0
23 Terjual
3-4 Hari
Kab. Karawang",https://shopee.co.id/Laptop-Asus-Vivobook-Go-14-E410KA-N4500-Ram-8GB-Ssd-512GB-Win-11-Ohs-14-Fhd-Blit-i.1306576837.27859909357?extraParams=%7B%22display_model_id%22%3A277265766613%2C%22model_selection_logic%22%3A3%7D&sp_atk=3348d13e-51f3-4b78-80c2-1caa9b7d8684&xptdk=3348d13e-51f3-4b78-80c2-1caa9b7d8684
https://down-id.img.susercontent.com/file/id-11134207-7rbk7-m6p02edzwpy9b9,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"Asus Vivobook 14 A1404VA Intel i3 1315U 8GB SSD 512GB 14"" W11+OHS+M365",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,9.029.000,5.0,6 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Yogyakarta,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Asus Vivobook 14 A1404VA Intel i3 1315U 8GB SSD 512GB 14"" W11+OHS+M365
Rp
9.029.000
5.0
6 Terjual
< 2 Hari
Yogyakarta",https://shopee.co.id/Asus-Vivobook-14-A1404VA-Intel-i3-1315U-8GB-SSD-512GB-14-W11-OHS-M365-i.29339583.28127526980?extraParams=%7B%22display_model_id%22%3A188249925004%2C%22model_selection_logic%22%3A3%7D&sp_atk=3a7e423a-018e-44db-906b-83d5f9ebdc6d&xptdk=3a7e423a-018e-44db-906b-83d5f9ebdc6d
https://down-id.img.susercontent.com/file/sg-11134201-7reo6-m8mtvkceiz7k92,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,ASUS VivoBook Go 14 E1404FA-VIPS3822M - Green Grey [AMD Ryzen 3 7320U / AMD Radeon Graphics / 8GB / 256GB / 14inch / WIN11 / OHS24 / M365],https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,9.404.010,4.9,49 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,-18%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"ASUS VivoBook Go 14 E1404FA-VIPS3822M - Green Grey [AMD Ryzen 3 7320U / AMD Radeon Graphics / 8GB / 256GB / 14inch / WIN11 / OHS24 / M365]
Rp
9.404.010
-18%
4.9
49 Terjual
< 2 Hari
Jakarta Timur",https://shopee.co.id/ASUS-VivoBook-Go-14-E1404FA-VIPS3822M-Green-Grey-AMD-Ryzen-3-7320U-AMD-Radeon-Graphics-8GB-256GB-14inch-WIN11-OHS24-M365--i.698077090.29183611416?extraParams=%7B%22display_model_id%22%3A360597166629%2C%22model_selection_logic%22%3A3%7D&sp_atk=8674aa64-e15b-4689-99d3-f831bce84313&xptdk=8674aa64-e15b-4689-99d3-f831bce84313
https://down-id.img.susercontent.com/file/id-11134207-7ra0r-mc7m5ltgku2b2b,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,"ASUS ExpertBook P1403CVA I3 1315U 8GB 512GB 14"" FHD Intel UHD Graphics W11 OHS",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,7.788.000,5.0,3 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"ASUS ExpertBook P1403CVA I3 1315U 8GB 512GB 14"" FHD Intel UHD Graphics W11 OHS
Rp
7.788.000
5.0
3 Terjual
Besok 12:00
Surabaya",https://shopee.co.id/ASUS-ExpertBook-P1403CVA-I3-1315U-8GB-512GB-14-FHD-Intel-UHD-Graphics-W11-OHS-i.120549837.20132558986?extraParams=%7B%22display_model_id%22%3A145419651812%2C%22model_selection_logic%22%3A3%7D&sp_atk=940b1a61-6946-4172-b58c-b1a1390bec7d&xptdk=940b1a61-6946-4172-b58c-b1a1390bec7d
https://down-id.img.susercontent.com/file/id-11134207-8224y-mhilntsfjsw5e4,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Asus Vivobook 14 A1404VA Intel i3 1315U 8GB SSD 512GB 14 W11+OHS+M365,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,8.699.000,,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Pontianak,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,"Asus Vivobook 14 A1404VA Intel i3 1315U 8GB SSD 512GB 14 W11+OHS+M365
Rp
8.699.000
1 Terjual
< 2 Hari
Pontianak",https://shopee.co.id/Asus-Vivobook-14-A1404VA-Intel-i3-1315U-8GB-SSD-512GB-14-W11-OHS-M365-i.1609157525.47052145122?extraParams=%7B%22display_model_id%22%3A262202505515%2C%22model_selection_logic%22%3A3%7D&sp_atk=3aa68d1b-88b3-45f6-b68d-2c71a34d3b53&xptdk=3aa68d1b-88b3-45f6-b68d-2c71a34d3b53
https://down-id.img.susercontent.com/file/id-11134207-8224p-mjqex9k58r2ac8,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Asus ExpertBook P1 P1403CVA-S63850WS - Laptop Core i3-1315U RAM 8GB SSD 512GB 14"" FHD",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,8.162.000,5.0,14 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Asus ExpertBook P1 P1403CVA-S63850WS - Laptop Core i3-1315U RAM 8GB SSD 512GB 14"" FHD
Rp
8.162.000
5.0
14 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Asus-ExpertBook-P1-P1403CVA-S63850WS-Laptop-Core-i3-1315U-RAM-8GB-SSD-512GB-14-FHD-i.43570421.26526244214?extraParams=%7B%22display_model_id%22%3A128215593896%2C%22model_selection_logic%22%3A3%7D&sp_atk=f86a279b-035d-4dcd-8b82-092514a2ce39&xptdk=f86a279b-035d-4dcd-8b82-092514a2ce39
https://down-id.img.susercontent.com/file/id-11134207-822wl-mm8zdf4g8qh46e,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ASUS Vivobook E1404TA Intel N150 RAM8GB SSD1TB 14'' Fhd Ips Windows 11 Office 2024,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,6.829.000,4.9,83 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"ASUS Vivobook E1404TA Intel N150 RAM8GB SSD1TB 14'' Fhd Ips Windows 11 Office 2024
Rp
6.829.000
Cicilan
4.9
83 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/ASUS-Vivobook-E1404TA-Intel-N150-RAM8GB-SSD1TB-14''-Fhd-Ips-Windows-11-Office-2024-i.186855095.13101906384?extraParams=%7B%22display_model_id%22%3A375813012358%2C%22model_selection_logic%22%3A3%7D&sp_atk=ff1e68fa-5a23-43ed-ba97-1c0054d32a89&xptdk=ff1e68fa-5a23-43ed-ba97-1c0054d32a89
