-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-shopee-primary,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,truncate,img,text-xs/sp14_3,w-auto,text-white,pointer-events-none_3,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7rbkb-m7ro4xz9b1cy68,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Asus X550IU Baby ROG Gaming Laptop Second Murah,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,4.500.000,-8%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,,,,,,,"Asus X550IU Baby ROG Gaming Laptop Second Murah
Rp
4.500.000
-8%
1 Terjual
3-5 Hari
Depok",https://shopee.co.id/Asus-X550IU-Baby-ROG-Gaming-Laptop-Second-Murah-i.6356067.26630819865?extraParams=%7B%22display_model_id%22%3A168809214356%2C%22model_selection_logic%22%3A3%7D&sp_atk=8a5f0bb1-f4bf-40c7-96c2-a2fc8440a6d2&xptdk=8a5f0bb1-f4bf-40c7-96c2-a2fc8440a6d2
https://down-id.img.susercontent.com/file/662ea88e3b1d0332e949b7a753655515,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Asus X454Y Gaming Desain Second Murah,,Rp,3.100.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Malang,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,"Laptop Asus X454Y Gaming Desain Second Murah
Rp
3.100.000
Cicilan
5.0
2 Terjual
< 2 Hari
Kab. Malang",https://shopee.co.id/Laptop-Asus-X454Y-Gaming-Desain-Second-Murah-i.17080485.4759222641?extraParams=%7B%22display_model_id%22%3A31533788948%2C%22model_selection_logic%22%3A3%7D&sp_atk=7aa57a3d-edc1-4b39-bb1d-3c26e9b8ec1d&xptdk=7aa57a3d-edc1-4b39-bb1d-3c26e9b8ec1d
https://down-id.img.susercontent.com/file/sg-11134201-23010-344jtv170ylv45,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"LAPTOP ASUS A44H, NOTEBOOK BEKAS MULUS, NOTEBOOK ASUS, LAPTOP MURAH, LAPTOP SECOND",,Rp,2.200.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Malang,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,"LAPTOP ASUS A44H, NOTEBOOK BEKAS MULUS, NOTEBOOK ASUS, LAPTOP MURAH, LAPTOP SECOND
Rp
2.200.000
< 2 Hari
Kab. Malang",https://shopee.co.id/LAPTOP-ASUS-A44H-NOTEBOOK-BEKAS-MULUS-NOTEBOOK-ASUS-LAPTOP-MURAH-LAPTOP-SECOND-i.17080485.21970673030?extraParams=%7B%22display_model_id%22%3A213686783671%2C%22model_selection_logic%22%3A3%7D&sp_atk=f4102375-6f2f-4f7b-8abc-f4e0b135da4f&xptdk=f4102375-6f2f-4f7b-8abc-f4e0b135da4f
https://down-id.img.susercontent.com/file/d11dea27fbc167989f711763762ece32,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Asus X555QA AMD A12 7th Gen 8GB SSD Laptop Bekas,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,2.900.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,,,"Asus X555QA AMD A12 7th Gen 8GB SSD Laptop Bekas
Rp
2.900.000
Cicilan
5.0
3 Terjual
3-5 Hari
Depok",https://shopee.co.id/Asus-X555QA-AMD-A12-7th-Gen-8GB-SSD-Laptop-Bekas-i.6356067.11355802747?extraParams=%7B%22display_model_id%22%3A131056244114%2C%22model_selection_logic%22%3A3%7D&sp_atk=50e60792-dc13-4b77-a71e-0f7724695025&xptdk=50e60792-dc13-4b77-a71e-0f7724695025
https://down-id.img.susercontent.com/file/id-11134207-7rasl-m2fd6m5x5vcp62,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop Bekas ASUS X441UB INTEL CORE I3-7020U | SSD 512GB + HDD 1000GB RAM 4GB DDR4,,Rp,2.750.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bengkalis,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,"Laptop Bekas ASUS X441UB INTEL CORE I3-7020U | SSD 512GB + HDD 1000GB RAM 4GB DDR4
Rp
2.750.000
< 2 Hari
Kab. Bengkalis",https://shopee.co.id/Laptop-Bekas-ASUS-X441UB-INTEL-CORE-I3-7020U-SSD-512GB-HDD-1000GB-RAM-4GB-DDR4-i.568618617.25438195457?extraParams=%7B%22display_model_id%22%3A138111822735%2C%22model_selection_logic%22%3A3%7D&sp_atk=f33cc85f-f71f-43f8-972e-28421c1326c7&xptdk=f33cc85f-f71f-43f8-972e-28421c1326c7
https://down-id.img.susercontent.com/file/id-11134207-7rasm-m559s2yixg2g7a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop ASUS VIVOBOOK X453SA INTEL CELERON N3050 RAM 4GB SSD 128GB Normal Siap Pakai - Laptop Murah - Laptop Malang - Laptop Gaming - Bergaransi - Laptop Bekas - Laptop Bekas Malang - Laptop Kuliah - Laptop Kantoran - Laptop Kerja - Laptop Desain,,Rp,1.732.500,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,,,"Laptop ASUS VIVOBOOK X453SA INTEL CELERON N3050 RAM 4GB SSD 128GB Normal Siap Pakai - Laptop Murah - Laptop Malang - Laptop Gaming - Bergaransi - Laptop Bekas - Laptop Bekas Malang - Laptop Kuliah - Laptop Kantoran - Laptop Kerja - Laptop Desain
Rp
1.732.500
5.0
1 Terjual
2-3 Hari
Malang",https://shopee.co.id/Laptop-ASUS-VIVOBOOK-X453SA-INTEL-CELERON-N3050-RAM-4GB-SSD-128GB-Normal-Siap-Pakai-Laptop-Murah-Laptop-Malang-Laptop-Gaming-Bergaransi-Laptop-Bekas-Laptop-Bekas-Malang-Laptop-Kuliah-Laptop-Kantoran-Laptop-Kerja-Laptop-Desain-i.141725604.10415620294?extraParams=%7B%22display_model_id%22%3A46230986828%2C%22model_selection_logic%22%3A3%7D&sp_atk=58b1541e-035e-4746-a0ba-85bbe0cb9294&xptdk=58b1541e-035e-4746-a0ba-85bbe0cb9294
https://down-id.img.susercontent.com/file/id-11134207-7r98s-lr3vv2xo9ozxd4,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Asus x200m / laptop second / laptop bekas / laptop asus,,Rp,1.200.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Deli Serdang,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,"Asus x200m / laptop second / laptop bekas / laptop asus
Rp
1.200.000
< 2 Hari
Kab. Deli Serdang",https://shopee.co.id/Asus-x200m-laptop-second-laptop-bekas-laptop-asus-i.254147065.25961470585?extraParams=%7B%22display_model_id%22%3A232493532514%2C%22model_selection_logic%22%3A3%7D&sp_atk=df8fb186-68c9-438b-bfc8-a36aedfe7bbd&xptdk=df8fb186-68c9-438b-bfc8-a36aedfe7bbd
https://down-id.img.susercontent.com/file/230d84fdbfc3144981f38c4ce4644bd8,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Asus TUF Gaming FX505GD Core i7-8750H VGA Nvidia GTX1050 Dual SSD HDD Laptop Second Bekas ROG Gen 8 GTX 1050,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,9.200.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,,,,,,,"Asus TUF Gaming FX505GD Core i7-8750H VGA Nvidia GTX1050 Dual SSD HDD Laptop Second Bekas ROG Gen 8 GTX 1050
Rp
9.200.000
1 Terjual
3-5 Hari
Depok",https://shopee.co.id/Asus-TUF-Gaming-FX505GD-Core-i7-8750H-VGA-Nvidia-GTX1050-Dual-SSD-HDD-Laptop-Second-Bekas-ROG-Gen-8-GTX-1050-i.6356067.20144601117?extraParams=%7B%22display_model_id%22%3A183612478246%2C%22model_selection_logic%22%3A3%7D&sp_atk=05d6bde9-e612-4e7b-a1b8-d3d4a6d14475&xptdk=05d6bde9-e612-4e7b-a1b8-d3d4a6d14475
https://down-id.img.susercontent.com/file/09be6e54bf54dc47dcfb7891d45670b1,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Asus ROG G56JR Core i7 RAM 16GB VGA Nvidia GTX 760m Dual SSD HDD Laptop Gaming Second Bekas Murah Gen4 Gen 4 GTX760,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,7.900.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,,,,,,,"Asus ROG G56JR Core i7 RAM 16GB VGA Nvidia GTX 760m Dual SSD HDD Laptop Gaming Second Bekas Murah Gen4 Gen 4 GTX760
Rp
7.900.000
2 Terjual
3-5 Hari
Depok",https://shopee.co.id/Asus-ROG-G56JR-Core-i7-RAM-16GB-VGA-Nvidia-GTX-760m-Dual-SSD-HDD-Laptop-Gaming-Second-Bekas-Murah-Gen4-Gen-4-GTX760-i.6356067.16621482505?extraParams=%7B%22display_model_id%22%3A97119185626%2C%22model_selection_logic%22%3A3%7D&sp_atk=26d62a96-d1ec-4275-9691-fc38855d05e4&xptdk=26d62a96-d1ec-4275-9691-fc38855d05e4
https://down-id.img.susercontent.com/file/sg-11134201-23010-wwin1iw0zymv65,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"LAPTOP ASUS X441M,LAPTOP BEKAS BERKUALITAS",,Rp,2.550.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Malang,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,"LAPTOP ASUS X441M,LAPTOP BEKAS BERKUALITAS
Rp
2.550.000
< 2 Hari
Kab. Malang",https://shopee.co.id/LAPTOP-ASUS-X441M-LAPTOP-BEKAS-BERKUALITAS-i.17080485.23620890697?extraParams=%7B%22display_model_id%22%3A220824732227%2C%22model_selection_logic%22%3A3%7D&sp_atk=f5813acd-1c1c-4688-a956-cef781392543&xptdk=f5813acd-1c1c-4688-a956-cef781392543
