-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,truncate,img,text-xs/sp14_2,text-xs,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,inline-block,text-shopee-primary,pointer-events-none_3,_container,_container_link
https://down-id.img.susercontent.com/file/b5a891ff9169facd54cece0dec6d8e6d,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Asus X451C Warna Putih Laptop Second Bekas Murah HDD 500GB RAM 2GB Intel Celeron 1007U Zoom Webcam,Rp,2.100.000,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,4 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Indramayu,,,,"Asus X451C Warna Putih Laptop Second Bekas Murah HDD 500GB RAM 2GB Intel Celeron 1007U Zoom Webcam
Rp
2.100.000
Cicilan
5.0
4 Terjual
< 2 Hari
Kab. Indramayu",https://shopee.co.id/Asus-X451C-Warna-Putih-Laptop-Second-Bekas-Murah-HDD-500GB-RAM-2GB-Intel-Celeron-1007U-Zoom-Webcam-i.49656833.3260909296?extraParams=%7B%22display_model_id%22%3A31651783454%2C%22model_selection_logic%22%3A3%7D&sp_atk=9c8a97a3-5db4-4b2f-938e-653ebe353bda&xptdk=9c8a97a3-5db4-4b2f-938e-653ebe353bda
https://down-id.img.susercontent.com/file/id-11134207-7r98p-lxul8crt9ga486,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"LAPTOP ASUS AMD A8,,LAPTOP BEKAS BERKUALITAS,LAPTOP GAMING",Rp,2.150.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Malang,,,,"LAPTOP ASUS AMD A8,,LAPTOP BEKAS BERKUALITAS,LAPTOP GAMING
Rp
2.150.000
< 2 Hari
Kab. Malang",https://shopee.co.id/LAPTOP-ASUS-AMD-A8-LAPTOP-BEKAS-BERKUALITAS-LAPTOP-GAMING-i.17080485.27505596556?extraParams=%7B%22display_model_id%22%3A251215819180%2C%22model_selection_logic%22%3A3%7D&sp_atk=40cbdbf3-c2ba-4db5-b080-01014d03f08f&xptdk=40cbdbf3-c2ba-4db5-b080-01014d03f08f
https://down-id.img.susercontent.com/file/id-11134207-7rbk9-m9ej4a65u1lefc,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,laptop asus intel celeron e210m slim ringan bekas,Rp,2.669.999,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,"laptop asus intel celeron e210m slim ringan bekas
Rp
2.669.999
< 2 Hari
Bandung",https://shopee.co.id/laptop-asus-intel-celeron-e210m-slim-ringan-bekas-i.3344096.28036083798?extraParams=%7B%22display_model_id%22%3A108683170780%2C%22model_selection_logic%22%3A3%7D&sp_atk=5658f331-b232-4b1f-a9c0-f8606d620091&xptdk=5658f331-b232-4b1f-a9c0-f8606d620091
https://down-id.img.susercontent.com/file/sg-11134201-23010-rrzvceallhmv49,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Notebook Asus K43T Bekas,Rp,1.200.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cilacap,,,,"Laptop Notebook Asus K43T Bekas
Rp
1.200.000
< 2 Hari
Kab. Cilacap",https://shopee.co.id/Laptop-Notebook-Asus-K43T-Bekas-i.174524797.22519329645?extraParams=%7B%22display_model_id%22%3A88580097709%2C%22model_selection_logic%22%3A3%7D&sp_atk=5e244360-26ab-4615-b077-486e390ba0ad&xptdk=5e244360-26ab-4615-b077-486e390ba0ad
https://down-id.img.susercontent.com/file/0a39ab996b96d606ea9631aa139fe02e,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Asus X553SA Hitam 16 inch Slim Tipis Numeric RAM 4GB SSD 120GB Windows 10 Laptop Second Bekas,Rp,3.200.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Indramayu,,,,"Asus X553SA Hitam 16 inch Slim Tipis Numeric RAM 4GB SSD 120GB Windows 10 Laptop Second Bekas
Rp
3.200.000
5.0
1 Terjual
< 2 Hari
Kab. Indramayu",https://shopee.co.id/Asus-X553SA-Hitam-16-inch-Slim-Tipis-Numeric-RAM-4GB-SSD-120GB-Windows-10-Laptop-Second-Bekas-i.49656833.10257481868?extraParams=%7B%22display_model_id%22%3A131123723609%2C%22model_selection_logic%22%3A3%7D&sp_atk=18eb9f84-8da7-4898-830b-733173daae2a&xptdk=18eb9f84-8da7-4898-830b-733173daae2a
https://down-id.img.susercontent.com/file/id-11134207-81ztg-mfpf8maarzt9a0,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Asus X442URR Intel Core i5-8250U Intel Core i5-8250U Normal Siap Pakai - Laptop Murah - Laptop Malang - Laptop Gaming - Bergaransi - Laptop Bekas - Laptop Bekas Malang - Laptop Kuliah - Laptop Kantoran - Laptop Kerja - Laptop Desain,Rp,2.950.000,,,,2-3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,,,,"Laptop Asus X442URR Intel Core i5-8250U Intel Core i5-8250U Normal Siap Pakai - Laptop Murah - Laptop Malang - Laptop Gaming - Bergaransi - Laptop Bekas - Laptop Bekas Malang - Laptop Kuliah - Laptop Kantoran - Laptop Kerja - Laptop Desain
Rp
2.950.000
2-3 Hari
Malang",https://shopee.co.id/Laptop-Asus-X442URR-Intel-Core-i5-8250U-Intel-Core-i5-8250U-Normal-Siap-Pakai-Laptop-Murah-Laptop-Malang-Laptop-Gaming-Bergaransi-Laptop-Bekas-Laptop-Bekas-Malang-Laptop-Kuliah-Laptop-Kantoran-Laptop-Kerja-Laptop-Desain-i.1443585582.29392798758?extraParams=%7B%22display_model_id%22%3A286924779150%2C%22model_selection_logic%22%3A3%7D&sp_atk=b82a983a-e3fe-4388-98e9-5a8e22807be4&xptdk=b82a983a-e3fe-4388-98e9-5a8e22807be4
https://down-id.img.susercontent.com/file/id-11134207-7r990-lqqp9gwkc7amb5,,Laptop Notebook ASUS Slim murah Preloved,Rp,900.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Kendal,,,,"Laptop Notebook ASUS Slim murah Preloved
Rp
900.000
1 Terjual
< 2 Hari
Kab. Kendal",https://shopee.co.id/Laptop-Notebook-ASUS-Slim-murah-Preloved-i.95421082.23219585045?extraParams=%7B%22display_model_id%22%3A193744593672%2C%22model_selection_logic%22%3A3%7D&sp_atk=1011b9e6-e647-4d63-a410-289fad8454d8&xptdk=1011b9e6-e647-4d63-a410-289fad8454d8
https://down-id.img.susercontent.com/file/845ba6a2bbce31a39e072b4eab96599a,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Laptop/Notebook Asus eeepc 1025C Bekas,Rp,1.300.000,,,,5-10 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Medan,,,,"Laptop/Notebook Asus eeepc 1025C Bekas
Rp
1.300.000
5-10 Hari
Medan",https://shopee.co.id/Laptop-Notebook-Asus-eeepc-1025C-Bekas-i.595835118.14602892841?extraParams=%7B%22display_model_id%22%3A150130429143%2C%22model_selection_logic%22%3A3%7D&sp_atk=ba550539-b0c1-4ff2-bb09-a461cf1014ae&xptdk=ba550539-b0c1-4ff2-bb09-a461cf1014ae
https://down-id.img.susercontent.com/file/id-11134201-23020-wy0kc6n4wznv62,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Asus ROG GL552VW i7 GTX 960M Gaming Laptop Second,Rp,7.400.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,"Asus ROG GL552VW i7 GTX 960M Gaming Laptop Second
Rp
7.400.000
5.0
1 Terjual
3-5 Hari
Depok",https://shopee.co.id/Asus-ROG-GL552VW-i7-GTX-960M-Gaming-Laptop-Second-i.6356067.23427586141?extraParams=%7B%22display_model_id%22%3A117969140500%2C%22model_selection_logic%22%3A3%7D&sp_atk=82c6fdea-c439-4576-b7dd-a34602a916b2&xptdk=82c6fdea-c439-4576-b7dd-a34602a916b2
https://down-id.img.susercontent.com/file/sg-11134201-23010-wwin1iw0zymv65,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"LAPTOP ASUS X441M,LAPTOP BEKAS BERKUALITAS",Rp,2.550.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Malang,,,,"LAPTOP ASUS X441M,LAPTOP BEKAS BERKUALITAS
Rp
2.550.000
< 2 Hari
Kab. Malang",https://shopee.co.id/LAPTOP-ASUS-X441M-LAPTOP-BEKAS-BERKUALITAS-i.17080485.23620890697?extraParams=%7B%22display_model_id%22%3A220824732227%2C%22model_selection_logic%22%3A3%7D&sp_atk=86b260e1-4c95-4af8-bce9-70ebfa862b0c&xptdk=86b260e1-4c95-4af8-bce9-70ebfa862b0c
