-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,img,text-xs/sp14_2,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,w-auto,text-white,inline-block,text-shopee-primary,truncate,text-xs_2,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7rbk6-m9xzccmrfr3vf0,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Asus Ram 8 SSD 128GB 14 Inc 30 Hari Garansi || Laptop Asus Second Ram 8 SSD 128GB 14 Inc,Rp,1.599.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Malang,,,,,,84 Terjual,"Laptop Asus Ram 8 SSD 128GB 14 Inc 30 Hari Garansi || Laptop Asus Second Ram 8 SSD 128GB 14 Inc
Rp
1.599.000
4.8
84 Terjual
2-3 Hari
Kab. Malang",https://shopee.co.id/Laptop-Asus-Ram-8-SSD-128GB-14-Inc-30-Hari-Garansi-Laptop-Asus-Second-Ram-8-SSD-128GB-14-Inc-i.577464325.15449318315?extraParams=%7B%22display_model_id%22%3A197575264168%2C%22model_selection_logic%22%3A3%7D&sp_atk=78ffd18d-0c8b-498a-8bb8-e41a33d93859&xptdk=78ffd18d-0c8b-498a-8bb8-e41a33d93859
https://down-id.img.susercontent.com/file/id-11134207-7qul0-lgkjsouhoq5x90,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop Asus 2013 / Laptop Asus a450c (Secondhand / Preloved / Bekas),Rp,8.000.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,5-8 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bekasi,,,,,,36 Terjual,"Laptop Asus 2013 / Laptop Asus a450c (Secondhand / Preloved / Bekas)
Rp
8.000.000
5.0
36 Terjual
5-8 Hari
Bekasi",https://shopee.co.id/Laptop-Asus-2013-Laptop-Asus-a450c-(Secondhand-Preloved-Bekas)-i.27836809.22241903925?extraParams=%7B%22display_model_id%22%3A232838242506%2C%22model_selection_logic%22%3A3%7D&sp_atk=368e3c3b-560e-4081-be6a-4fd68dfb0461&xptdk=368e3c3b-560e-4081-be6a-4fd68dfb0461
https://down-id.img.susercontent.com/file/id-11134207-822ws-mn9g86e8or9i3b,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,LAPTOP ASUS X441UV Bekas Berkualitas,Rp,2.000.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Mojokerto,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,,< 2 Hari,"LAPTOP ASUS X441UV Bekas Berkualitas
Rp
2.000.000
< 2 Hari
Kab. Mojokerto",https://shopee.co.id/LAPTOP-ASUS-X441UV-Bekas-Berkualitas-i.409326820.42230204926?extraParams=%7B%22display_model_id%22%3A445810874883%2C%22model_selection_logic%22%3A3%7D&sp_atk=4d357a58-cec4-4045-aaff-c30a8c6d531a&xptdk=4d357a58-cec4-4045-aaff-c30a8c6d531a
https://down-id.img.susercontent.com/file/sg-11134201-7rbmr-m5mphyo153ecdc,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Asus X441UV Dual VGA Laptop 8GB SSD Second,Rp,2.250.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,,2 Terjual,"Asus X441UV Dual VGA Laptop 8GB SSD Second
Rp
2.250.000
5.0
2 Terjual
< 2 Hari
Malang",https://shopee.co.id/Asus-X441UV-Dual-VGA-Laptop-8GB-SSD-Second-i.44435356.27174808279?extraParams=%7B%22display_model_id%22%3A445796393844%2C%22model_selection_logic%22%3A3%7D&sp_atk=6b4b416e-a2e4-4a4a-afe4-fa894bfe39cd&xptdk=6b4b416e-a2e4-4a4a-afe4-fa894bfe39cd
https://down-id.img.susercontent.com/file/id-11134207-7rasa-m5ut61gjvahf1b,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop Asus N43SL Core i3 Second/Preloved/Bekas,Rp,900.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-7 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,,,4-7 Hari,"Laptop Asus N43SL Core i3 Second/Preloved/Bekas
Rp
900.000
4-7 Hari
Jakarta Barat",https://shopee.co.id/Laptop-Asus-N43SL-Core-i3-Second-Preloved-Bekas-i.36723090.27425093741?extraParams=%7B%22display_model_id%22%3A247578339985%2C%22model_selection_logic%22%3A3%7D&sp_atk=8358a1e1-1bd9-4213-9637-40ae4091c00e&xptdk=8358a1e1-1bd9-4213-9637-40ae4091c00e
https://down-id.img.susercontent.com/file/id-11134207-822wr-mlpk0wqkgkjp7c,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,laptop asus vivobook A416JP bekas,Rp,4.500.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-8 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Karawang,,,,,,4-8 Hari,"laptop asus vivobook A416JP bekas
Rp
4.500.000
4-8 Hari
Kab. Karawang",https://shopee.co.id/laptop-asus-vivobook-A416JP-bekas-i.197335407.45307094832?extraParams=%7B%22display_model_id%22%3A249181095777%2C%22model_selection_logic%22%3A3%7D&sp_atk=f3ddae2a-808a-4092-866b-f0914ce1b85d&xptdk=f3ddae2a-808a-4092-866b-f0914ce1b85d
https://down-id.img.susercontent.com/file/id-11134207-7rbka-magd9wzyutv8d5,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop Asus X505Z | Laptop Bekas | Laptop Kantor | Laptop Mahasiswa | Laptop Murah,Rp,3.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,,,Besok,"Laptop Asus X505Z | Laptop Bekas | Laptop Kantor | Laptop Mahasiswa | Laptop Murah
Rp
3.500.000
Besok
Surabaya",https://shopee.co.id/Laptop-Asus-X505Z-Laptop-Bekas-Laptop-Kantor-Laptop-Mahasiswa-Laptop-Murah-i.978450406.26587112947?extraParams=%7B%22display_model_id%22%3A234266324018%2C%22model_selection_logic%22%3A3%7D&sp_atk=1c9b87c2-2a74-49dc-a56a-be7b1c84d4c2&xptdk=1c9b87c2-2a74-49dc-a56a-be7b1c84d4c2
https://down-id.img.susercontent.com/file/id-11134207-822wt-mn0snob1mmfc9f,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop Second Bekas Asus X441M,Rp,2.000.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Palu,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,,< 2 Hari,"Laptop Second Bekas Asus X441M
Rp
2.000.000
< 2 Hari
Palu",https://shopee.co.id/Laptop-Second-Bekas-Asus-X441M-i.779921484.55208763219?extraParams=%7B%22display_model_id%22%3A375778505111%2C%22model_selection_logic%22%3A3%7D&sp_atk=3f195c0e-72fe-43e9-b7b7-4c88036df349&xptdk=3f195c0e-72fe-43e9-b7b7-4c88036df349
https://down-id.img.susercontent.com/file/id-11134207-7ra0n-mcorraf5qiw7e0,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,(PRELOVED) LAPTOP ASUS X200CA,Rp,250.000,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bekasi,,,,,,,"(PRELOVED) LAPTOP ASUS X200CA
Rp
250.000
Kab. Bekasi",https://shopee.co.id/(PRELOVED)-LAPTOP-ASUS-X200CA-i.158418159.27639226159?extraParams=%7B%22display_model_id%22%3A305885993170%2C%22model_selection_logic%22%3A3%7D&sp_atk=30d56479-0903-4720-a750-b78336c9b805&xptdk=30d56479-0903-4720-a750-b78336c9b805
https://down-id.img.susercontent.com/file/id-11134207-7qul5-libdki59mie19f,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Asus A516JA i3 RAM 4GB SSD 256GB Bekas Mulus,Rp,2.800.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.3,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,11 Terjual,"Asus A516JA i3 RAM 4GB SSD 256GB Bekas Mulus
Rp
2.800.000
4.3
11 Terjual
< 2 Hari
Jakarta Barat",https://shopee.co.id/Asus-A516JA-i3-RAM-4GB-SSD-256GB-Bekas-Mulus-i.11929485.23046183103?extraParams=%7B%22display_model_id%22%3A233883538876%2C%22model_selection_logic%22%3A3%7D&sp_atk=2d453d04-2a44-45ef-a592-50cb6606eb34&xptdk=2d453d04-2a44-45ef-a592-50cb6606eb34
