-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-shopee-primary,pointer-events-none,pointer-events-none_2,w-auto,text-white,pointer-events-none_3,align-middle,img,text-xs/sp14_2,text-xs,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7rasg-m3hcgbj35ze794,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP AXIOO HYPE 5 AMD X5 RYZEN 5 5560 - 8GB 256GB W11 14.0FHD IPS,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,7.195.000,-32%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Besok,,"LAPTOP AXIOO HYPE 5 AMD X5 RYZEN 5 5560 - 8GB 256GB W11 14.0FHD IPS
Rp
7.195.000
-32%
Besok
Surabaya",https://shopee.co.id/LAPTOP-AXIOO-HYPE-5-AMD-X5-RYZEN-5-5560-8GB-256GB-W11-14.0FHD-IPS-i.1273997571.29019906180?extraParams=%7B%22display_model_id%22%3A218041181177%2C%22model_selection_logic%22%3A3%7D&sp_atk=16f061ba-e645-449b-85d2-d92c12dd0a9f&xptdk=16f061ba-e645-449b-85d2-d92c12dd0a9f
https://down-id.img.susercontent.com/file/id-11134207-82250-mjaxw2duovlu8a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Axioo Hype 1 Intel Celeron N4020 8GB 384GB Win 11 14.0 Inch,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,3.907.000,-23%,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,113 Terjual,,"Laptop Axioo Hype 1 Intel Celeron N4020 8GB 384GB Win 11 14.0 Inch
Rp
3.907.000
-23%
4.9
113 Terjual
< 2 Hari
Depok",https://shopee.co.id/Laptop-Axioo-Hype-1-Intel-Celeron-N4020-8GB-384GB-Win-11-14.0-Inch-i.1274014683.27552296249?extraParams=%7B%22display_model_id%22%3A310415371461%2C%22model_selection_logic%22%3A3%7D&sp_atk=c47ac1a8-1c51-4ed4-a81c-17314aecb76e&xptdk=c47ac1a8-1c51-4ed4-a81c-17314aecb76e
https://down-id.img.susercontent.com/file/id-11134207-7rbk5-m8u8hlr0327h79,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Termurah Laptop Sekolah AXIOO MYBOOK HYPE 1 Intel N4020 8GB 384GB SSD Win11 Home Original,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,4.199.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,122 Terjual,Hadiah Gratis,"Termurah Laptop Sekolah AXIOO MYBOOK HYPE 1 Intel N4020 8GB 384GB SSD Win11 Home Original
Rp
4.199.000
Hadiah Gratis
4.9
122 Terjual
< 2 Hari
Tangerang",https://shopee.co.id/Termurah-Laptop-Sekolah-AXIOO-MYBOOK-HYPE-1-Intel-N4020-8GB-384GB-SSD-Win11-Home-Original-i.290474546.24467928982?extraParams=%7B%22display_model_id%22%3A226113803494%2C%22model_selection_logic%22%3A3%7D&sp_atk=79b7428e-c873-46be-a962-ae4c513cc971&xptdk=79b7428e-c873-46be-a962-ae4c513cc971
https://down-id.img.susercontent.com/file/id-11134207-7rasm-m2yutut8wqa95a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP AXIOO HYPE 7 AMD X7 RYZEN 7 5825U 16GB RAM 512GB SSD WINDOWS 11 FULL HD IPS,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,8.119.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,128 Terjual,,"LAPTOP AXIOO HYPE 7 AMD X7 RYZEN 7 5825U 16GB RAM 512GB SSD WINDOWS 11 FULL HD IPS
Rp
8.119.000
4.9
128 Terjual
< 2 Hari
Depok",https://shopee.co.id/LAPTOP-AXIOO-HYPE-7-AMD-X7-RYZEN-7-5825U-16GB-RAM-512GB-SSD-WINDOWS-11-FULL-HD-IPS-i.1367937206.29718538790?extraParams=%7B%22display_model_id%22%3A185581626174%2C%22model_selection_logic%22%3A3%7D&sp_atk=01380cfc-c4e2-4f4f-bb65-3a0061ee133b&xptdk=01380cfc-c4e2-4f4f-bb65-3a0061ee133b
https://down-id.img.susercontent.com/file/id-11134207-81ztp-me87n9op0ttsb1,,PROMO Axioo Hype 5 Gen12 I5 16GB 512GB Win11,,Rp,3.549.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bekasi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,31 Terjual,,"PROMO Axioo Hype 5 Gen12 I5 16GB 512GB Win11
Rp
3.549.000
4.9
31 Terjual
< 2 Hari
Bekasi",https://shopee.co.id/PROMO-Axioo-Hype-5-Gen12-I5-16GB-512GB-Win11-i.1623145307.40267422160?extraParams=%7B%22display_model_id%22%3A208687533875%2C%22model_selection_logic%22%3A3%7D&sp_atk=6550038a-7a7f-4a58-9ec3-c3c72aaddd6b&xptdk=6550038a-7a7f-4a58-9ec3-c3c72aaddd6b
https://down-id.img.susercontent.com/file/id-11134207-822wl-mne7wjzk85xkeb,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Axioo MyBook Hype 5 G12 V2 Slim Intel Core i5 1235U Ram 16GB 1TB SSD FHD IPS Windows 11 Pro Office,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,7.499.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bogor,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,11 Terjual,,"Laptop Axioo MyBook Hype 5 G12 V2 Slim Intel Core i5 1235U Ram 16GB 1TB SSD FHD IPS Windows 11 Pro Office
Rp
7.499.000
5.0
11 Terjual
< 2 Hari
Bogor",https://shopee.co.id/Laptop-Axioo-MyBook-Hype-5-G12-V2-Slim-Intel-Core-i5-1235U-Ram-16GB-1TB-SSD-FHD-IPS-Windows-11-Pro-Office-i.1415162945.24088974666?extraParams=%7B%22display_model_id%22%3A265665238477%2C%22model_selection_logic%22%3A3%7D&sp_atk=354b7a20-ee6a-4762-ae61-ff21b8af2ade&xptdk=354b7a20-ee6a-4762-ae61-ff21b8af2ade
https://down-id.img.susercontent.com/file/id-11134207-82251-mjaqrgd6earm1c,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Laptop Axioo Hype 5 G12 i5-1235U 16GB 512GB SSD 14 inch FHD IPS Windows 11 OHS,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,7.413.000,-4%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,77 Terjual,Hadiah Gratis,"Laptop Axioo Hype 5 G12 i5-1235U 16GB 512GB SSD 14 inch FHD IPS Windows 11 OHS
Rp
7.413.000
-4%
Hadiah Gratis
5.0
77 Terjual
< 2 Hari
Jakarta Selatan",https://shopee.co.id/Laptop-Axioo-Hype-5-G12-i5-1235U-16GB-512GB-SSD-14-inch-FHD-IPS-Windows-11-OHS-i.217781231.26455849158?extraParams=%7B%22display_model_id%22%3A205475785164%2C%22model_selection_logic%22%3A3%7D&sp_atk=5a48d7cf-2524-4981-ad4d-9f59a56b2132&xptdk=5a48d7cf-2524-4981-ad4d-9f59a56b2132
https://down-id.img.susercontent.com/file/id-11134207-8224u-mgw2x4xiv02319,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Axioo Hype 5 Ryzen 5 32GB 1TB SSD Windows 11,,Rp,6.299.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,,"Axioo Hype 5 Ryzen 5 32GB 1TB SSD Windows 11
Rp
6.299.000
< 2 Hari
Tangerang",https://shopee.co.id/Axioo-Hype-5-Ryzen-5-32GB-1TB-SSD-Windows-11-i.1617786982.44474912929?extraParams=%7B%22display_model_id%22%3A307018749789%2C%22model_selection_logic%22%3A3%7D&sp_atk=a7d6315f-d172-469a-bebd-2461e2ba6391&xptdk=a7d6315f-d172-469a-bebd-2461e2ba6391
https://down-id.img.susercontent.com/file/id-11134207-822wt-mlgf8rs1qby9bb,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Laptop Axioo Hype 3 G12 Intel Core i3 Gen 12 1215U RAM 8GB SSD 256GB IPS WIN 11 Cocok Untuk Kerja, Kelas Online, Hingga Hiburan",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,8.279.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,,,2-3 Hari,,"Laptop Axioo Hype 3 G12 Intel Core i3 Gen 12 1215U RAM 8GB SSD 256GB IPS WIN 11 Cocok Untuk Kerja, Kelas Online, Hingga Hiburan
Rp
8.279.000
2-3 Hari
Malang",https://shopee.co.id/Laptop-Axioo-Hype-3-G12-Intel-Core-i3-Gen-12-1215U-RAM-8GB-SSD-256GB-IPS-WIN-11-Cocok-Untuk-Kerja-Kelas-Online-Hingga-Hiburan-i.26681244.44179067970?extraParams=%7B%22display_model_id%22%3A390610170003%2C%22model_selection_logic%22%3A3%7D&sp_atk=161048dd-3fd6-45bb-a51c-2c46848a5ff4&xptdk=161048dd-3fd6-45bb-a51c-2c46848a5ff4
https://down-id.img.susercontent.com/file/id-11134207-822wt-mma4i8js8s1t79,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Laptop Murah Axioo Mybook Hype 1 Ram 8gb 512gb Ssd 14 inch Windows 11 Original,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,4.198.000,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,45 Terjual,,"Laptop Murah Axioo Mybook Hype 1 Ram 8gb 512gb Ssd 14 inch Windows 11 Original
Rp
4.198.000
-1%
5.0
45 Terjual
3-4 Hari
Jakarta Pusat",https://shopee.co.id/Laptop-Murah-Axioo-Mybook-Hype-1-Ram-8gb-512gb-Ssd-14-inch-Windows-11-Original-i.1590431644.43559411100?extraParams=%7B%22display_model_id%22%3A275787057523%2C%22model_selection_logic%22%3A3%7D&sp_atk=d0cb3162-e22c-4aa2-b1dd-f5ab680594e3&xptdk=d0cb3162-e22c-4aa2-b1dd-f5ab680594e3
