-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-shopee-primary,pointer-events-none,text-xs/sp14_2,pointer-events-none_2,w-auto,text-white,pointer-events-none_3,align-middle,text-shopee-green,truncate,img_2,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-8224v-mg679sa9qlfy8b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP AXIOO HYPE 5 G12 I5 1235 - 8/16GB 256/512GB 14.0FHD IPS,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,7.403.000,-35%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,25 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"LAPTOP AXIOO HYPE 5 G12 I5 1235 - 8/16GB 256/512GB 14.0FHD IPS
Rp
7.403.000
-35%
5.0
25 Terjual
Besok
Surabaya",https://shopee.co.id/LAPTOP-AXIOO-HYPE-5-G12-I5-1235-8-16GB-256-512GB-14.0FHD-IPS-i.1273997571.27669909703?extraParams=%7B%22display_model_id%22%3A168586790168%2C%22model_selection_logic%22%3A3%7D&sp_atk=4afd0cf4-922e-4771-bb01-7101632f4fc9&xptdk=4afd0cf4-922e-4771-bb01-7101632f4fc9
https://down-id.img.susercontent.com/file/id-11134207-7r98u-lw5634o4csy5ab,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Axioo Mybook Hype 1 4GB 128GB SSD Win11 14.1"" HD",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,4.495.000,-10%,,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Kediri,157 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Axioo Mybook Hype 1 4GB 128GB SSD Win11 14.1"" HD
Rp
4.495.000
-10%
4.9
157 Terjual
2-3 Hari
Kab. Kediri",https://shopee.co.id/Axioo-Mybook-Hype-1-4GB-128GB-SSD-Win11-14.1-HD-i.12084313.26951789049?extraParams=%7B%22display_model_id%22%3A297129796651%2C%22model_selection_logic%22%3A3%7D&sp_atk=416355e9-39a6-497d-b47a-c464f8d81a61&xptdk=416355e9-39a6-497d-b47a-c464f8d81a61
https://down-id.img.susercontent.com/file/id-11134207-8224v-mkdgy41lrapz3b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Axioo Hype 5 Ryzen 5 16GB 512SSD Windows 11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,7.108.000,-4%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,975 Terjual,Hadiah Gratis,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Axioo Hype 5 Ryzen 5 16GB 512SSD Windows 11
Rp
7.108.000
-4%
Hadiah Gratis
5.0
975 Terjual
< 2 Hari
Jakarta Selatan",https://shopee.co.id/Axioo-Hype-5-Ryzen-5-16GB-512SSD-Windows-11-i.217781231.18791062408?extraParams=%7B%22display_model_id%22%3A236573608166%2C%22model_selection_logic%22%3A3%7D&sp_atk=e3bb920d-60d8-4eba-8e28-936cdabb0b1c&xptdk=e3bb920d-60d8-4eba-8e28-936cdabb0b1c
https://down-id.img.susercontent.com/file/sg-11134201-7rd6s-m7g68y9faud129,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Axioo Hype 7 AMD X7-2 Ryzen 7 5825U RAM 8Gb/16Gb 512GB 14"" FHD IPS ORI RESMI",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,7.294.000,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,188 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Axioo Hype 7 AMD X7-2 Ryzen 7 5825U RAM 8Gb/16Gb 512GB 14"" FHD IPS ORI RESMI
Rp
7.294.000
-1%
4.9
188 Terjual
< 2 Hari
Bandung",https://shopee.co.id/Axioo-Hype-7-AMD-X7-2-Ryzen-7-5825U-RAM-8Gb-16Gb-512GB-14-FHD-IPS-ORI-RESMI-i.677356281.27729881473?extraParams=%7B%22display_model_id%22%3A185890032681%2C%22model_selection_logic%22%3A3%7D&sp_atk=0f2aa078-55f6-4ead-9f0e-7bcd554560bb&xptdk=0f2aa078-55f6-4ead-9f0e-7bcd554560bb
https://down-id.img.susercontent.com/file/id-11134207-7rasa-m3fsjwkgbtgue3,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Axioo Hype 7 Ryzen 7 16GB 512GB IPS 14"" FHD",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,7.450.000,,,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Medan,34 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Axioo Hype 7 Ryzen 7 16GB 512GB IPS 14"" FHD
Rp
7.450.000
4.9
34 Terjual
< 2 Hari
Medan",https://shopee.co.id/Axioo-Hype-7-Ryzen-7-16GB-512GB-IPS-14-FHD-i.35441254.25062344477?extraParams=%7B%22display_model_id%22%3A158517464697%2C%22model_selection_logic%22%3A3%7D&sp_atk=0e86bf51-6f81-4773-ada7-906537b69fb1&xptdk=0e86bf51-6f81-4773-ada7-906537b69fb1
https://down-id.img.susercontent.com/file/id-11134207-822wt-mlyn54afasxsc7,https://down-id.img.susercontent.com/file/id-11134258-8224q-mkvvibsp8oowa6,Axioo Hype 3 G12 Intel i3-1215U 8GB 256GB SSD 14” FHD IPS | Laptop Murah Kencang W11 Grey,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,6.088.000,-53%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,133 Terjual,Pilih Lokal,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Axioo Hype 3 G12 Intel i3-1215U 8GB 256GB SSD 14” FHD IPS | Laptop Murah Kencang W11 Grey
Rp
6.088.000
-53%
Pilih Lokal
Kombo Hemat
5.0
133 Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/Axioo-Hype-3-G12-Intel-i3-1215U-8GB-256GB-SSD-14%E2%80%9D-FHD-IPS-Laptop-Murah-Kencang-W11-Grey-i.608012662.26904572172?extraParams=%7B%22display_model_id%22%3A400721830374%2C%22model_selection_logic%22%3A3%7D&sp_atk=4ed7baf8-a700-445c-81c9-1c6aaf72f6fd&xptdk=4ed7baf8-a700-445c-81c9-1c6aaf72f6fd
https://down-id.img.susercontent.com/file/id-11134207-7ra0o-mciqogzrc36ff5,https://down-id.img.susercontent.com/file/id-11134258-8224q-mkvvibsp8oowa6,Axioo Laptop Hype 5 AMD X5-2 Ryzen 5-7430U/8GB/256GB/FHD IPS -  Windows 11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,7.459.000,-25%,,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,314 Terjual,Pilih Lokal,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Axioo Laptop Hype 5 AMD X5-2 Ryzen 5-7430U/8GB/256GB/FHD IPS - Windows 11
Rp
7.459.000
-25%
Pilih Lokal
4.9
314 Terjual
< 2 Hari
Jakarta Timur",https://shopee.co.id/Axioo-Laptop-Hype-5-AMD-X5-2-Ryzen-5-7430U-8GB-256GB-FHD-IPS-Windows-11-i.14454427.25633350497?extraParams=%7B%22display_model_id%22%3A272505627642%2C%22model_selection_logic%22%3A3%7D&sp_atk=5d2dfc8b-b085-4c6a-bc1c-aaf174f7d7b9&xptdk=5d2dfc8b-b085-4c6a-bc1c-aaf174f7d7b9
https://down-id.img.susercontent.com/file/id-11134207-8224p-mhepf1kf46bxc1,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,AXIOO HYPE 5 AMD X5-2 RYZEN 5 7430 8GB 256GB DOS 14.0FHD IPS BLIT HDMI GRY,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,7.108.000,-4%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,8 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"AXIOO HYPE 5 AMD X5-2 RYZEN 5 7430 8GB 256GB DOS 14.0FHD IPS BLIT HDMI GRY
Rp
7.108.000
-4%
5.0
8 Terjual
Besok
Surabaya",https://shopee.co.id/AXIOO-HYPE-5-AMD-X5-2-RYZEN-5-7430-8GB-256GB-DOS-14.0FHD-IPS-BLIT-HDMI-GRY-i.1471949508.41752176986?extraParams=%7B%22display_model_id%22%3A275179427122%2C%22model_selection_logic%22%3A3%7D&sp_atk=45abf696-20c4-47a9-8f08-c07a6c651455&xptdk=45abf696-20c4-47a9-8f08-c07a6c651455
https://down-id.img.susercontent.com/file/id-11134207-7rasd-m4r92z6h9kwg97,https://down-id.img.susercontent.com/file/id-11134258-8224q-mkvvibsp8oowa6,LAPTOP AXIOO MYBOOK HYPE 3 | i3 1005G1 8GB 256GB Windows 11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,6.088.000,-59%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,774 Terjual,Pilih Lokal,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"LAPTOP AXIOO MYBOOK HYPE 3 | i3 1005G1 8GB 256GB Windows 11
Rp
6.088.000
-59%
Pilih Lokal
Kombo Hemat
4.9
774 Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/LAPTOP-AXIOO-MYBOOK-HYPE-3-i3-1005G1-8GB-256GB-Windows-11-i.608012662.23950678253?extraParams=%7B%22display_model_id%22%3A400775231358%2C%22model_selection_logic%22%3A3%7D&sp_atk=5b0a729d-d8e3-4c73-96e0-c581c4046aa5&xptdk=5b0a729d-d8e3-4c73-96e0-c581c4046aa5
https://down-id.img.susercontent.com/file/id-11134207-7ra0j-mbix84hhbj387e,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Axioo MyBook Hype 5 G12 i5 16GB 512GB SSD Win11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,4.198.000,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,46 Terjual,Kombo Hemat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Axioo MyBook Hype 5 G12 i5 16GB 512GB SSD Win11
Rp
4.198.000
-1%
Kombo Hemat
5.0
46 Terjual
< 2 Hari
Kab. Tangerang",https://shopee.co.id/Axioo-MyBook-Hype-5-G12-i5-16GB-512GB-SSD-Win11-i.1306602594.29915623860?extraParams=%7B%22display_model_id%22%3A195500626644%2C%22model_selection_logic%22%3A3%7D&sp_atk=c8906736-7051-47eb-a2b9-441ad8c4e6a7&xptdk=c8906736-7051-47eb-a2b9-441ad8c4e6a7
