-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,text-xs/sp14_2,w-auto,text-white,inline-block,truncate,text-shopee-primary,pointer-events-none_3,img_2,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-822wl-mmslmcrjvnk246,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Axioo MyBook Hype 5 AMD Ryzen 5 3500U Ram 16Gb Ssd 512Gb Windows 11 Siap Pakai,Rp,4.280.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,,,,,,,,,"Laptop Axioo MyBook Hype 5 AMD Ryzen 5 3500U Ram 16Gb Ssd 512Gb Windows 11 Siap Pakai
Rp
4.280.000
1 Terjual
2-3 Hari
Malang",https://shopee.co.id/Laptop-Axioo-MyBook-Hype-5-AMD-Ryzen-5-3500U-Ram-16Gb-Ssd-512Gb-Windows-11-Siap-Pakai-i.141725604.50250286430?extraParams=%7B%22display_model_id%22%3A400025836253%2C%22model_selection_logic%22%3A3%7D&sp_atk=49d6a1e9-1021-43b6-84f2-b0326df5e1b2&xptdk=49d6a1e9-1021-43b6-84f2-b0326df5e1b2
https://down-id.img.susercontent.com/file/id-11134207-822wi-mndtpjx4kzd219,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Laptop 	Axioo Hype 5 AMD X5-2 AMD Ryzen 5 7430U Ram 4Gb Ssd 256Gb Full HD Windows 11 siap,pakai",Rp,5.445.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Laptop Axioo Hype 5 AMD X5-2 AMD Ryzen 5 7430U Ram 4Gb Ssd 256Gb Full HD Windows 11 siap,pakai
Rp
5.445.000
5.0
2 Terjual
< 2 Hari
Malang",https://shopee.co.id/Laptop-Axioo-Hype-5-AMD-X5-2-AMD-Ryzen-5-7430U-Ram-4Gb-Ssd-256Gb-Full-HD-Windows-11-siap-pakai-i.44435356.23665023654?extraParams=%7B%22display_model_id%22%3A262562561206%2C%22model_selection_logic%22%3A3%7D&sp_atk=83b2719b-46cf-496a-b96b-674d98ac2072&xptdk=83b2719b-46cf-496a-b96b-674d98ac2072
https://down-id.img.susercontent.com/file/id-11134207-7rasi-m5pa5iwulhkw81,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Axioo Hype 1 Intel Celeron 4GB SSD 128GB,Rp,2.700.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,27 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Laptop Axioo Hype 1 Intel Celeron 4GB SSD 128GB
Rp
2.700.000
5.0
27 Terjual
< 2 Hari
Jakarta Timur",https://shopee.co.id/Laptop-Axioo-Hype-1-Intel-Celeron-4GB-SSD-128GB-i.21730609.29724901645?extraParams=%7B%22display_model_id%22%3A257568316327%2C%22model_selection_logic%22%3A3%7D&sp_atk=f8262add-d36e-419f-9dd7-8f6c4c3abfa6&xptdk=f8262add-d36e-419f-9dd7-8f6c4c3abfa6
https://down-id.img.susercontent.com/file/id-11134207-822wg-mmslmcrk42yqc1,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Axioo MyBook Hype 3 G11 Intel Core i3-1125G4 Ram 8Gb Ssd 256Gb Windows 11 Mulus Siap Pakai,Rp,4.235.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,,,,,,,,,"Laptop Axioo MyBook Hype 3 G11 Intel Core i3-1125G4 Ram 8Gb Ssd 256Gb Windows 11 Mulus Siap Pakai
Rp
4.235.000
1 Terjual
2-3 Hari
Malang",https://shopee.co.id/Laptop-Axioo-MyBook-Hype-3-G11-Intel-Core-i3-1125G4-Ram-8Gb-Ssd-256Gb-Windows-11-Mulus-Siap-Pakai-i.141725604.42673673403?extraParams=%7B%22display_model_id%22%3A297514981388%2C%22model_selection_logic%22%3A3%7D&sp_atk=cd20d483-ea2d-4a4c-9a45-14e80d2b1973&xptdk=cd20d483-ea2d-4a4c-9a45-14e80d2b1973
https://down-id.img.susercontent.com/file/id-11134207-7rasi-m63xh1o392yo8c,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Second Axioo MyBook Hype 1 4GB 128GB SSD,Rp,2.000.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Laptop Second Axioo MyBook Hype 1 4GB 128GB SSD
Rp
2.000.000
5.0
1 Terjual
Besok 12:00
Surabaya",https://shopee.co.id/Laptop-Second-Axioo-MyBook-Hype-1-4GB-128GB-SSD-i.120595100.25941208343?extraParams=%7B%22display_model_id%22%3A198200536290%2C%22model_selection_logic%22%3A3%7D&sp_atk=8b829ed7-5e5a-42a9-98fc-30073d3f5356&xptdk=8b829ed7-5e5a-42a9-98fc-30073d3f5356
https://down-id.img.susercontent.com/file/id-11134207-822wm-mmsk1mrw45c4fe,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Axioo SlimBook 14 R5 AMD Ryzen 5 3500U Ram 8Gb Ssd 256Gb Normal Siap Pakai,Rp,3.245.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,,,,,,,,,"Laptop Axioo SlimBook 14 R5 AMD Ryzen 5 3500U Ram 8Gb Ssd 256Gb Normal Siap Pakai
Rp
3.245.000
1 Terjual
2-3 Hari
Malang",https://shopee.co.id/Laptop-Axioo-SlimBook-14-R5-AMD-Ryzen-5-3500U-Ram-8Gb-Ssd-256Gb-Normal-Siap-Pakai-i.141725604.52650295555?extraParams=%7B%22display_model_id%22%3A420744726836%2C%22model_selection_logic%22%3A3%7D&sp_atk=9bdeb536-4e3c-494d-83a0-81cd0f31e0cc&xptdk=9bdeb536-4e3c-494d-83a0-81cd0f31e0cc
https://down-id.img.susercontent.com/file/id-11134207-7ra0k-mbnbwcb4atef2c,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Axioo Hype 1 Intel Celeron 4GB SSD 128GB,Rp,2.350.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,"Laptop Axioo Hype 1 Intel Celeron 4GB SSD 128GB
Rp
2.350.000
1 Terjual
< 2 Hari
Jakarta Timur",https://shopee.co.id/Laptop-Axioo-Hype-1-Intel-Celeron-4GB-SSD-128GB-i.11815158.25345790010?extraParams=%7B%22display_model_id%22%3A280572289813%2C%22model_selection_logic%22%3A3%7D&sp_atk=466b5244-10cd-4389-80ac-a9b5e88c7e21&xptdk=466b5244-10cd-4389-80ac-a9b5e88c7e21
https://down-id.img.susercontent.com/file/id-11134207-7ra0g-mbdfhlryax1y1b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Bekas Axioo TNN  Intel Celeron Ram 8 GB Hardisk 500 Gb Surabaya,Rp,1.050.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,Besok 10:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 10:00,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,"Laptop Bekas Axioo TNN Intel Celeron Ram 8 GB Hardisk 500 Gb Surabaya
Rp
1.050.000
Besok 10:00
Surabaya",https://shopee.co.id/Laptop-Bekas-Axioo-TNN-Intel-Celeron-Ram-8-GB-Hardisk-500-Gb-Surabaya-i.1182368240.43005800454?extraParams=%7B%22display_model_id%22%3A305487036877%2C%22model_selection_logic%22%3A3%7D&sp_atk=92415fd3-4faf-4b91-819a-7e65686ebfe2&xptdk=92415fd3-4faf-4b91-819a-7e65686ebfe2
https://down-id.img.susercontent.com/file/id-11134207-7ra0u-mcwy5nm88pif07,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Notebook Axioo P102/Mybook 10 mesin hidup Lcd11in pecah gak ada Carger,Rp,300.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-4 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,,,"Notebook Axioo P102/Mybook 10 mesin hidup Lcd11in pecah gak ada Carger
Rp
300.000
3-4 Hari
Kab. Cirebon",https://shopee.co.id/Notebook-Axioo-P102-Mybook-10-mesin-hidup-Lcd11in-pecah-gak-ada-Carger-i.1022860192.40061270020?extraParams=%7B%22display_model_id%22%3A260942945242%2C%22model_selection_logic%22%3A3%7D&sp_atk=c295d528-e603-4a21-95dd-7a783f4f3405&xptdk=c295d528-e603-4a21-95dd-7a783f4f3405
https://down-id.img.susercontent.com/file/id-11134207-7ra0o-mc06kpth79doce,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Axioo Neon i3 Laptop Casing Mulus Tanpa Batre,Rp,400.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-4 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,,,"Axioo Neon i3 Laptop Casing Mulus Tanpa Batre
Rp
400.000
3-4 Hari
Kab. Cirebon",https://shopee.co.id/Axioo-Neon-i3-Laptop-Casing-Mulus-Tanpa-Batre-i.1022860192.43907954400?extraParams=%7B%22display_model_id%22%3A265674605279%2C%22model_selection_logic%22%3A3%7D&sp_atk=2da62592-0ba9-498e-ba73-159ce6bc1cab&xptdk=2da62592-0ba9-498e-ba73-159ce6bc1cab
