-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,text-shopee-primary,text-shopee-green,inline-block,img,text-xs/sp14_3,pointer-events-none_3,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/2bd4c6af0868b716a213b21c06fee027,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,DELL INSPIRON 3511 CORE i5.1135G7/8/1TB/UMA/W10,Rp,8.527.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,Besok,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,"DELL INSPIRON 3511 CORE i5.1135G7/8/1TB/UMA/W10
Rp
8.527.000
Besok
Surabaya",https://shopee.co.id/DELL-INSPIRON-3511-CORE-i5.1135G7-8-1TB-UMA-W10-i.139787388.17068830793?extraParams=%7B%22display_model_id%22%3A135781040848%2C%22model_selection_logic%22%3A3%7D&sp_atk=cfb1653c-4986-45ad-949e-c4391480f542&xptdk=cfb1653c-4986-45ad-949e-c4391480f542
https://down-id.img.susercontent.com/file/id-11134207-7rask-m3g3b4pguuok6b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,DELL Inspiron 3493 Intel Core i7-1065G7 8/512 Nvidia MX230 14 inch FHD IPS | GL7074,Rp,7.837.500,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Semarang,,< 2 Hari,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,"DELL Inspiron 3493 Intel Core i7-1065G7 8/512 Nvidia MX230 14 inch FHD IPS | GL7074
Rp
7.837.500
< 2 Hari
Semarang",https://shopee.co.id/DELL-Inspiron-3493-Intel-Core-i7-1065G7-8-512-Nvidia-MX230-14-inch-FHD-IPS-GL7074-i.389558274.26957668542?extraParams=%7B%22display_model_id%22%3A217716911077%2C%22model_selection_logic%22%3A3%7D&sp_atk=be0db15c-dd08-4994-a714-26c385299c69&xptdk=be0db15c-dd08-4994-a714-26c385299c69
https://down-id.img.susercontent.com/file/id-11134207-822wq-mn13e5xrjrbc90,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,"DELL Latitude 5420 Intel Core i5-1145G7 Ram 8GB SSD 256GB 14"" FHD",Rp,4.750.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 11:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,Besok 11:00,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,"DELL Latitude 5420 Intel Core i5-1145G7 Ram 8GB SSD 256GB 14"" FHD
Rp
4.750.000
Besok 11:00
Surabaya",https://shopee.co.id/DELL-Latitude-5420-Intel-Core-i5-1145G7-Ram-8GB-SSD-256GB-14-FHD-i.20977174.50508777658?extraParams=%7B%22display_model_id%22%3A315780727117%2C%22model_selection_logic%22%3A3%7D&sp_atk=b484b623-af87-4556-8c40-f9aa13db4a01&xptdk=b484b623-af87-4556-8c40-f9aa13db4a01
https://down-id.img.susercontent.com/file/id-11134207-822wj-mmog6zvjal1e6a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,DELL LATITUDE 5330 CORE i5 GEN 12 (TOUCHSCREEN) 16/256GB,Rp,5.800.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,-13%,2-4 Hari,,,,,,"DELL LATITUDE 5330 CORE i5 GEN 12 (TOUCHSCREEN) 16/256GB
Rp
5.800.000
-13%
2-4 Hari
Bandung",https://shopee.co.id/DELL-LATITUDE-5330-CORE-i5-GEN-12-(TOUCHSCREEN)-16-256GB-i.1422954640.56156531401?extraParams=%7B%22display_model_id%22%3A259206705136%2C%22model_selection_logic%22%3A3%7D&sp_atk=4a9f9936-842d-4dac-a57a-e14a3402d33d&xptdk=4a9f9936-842d-4dac-a57a-e14a3402d33d
https://down-id.img.susercontent.com/file/id-11134207-81ztf-mexn45iuy49311,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Dell Latitude 7430 i7 Gen 12 Ram 32GB SSD 14"" Touch Win 11",Rp,8.000.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,6 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,,"Dell Latitude 7430 i7 Gen 12 Ram 32GB SSD 14"" Touch Win 11
Rp
8.000.000
5.0
6 Terjual
< 2 Hari
Jakarta Barat",https://shopee.co.id/Dell-Latitude-7430-i7-Gen-12-Ram-32GB-SSD-14-Touch-Win-11-i.20084797.27341936504?extraParams=%7B%22display_model_id%22%3A216277148685%2C%22model_selection_logic%22%3A3%7D&sp_atk=99f53c68-537a-4c8a-920c-e0061adc21a6&xptdk=99f53c68-537a-4c8a-920c-e0061adc21a6
https://down-id.img.susercontent.com/file/sg-11134201-824io-mfpojcks4bnw1a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,DELL INSPIRON 15 3530 TOUCH I7 1355 16GB 1TB W11 15.6FHD GRY,Rp,9.299.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,4-8 Hari,,,,,,"DELL INSPIRON 15 3530 TOUCH I7 1355 16GB 1TB W11 15.6FHD GRY
Rp
9.299.000
4-8 Hari
Jakarta Utara",https://shopee.co.id/DELL-INSPIRON-15-3530-TOUCH-I7-1355-16GB-1TB-W11-15.6FHD-GRY-i.1273099956.26342444498?extraParams=%7B%22display_model_id%22%3A224550014279%2C%22model_selection_logic%22%3A3%7D&sp_atk=8b6d6bfd-943e-4e6c-8b8c-22c469ca5770&xptdk=8b6d6bfd-943e-4e6c-8b8c-22c469ca5770
https://down-id.img.susercontent.com/file/id-11134207-7rasl-m5e45hxcibeo4f,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Dell Inspiron 3530 15.6"" Touchscreen i5/i7 16GB 512GB SSD",Rp,10.919.090,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,-9%,13 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,,,"Dell Inspiron 3530 15.6"" Touchscreen i5/i7 16GB 512GB SSD
Rp
10.919.090
-9%
4.8
13 Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/Dell-Inspiron-3530-15.6-Touchscreen-i5-i7-16GB-512GB-SSD-i.357633576.26074653457?extraParams=%7B%22display_model_id%22%3A158997501337%2C%22model_selection_logic%22%3A3%7D&sp_atk=174240db-82aa-4dd6-871f-dda51bedc38d&xptdk=174240db-82aa-4dd6-871f-dda51bedc38d
https://down-id.img.susercontent.com/file/id-11134207-822wl-mln6mcr7xts8cb,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Dell Latitude 5330 Intel Core I7 1265U Ram 32GB 1TB SSD 13 inch Full HD IPS Touch Windows 11 Pro,Rp,10.993.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,-1%,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Hadiah Gratis,"Dell Latitude 5330 Intel Core I7 1265U Ram 32GB 1TB SSD 13 inch Full HD IPS Touch Windows 11 Pro
Rp
10.993.000
-1%
Hadiah Gratis
< 2 Hari
Depok",https://shopee.co.id/Dell-Latitude-5330-Intel-Core-I7-1265U-Ram-32GB-1TB-SSD-13-inch-Full-HD-IPS-Touch-Windows-11-Pro-i.1347699624.46807032032?extraParams=%7B%22display_model_id%22%3A440626108111%2C%22model_selection_logic%22%3A3%7D&sp_atk=38b9b135-0d79-44c4-9909-9ca9c4a2b8ee&xptdk=38b9b135-0d79-44c4-9909-9ca9c4a2b8ee
https://down-id.img.susercontent.com/file/id-11134207-8224p-mi6sp1vn7j7m55,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Dell Latitude 5330 i5 12 Gen 16GB 1TB Touchscreen,Rp,5.645.600,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,-1%,1 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"Dell Latitude 5330 i5 12 Gen 16GB 1TB Touchscreen
Rp
5.645.600
-1%
1 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Dell-Latitude-5330-i5-12-Gen-16GB-1TB-Touchscreen-i.164115007.53953020739?extraParams=%7B%22display_model_id%22%3A410291211780%2C%22model_selection_logic%22%3A3%7D&sp_atk=8de03309-eaef-4e2d-9fd9-47251db11452&xptdk=8de03309-eaef-4e2d-9fd9-47251db11452
https://down-id.img.susercontent.com/file/id-11134207-7rasf-m5b15ifzia6u2a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Dell 5400 Intel Core I7 Gen 8 RAM 8GB SSD 256GB 14inch Bonus Tas dan Mouse Wireless,Rp,2.830.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,-41%,84 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"Laptop Dell 5400 Intel Core I7 Gen 8 RAM 8GB SSD 256GB 14inch Bonus Tas dan Mouse Wireless
Rp
2.830.000
-41%
4.9
84 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Laptop-Dell-5400-Intel-Core-I7-Gen-8-RAM-8GB-SSD-256GB-14inch-Bonus-Tas-dan-Mouse-Wireless-i.478794673.23256729104?extraParams=%7B%22display_model_id%22%3A440791535376%2C%22model_selection_logic%22%3A3%7D&sp_atk=087bbeb2-6d48-4b8a-921b-36978d3c0627&xptdk=087bbeb2-6d48-4b8a-921b-36978d3c0627
