-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,w-auto,text-white,text-shopee-primary,pointer-events-none_3,img,text-xs/sp14_3,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/sg-11134201-81zuz-mn2jdcdc8lq833,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP DELL LATITUDE 3301 i7 8565U 8/512 SSD GARANSI,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,2.550.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-4 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,,,,,"LAPTOP DELL LATITUDE 3301 i7 8565U 8/512 SSD GARANSI
Rp
2.550.000
3-4 Hari
Jakarta Barat",https://shopee.co.id/LAPTOP-DELL-LATITUDE-3301-i7-8565U-8-512-SSD-GARANSI-i.895950563.56608852595?extraParams=%7B%22display_model_id%22%3A335785966571%2C%22model_selection_logic%22%3A3%7D&sp_atk=8af4153a-6890-46e8-90a5-890420dff533&xptdk=8af4153a-6890-46e8-90a5-890420dff533
https://down-id.img.susercontent.com/file/id-11134207-822wo-mn0zoib4k3r683,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"DELL Latitude 3420 Intel Core i5 - 1135G7 8/512 Webcam, WiFi6, Bluetooth, Backlight Keyboard | GL15185",,Rp,6.661.250,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Semarang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,"DELL Latitude 3420 Intel Core i5 - 1135G7 8/512 Webcam, WiFi6, Bluetooth, Backlight Keyboard | GL15185
Rp
6.661.250
< 2 Hari
Semarang",https://shopee.co.id/DELL-Latitude-3420-Intel-Core-i5-1135G7-8-512-Webcam-WiFi6-Bluetooth-Backlight-Keyboard-GL15185-i.389558274.40830024199?extraParams=%7B%22display_model_id%22%3A292535060331%2C%22model_selection_logic%22%3A3%7D&sp_atk=6a622d15-c1b5-4a08-9a1b-08a88e6f113e&xptdk=6a622d15-c1b5-4a08-9a1b-08a88e6f113e
https://down-id.img.susercontent.com/file/id-11134207-7ras9-m3lt6w1wyrj79d,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Dell Latitude 5511 / 5520 / 5420 || Core i5/i7 Gen 10/11 RAM 16gb/32gb SSD 512gb,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,6.479.990,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,21 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,,"Laptop Dell Latitude 5511 / 5520 / 5420 || Core i5/i7 Gen 10/11 RAM 16gb/32gb SSD 512gb
Rp
6.479.990
-1%
4.8
21 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Laptop-Dell-Latitude-5511-5520-5420-Core-i5-i7-Gen-10-11-RAM-16gb-32gb-SSD-512gb-i.169703753.15626702529?extraParams=%7B%22display_model_id%22%3A89044419584%2C%22model_selection_logic%22%3A3%7D&sp_atk=96d27181-d6e7-4bdf-b27b-42cf929855e6&xptdk=96d27181-d6e7-4bdf-b27b-42cf929855e6
https://down-id.img.susercontent.com/file/id-11134207-7rasj-m5fbpdhqatqu1d,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,"Laptop Dell Latitude 3440 14""FHD Intel i7-1355U, 8GB RAM/512GB SSD/Iris Xe/Win 11 H/1Y Warranty",,Rp,16.554.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,"Laptop Dell Latitude 3440 14""FHD Intel i7-1355U, 8GB RAM/512GB SSD/Iris Xe/Win 11 H/1Y Warranty
Rp
16.554.000
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Laptop-Dell-Latitude-3440-14-FHD-Intel-i7-1355U-8GB-RAM-512GB-SSD-Iris-Xe-Win-11-H-1Y-Warranty-i.190967652.26353771294?extraParams=%7B%22display_model_id%22%3A241087702086%2C%22model_selection_logic%22%3A3%7D&sp_atk=a2c5dfb3-2130-49b8-b947-109594daf9da&xptdk=a2c5dfb3-2130-49b8-b947-109594daf9da
https://down-id.img.susercontent.com/file/id-11134207-7rbk7-ma6fph9dxf2t5b,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"Laptop Dell Latitude 5290 2in1 Touchscreen Core i5 - 8350U RAM 8GB SSD 256GB 12.5"" FHD",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,5.109.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,136 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,-2%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.7,,"Laptop Dell Latitude 5290 2in1 Touchscreen Core i5 - 8350U RAM 8GB SSD 256GB 12.5"" FHD
Rp
5.109.000
-2%
4.7
136 Terjual
< 2 Hari
Bandung",https://shopee.co.id/Laptop-Dell-Latitude-5290-2in1-Touchscreen-Core-i5-8350U-RAM-8GB-SSD-256GB-12.5-FHD-i.583716561.25364647238?extraParams=%7B%22display_model_id%22%3A280074779770%2C%22model_selection_logic%22%3A3%7D&sp_atk=be24ed2c-88d4-42a7-b9ce-a91db0dcee89&xptdk=be24ed2c-88d4-42a7-b9ce-a91db0dcee89
https://down-id.img.susercontent.com/file/id-11134207-8224v-mkvx7rltnqpzd3,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Dell Latitude 5430 i7 16GB 256GB SSD FHD IPS,,Rp,7.165.500,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,"Dell Latitude 5430 i7 16GB 256GB SSD FHD IPS
Rp
7.165.500
< 2 Hari
Bandung",https://shopee.co.id/Dell-Latitude-5430-i7-16GB-256GB-SSD-FHD-IPS-i.151596342.51556286168?extraParams=%7B%22display_model_id%22%3A430568558554%2C%22model_selection_logic%22%3A3%7D&sp_atk=e9b9d230-761c-4c45-a898-1c4de223465c&xptdk=e9b9d230-761c-4c45-a898-1c4de223465c
https://down-id.img.susercontent.com/file/id-11134207-81zte-menyt7mgzc3pf5,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"Dell Latitude 3420 Core i5 16GB 512GB SSD 14"" Bonus Mouse",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,5.896.250,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,7 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,-25%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,"Dell Latitude 3420 Core i5 16GB 512GB SSD 14"" Bonus Mouse
Rp
5.896.250
-25%
5.0
7 Terjual
< 2 Hari
Jakarta Barat",https://shopee.co.id/Dell-Latitude-3420-Core-i5-16GB-512GB-SSD-14-Bonus-Mouse-i.1437111249.28026181385?extraParams=%7B%22display_model_id%22%3A233801351641%2C%22model_selection_logic%22%3A3%7D&sp_atk=d3c510e1-42f3-4282-9ea9-69ed7d1d798c&xptdk=d3c510e1-42f3-4282-9ea9-69ed7d1d798c
https://down-id.img.susercontent.com/file/id-11134207-822wt-mlkj94xphslc22,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Dell Latitude 13 5330 2in1 Touch i7 32GB 1TB SSD,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,10.998.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Hadiah Gratis,"Dell Latitude 13 5330 2in1 Touch i7 32GB 1TB SSD
Rp
10.998.000
-1%
Hadiah Gratis
< 2 Hari
Kab. Tangerang",https://shopee.co.id/Dell-Latitude-13-5330-2in1-Touch-i7-32GB-1TB-SSD-i.1305769617.25548007383?extraParams=%7B%22display_model_id%22%3A370620099912%2C%22model_selection_logic%22%3A3%7D&sp_atk=2d6824e8-cc80-460b-8973-6ab8ada23c22&xptdk=2d6824e8-cc80-460b-8973-6ab8ada23c22
https://down-id.img.susercontent.com/file/id-11134207-8224v-mkm3s015r18je0,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Dell Latitude 7410 Touchscreen I7 16GB 1TB Bonus,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,4.890.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,-41%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,"Dell Latitude 7410 Touchscreen I7 16GB 1TB Bonus
Rp
4.890.000
-41%
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Dell-Latitude-7410-Touchscreen-I7-16GB-1TB-Bonus-i.500227963.45306129716?extraParams=%7B%22display_model_id%22%3A355556063012%2C%22model_selection_logic%22%3A3%7D&sp_atk=0407d931-9f20-4bbb-a746-4373c8a7fba6&xptdk=0407d931-9f20-4bbb-a746-4373c8a7fba6
https://down-id.img.susercontent.com/file/id-11134207-81ztc-mdy0we205edfb6,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Dell Latitude 7320 Ci7 GEN11 Touchscreen Slim,,Rp,6.350.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,,,,,,"Laptop Dell Latitude 7320 Ci7 GEN11 Touchscreen Slim
Rp
6.350.000
2-3 Hari
Surabaya",https://shopee.co.id/Laptop-Dell-Latitude-7320-Ci7-GEN11-Touchscreen-Slim-i.36610648.41165398954?extraParams=%7B%22display_model_id%22%3A138399860864%2C%22model_selection_logic%22%3A3%7D&sp_atk=5dfdfbf5-3de0-47b1-9463-76c30c722815&xptdk=5dfdfbf5-3de0-47b1-9463-76c30c722815
