-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-shopee-primary,pointer-events-none,truncate,img,text-xs/sp14_2,text-xs,pointer-events-none_2,w-auto,text-white,pointer-events-none_3,align-middle,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-822wn-mlrc906yakgfbd,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Dell Inspiron 14 5440 i5 16GB 1TB SSD Win11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,8.490.000,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Hadiah Gratis,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,94 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,"Dell Inspiron 14 5440 i5 16GB 1TB SSD Win11
Rp
8.490.000
-1%
Hadiah Gratis
4.9
94 Terjual
< 2 Hari
Depok",https://shopee.co.id/Dell-Inspiron-14-5440-i5-16GB-1TB-SSD-Win11-i.1347699624.29571095012?extraParams=%7B%22display_model_id%22%3A267452511144%2C%22model_selection_logic%22%3A3%7D&sp_atk=e701cadf-b98e-4982-b3cb-11796576b546&xptdk=e701cadf-b98e-4982-b3cb-11796576b546
https://down-id.img.susercontent.com/file/id-11134207-81zto-mf6fdcq9ovt7d1,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,DELL LATTITUDE 5430 Intel Core i7 1255U RAM16GB SSD512GB 14'' FHD Windows 11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,8.299.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,34 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,"DELL LATTITUDE 5430 Intel Core i7 1255U RAM16GB SSD512GB 14'' FHD Windows 11
Rp
8.299.000
5.0
34 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/DELL-LATTITUDE-5430-Intel-Core-i7-1255U-RAM16GB-SSD512GB-14''-FHD-Windows-11-i.32829345.11529783890?extraParams=%7B%22display_model_id%22%3A157959865151%2C%22model_selection_logic%22%3A3%7D&sp_atk=fd229d8e-d28c-4374-8b6e-80acab9559d5&xptdk=fd229d8e-d28c-4374-8b6e-80acab9559d5
https://down-id.img.susercontent.com/file/id-11134207-822wo-mlq3gcan4sg372,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Dell Latitude 13 5330 2in1 i7 32GB 2TB SSD Touchscreen,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,10.999.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,6 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bogor,"Dell Latitude 13 5330 2in1 i7 32GB 2TB SSD Touchscreen
Rp
10.999.000
5.0
6 Terjual
< 2 Hari
Bogor",https://shopee.co.id/Dell-Latitude-13-5330-2in1-i7-32GB-2TB-SSD-Touchscreen-i.1415162945.43269966489?extraParams=%7B%22display_model_id%22%3A253919041570%2C%22model_selection_logic%22%3A3%7D&sp_atk=47c369fe-a1b1-49ba-b57e-09b48e5826bb&xptdk=47c369fe-a1b1-49ba-b57e-09b48e5826bb
https://down-id.img.susercontent.com/file/id-11134207-822ws-mmzs6rbps74679,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Dell Pro 15 Essential Ryzen 3 8GB 512GB SSD,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,8.109.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,"Dell Pro 15 Essential Ryzen 3 8GB 512GB SSD
Rp
8.109.000
< 2 Hari
Jakarta Timur",https://shopee.co.id/Dell-Pro-15-Essential-Ryzen-3-8GB-512GB-SSD-i.457194221.50758728144?extraParams=%7B%22display_model_id%22%3A340774805292%2C%22model_selection_logic%22%3A3%7D&sp_atk=385bdad2-00d6-49e9-acb7-7dfb782b8ea1&xptdk=385bdad2-00d6-49e9-acb7-7dfb782b8ea1
https://down-id.img.susercontent.com/file/id-11134207-8224x-mi5fl6xzwmbqb7,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"DELL LATITUDE 5420 Core i5-1145G7 8GB 256SSD IrisXe 14"" FHD IPS Win11 Pro",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,4.290.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,6 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,"DELL LATITUDE 5420 Core i5-1145G7 8GB 256SSD IrisXe 14"" FHD IPS Win11 Pro
Rp
4.290.000
4.8
6 Terjual
< 2 Hari
Malang",https://shopee.co.id/DELL-LATITUDE-5420-Core-i5-1145G7-8GB-256SSD-IrisXe-14-FHD-IPS-Win11-Pro-i.388042872.47802998063?extraParams=%7B%22display_model_id%22%3A287509363146%2C%22model_selection_logic%22%3A3%7D&sp_atk=49c45ccb-b491-43e8-bf6d-80ace58625ba&xptdk=49c45ccb-b491-43e8-bf6d-80ace58625ba
https://down-id.img.susercontent.com/file/id-11134207-822ws-mmzuo461wp3599,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Dell Inspiron 15 7530 Ryzen 5 16GB 1TB Touchscreen,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,8.498.000,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Hadiah Gratis,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bogor,"Dell Inspiron 15 7530 Ryzen 5 16GB 1TB Touchscreen
Rp
8.498.000
-1%
Hadiah Gratis
2 Terjual
< 2 Hari
Bogor",https://shopee.co.id/Dell-Inspiron-15-7530-Ryzen-5-16GB-1TB-Touchscreen-i.1418474373.49058744921?extraParams=%7B%22display_model_id%22%3A297532531773%2C%22model_selection_logic%22%3A3%7D&sp_atk=d08318a5-32cd-4c3f-b5b8-fde933352329&xptdk=d08318a5-32cd-4c3f-b5b8-fde933352329
https://down-id.img.susercontent.com/file/id-11134207-7r990-lrdx6d459tjh0e,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"DELL LATITUDE 5480 Core i5-6200U 8GB 128SSD 14"" HD Win11 Pro",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.590.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,12 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,"DELL LATITUDE 5480 Core i5-6200U 8GB 128SSD 14"" HD Win11 Pro
Rp
2.590.000
5.0
12 Terjual
< 2 Hari
Malang",https://shopee.co.id/DELL-LATITUDE-5480-Core-i5-6200U-8GB-128SSD-14-HD-Win11-Pro-i.388042872.24862448148?extraParams=%7B%22display_model_id%22%3A207308362312%2C%22model_selection_logic%22%3A3%7D&sp_atk=8de8f3e8-804f-4a5e-a2c7-d3e3a87449a6&xptdk=8de8f3e8-804f-4a5e-a2c7-d3e3a87449a6
https://down-id.img.susercontent.com/file/id-11134207-7rbk1-m9pa9wtgquiq22,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Dell Latitude 5320/5420 11th Gen i5/i7 16GB/32GB SSD 256GB/512GB Backlit Keyboard,,Rp,5.150.000,-50%,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.7,52 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,"Dell Latitude 5320/5420 11th Gen i5/i7 16GB/32GB SSD 256GB/512GB Backlit Keyboard
Rp
5.150.000
-50%
4.7
52 Terjual
3-4 Hari
Jakarta Pusat",https://shopee.co.id/Dell-Latitude-5320-5420-11th-Gen-i5-i7-16GB-32GB-SSD-256GB-512GB-Backlit-Keyboard-i.1358033994.26622684696?extraParams=%7B%22display_model_id%22%3A59857566160%2C%22model_selection_logic%22%3A3%7D&sp_atk=1f257a95-9b1d-49df-afa6-cd82bc635fb9&xptdk=1f257a95-9b1d-49df-afa6-cd82bc635fb9
https://down-id.img.susercontent.com/file/id-11134207-82250-mkkhqka9qy2v7f,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"DELL LATITUDE 5290 Core i7-8650U 8GB 256SSD 12.5"" HD Win11 Pro",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,3.390.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,"DELL LATITUDE 5290 Core i7-8650U 8GB 256SSD 12.5"" HD Win11 Pro
Rp
3.390.000
< 2 Hari
Malang",https://shopee.co.id/DELL-LATITUDE-5290-Core-i7-8650U-8GB-256SSD-12.5-HD-Win11-Pro-i.388042872.43078709594?extraParams=%7B%22display_model_id%22%3A410553422361%2C%22model_selection_logic%22%3A3%7D&sp_atk=34758699-d1a7-4aaa-9f48-4d114d5ce1ec&xptdk=34758699-d1a7-4aaa-9f48-4d114d5ce1ec
https://down-id.img.susercontent.com/file/id-11134207-822wn-mmiuj5m0rvgi23,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,LAPTOP DELL LATITUDE CORE i5 / i7 RAM 8GB / 16GB TERMURAH BERKUALITAS BERGARANSI,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.750.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,538 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,"LAPTOP DELL LATITUDE CORE i5 / i7 RAM 8GB / 16GB TERMURAH BERKUALITAS BERGARANSI
Rp
2.750.000
4.8
538 Terjual
< 2 Hari
Tangerang",https://shopee.co.id/LAPTOP-DELL-LATITUDE-CORE-i5-i7-RAM-8GB-16GB-TERMURAH-BERKUALITAS-BERGARANSI-i.23062282.23787981241?extraParams=%7B%22display_model_id%22%3A157587232643%2C%22model_selection_logic%22%3A3%7D&sp_atk=dd2958f2-9ff5-431d-a64c-2b4dade5168b&xptdk=dd2958f2-9ff5-431d-a64c-2b4dade5168b
