-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,inline-block,text-shopee-primary,pointer-events-none_3,img,text-xs/sp14_3,text-xs,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7r990-lnjkris7qe9mc4,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,2ND DELL LATITUD E5420 CORE I5-2540 RAMA 4GB SSD 128GB 14 INCH (2674),Rp,1.855.800,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Besok,,"2ND DELL LATITUD E5420 CORE I5-2540 RAMA 4GB SSD 128GB 14 INCH (2674)
Rp
1.855.800
Besok
Surabaya",https://shopee.co.id/2ND-DELL-LATITUD-E5420-CORE-I5-2540-RAMA-4GB-SSD-128GB-14-INCH-(2674)-i.865292971.23759837964?extraParams=%7B%22display_model_id%22%3A204714737249%2C%22model_selection_logic%22%3A3%7D&sp_atk=aa3f47b2-9fc8-434a-9b4a-5356363bee98&xptdk=aa3f47b2-9fc8-434a-9b4a-5356363bee98
https://down-id.img.susercontent.com/file/id-11134207-7r98o-lzvmtphz37zc91,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Dell Latitude 3420 - Layar 14 Inch - Second Murah Bagus Bergaransi,Rp,4.030.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,22 Terjual,,"Dell Latitude 3420 - Layar 14 Inch - Second Murah Bagus Bergaransi
Rp
4.030.000
-1%
5.0
22 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Dell-Latitude-3420-Layar-14-Inch-Second-Murah-Bagus-Bergaransi-i.566727418.28660276929?extraParams=%7B%22display_model_id%22%3A224382535497%2C%22model_selection_logic%22%3A3%7D&sp_atk=2065df1b-3b46-4025-8eb5-50e4d55ae0c0&xptdk=2065df1b-3b46-4025-8eb5-50e4d55ae0c0
https://down-id.img.susercontent.com/file/id-11134207-7r98p-lmu0wj7jsmuj3c,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,2ND DELL ISPIRON 14Z-N411Z CORE I5-2430M RAM 4GB SSD 240GB (2504),Rp,1.649.600,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Besok,,"2ND DELL ISPIRON 14Z-N411Z CORE I5-2430M RAM 4GB SSD 240GB (2504)
Rp
1.649.600
Besok
Surabaya",https://shopee.co.id/2ND-DELL-ISPIRON-14Z-N411Z-CORE-I5-2430M-RAM-4GB-SSD-240GB-(2504)-i.865292971.16296374014?extraParams=%7B%22display_model_id%22%3A204651541360%2C%22model_selection_logic%22%3A3%7D&sp_atk=69d21af6-13dc-450a-9811-a7df3a35f462&xptdk=69d21af6-13dc-450a-9811-a7df3a35f462
https://down-id.img.susercontent.com/file/id-11134207-8224s-mg6fyehag4cr6b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Dell Latitude 7410 7490 14 Inch Second Siap Pakai,Rp,2.550.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,3 Terjual,,"Dell Latitude 7410 7490 14 Inch Second Siap Pakai
Rp
2.550.000
5.0
3 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Dell-Latitude-7410-7490-14-Inch-Second-Siap-Pakai-i.984633420.25155331821?extraParams=%7B%22display_model_id%22%3A330801689203%2C%22model_selection_logic%22%3A3%7D&sp_atk=b80a676a-c024-497f-bd42-96d23d73a1e4&xptdk=b80a676a-c024-497f-bd42-96d23d73a1e4
https://down-id.img.susercontent.com/file/id-11134207-7ra0i-mbyudl5ocw4035,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Dell Inspiron N4050 Core i5 4GB Siap Pakai,Rp,1.700.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,,,,,,2-3 Hari,,"Dell Inspiron N4050 Core i5 4GB Siap Pakai
Rp
1.700.000
2-3 Hari
Malang",https://shopee.co.id/Dell-Inspiron-N4050-Core-i5-4GB-Siap-Pakai-i.37500898.40107833805?extraParams=%7B%22display_model_id%22%3A139400651443%2C%22model_selection_logic%22%3A3%7D&sp_atk=4bb13e31-67e9-4e3c-b747-9e97764feadb&xptdk=4bb13e31-67e9-4e3c-b747-9e97764feadb
https://down-id.img.susercontent.com/file/id-11134207-81zte-mdvs71291slg5f,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Dell XPS 13 Core i7 Touchscreen SSD 8GB 256GB,Rp,6.850.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang Selatan,,,,,,3-4 Hari,,"Dell XPS 13 Core i7 Touchscreen SSD 8GB 256GB
Rp
6.850.000
3-4 Hari
Tangerang Selatan",https://shopee.co.id/Dell-XPS-13-Core-i7-Touchscreen-SSD-8GB-256GB-i.648896746.25645920653?extraParams=%7B%22display_model_id%22%3A290689936675%2C%22model_selection_logic%22%3A3%7D&sp_atk=2cb6edef-2ac0-4ed8-b6c3-e0ee5f6c729a&xptdk=2cb6edef-2ac0-4ed8-b6c3-e0ee5f6c729a
https://down-id.img.susercontent.com/file/id-11134207-7ra0h-mbti1wl7nqtv3b,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"Dell Latitude 7400 i5/i7 14"" 8GB-16GB SSD 128GB-512GB Second Bergaransi",Rp,3.380.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,5 Terjual,,"Dell Latitude 7400 i5/i7 14"" 8GB-16GB SSD 128GB-512GB Second Bergaransi
Rp
3.380.000
-1%
5.0
5 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Dell-Latitude-7400-i5-i7-14-8GB-16GB-SSD-128GB-512GB-Second-Bergaransi-i.1289214543.27836204577?extraParams=%7B%22display_model_id%22%3A208507315560%2C%22model_selection_logic%22%3A3%7D&sp_atk=7edd5283-b0c5-4b2e-99bf-bf0341af30f1&xptdk=7edd5283-b0c5-4b2e-99bf-bf0341af30f1
https://down-id.img.susercontent.com/file/id-11134207-8224z-mjxxi3hn9tdv7b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Dell Latitude 5320 Intel i5 Gen 11th Ram 8GB SSD 256GB Second Original,Rp,4.000.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,,"Dell Latitude 5320 Intel i5 Gen 11th Ram 8GB SSD 256GB Second Original
Rp
4.000.000
< 2 Hari
Bandung",https://shopee.co.id/Dell-Latitude-5320-Intel-i5-Gen-11th-Ram-8GB-SSD-256GB-Second-Original-i.135197970.45755343774?extraParams=%7B%22display_model_id%22%3A297365183175%2C%22model_selection_logic%22%3A3%7D&sp_atk=fd651bee-efbe-4ab5-8b87-fe3fc09fd267&xptdk=fd651bee-efbe-4ab5-8b87-fe3fc09fd267
https://down-id.img.susercontent.com/file/id-11134207-7ra0n-md47u08536ph9e,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Dell Inspiron 14 P22G Mati Gambling 14in LCD,Rp,400.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,,,3-4 Hari,,"Dell Inspiron 14 P22G Mati Gambling 14in LCD
Rp
400.000
3-4 Hari
Kab. Cirebon",https://shopee.co.id/Dell-Inspiron-14-P22G-Mati-Gambling-14in-LCD-i.1022860192.40411824753?extraParams=%7B%22display_model_id%22%3A285991361402%2C%22model_selection_logic%22%3A3%7D&sp_atk=9f54fd05-ee76-4acc-a93f-afc627e3e3de&xptdk=9f54fd05-ee76-4acc-a93f-afc627e3e3de
https://down-id.img.susercontent.com/file/id-11134207-7rbkc-m74epujntug103,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,DELL VOSTRO 1520 MINUS,Rp,720.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,,,3-4 Hari,,"DELL VOSTRO 1520 MINUS
Rp
720.000
3-4 Hari
Kab. Sidoarjo",https://shopee.co.id/DELL-VOSTRO-1520-MINUS-i.9696867.29628963389?extraParams=%7B%22display_model_id%22%3A119424915948%2C%22model_selection_logic%22%3A3%7D&sp_atk=dd8629fc-2cb1-4a48-b7ae-f256c66eaae4&xptdk=dd8629fc-2cb1-4a48-b7ae-f256c66eaae4
