-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,inline-block,text-shopee-primary,pointer-events-none_3,text-xs/sp14_3,w-auto,text-white,truncate,img_2,text-white_2,text-white_2_link,_container,_container_link
https://down-id.img.susercontent.com/file/sg-11134201-22110-y9simsoep6jv3a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Dell Latitude 5450 intel core i5-5300U RAM 16GB 512GB SSD - 14 Inch Mulus,Rp,2.750.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,,,,,,,,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=22706608551&shopid=24907667,"Dell Latitude 5450 intel core i5-5300U RAM 16GB 512GB SSD - 14 Inch Mulus
Rp
2.750.000
3-5 Hari
Jakarta Timur",https://shopee.co.id/Dell-Latitude-5450-intel-core-i5-5300U-RAM-16GB-512GB-SSD-14-Inch-Mulus-i.24907667.22706608551?extraParams=%7B%22display_model_id%22%3A137151426183%2C%22model_selection_logic%22%3A3%7D&sp_atk=daab77f5-5c66-48ea-ab53-4c3c19037d37&xptdk=daab77f5-5c66-48ea-ab53-4c3c19037d37
https://down-id.img.susercontent.com/file/id-11134207-7rbkd-may03szemwpw3b,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Dell 5420-5590 Core i7/i5 Second Bergaransi,Rp,2.550.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,13 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,-4%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,4.4,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=22032338862&shopid=676179521,"Laptop Dell 5420-5590 Core i7/i5 Second Bergaransi
Rp
2.550.000
-4%
4.4
13 Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/Laptop-Dell-5420-5590-Core-i7-i5-Second-Bergaransi-i.676179521.22032338862?extraParams=%7B%22display_model_id%22%3A207980597166%2C%22model_selection_logic%22%3A3%7D&sp_atk=ceedd073-af6d-42f2-b90b-d98c13ec18b6&xptdk=ceedd073-af6d-42f2-b90b-d98c13ec18b6
https://down-id.img.susercontent.com/file/id-11134207-7r98t-lpg5qewdfebx71,,"Dell Latitude 7390 second Laptop Intel Core i5/I7 Ram 8gb ssd 128/256gb Peningkatan baru laptop  slim Murah Bagus dan Bergaransi bekas,US keyboard，backlight",Rp,2.699.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,5-8 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,,,,,,,,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=23363186007&shopid=834515472,"Dell Latitude 7390 second Laptop Intel Core i5/I7 Ram 8gb ssd 128/256gb Peningkatan baru laptop slim Murah Bagus dan Bergaransi bekas,US keyboard，backlight
Rp
2.699.000
5-8 Hari
Tangerang",https://shopee.co.id/Dell-Latitude-7390-second-Laptop-Intel-Core-i5-I7-Ram-8gb-ssd-128-256gb-Peningkatan-baru-laptop-slim-Murah-Bagus-dan-Bergaransi-bekas-US-keyboard%EF%BC%8Cbacklight-i.834515472.23363186007?extraParams=%7B%22display_model_id%22%3A233720240267%2C%22model_selection_logic%22%3A3%7D&sp_atk=69224c45-326a-47c9-8fe6-78ddb69218b7&xptdk=69224c45-326a-47c9-8fe6-78ddb69218b7
https://down-id.img.susercontent.com/file/id-11134207-8224v-mj7yseme1q0y8b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP SECOND DELL 3380 I3 GEN 6 RAM 8 SSD 256 TERMURAH,Rp,1.890.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,3 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,Produk Baru,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=43077360338&shopid=508721070,"LAPTOP SECOND DELL 3380 I3 GEN 6 RAM 8 SSD 256 TERMURAH
Rp
1.890.000
-1%
Produk Baru
3 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/LAPTOP-SECOND-DELL-3380-I3-GEN-6-RAM-8-SSD-256-TERMURAH-i.508721070.43077360338?extraParams=%7B%22display_model_id%22%3A360318454874%2C%22model_selection_logic%22%3A3%7D&sp_atk=3fbc5658-8a40-45a4-b9ae-5eb368c69d57&xptdk=3fbc5658-8a40-45a4-b9ae-5eb368c69d57
https://down-id.img.susercontent.com/file/id-11134207-7rasl-m21yf5krmouy1d,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Slim Untuk Sekolah Dell 7290 Core i5 RAM 8GB SSD 256GB 12 Inch Second,Rp,2.800.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=19184845082&shopid=68731002,"Laptop Slim Untuk Sekolah Dell 7290 Core i5 RAM 8GB SSD 256GB 12 Inch Second
Rp
2.800.000
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Laptop-Slim-Untuk-Sekolah-Dell-7290-Core-i5-RAM-8GB-SSD-256GB-12-Inch-Second-i.68731002.19184845082?extraParams=%7B%22display_model_id%22%3A204627684094%2C%22model_selection_logic%22%3A3%7D&sp_atk=3deec92b-d787-4e67-b188-07fdf5b2479d&xptdk=3deec92b-d787-4e67-b188-07fdf5b2479d
https://down-id.img.susercontent.com/file/id-11134207-7r98w-lskzw5jx2hbb61,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP BEKAS SECOND SEKEN BERKUALITAS DELL VOSTRO 3481,Rp,2.800.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Padang,,,,,,,,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=25067301867&shopid=219469803,"LAPTOP BEKAS SECOND SEKEN BERKUALITAS DELL VOSTRO 3481
Rp
2.800.000
2 Terjual
3-5 Hari
Padang",https://shopee.co.id/LAPTOP-BEKAS-SECOND-SEKEN-BERKUALITAS-DELL-VOSTRO-3481-i.219469803.25067301867?extraParams=%7B%22display_model_id%22%3A197351934459%2C%22model_selection_logic%22%3A3%7D&sp_atk=15c2c4e0-b242-4831-b19d-bc1801b626ce&xptdk=15c2c4e0-b242-4831-b19d-bc1801b626ce
https://down-id.img.susercontent.com/file/8be8e6c2fc97d042359912ba1168a1a8,,Notebook Bekas Dell Latitude 2120 RAM 2GB HDD 250 GB Windows 7,Rp,1.200.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-7 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,,,,,,,,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=9413544768&shopid=313394333,"Notebook Bekas Dell Latitude 2120 RAM 2GB HDD 250 GB Windows 7
Rp
1.200.000
4-7 Hari
Kab. Cirebon",https://shopee.co.id/Notebook-Bekas-Dell-Latitude-2120-RAM-2GB-HDD-250-GB-Windows-7-i.313394333.9413544768?extraParams=%7B%22display_model_id%22%3A63647785746%2C%22model_selection_logic%22%3A3%7D&sp_atk=abec2804-557e-4028-a229-d3471512be5c&xptdk=abec2804-557e-4028-a229-d3471512be5c
https://down-id.img.susercontent.com/file/id-11134207-7rbkc-m8op33p3bilp0d,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Dell latitude 7410 i5gen10//7420i5gen11/ram16gb//SSD 256gb siap pakai,Rp,4.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,6 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=28683837130&shopid=1339359244,"Dell latitude 7410 i5gen10//7420i5gen11/ram16gb//SSD 256gb siap pakai
Rp
4.500.000
5.0
6 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Dell-latitude-7410-i5gen10-7420i5gen11-ram16gb-SSD-256gb-siap-pakai-i.1339359244.28683837130?extraParams=%7B%22display_model_id%22%3A425526138254%2C%22model_selection_logic%22%3A3%7D&sp_atk=111b3119-e5d9-4f4b-9577-3c50cdd702b8&xptdk=111b3119-e5d9-4f4b-9577-3c50cdd702b8
https://down-id.img.susercontent.com/file/id-11134207-7rask-m5b15ifzmhw623,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Dell 5400 I7 14 Inch Bonus Tas Mouse,Rp,2.830.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,-41%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=24876798262&shopid=478794673,"Laptop Dell 5400 I7 14 Inch Bonus Tas Mouse
Rp
2.830.000
-41%
1 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Laptop-Dell-5400-I7-14-Inch-Bonus-Tas-Mouse-i.478794673.24876798262?extraParams=%7B%22display_model_id%22%3A440791507098%2C%22model_selection_logic%22%3A3%7D&sp_atk=d631da54-1b69-42aa-877e-cd67b3b8bc18&xptdk=d631da54-1b69-42aa-877e-cd67b3b8bc18
https://down-id.img.susercontent.com/file/id-11134207-7rbk2-ma10c4awv97id8,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,LAPTOP DELL LATITUDE 5411 INTEL CORE I5 GEN 10 RAM 8GB SSD 256GB NOTEBOOK SECOND,Rp,4.000.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Semarang,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=42350251184&shopid=9874552,"LAPTOP DELL LATITUDE 5411 INTEL CORE I5 GEN 10 RAM 8GB SSD 256GB NOTEBOOK SECOND
Rp
4.000.000
< 2 Hari
Semarang",https://shopee.co.id/LAPTOP-DELL-LATITUDE-5411-INTEL-CORE-I5-GEN-10-RAM-8GB-SSD-256GB-NOTEBOOK-SECOND-i.9874552.42350251184?extraParams=%7B%22display_model_id%22%3A290020142158%2C%22model_selection_logic%22%3A3%7D&sp_atk=345dde54-1f0d-4110-9083-49170b93ccea&xptdk=345dde54-1f0d-4110-9083-49170b93ccea
