-image-yazkc-11,text-sm,inline-block,text-xs/sp14,font-medium,text-xs,pointer-events-none,align-middle,-image-yazkc-11_2,img,text-xs/sp14_2,truncate,text-shopee-primary,pointer-events-none_2,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7r98q-lqu9tnhu97r101,HUAWEI MateBook D16 [ i5 Gen12 12450H 16+512 GB ] | (DISPLAY SET),https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,7.499.000,5 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,,,,,"HUAWEI MateBook D16 [ i5 Gen12 12450H 16+512 GB ] | (DISPLAY SET)
Rp
7.499.000
5 Terjual
Surabaya",https://shopee.co.id/HUAWEI-MateBook-D16-i5-Gen12-12450H-16-512-GB-(DISPLAY-SET)-i.394410537.24210382409?extraParams=%7B%22display_model_id%22%3A184888746815%2C%22model_selection_logic%22%3A3%7D&sp_atk=bcb4c39f-f38b-4005-b18c-5111a4d84057&xptdk=bcb4c39f-f38b-4005-b18c-5111a4d84057
https://down-id.img.susercontent.com/file/id-11134207-822ws-mlri63chl0qo88,Laptop Huawei MACHD-WXX9 / Core i7 Gen 11 / Touchscreen,,Rp,8.000.000,5 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Pekanbaru,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,,,"Laptop Huawei MACHD-WXX9 / Core i7 Gen 11 / Touchscreen
Rp
8.000.000
5.0
5 Terjual
Pekanbaru",https://shopee.co.id/Laptop-Huawei-MACHD-WXX9-Core-i7-Gen-11-Touchscreen-i.8822736.50800234464?extraParams=%7B%22display_model_id%22%3A262096133661%2C%22model_selection_logic%22%3A3%7D&sp_atk=68575ce6-d032-4ddc-ab60-5a1e4b428257&xptdk=68575ce6-d032-4ddc-ab60-5a1e4b428257
https://down-id.img.susercontent.com/file/id-11134207-822wp-mn169rlrc5xc85,Huawei Matebook D14 i3 Gen 10 Ram 8 SSD 256gb,,Rp,3.500.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,,,,,,"Huawei Matebook D14 i3 Gen 10 Ram 8 SSD 256gb
Rp
3.500.000
Tangerang",https://shopee.co.id/Huawei-Matebook-D14-i3-Gen-10-Ram-8-SSD-256gb-i.113206857.55858456558?extraParams=%7B%22display_model_id%22%3A370780667463%2C%22model_selection_logic%22%3A3%7D&sp_atk=21ff5404-a410-4a25-a9d8-30c218eb4f1c&xptdk=21ff5404-a410-4a25-a9d8-30c218eb4f1c
https://down-id.img.susercontent.com/file/id-11134207-8224u-mkd7n81paf405e,Laptop Huawei MateBook D15 super slim,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,5.550.000,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Pontianak,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,,,,,,"Laptop Huawei MateBook D15 super slim
Rp
5.550.000
1 Terjual
Pontianak",https://shopee.co.id/Laptop-Huawei-MateBook-D15-super-slim-i.48097423.40165710137?extraParams=%7B%22display_model_id%22%3A301293095475%2C%22model_selection_logic%22%3A3%7D&sp_atk=34729979-175a-4c67-a4c1-d819bcecbcb8&xptdk=34729979-175a-4c67-a4c1-d819bcecbcb8
https://down-id.img.susercontent.com/file/sg-11134201-825zl-mkj7ucgqtr0g10,HUAWEI MATEBOOK D14 CORE I5 GEN12 Ram 8gb Ssd 512gb,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,6.150.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,,,,,,"HUAWEI MATEBOOK D14 CORE I5 GEN12 Ram 8gb Ssd 512gb
Rp
6.150.000
Jakarta Timur",https://shopee.co.id/HUAWEI-MATEBOOK-D14-CORE-I5-GEN12-Ram-8gb-Ssd-512gb-i.12358252.56556036280?extraParams=%7B%22display_model_id%22%3A385549522715%2C%22model_selection_logic%22%3A3%7D&sp_atk=671008e3-caa2-48c1-bb85-b162828d754e&xptdk=671008e3-caa2-48c1-bb85-b162828d754e
https://down-id.img.susercontent.com/file/id-11134207-8224o-mkm8wfszh0jmd9,"HUAWEI MATEBOOK D14 2023 | INTEL I5-1240P |8GB 512GB | 14"" FHD IPS - GARANSI RESMI INDONESIA",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,8.550.000,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,,,,,,"HUAWEI MATEBOOK D14 2023 | INTEL I5-1240P |8GB 512GB | 14"" FHD IPS - GARANSI RESMI INDONESIA
Rp
8.550.000
1 Terjual
Kab. Tangerang",https://shopee.co.id/HUAWEI-MATEBOOK-D14-2023-INTEL-I5-1240P-8GB-512GB-14-FHD-IPS-GARANSI-RESMI-INDONESIA-i.3920367.44806144432?extraParams=%7B%22display_model_id%22%3A325557247697%2C%22model_selection_logic%22%3A3%7D&sp_atk=0fd80c8e-b059-4621-871e-bd2c41a148cb&xptdk=0fd80c8e-b059-4621-871e-bd2c41a148cb
https://down-id.img.susercontent.com/file/id-11134207-7rbk5-m9skm5wrm4gd3c,"Laptop Huawei HKD-W76, Core i7-11370H, 16/512Gb, Silver, BERGARANSI!!!",,Rp,4.200.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,,,,,,"Laptop Huawei HKD-W76, Core i7-11370H, 16/512Gb, Silver, BERGARANSI!!!
Rp
4.200.000
Jakarta Barat",https://shopee.co.id/Laptop-Huawei-HKD-W76-Core-i7-11370H-16-512Gb-Silver-BERGARANSI!!!-i.1111649441.43550997637?extraParams=%7B%22display_model_id%22%3A295079554353%2C%22model_selection_logic%22%3A3%7D&sp_atk=93603d63-ef9c-4d11-a074-c172004a377f&xptdk=93603d63-ef9c-4d11-a074-c172004a377f
https://down-id.img.susercontent.com/file/id-11134207-822wq-mmzdqrdqzchwdc,HUAWEI MATEBOOK D15 AMD RYZEN 5 RAM 8GB SSD 256GB,,Rp,3.800.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,,,,,,,"HUAWEI MATEBOOK D15 AMD RYZEN 5 RAM 8GB SSD 256GB
Rp
3.800.000
Jakarta Timur",https://shopee.co.id/HUAWEI-MATEBOOK-D15-AMD-RYZEN-5-RAM-8GB-SSD-256GB-i.319268314.56356242937?extraParams=%7B%22display_model_id%22%3A370566117349%2C%22model_selection_logic%22%3A3%7D&sp_atk=026cbde0-67a9-42ec-8973-5e4f334de0c4&xptdk=026cbde0-67a9-42ec-8973-5e4f334de0c4
https://down-id.img.susercontent.com/file/id-11134207-822wh-mlri63ceb11dac,Laptop Huawei MateBook Mach WX9 X Pro Core i7 Gen 10 / Touchscreen,,Rp,7.000.000,5 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Pekanbaru,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,,,"Laptop Huawei MateBook Mach WX9 X Pro Core i7 Gen 10 / Touchscreen
Rp
7.000.000
5.0
5 Terjual
Pekanbaru",https://shopee.co.id/Laptop-Huawei-MateBook-Mach-WX9-X-Pro-Core-i7-Gen-10-Touchscreen-i.8822736.28350694051?extraParams=%7B%22display_model_id%22%3A287460334000%2C%22model_selection_logic%22%3A3%7D&sp_atk=7b5a3341-c7bf-4cb5-82da-fa8ccd4c7c2e&xptdk=7b5a3341-c7bf-4cb5-82da-fa8ccd4c7c2e
https://down-id.img.susercontent.com/file/id-11134207-822wi-mmrix3ncr30k36,HUAWEI MateBook D 14 up to i5-12450H up to 8 + 512GB SSD | Sleek Full Metal Body |,,Rp,5.500.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,,,,,,"HUAWEI MateBook D 14 up to i5-12450H up to 8 + 512GB SSD | Sleek Full Metal Body |
Rp
5.500.000
Kab. Tangerang",https://shopee.co.id/HUAWEI-MateBook-D-14-up-to-i5-12450H-up-to-8-512GB-SSD-Sleek-Full-Metal-Body--i.22205052.49208369195?extraParams=%7B%22display_model_id%22%3A262513135671%2C%22model_selection_logic%22%3A3%7D&sp_atk=32754cef-c548-45b7-b641-9711dcf379f9&xptdk=32754cef-c548-45b7-b641-9711dcf379f9
