-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,pointer-events-none,align-middle,inline-block,img,text-xs/sp14_2,text-xs,text-shopee-primary,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-822wo-mmrbejsto45f1f,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Huawei D14 i3 10101U RAM 8GB Kondisi mati layar masih bagus,Rp,1.200.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sleman,,,,,,"Huawei D14 i3 10101U RAM 8GB Kondisi mati layar masih bagus
Rp
1.200.000
Kab. Sleman",https://shopee.co.id/Huawei-D14-i3-10101U-RAM-8GB-Kondisi-mati-layar-masih-bagus-i.966060303.48258357354?extraParams=%7B%22display_model_id%22%3A282512406345%2C%22model_selection_logic%22%3A3%7D&sp_atk=a2571652-f5b0-4595-90d7-c2a77dfcd2bd&xptdk=a2571652-f5b0-4595-90d7-c2a77dfcd2bd
https://down-id.img.susercontent.com/file/id-11134207-82252-mhrpguhjy5mtc3,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP HUAWEI NBLK-WAX9X AMD RYZEN 7 3700U 8GB SSD 512GB 14INCH SECOND BERGARANSI,Rp,5.249.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,,,"LAPTOP HUAWEI NBLK-WAX9X AMD RYZEN 7 3700U 8GB SSD 512GB 14INCH SECOND BERGARANSI
Rp
5.249.000
Jakarta Barat",https://shopee.co.id/LAPTOP-HUAWEI-NBLK-WAX9X-AMD-RYZEN-7-3700U-8GB-SSD-512GB-14INCH-SECOND-BERGARANSI-i.37906250.45752486337?extraParams=%7B%22display_model_id%22%3A435239143495%2C%22model_selection_logic%22%3A3%7D&sp_atk=23d0d7a3-88fd-439c-be56-75bf97e312ec&xptdk=23d0d7a3-88fd-439c-be56-75bf97e312ec
https://down-id.img.susercontent.com/file/id-11134207-8224w-mhsnw5c4n760eb,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP HUAWEI NBLK-WAX9X AMD RYZEN 7 3700U 8GB SSD 512GB 14INCH SECOND BERGARANSI,Rp,5.249.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,,,"LAPTOP HUAWEI NBLK-WAX9X AMD RYZEN 7 3700U 8GB SSD 512GB 14INCH SECOND BERGARANSI
Rp
5.249.000
Jakarta Barat",https://shopee.co.id/LAPTOP-HUAWEI-NBLK-WAX9X-AMD-RYZEN-7-3700U-8GB-SSD-512GB-14INCH-SECOND-BERGARANSI-i.365327344.42676953158?extraParams=%7B%22display_model_id%22%3A307223340919%2C%22model_selection_logic%22%3A3%7D&sp_atk=36864c29-bbb0-4ebf-be5d-e86d2bc4c231&xptdk=36864c29-bbb0-4ebf-be5d-e86d2bc4c231
https://down-id.img.susercontent.com/file/id-11134207-82250-mhzv3p7j0cu82a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP HUAWEI NBLK-WAX9X AMD RYZEN 7 3700U 8GB SSD 512GB 14 INCH SECOND BERGARANSI,Rp,5.149.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,,,"LAPTOP HUAWEI NBLK-WAX9X AMD RYZEN 7 3700U 8GB SSD 512GB 14 INCH SECOND BERGARANSI
Rp
5.149.000
Jakarta Barat",https://shopee.co.id/LAPTOP-HUAWEI-NBLK-WAX9X-AMD-RYZEN-7-3700U-8GB-SSD-512GB-14-INCH-SECOND-BERGARANSI-i.203572497.45702798394?extraParams=%7B%22display_model_id%22%3A292238155774%2C%22model_selection_logic%22%3A3%7D&sp_atk=9f180725-1267-49f9-8365-e1f3f8d44a6e&xptdk=9f180725-1267-49f9-8365-e1f3f8d44a6e
https://down-id.img.susercontent.com/file/id-11134207-8224x-mk4u310hkem959,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Huawei Matebook X Pro [13.9Inch 3K2K Touch | i7-8550u | 16GB Ram | 512GB SSD | W11] - Laptop Second Makassar,Rp,6.800.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Makassar,,,,,,"Huawei Matebook X Pro [13.9Inch 3K2K Touch | i7-8550u | 16GB Ram | 512GB SSD | W11] - Laptop Second Makassar
Rp
6.800.000
Makassar",https://shopee.co.id/Huawei-Matebook-X-Pro-13.9Inch-3K2K-Touch-i7-8550u-16GB-Ram-512GB-SSD-W11-Laptop-Second-Makassar-i.42310262.54205661600?extraParams=%7B%22display_model_id%22%3A405511882470%2C%22model_selection_logic%22%3A3%7D&sp_atk=d38bc3d2-279b-443f-8dc1-6a16346b84d5&xptdk=d38bc3d2-279b-443f-8dc1-6a16346b84d5
https://down-id.img.susercontent.com/file/id-11134207-822ws-mmewfq3n0c1x9a,,Preloved HUAWEI MateBook D 14 2024 i5 Gen 13 16+512GB Garansi Panjang 2027,Rp,8.200.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,,,,,,"Preloved HUAWEI MateBook D 14 2024 i5 Gen 13 16+512GB Garansi Panjang 2027
Rp
8.200.000
Kab. Sidoarjo",https://shopee.co.id/Preloved-HUAWEI-MateBook-D-14-2024-i5-Gen-13-16-512GB-Garansi-Panjang-2027-i.80298955.57407926575?extraParams=%7B%22display_model_id%22%3A405703701797%2C%22model_selection_logic%22%3A3%7D&sp_atk=9387b87f-5067-452a-8d32-1060d4d89b5e&xptdk=9387b87f-5067-452a-8d32-1060d4d89b5e
https://down-id.img.susercontent.com/file/id-11134207-81ztq-me0ytlp3x3pf1a,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,HUAWEI MateBook D14 | 8GB | 256GB | Second Mulus,Rp,5.000.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,,,,,,"HUAWEI MateBook D14 | 8GB | 256GB | Second Mulus
Rp
5.000.000
Jakarta Selatan",https://shopee.co.id/HUAWEI-MateBook-D14-8GB-256GB-Second-Mulus-i.109974939.42315998971?extraParams=%7B%22display_model_id%22%3A281318543771%2C%22model_selection_logic%22%3A3%7D&sp_atk=82383e3b-daf3-4259-9c21-db737a1f5c0f&xptdk=82383e3b-daf3-4259-9c21-db737a1f5c0f
https://down-id.img.susercontent.com/file/5569ebdfbbace5e1f3da5e695bd97b89,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop seken second huawei matebook d15 ryzen 5 8GB SSD,Rp,9.300.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Blitar,,,,,,"Laptop seken second huawei matebook d15 ryzen 5 8GB SSD
Rp
9.300.000
Blitar",https://shopee.co.id/Laptop-seken-second-huawei-matebook-d15-ryzen-5-8GB-SSD-i.34505835.11678245109?extraParams=%7B%22display_model_id%22%3A38034184504%2C%22model_selection_logic%22%3A3%7D&sp_atk=5cd8af99-adf0-4061-9bf7-655640755a09&xptdk=5cd8af99-adf0-4061-9bf7-655640755a09
https://down-id.img.susercontent.com/file/id-11134207-7r98p-lr8e5egtd6pga9,,HUAWEI MateBook D 16 i5 Gen 13 |DISPLAY SET |Second |,Rp,9.999.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,,"HUAWEI MateBook D 16 i5 Gen 13 |DISPLAY SET |Second |
Rp
9.999.000
5.0
1 Terjual
Surabaya",https://shopee.co.id/HUAWEI-MateBook-D-16-i5-Gen-13-DISPLAY-SET-Second--i.394410537.23563804841?extraParams=%7B%22display_model_id%22%3A240302811542%2C%22model_selection_logic%22%3A3%7D&sp_atk=06b9703e-af2a-4c32-934d-008a71eb2c68&xptdk=06b9703e-af2a-4c32-934d-008a71eb2c68
https://down-id.img.susercontent.com/file/id-11134207-7rasb-m4a9c8f15zt60b,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,LAPTOP HUAWEI CORE i3 GEN 11 RAM 8GB SSD 256GB SECOND/BEKAS,Rp,7.699.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,,,,"LAPTOP HUAWEI CORE i3 GEN 11 RAM 8GB SSD 256GB SECOND/BEKAS
Rp
7.699.000
Jakarta Utara",https://shopee.co.id/LAPTOP-HUAWEI-CORE-i3-GEN-11-RAM-8GB-SSD-256GB-SECOND-BEKAS-i.939372100.29221936999?extraParams=%7B%22display_model_id%22%3A215679615006%2C%22model_selection_logic%22%3A3%7D&sp_atk=ab5ee3d2-fcad-4d39-8684-750d067c11cd&xptdk=ab5ee3d2-fcad-4d39-8684-750d067c11cd
