-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,truncate,img,text-xs/sp14_2,text-xs,pointer-events-none,align-middle,text-shopee-primary,pointer-events-none_2,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-8224q-mkb7r8tpn3t222,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Infinix Xbook B14 Ryzen 7 7735HS 16GB 1TB SSD 14 inch WUXGA IPS Windows 11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,8.499.000,Hadiah Gratis,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,11 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,,,"Laptop Infinix Xbook B14 Ryzen 7 7735HS 16GB 1TB SSD 14 inch WUXGA IPS Windows 11
Rp
8.499.000
Hadiah Gratis
5.0
11 Terjual
Jakarta Selatan",https://shopee.co.id/Laptop-Infinix-Xbook-B14-Ryzen-7-7735HS-16GB-1TB-SSD-14-inch-WUXGA-IPS-Windows-11-i.217781231.41028579460?extraParams=%7B%22display_model_id%22%3A259161436005%2C%22model_selection_logic%22%3A3%7D&sp_atk=aa8ed22a-7d24-4a5e-9553-b8d1ef6f4b43&xptdk=aa8ed22a-7d24-4a5e-9553-b8d1ef6f4b43
https://down-id.img.susercontent.com/file/id-11134207-8224s-mh8ml795spag7a,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"Infinix Xbook B14 AMD Ryzen 5-7535HS 8GB/16GB SSD 512GB 14"" W11",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,7.979.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,7 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Yogyakarta,,,"Infinix Xbook B14 AMD Ryzen 5-7535HS 8GB/16GB SSD 512GB 14"" W11
Rp
7.979.000
5.0
7 Terjual
Yogyakarta",https://shopee.co.id/Infinix-Xbook-B14-AMD-Ryzen-5-7535HS-8GB-16GB-SSD-512GB-14-W11-i.29339583.47701718370?extraParams=%7B%22display_model_id%22%3A365411611598%2C%22model_selection_logic%22%3A3%7D&sp_atk=762ff8bf-4da3-43f8-bda4-d51acc9dab13&xptdk=762ff8bf-4da3-43f8-bda4-d51acc9dab13
https://down-id.img.susercontent.com/file/id-11134201-822wj-mn7f53ssl4w019,,Terlaris Infinix Laptop X2 Core I3 8Gb 256Gb Garansi Resmi 2 Tahun Notebook Grey Ready Stock Baru,,Rp,5.161.250,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,-25%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"Terlaris Infinix Laptop X2 Core I3 8Gb 256Gb Garansi Resmi 2 Tahun Notebook Grey Ready Stock Baru
Rp
5.161.250
-25%
Jakarta Timur",https://shopee.co.id/Terlaris-Infinix-Laptop-X2-Core-I3-8Gb-256Gb-Garansi-Resmi-2-Tahun-Notebook-Grey-Ready-Stock-Baru-i.1801608174.41530169187?extraParams=%7B%22display_model_id%22%3A350804371200%2C%22model_selection_logic%22%3A3%7D&sp_atk=88f0deaa-8f49-47fd-81f8-30e4118fb31c&xptdk=88f0deaa-8f49-47fd-81f8-30e4118fb31c
https://down-id.img.susercontent.com/file/id-11134207-822ws-mn8an4qmby88c4,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,INFINIX XBOOK B14 RYZEN 7 7735HS RAM 16GB SSD 512GB W11 14.0WUXGA,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,7.398.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,4 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"INFINIX XBOOK B14 RYZEN 7 7735HS RAM 16GB SSD 512GB W11 14.0WUXGA
Rp
7.398.000
-1%
5.0
4 Terjual
Depok",https://shopee.co.id/INFINIX-XBOOK-B14-RYZEN-7-7735HS-RAM-16GB-SSD-512GB-W11-14.0WUXGA-i.714573455.22425465814?extraParams=%7B%22display_model_id%22%3A310484054955%2C%22model_selection_logic%22%3A3%7D&sp_atk=1aa437ef-31c0-4f94-aa8d-9ac22295b1d0&xptdk=1aa437ef-31c0-4f94-aa8d-9ac22295b1d0
https://down-id.img.susercontent.com/file/id-11134207-8224q-mkhswfm0thxg0e,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"INFINIX INBOOK AIR I3 1215U RAM 8GB SSD 256GB W11 14"" WUXGA IPS 100%sRGB",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,5.849.000,,,,4 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Medan,,,"INFINIX INBOOK AIR I3 1215U RAM 8GB SSD 256GB W11 14"" WUXGA IPS 100%sRGB
Rp
5.849.000
4 Terjual
Medan",https://shopee.co.id/INFINIX-INBOOK-AIR-I3-1215U-RAM-8GB-SSD-256GB-W11-14-WUXGA-IPS-100-sRGB-i.35441254.55105987922?extraParams=%7B%22display_model_id%22%3A282455031628%2C%22model_selection_logic%22%3A3%7D&sp_atk=905b580d-f04b-4586-b314-c5ccee07d408&xptdk=905b580d-f04b-4586-b314-c5ccee07d408
https://down-id.img.susercontent.com/file/id-11134207-8224z-mkypby7ld91dfe,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"LAPTOP INFINIX XBOOK B14 AMD RYZEN 5 7535HS 8GB/16GB 512GB 14"" WUXGA IPS W11",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,7.650.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,3 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Banjarmasin,,,"LAPTOP INFINIX XBOOK B14 AMD RYZEN 5 7535HS 8GB/16GB 512GB 14"" WUXGA IPS W11
Rp
7.650.000
5.0
3 Terjual
Banjarmasin",https://shopee.co.id/LAPTOP-INFINIX-XBOOK-B14-AMD-RYZEN-5-7535HS-8GB-16GB-512GB-14-WUXGA-IPS-W11-i.312419703.57056203670?extraParams=%7B%22display_model_id%22%3A435795622672%2C%22model_selection_logic%22%3A3%7D&sp_atk=7888f264-59d6-4581-8f44-2147eb6476cf&xptdk=7888f264-59d6-4581-8f44-2147eb6476cf
https://down-id.img.susercontent.com/file/id-11134207-8224x-mg98ebs40i6if7,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Infinix Inbook Air XL442 i5-1235U,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,6.900.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Medan,,,"Laptop Infinix Inbook Air XL442 i5-1235U
Rp
6.900.000
5.0
2 Terjual
Medan",https://shopee.co.id/Laptop-Infinix-Inbook-Air-XL442-i5-1235U-i.52979790.55050151869?extraParams=%7B%22display_model_id%22%3A395586882751%2C%22model_selection_logic%22%3A3%7D&sp_atk=e1eeac9b-fc80-4ab2-8362-737b20c95eb2&xptdk=e1eeac9b-fc80-4ab2-8362-737b20c95eb2
https://down-id.img.susercontent.com/file/id-11134207-822wt-mn1040duxhc17d,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Infinix XBook B14 - AMD Ryzen 7 7735HS | RAM 16GB/512GB | Windows 11 Home 14.0 inch WUXGA IPS,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,8.494.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,6 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,-54%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"Infinix XBook B14 - AMD Ryzen 7 7735HS | RAM 16GB/512GB | Windows 11 Home 14.0 inch WUXGA IPS
Rp
8.494.000
-54%
5.0
6 Terjual
Jakarta Utara",https://shopee.co.id/Infinix-XBook-B14-AMD-Ryzen-7-7735HS-RAM-16GB-512GB-Windows-11-Home-14.0-inch-WUXGA-IPS-i.1105655476.52154895729?extraParams=%7B%22display_model_id%22%3A420451565014%2C%22model_selection_logic%22%3A3%7D&sp_atk=2df94a35-ec60-4347-8678-cd11cf39a207&xptdk=2df94a35-ec60-4347-8678-cd11cf39a207
https://down-id.img.susercontent.com/file/id-11134207-8224q-mkypby7mgkxz49,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"LAPTOP INFINIX XBOOK B14 AMD RYZEN 7 5825U 8GB 512GB 14"" WUXGA IPS W11",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,7.550.000,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Banjarmasin,,,"LAPTOP INFINIX XBOOK B14 AMD RYZEN 7 5825U 8GB 512GB 14"" WUXGA IPS W11
Rp
7.550.000
Banjarmasin",https://shopee.co.id/LAPTOP-INFINIX-XBOOK-B14-AMD-RYZEN-7-5825U-8GB-512GB-14-WUXGA-IPS-W11-i.312419703.49556219045?extraParams=%7B%22display_model_id%22%3A302409599716%2C%22model_selection_logic%22%3A3%7D&sp_atk=6b2be8ec-e792-4238-942c-5ee7d79080f1&xptdk=6b2be8ec-e792-4238-942c-5ee7d79080f1
https://down-id.img.susercontent.com/file/id-11134207-822wu-mn9k4k7jd343fd,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Laptop Infinix Xbook B14 AMD Ryzen 7 7735HS 16GB DDR5 1TB 14 Inch WUXGA IPS Windows 11 Home Original,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,7.397.001,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,12 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"Laptop Infinix Xbook B14 AMD Ryzen 7 7735HS 16GB DDR5 1TB 14 Inch WUXGA IPS Windows 11 Home Original
Rp
7.397.001
-1%
5.0
12 Terjual
Jakarta Pusat",https://shopee.co.id/Laptop-Infinix-Xbook-B14-AMD-Ryzen-7-7735HS-16GB-DDR5-1TB-14-Inch-WUXGA-IPS-Windows-11-Home-Original-i.1614564259.40420517008?extraParams=%7B%22display_model_id%22%3A306676185937%2C%22model_selection_logic%22%3A3%7D&sp_atk=90cd5fc0-570f-4b8f-9a2c-c88b8fbeb811&xptdk=90cd5fc0-570f-4b8f-9a2c-c88b8fbeb811
