-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,img,text-xs/sp14_2,text-xs,pointer-events-none,align-middle,text-shopee-primary,pointer-events-none_2,text-white,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-8224z-mhg7guw0exad90,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,INFINIX XBOOK B14 RYZEN 7 7735HS 16GB 512GB W11 14.0WUXGA IPS GARANSI RESMI INDONESIA,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,8.499.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,30 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,,,,,"INFINIX XBOOK B14 RYZEN 7 7735HS 16GB 512GB W11 14.0WUXGA IPS GARANSI RESMI INDONESIA
Rp
8.499.000
5.0
30 Terjual
Tangerang",https://shopee.co.id/INFINIX-XBOOK-B14-RYZEN-7-7735HS-16GB-512GB-W11-14.0WUXGA-IPS-GARANSI-RESMI-INDONESIA-i.755249536.18370763957?extraParams=%7B%22display_model_id%22%3A385232537326%2C%22model_selection_logic%22%3A3%7D&sp_atk=c18b0383-d79c-4da6-bde2-766709736f47&xptdk=c18b0383-d79c-4da6-bde2-766709736f47
https://down-id.img.susercontent.com/file/id-11134207-82251-mkjp5pdxv3eq97,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Infinix Notebook Air XL442 RAM 8/256GB - 16/512GB SSD 14 Inch Garansi Resmi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,7.498.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,,,,,"Infinix Notebook Air XL442 RAM 8/256GB - 16/512GB SSD 14 Inch Garansi Resmi
Rp
7.498.000
Tangerang",https://shopee.co.id/Infinix-Notebook-Air-XL442-RAM-8-256GB-16-512GB-SSD-14-Inch-Garansi-Resmi-i.103801415.53156003306?extraParams=%7B%22display_model_id%22%3A335557372158%2C%22model_selection_logic%22%3A3%7D&sp_atk=2a125968-76ac-46d1-9a39-286902be9b4c&xptdk=2a125968-76ac-46d1-9a39-286902be9b4c
https://down-id.img.susercontent.com/file/id-11134207-822wi-mnci8gy3pr0o06,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Infinix Inbook Air Pro+ Oled Intel i5 16GB SSD 512GB Windows 11 + Office Permanent 14.0 Inch Resolusi 2.8K Refresh Rate 120Hz Laptop Ringan dengan Bobot 1kg | Garansi Resmi Infinix,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,11.671.000,,,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,-45%,,,,"Infinix Inbook Air Pro+ Oled Intel i5 16GB SSD 512GB Windows 11 + Office Permanent 14.0 Inch Resolusi 2.8K Refresh Rate 120Hz Laptop Ringan dengan Bobot 1kg | Garansi Resmi Infinix
Rp
11.671.000
-45%
2 Terjual
Jakarta Utara",https://shopee.co.id/Infinix-Inbook-Air-Pro-Oled-Intel-i5-16GB-SSD-512GB-Windows-11-Office-Permanent-14.0-Inch-Resolusi-2.8K-Refresh-Rate-120Hz-Laptop-Ringan-dengan-Bobot-1kg-Garansi-Resmi-Infinix-i.1273198518.50157092700?extraParams=%7B%22display_model_id%22%3A440792423459%2C%22model_selection_logic%22%3A3%7D&sp_atk=4c9a27e3-ec3d-433d-a3f5-7bcfd0162144&xptdk=4c9a27e3-ec3d-433d-a3f5-7bcfd0162144
https://down-id.img.susercontent.com/file/id-11134207-8224s-ml7g6x2ed4w206,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Infinix XBook B14 Amd Ryzen 7-7735HS 16GB/8GB RAM 512GB SSD Windows 11 Original,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,8.505.000,,,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,,"Laptop Infinix XBook B14 Amd Ryzen 7-7735HS 16GB/8GB RAM 512GB SSD Windows 11 Original
Rp
8.505.000
-1%
1 Terjual
Surabaya",https://shopee.co.id/Laptop-Infinix-XBook-B14-Amd-Ryzen-7-7735HS-16GB-8GB-RAM-512GB-SSD-Windows-11-Original-i.1582963600.53606519233?extraParams=%7B%22display_model_id%22%3A370586587219%2C%22model_selection_logic%22%3A3%7D&sp_atk=f5753f8b-4689-416a-bef0-2182c375f26f&xptdk=f5753f8b-4689-416a-bef0-2182c375f26f
https://down-id.img.susercontent.com/file/sg-11134201-81zww-mmk3k4fldzwl6d,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Infinix Xbook B14 AMD Ryzen 5-7535HS 14inch WUXGA IPS W11 [Garansi Resmi],https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,7.499.000,,,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Denpasar,,,Cashback 1%,,"Infinix Xbook B14 AMD Ryzen 5-7535HS 14inch WUXGA IPS W11 [Garansi Resmi]
Rp
7.499.000
Cashback 1%
1 Terjual
Denpasar",https://shopee.co.id/Infinix-Xbook-B14-AMD-Ryzen-5-7535HS-14inch-WUXGA-IPS-W11-Garansi-Resmi--i.261010358.56758121046?extraParams=%7B%22display_model_id%22%3A310721566725%2C%22model_selection_logic%22%3A3%7D&sp_atk=d4a68b00-a1c3-40dd-9d9c-819c2940e666&xptdk=d4a68b00-a1c3-40dd-9d9c-819c2940e666
https://down-id.img.susercontent.com/file/id-11134207-822wk-mn1e9ajfyhhf70,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Laptop Kerja Bekas Lenovo ThinkPad T480 T490 T14 L480 L490 Core i5 i7 RAM 8GB 16GB SSD 14"" Bandel Bergaransi Murah Second",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,4.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,3 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,-39%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,,"Laptop Kerja Bekas Lenovo ThinkPad T480 T490 T14 L480 L490 Core i5 i7 RAM 8GB 16GB SSD 14"" Bandel Bergaransi Murah Second
Rp
4.500.000
-39%
5.0
3 Terjual
Jakarta Pusat",https://shopee.co.id/Laptop-Kerja-Bekas-Lenovo-ThinkPad-T480-T490-T14-L480-L490-Core-i5-i7-RAM-8GB-16GB-SSD-14-Bandel-Bergaransi-Murah-Second-i.406115999.43908559087?extraParams=%7B%22display_model_id%22%3A435781976245%2C%22model_selection_logic%22%3A3%7D&sp_atk=78f4410e-9f4a-4daa-aaf5-894072d7a90c&xptdk=78f4410e-9f4a-4daa-aaf5-894072d7a90c
https://down-id.img.susercontent.com/file/id-11134207-7rasl-m2rnra08c3b8d8,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,LAPTOP INFINIX INBOOK X2 INTEL CORE i5 1155G7 RAM 8GB SSD 256GB 14 INCH IPS 100% SRGB,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,7.713.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,11 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,,,,,"LAPTOP INFINIX INBOOK X2 INTEL CORE i5 1155G7 RAM 8GB SSD 256GB 14 INCH IPS 100% SRGB
Rp
7.713.000
5.0
11 Terjual
Tangerang",https://shopee.co.id/LAPTOP-INFINIX-INBOOK-X2-INTEL-CORE-i5-1155G7-RAM-8GB-SSD-256GB-14-INCH-IPS-100-SRGB-i.269581133.29812660060?extraParams=%7B%22display_model_id%22%3A108468602831%2C%22model_selection_logic%22%3A3%7D&sp_atk=857175c9-7171-40e0-9f8f-a96b25a9a706&xptdk=857175c9-7171-40e0-9f8f-a96b25a9a706
https://down-id.img.susercontent.com/file/id-11134207-822wg-mnckhzl9oidi2a,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Laptop Kuliah!! Infinix XBOOK B14 Amd Ryzen 5 7535HS 16Gb 512Gb 14.0 WUXGA Ips win11 silver,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,8.298.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,Hadiah Gratis,"Laptop Kuliah!! Infinix XBOOK B14 Amd Ryzen 5 7535HS 16Gb 512Gb 14.0 WUXGA Ips win11 silver
Rp
8.298.000
-1%
Hadiah Gratis
5.0
2 Terjual
Bandung",https://shopee.co.id/Laptop-Kuliah!!-Infinix-XBOOK-B14-Amd-Ryzen-5-7535HS-16Gb-512Gb-14.0-WUXGA-Ips-win11-silver-i.1617170660.51852204575?extraParams=%7B%22display_model_id%22%3A440215200936%2C%22model_selection_logic%22%3A3%7D&sp_atk=e3e12f1b-9f67-413f-acc6-43fe25148825&xptdk=e3e12f1b-9f67-413f-acc6-43fe25148825
https://down-id.img.susercontent.com/file/id-11134207-7ras9-m3adhtcjiqjyb3,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Infinix GT Book - Intel Core i5-12450H - Nvidia RTX 3050 6GB GDDR6 - RAM 16GB - SSD 512GB - 16 inch IPS 120Hz,,Rp,11.900.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,,,,,"Infinix GT Book - Intel Core i5-12450H - Nvidia RTX 3050 6GB GDDR6 - RAM 16GB - SSD 512GB - 16 inch IPS 120Hz
Rp
11.900.000
5.0
1 Terjual
Jakarta Timur",https://shopee.co.id/Infinix-GT-Book-Intel-Core-i5-12450H-Nvidia-RTX-3050-6GB-GDDR6-RAM-16GB-SSD-512GB-16-inch-IPS-120Hz-i.24907667.27619447072?extraParams=%7B%22display_model_id%22%3A257164510232%2C%22model_selection_logic%22%3A3%7D&sp_atk=a76b33d8-4786-4f01-bae4-c4e4d0e4430f&xptdk=a76b33d8-4786-4f01-bae4-c4e4d0e4430f
https://down-id.img.susercontent.com/file/id-11134207-822wi-mmii8g3y6n0v80,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"Laptop Infinix Inbook X2 Core i3-1315U RAM 8GB ROM 256/512Gb SSD 14"" IPS",,Rp,6.595.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.5,10 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,Cicilan,"Laptop Infinix Inbook X2 Core i3-1315U RAM 8GB ROM 256/512Gb SSD 14"" IPS
Rp
6.595.000
Cicilan
4.5
10 Terjual
Jakarta Barat",https://shopee.co.id/Laptop-Infinix-Inbook-X2-Core-i3-1315U-RAM-8GB-ROM-256-512Gb-SSD-14-IPS-i.6275613.17863480302?extraParams=%7B%22display_model_id%22%3A107388146582%2C%22model_selection_logic%22%3A3%7D&sp_atk=c242d743-a0ec-44dd-8b0f-89c370146d32&xptdk=c242d743-a0ec-44dd-8b0f-89c370146d32
