-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,pointer-events-none,align-middle,img,text-xs/sp14_2,text-xs,inline-block,text-shopee-primary,pointer-events-none_2,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7rbkc-m96tsp2pydqlc3,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Tipis Infinix InBook X1 | Core i3 Gen 10 | 8GB RAM | SSD 256GB | Bekas Mulus Fullset,Rp,2.700.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sragen,,,,,,,,"Laptop Tipis Infinix InBook X1 | Core i3 Gen 10 | 8GB RAM | SSD 256GB | Bekas Mulus Fullset
Rp
2.700.000
Kab. Sragen",https://shopee.co.id/Laptop-Tipis-Infinix-InBook-X1-Core-i3-Gen-10-8GB-RAM-SSD-256GB-Bekas-Mulus-Fullset-i.553989580.26685512483?extraParams=%7B%22display_model_id%22%3A248340743439%2C%22model_selection_logic%22%3A3%7D&sp_atk=a046e0b0-b7f8-4cf0-87a3-4cd6b7bb7db2&xptdk=a046e0b0-b7f8-4cf0-87a3-4cd6b7bb7db2
https://down-id.img.susercontent.com/file/id-11134207-7rbk5-m8lg488hgf0i13,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop  infinix inbook X1 Core i3-1005G1 Ram 8Gb 512Gb Normal Siap Pakai - Leptop Laptop Murah - Laptop Malang - Laptop Gaming - Bergaransi - Laptop Bekas - Laptop Bekas Malang,Rp,3.517.500,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,,,,,"Laptop infinix inbook X1 Core i3-1005G1 Ram 8Gb 512Gb Normal Siap Pakai - Leptop Laptop Murah - Laptop Malang - Laptop Gaming - Bergaransi - Laptop Bekas - Laptop Bekas Malang
Rp
3.517.500
5.0
1 Terjual
Malang",https://shopee.co.id/Laptop-infinix-inbook-X1-Core-i3-1005G1-Ram-8Gb-512Gb-Normal-Siap-Pakai-Leptop-Laptop-Murah-Laptop-Malang-Laptop-Gaming-Bergaransi-Laptop-Bekas-Laptop-Bekas-Malang-i.44435356.29533517778?extraParams=%7B%22display_model_id%22%3A147796248710%2C%22model_selection_logic%22%3A3%7D&sp_atk=3b1647e1-6d5b-487e-b69e-5a49176272a7&xptdk=3b1647e1-6d5b-487e-b69e-5a49176272a7
https://down-id.img.susercontent.com/file/id-11134207-8224x-mfxncoli5a1abe,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Infinix Inbook X2 | Core i3-1005G1 SSD 256GB | Keyboard Backlight | Laptop Second Slim Desain Gen 10,Rp,3.000.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,,"Infinix Inbook X2 | Core i3-1005G1 SSD 256GB | Keyboard Backlight | Laptop Second Slim Desain Gen 10
Rp
3.000.000
Depok",https://shopee.co.id/Infinix-Inbook-X2-Core-i3-1005G1-SSD-256GB-Keyboard-Backlight-Laptop-Second-Slim-Desain-Gen-10-i.6356067.44424670680?extraParams=%7B%22display_model_id%22%3A291998868035%2C%22model_selection_logic%22%3A3%7D&sp_atk=72d3b3ce-9480-43ab-b2e4-1aca378b6dc7&xptdk=72d3b3ce-9480-43ab-b2e4-1aca378b6dc7
https://down-id.img.susercontent.com/file/id-11134207-822wm-mmr5sfn5jx8h31,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Laptop Infinix Inboox X2 Intel core i7 Gen 10 Second, Mulus",Rp,4.700.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,,,,,,,,"Laptop Infinix Inboox X2 Intel core i7 Gen 10 Second, Mulus
Rp
4.700.000
Jakarta Selatan",https://shopee.co.id/Laptop-Infinix-Inboox-X2-Intel-core-i7-Gen-10-Second-Mulus-i.20378735.53308324857?extraParams=%7B%22display_model_id%22%3A370739786195%2C%22model_selection_logic%22%3A3%7D&sp_atk=9b446d84-adfc-4604-b42c-47ef36115436&xptdk=9b446d84-adfc-4604-b42c-47ef36115436
https://down-id.img.susercontent.com/file/id-11134207-7rasc-m28dpdqiclfu1c,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Infinix Inbook X2 i3 1005G1 Intel UHD RAM 4GB SSD 256GB Laptop Second Bekas Gen 10,Rp,3.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,,,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,,"Infinix Inbook X2 i3 1005G1 Intel UHD RAM 4GB SSD 256GB Laptop Second Bekas Gen 10
Rp
3.500.000
2 Terjual
Depok",https://shopee.co.id/Infinix-Inbook-X2-i3-1005G1-Intel-UHD-RAM-4GB-SSD-256GB-Laptop-Second-Bekas-Gen-10-i.6356067.26915798535?extraParams=%7B%22display_model_id%22%3A195641665721%2C%22model_selection_logic%22%3A3%7D&sp_atk=d188c9c5-4be0-4f9c-869a-dd0263094cbd&xptdk=d188c9c5-4be0-4f9c-869a-dd0263094cbd
https://down-id.img.susercontent.com/file/id-11134207-822wi-mn6v4xiuoohx38,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Dell Latitude Core i5 / i7 RAM 8GB SSD 256 |  Second Original Dan Murah,Rp,2.750.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,272 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,,"Laptop Dell Latitude Core i5 / i7 RAM 8GB SSD 256 | Second Original Dan Murah
Rp
2.750.000
4.8
272 Terjual
Jakarta Pusat",https://shopee.co.id/Laptop-Dell-Latitude-Core-i5-i7-RAM-8GB-SSD-256-Second-Original-Dan-Murah-i.872249560.19065145063?extraParams=%7B%22display_model_id%22%3A256746820072%2C%22model_selection_logic%22%3A3%7D&sp_atk=a816d54d-93c6-4bf1-a57a-5d1508b68003&xptdk=a816d54d-93c6-4bf1-a57a-5d1508b68003
https://down-id.img.susercontent.com/file/dd49a700432c38b94dddf731f9e28abe,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,laptop samsung white series np275e4v 14inch 2gb ram 500gb hdd mulus kinclong like new,Rp,1.099.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.7,9 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,-41%,,,"laptop samsung white series np275e4v 14inch 2gb ram 500gb hdd mulus kinclong like new
Rp
1.099.000
-41%
4.7
9 Terjual
Tangerang",https://shopee.co.id/laptop-samsung-white-series-np275e4v-14inch-2gb-ram-500gb-hdd-mulus-kinclong-like-new-i.18199758.19424785479?extraParams=%7B%22display_model_id%22%3A173720055088%2C%22model_selection_logic%22%3A3%7D&sp_atk=e5f18ce7-ce95-4f88-9c81-7371c83cc85b&xptdk=e5f18ce7-ce95-4f88-9c81-7371c83cc85b
https://down-id.img.susercontent.com/file/id-11134207-7r992-lrsk9sl6vztz73,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,BESTSELLER PROMO SAMSUNG CHROMEBOOK 4 Celeron N4020 Ram 4/32Gb BERGARANSI BISA CICILAN,Rp,1.650.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.1,35 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,,"BESTSELLER PROMO SAMSUNG CHROMEBOOK 4 Celeron N4020 Ram 4/32Gb BERGARANSI BISA CICILAN
Rp
1.650.000
4.1
35 Terjual
Jakarta Barat",https://shopee.co.id/BESTSELLER-PROMO-SAMSUNG-CHROMEBOOK-4-Celeron-N4020-Ram-4-32Gb-BERGARANSI-BISA-CICILAN-i.850155898.23859074067?extraParams=%7B%22display_model_id%22%3A59713222751%2C%22model_selection_logic%22%3A3%7D&sp_atk=75efd572-cff2-4383-b632-847655fb725f&xptdk=75efd572-cff2-4383-b632-847655fb725f
https://down-id.img.susercontent.com/file/id-11134207-82250-mi1l2tr2a0p085,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Original /Laptop Panasonic CF-QV8 2in1 Core i5 Gen8 | RAM 8GB | SSD 512GB | Mulus / Second / Berkualitas / Bergaransi.,Rp,3.099.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,25 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,-61%,,,"Original /Laptop Panasonic CF-QV8 2in1 Core i5 Gen8 | RAM 8GB | SSD 512GB | Mulus / Second / Berkualitas / Bergaransi.
Rp
3.099.000
-61%
5.0
25 Terjual
Jakarta Barat",https://shopee.co.id/Original-Laptop-Panasonic-CF-QV8-2in1-Core-i5-Gen8-RAM-8GB-SSD-512GB-Mulus-Second-Berkualitas-Bergaransi.-i.1621404466.56951499125?extraParams=%7B%22display_model_id%22%3A177361080247%2C%22model_selection_logic%22%3A3%7D&sp_atk=422caefd-ed92-44ae-b802-074f6096617a&xptdk=422caefd-ed92-44ae-b802-074f6096617a
https://down-id.img.susercontent.com/file/id-11134207-8224u-mhsutc9fcem8ae,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"LAPTOP HP ELITEBOOK 430 440 450 630 G6 G7 G9 I3 GEN 12 LAYAR 13,3 INCH MURAH MULUS BANYAK BONUSNYA",Rp,3.300.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.5,30 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,-3%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"LAPTOP HP ELITEBOOK 430 440 450 630 G6 G7 G9 I3 GEN 12 LAYAR 13,3 INCH MURAH MULUS BANYAK BONUSNYA
Rp
3.300.000
-3%
4.5
30 Terjual
Jakarta Utara",https://shopee.co.id/LAPTOP-HP-ELITEBOOK-430-440-450-630-G6-G7-G9-I3-GEN-12-LAYAR-13-3-INCH-MURAH-MULUS-BANYAK-BONUSNYA-i.925485019.26943736717?extraParams=%7B%22display_model_id%22%3A395392650968%2C%22model_selection_logic%22%3A3%7D&sp_atk=d2b19018-f7cc-4dcb-8db1-13d4f6585d59&xptdk=d2b19018-f7cc-4dcb-8db1-13d4f6585d59
