-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,truncate,img,text-xs/sp14_2,text-xs,pointer-events-none,align-middle,inline-block,text-shopee-primary,pointer-events-none_2,_container,_container_link
https://down-id.img.susercontent.com/file/sg-11134201-23020-pm6yg6hvgenv85,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Notebook asus X200 RAM 2GB HDD 500GB second,Rp,1.199.000,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.6,118 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bandung,,,,"Notebook asus X200 RAM 2GB HDD 500GB second
Rp
1.199.000
Cicilan
4.6
118 Terjual
Kab. Bandung",https://shopee.co.id/Notebook-asus-X200-RAM-2GB-HDD-500GB-second-i.178014179.3532528349?extraParams=%7B%22display_model_id%22%3A34946727804%2C%22model_selection_logic%22%3A3%7D&sp_atk=403a6ca4-1374-41d3-8514-41d008752554&xptdk=403a6ca4-1374-41d3-8514-41d008752554
https://down-id.img.susercontent.com/file/id-11134207-7r98v-lr8hae4aqdvx44,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,free printer Laptop Asus intel celeron RAM 8GB SSD 256GB FREE MOUSE + TAS,Rp,1.313.000,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.5,694 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,-51%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"free printer Laptop Asus intel celeron RAM 8GB SSD 256GB FREE MOUSE + TAS
Rp
1.313.000
-51%
Cicilan
4.5
694 Terjual
Jakarta Barat",https://shopee.co.id/free-printer-Laptop-Asus-intel-celeron-RAM-8GB-SSD-256GB-FREE-MOUSE-TAS-i.21620531.8528972633?extraParams=%7B%22display_model_id%22%3A140761470525%2C%22model_selection_logic%22%3A3%7D&sp_atk=47e53608-7a78-47f2-8499-52a26470eaf8&xptdk=47e53608-7a78-47f2-8499-52a26470eaf8
https://down-id.img.susercontent.com/file/id-11134207-822wk-mn1btg27uzuw6f,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,[Bekas] Laptop Lenovo Thinkpad L380/L390/L420/L430/L440/L450/L460/L470/L480/L490 Core i3/i5/i7,Rp,1.800.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,398 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,-5%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"[Bekas] Laptop Lenovo Thinkpad L380/L390/L420/L430/L440/L450/L460/L470/L480/L490 Core i3/i5/i7
Rp
1.800.000
-5%
4.8
398 Terjual
Jakarta Utara",https://shopee.co.id/-Bekas-Laptop-Lenovo-Thinkpad-L380-L390-L420-L430-L440-L450-L460-L470-L480-L490-Core-i3-i5-i7-i.472460537.18993131355?extraParams=%7B%22display_model_id%22%3A281291786942%2C%22model_selection_logic%22%3A3%7D&sp_atk=c1eccb10-d603-4da0-967f-647460e3bef7&xptdk=c1eccb10-d603-4da0-967f-647460e3bef7
https://down-id.img.susercontent.com/file/id-11134207-822wt-mn2ddj4lozrc38,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop LENOVO THINKPAD L440/L450/L460 CORE I5 RAM 8 SSD 128 SECOND / BERKUALITAS / BERGARANSI,Rp,1.800.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,38 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,-5%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"Laptop LENOVO THINKPAD L440/L450/L460 CORE I5 RAM 8 SSD 128 SECOND / BERKUALITAS / BERGARANSI
Rp
1.800.000
-5%
4.8
38 Terjual
Jakarta Utara",https://shopee.co.id/Laptop-LENOVO-THINKPAD-L440-L450-L460-CORE-I5-RAM-8-SSD-128-SECOND-BERKUALITAS-BERGARANSI-i.802578957.19216676126?extraParams=%7B%22display_model_id%22%3A395773728195%2C%22model_selection_logic%22%3A3%7D&sp_atk=8223d075-ce8e-4011-8e3e-2bf8a1e4c0c2&xptdk=8223d075-ce8e-4011-8e3e-2bf8a1e4c0c2
https://down-id.img.susercontent.com/file/id-11134207-7rasf-m2hmls171cjkb4,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,laptop netbook second samsung 10 inch murah normal semua siap pakai & zoom baterai awet garansi,Rp,880.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.5,18 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,"laptop netbook second samsung 10 inch murah normal semua siap pakai & zoom baterai awet garansi
Rp
880.000
4.5
18 Terjual
Jakarta Barat",https://shopee.co.id/laptop-netbook-second-samsung-10-inch-murah-normal-semua-siap-pakai-zoom-baterai-awet-garansi-i.155530272.6547862376?extraParams=%7B%22display_model_id%22%3A242010194871%2C%22model_selection_logic%22%3A3%7D&sp_atk=2c1bd1e4-fb09-49cb-9cd5-96ac354e6bbe&xptdk=2c1bd1e4-fb09-49cb-9cd5-96ac354e6bbe
https://down-id.img.susercontent.com/file/sg-11134201-23010-7pp9y2sq5qmv88,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Laptop i5 CORE i5 i7 Dell / RAM 8GB / SSD 512GB / SSD 256GB /2TB/1TB/ 14"" - Windows 10, Laptop Bekas Dell i5 Core i5",Rp,1.400.000,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.6,1RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,,"Laptop i5 CORE i5 i7 Dell / RAM 8GB / SSD 512GB / SSD 256GB /2TB/1TB/ 14"" - Windows 10, Laptop Bekas Dell i5 Core i5
Rp
1.400.000
Cicilan
4.6
1RB+ Terjual
Jakarta Utara",https://shopee.co.id/Laptop-i5-CORE-i5-i7-Dell-RAM-8GB-SSD-512GB-SSD-256GB-2TB-1TB-14-Windows-10-Laptop-Bekas-Dell-i5-Core-i5-i.20507921.1186092271?extraParams=%7B%22display_model_id%22%3A98892035260%2C%22model_selection_logic%22%3A3%7D&sp_atk=dfae5094-a1b3-4727-b6a5-6e6b2a2ee2eb&xptdk=dfae5094-a1b3-4727-b6a5-6e6b2a2ee2eb
https://down-id.img.susercontent.com/file/id-11134207-7ra0l-mbbe21jhkhax56,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Hp Intel core i3 / i5 / i7 Ram 8Gb / 16GB SSD 256GB / 500GB  OS windows 10 / 11 - siap pakai,Rp,1.350.000,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.7,3RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,"Laptop Hp Intel core i3 / i5 / i7 Ram 8Gb / 16GB SSD 256GB / 500GB OS windows 10 / 11 - siap pakai
Rp
1.350.000
Cicilan
4.7
3RB+ Terjual
Jakarta Pusat",https://shopee.co.id/Laptop-Hp-Intel-core-i3-i5-i7-Ram-8Gb-16GB-SSD-256GB-500GB-OS-windows-10-11-siap-pakai-i.230649038.12547122822?extraParams=%7B%22display_model_id%22%3A195819232276%2C%22model_selection_logic%22%3A3%7D&sp_atk=a017b6ff-0e9f-4a9a-8444-4a78b7e6305d&xptdk=a017b6ff-0e9f-4a9a-8444-4a78b7e6305d
https://down-id.img.susercontent.com/file/sg-11134201-22120-eh19vgqb1nlv8b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP LENOVO THINKPAD YOGA 11E/300E /100ETouchscreen - RAM 8/256GB MULUS,Rp,1.500.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,61 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,-6%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"LAPTOP LENOVO THINKPAD YOGA 11E/300E /100ETouchscreen - RAM 8/256GB MULUS
Rp
1.500.000
-6%
4.9
61 Terjual
Jakarta Utara",https://shopee.co.id/LAPTOP-LENOVO-THINKPAD-YOGA-11E-300E-100ETouchscreen-RAM-8-256GB-MULUS-i.925485019.23715111360?extraParams=%7B%22display_model_id%22%3A146503806435%2C%22model_selection_logic%22%3A3%7D&sp_atk=e54bab0b-c758-4709-8ef7-55980e6f471d&xptdk=e54bab0b-c758-4709-8ef7-55980e6f471d
https://down-id.img.susercontent.com/file/id-11134207-7qukx-lj5dcbrg8dhz90,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP HP 14 DUAL CORE RAM 8GB 512 SSD WINDOWS 10,Rp,1.060.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.2,23 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,"LAPTOP HP 14 DUAL CORE RAM 8GB 512 SSD WINDOWS 10
Rp
1.060.000
4.2
23 Terjual
Jakarta Barat",https://shopee.co.id/LAPTOP-HP-14-DUAL-CORE-RAM-8GB-512-SSD-WINDOWS-10-i.4152980.18090724321?extraParams=%7B%22display_model_id%22%3A194424036043%2C%22model_selection_logic%22%3A3%7D&sp_atk=160eb453-2fe3-404a-9db2-b7bc467a39e0&xptdk=160eb453-2fe3-404a-9db2-b7bc467a39e0
https://down-id.img.susercontent.com/file/id-11134207-7r992-lwxrymts1c0ue5,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Asus X450E AMD E1 - 2500 Ram 8GB  SSD 500GB /256GB / 1TB Windows 10 - Siap pakai,Rp,1.650.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.5,873 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,"Laptop Asus X450E AMD E1 - 2500 Ram 8GB SSD 500GB /256GB / 1TB Windows 10 - Siap pakai
Rp
1.650.000
4.5
873 Terjual
Jakarta Pusat",https://shopee.co.id/Laptop-Asus-X450E-AMD-E1-2500-Ram-8GB-SSD-500GB-256GB-1TB-Windows-10-Siap-pakai-i.230649038.21343549579?extraParams=%7B%22display_model_id%22%3A252890639470%2C%22model_selection_logic%22%3A3%7D&sp_atk=75637fed-461b-415b-9628-1f23d19a866a&xptdk=75637fed-461b-415b-9628-1f23d19a866a
