-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-shopee-primary,pointer-events-none,truncate,img,text-xs/sp14_2,text-xs,pointer-events-none_2,align-middle,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7r98t-lrh0kppfi8yh2a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Notebook Acer 11 inchi intel celeron Ram 4GB Ssd 256GB FREE GIFT,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.313.000,-51%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.3,92 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,"Notebook Acer 11 inchi intel celeron Ram 4GB Ssd 256GB FREE GIFT
Rp
1.313.000
-51%
Cicilan
4.3
92 Terjual
Jakarta Barat",https://shopee.co.id/Notebook-Acer-11-inchi-intel-celeron-Ram-4GB-Ssd-256GB-FREE-GIFT-i.21620531.7684436362?extraParams=%7B%22display_model_id%22%3A64600984185%2C%22model_selection_logic%22%3A3%7D&sp_atk=bbae71b9-438c-455e-ba8e-022796a7a840&xptdk=bbae71b9-438c-455e-ba8e-022796a7a840
https://down-id.img.susercontent.com/file/id-11134207-7ra0n-mbf300aj56ckac,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop HP Probook 640 650 6470B G1 G2 G3 G4 G5 Core i5/i7 HP Elitebook 630 G9 RAM 32 SSD 512 SUPER MULUS NO BERGARANSI,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,2.100.000,-5%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,99 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,"Laptop HP Probook 640 650 6470B G1 G2 G3 G4 G5 Core i5/i7 HP Elitebook 630 G9 RAM 32 SSD 512 SUPER MULUS NO BERGARANSI
Rp
2.100.000
-5%
4.8
99 Terjual
Jakarta Utara",https://shopee.co.id/Laptop-HP-Probook-640-650-6470B-G1-G2-G3-G4-G5-Core-i5-i7-HP-Elitebook-630-G9-RAM-32-SSD-512-SUPER-MULUS-NO-BERGARANSI-i.802578957.21132608568?extraParams=%7B%22display_model_id%22%3A295146779573%2C%22model_selection_logic%22%3A3%7D&sp_atk=6bd667d4-e7cf-4f20-8416-6b6323820507&xptdk=6bd667d4-e7cf-4f20-8416-6b6323820507
https://down-id.img.susercontent.com/file/id-11134207-7rbk5-m7blxu33bc4nbb,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Notebook Hp Stream 11 | Intel Celeron N2840 | Ram 2GB | Ssd 256GB | BERGARANSI,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.100.000,-8%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.7,95 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,"Notebook Hp Stream 11 | Intel Celeron N2840 | Ram 2GB | Ssd 256GB | BERGARANSI
Rp
1.100.000
-8%
4.7
95 Terjual
Jakarta Barat",https://shopee.co.id/Notebook-Hp-Stream-11-Intel-Celeron-N2840-Ram-2GB-Ssd-256GB-BERGARANSI-i.239820426.13284534916?extraParams=%7B%22display_model_id%22%3A252880128757%2C%22model_selection_logic%22%3A3%7D&sp_atk=f9aad327-a6b4-4fbb-b39c-874b9e78868a&xptdk=f9aad327-a6b4-4fbb-b39c-874b9e78868a
https://down-id.img.susercontent.com/file/id-11134207-7rbke-m8i7ly78jvnx11,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,minus gak bisa di cas laptop ml infinix inbox x2 ram 4gb,,Rp,1.200.000,,,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Belitung Timur,"minus gak bisa di cas laptop ml infinix inbox x2 ram 4gb
Rp
1.200.000
Kab. Belitung Timur",https://shopee.co.id/minus-gak-bisa-di-cas-laptop-ml-infinix-inbox-x2-ram-4gb-i.461429303.28983186395?extraParams=%7B%22display_model_id%22%3A258162624744%2C%22model_selection_logic%22%3A3%7D&sp_atk=b984a6bb-364c-4403-b5e6-8fe5dad2c529&xptdk=b984a6bb-364c-4403-b5e6-8fe5dad2c529
https://down-id.img.susercontent.com/file/id-11134207-7r98p-lv4gkrjw5nbn4d,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"Laptop Lenovo Thinkpad  X220 X230 X240 X250 X260 X270 X280 X390 I3/i5 GEN 3,5,6,7,8 + BONUS!!! PALING MURAH PALING MULUS WORT IT TO BUY",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.800.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.7,148 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,"Laptop Lenovo Thinkpad X220 X230 X240 X250 X260 X270 X280 X390 I3/i5 GEN 3,5,6,7,8 + BONUS!!! PALING MURAH PALING MULUS WORT IT TO BUY
Rp
1.800.000
4.7
148 Terjual
Jakarta Utara",https://shopee.co.id/Laptop-Lenovo-Thinkpad-X220-X230-X240-X250-X260-X270-X280-X390-I3-i5-GEN-3-5-6-7-8-BONUS!!!-PALING-MURAH-PALING-MULUS-WORT-IT-TO-BUY-i.1065701352.25729727946?extraParams=%7B%22display_model_id%22%3A261462251208%2C%22model_selection_logic%22%3A3%7D&sp_atk=5288fe52-2822-4506-8314-7501f8098eee&xptdk=5288fe52-2822-4506-8314-7501f8098eee
https://down-id.img.susercontent.com/file/sg-11134201-7rbma-loo49aazdncj28,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Samsung Chromebook 4 Celeron N4020 Roblox game playstore,,Rp,1.250.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.5,20 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,"Laptop Samsung Chromebook 4 Celeron N4020 Roblox game playstore
Rp
1.250.000
4.5
20 Terjual
Malang",https://shopee.co.id/Laptop-Samsung-Chromebook-4-Celeron-N4020-Roblox-game-playstore-i.44435356.23861864499?extraParams=%7B%22display_model_id%22%3A178277538823%2C%22model_selection_logic%22%3A3%7D&sp_atk=6bb549a2-3966-4cad-8178-160bc26e1f69&xptdk=6bb549a2-3966-4cad-8178-160bc26e1f69
https://down-id.img.susercontent.com/file/id-11134207-81ztk-mf8hu5rx4g7efd,https://down-id.img.susercontent.com/file/id-11134258-8224q-mkvvibsp8oowa6,ADVAN Soulmate X Amd Athlon 3020e RAM16GB SSD512GB Windows 11 Original,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,3.549.000,,,Pilih Lokal,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,1RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,"ADVAN Soulmate X Amd Athlon 3020e RAM16GB SSD512GB Windows 11 Original
Rp
3.549.000
Pilih Lokal
4.9
1RB+ Terjual
Jakarta Pusat",https://shopee.co.id/ADVAN-Soulmate-X-Amd-Athlon-3020e-RAM16GB-SSD512GB-Windows-11-Original-i.32829345.20680689826?extraParams=%7B%22display_model_id%22%3A260188664700%2C%22model_selection_logic%22%3A3%7D&sp_atk=04175bef-36dc-449d-87dd-ea508c831f21&xptdk=04175bef-36dc-449d-87dd-ea508c831f21
https://down-id.img.susercontent.com/file/id-11134207-7r98r-lwcirdmuzt315c,https://down-id.img.susercontent.com/file/id-11134258-7ra0q-mbesqwmkb0gu9c,"Nb Samsung Chromebook 4, Seri Baru, Like New, Slim, Cantik, Fullset, Silver",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.575.000,-10%,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,12 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,"Nb Samsung Chromebook 4, Seri Baru, Like New, Slim, Cantik, Fullset, Silver
Rp
1.575.000
-10%
5.0
12 Terjual
Jakarta Barat",https://shopee.co.id/Nb-Samsung-Chromebook-4-Seri-Baru-Like-New-Slim-Cantik-Fullset-Silver-i.218475243.25679029121?extraParams=%7B%22display_model_id%22%3A222768298213%2C%22model_selection_logic%22%3A3%7D&sp_atk=0a1cc965-d4ce-4ff6-b4f9-0ad0bafa84bd&xptdk=0a1cc965-d4ce-4ff6-b4f9-0ad0bafa84bd
https://down-id.img.susercontent.com/file/id-11134207-822wi-mmlknoi4uj2n85,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Asus Chromebook C423 | Intel Celeron N3350 | Ram 4GB/32GB | SUPER SLIM,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.650.000,-6%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,"Laptop Asus Chromebook C423 | Intel Celeron N3350 | Ram 4GB/32GB | SUPER SLIM
Rp
1.650.000
-6%
5.0
1 Terjual
Jakarta Barat",https://shopee.co.id/Laptop-Asus-Chromebook-C423-Intel-Celeron-N3350-Ram-4GB-32GB-SUPER-SLIM-i.239820426.28628878737?extraParams=%7B%22display_model_id%22%3A247829191795%2C%22model_selection_logic%22%3A3%7D&sp_atk=285ce52a-bf86-4b26-a502-69736caa92b7&xptdk=285ce52a-bf86-4b26-a502-69736caa92b7
https://down-id.img.susercontent.com/file/id-11134207-7r98y-lwgpka2b5vnuaa,https://down-id.img.susercontent.com/file/id-11134258-7ra0q-mbesqwmkb0gu9c,"Laptop Samsung 275E, Amd E1-1500, Ram 4/500Gb, White",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.300.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,4 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,"Laptop Samsung 275E, Amd E1-1500, Ram 4/500Gb, White
Rp
1.300.000
5.0
4 Terjual
Jakarta Barat",https://shopee.co.id/Laptop-Samsung-275E-Amd-E1-1500-Ram-4-500Gb-White-i.218475243.25464619943?extraParams=%7B%22display_model_id%22%3A255359188170%2C%22model_selection_logic%22%3A3%7D&sp_atk=5bae2333-682a-4d7f-84f6-15417edc0c85&xptdk=5bae2333-682a-4d7f-84f6-15417edc0c85
