-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-shopee-primary,img,text-xs/sp14_2,text-xs,pointer-events-none,align-middle,pointer-events-none_2,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-8224y-mjruuwksfk7a95,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Dell Series | 5310 Gen10 | 5300 Core i7 | RAM 8 / 16GB | SSD 128GB / 256GB,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.632.000,-6%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.7,359 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,,,"Laptop Dell Series | 5310 Gen10 | 5300 Core i7 | RAM 8 / 16GB | SSD 128GB / 256GB
Rp
2.632.000
-6%
4.7
359 Terjual
Jakarta Timur",https://shopee.co.id/Laptop-Dell-Series-5310-Gen10-5300-Core-i7-RAM-8-16GB-SSD-128GB-256GB-i.26647239.23674513166?extraParams=%7B%22display_model_id%22%3A415579290433%2C%22model_selection_logic%22%3A3%7D&sp_atk=9cfa920c-4364-404b-b186-638363dd9e60&xptdk=9cfa920c-4364-404b-b186-638363dd9e60
https://down-id.img.susercontent.com/file/id-11134207-8224v-mijt3piiqghw85,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP GAMING LENOVO THINKPAD T14 T14S 4TH CORE i7 TOUCHSCREEN RYZEN RAM 32GB SSD,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,4.185.000,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,192 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"LAPTOP GAMING LENOVO THINKPAD T14 T14S 4TH CORE i7 TOUCHSCREEN RYZEN RAM 32GB SSD
Rp
4.185.000
-1%
4.9
192 Terjual
Jakarta Barat",https://shopee.co.id/LAPTOP-GAMING-LENOVO-THINKPAD-T14-T14S-4TH-CORE-i7-TOUCHSCREEN-RYZEN-RAM-32GB-SSD-i.20247673.25263586190?extraParams=%7B%22display_model_id%22%3A395163630706%2C%22model_selection_logic%22%3A3%7D&sp_atk=7d9efce6-7276-428b-b86c-68ba2e93ae86&xptdk=7d9efce6-7276-428b-b86c-68ba2e93ae86
https://down-id.img.susercontent.com/file/id-11134207-7ra0l-mbcd5kxg7hija6,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop HP Elitebook 845 G8 Ryzen 7 / Ryzen 5 | 16GB RAM | SSD 512GB | Layar IPS | Backlight | Fingerprint | Windows 11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,4.599.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,89 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,"Laptop HP Elitebook 845 G8 Ryzen 7 / Ryzen 5 | 16GB RAM | SSD 512GB | Layar IPS | Backlight | Fingerprint | Windows 11
Rp
4.599.000
4.8
89 Terjual
Jakarta Barat",https://shopee.co.id/Laptop-HP-Elitebook-845-G8-Ryzen-7-Ryzen-5-16GB-RAM-SSD-512GB-Layar-IPS-Backlight-Fingerprint-Windows-11-i.22503994.42105614371?extraParams=%7B%22display_model_id%22%3A258549192949%2C%22model_selection_logic%22%3A3%7D&sp_atk=fd750a6e-81c0-4640-a837-236140c98679&xptdk=fd750a6e-81c0-4640-a837-236140c98679
https://down-id.img.susercontent.com/file/id-11134207-7ra0u-mbvxgo66qkus1f,https://down-id.img.susercontent.com/file/id-11134258-7ra0q-mbesqwmkb0gu9c,"Nb Samsung Chromebook 4, Seri Baru, Like New, Slim, Cantik, Fullset, Silver",,Rp,1.650.000,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,"Nb Samsung Chromebook 4, Seri Baru, Like New, Slim, Cantik, Fullset, Silver
Rp
1.650.000
Jakarta Barat",https://shopee.co.id/Nb-Samsung-Chromebook-4-Seri-Baru-Like-New-Slim-Cantik-Fullset-Silver-i.70934091.27538425885?extraParams=%7B%22display_model_id%22%3A265646355934%2C%22model_selection_logic%22%3A3%7D&sp_atk=92a05192-4967-4364-91cc-562b24e3adf5&xptdk=92a05192-4967-4364-91cc-562b24e3adf5
https://down-id.img.susercontent.com/file/id-11134207-7rbkd-m8u6d8d1vbia49,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop 14‘’ inch Intel N4000 RAM 8G+256GB SSD Ready stock win11+office+gifts+garansi 1 tahun+Bisa COD,,Rp,3.380.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.7,237 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,"Laptop 14‘’ inch Intel N4000 RAM 8G+256GB SSD Ready stock win11+office+gifts+garansi 1 tahun+Bisa COD
Rp
3.380.000
4.7
237 Terjual
Jakarta Utara",https://shopee.co.id/Laptop-14%E2%80%98%E2%80%99-inch-Intel-N4000-RAM-8G-256GB-SSD-Ready-stock-win11-office-gifts-garansi-1-tahun-Bisa-COD-i.1171321530.29452399571?extraParams=%7B%22display_model_id%22%3A240994485356%2C%22model_selection_logic%22%3A3%7D&sp_atk=0722b649-f2ec-4be5-9ea1-166608ef2d47&xptdk=0722b649-f2ec-4be5-9ea1-166608ef2d47
https://down-id.img.susercontent.com/file/id-11134207-23020-zkvujmmn4inv80,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Samsung 355V4C Amd A6-4400M vga Amd radeon hd 7520G ram 4GB HDD 320 GB slim mulus 14 inch,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.550.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,7 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,Cicilan,"Laptop Samsung 355V4C Amd A6-4400M vga Amd radeon hd 7520G ram 4GB HDD 320 GB slim mulus 14 inch
Rp
1.550.000
Cicilan
5.0
7 Terjual
Jakarta Barat",https://shopee.co.id/Laptop-Samsung-355V4C-Amd-A6-4400M-vga-Amd-radeon-hd-7520G-ram-4GB-HDD-320-GB-slim-mulus-14-inch-i.277449743.5878216256?extraParams=%7B%22display_model_id%22%3A178214136168%2C%22model_selection_logic%22%3A3%7D&sp_atk=95ec3fa2-54a0-4410-a39d-bdbafd7a6773&xptdk=95ec3fa2-54a0-4410-a39d-bdbafd7a6773
https://down-id.img.susercontent.com/file/sg-11134201-81zuy-mml6sh8xuzgo0c,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,INFINIX XBOOK B14 AMD RYZEN 7 7735HS 8GB 512GB W11 14.0WUXGA IPS SLV,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,8.494.000,-64%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,156 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"INFINIX XBOOK B14 AMD RYZEN 7 7735HS 8GB 512GB W11 14.0WUXGA IPS SLV
Rp
8.494.000
-64%
4.9
156 Terjual
Jakarta Utara",https://shopee.co.id/INFINIX-XBOOK-B14-AMD-RYZEN-7-7735HS-8GB-512GB-W11-14.0WUXGA-IPS-SLV-i.1499565175.42559622214?extraParams=%7B%22display_model_id%22%3A430490452932%2C%22model_selection_logic%22%3A3%7D&sp_atk=89e8484e-57cd-4433-a27c-50bdff79765e&xptdk=89e8484e-57cd-4433-a27c-50bdff79765e
https://down-id.img.susercontent.com/file/id-11134207-8224s-mjaw2obdnkefb6,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Gaming HP Elitebook 845 G8 AMD Ryzen 5 Pro 5000 Series Ram 32 GB SSD 1 TB Layar 14 inch Touchscreen,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,4.890.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,480 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,"Laptop Gaming HP Elitebook 845 G8 AMD Ryzen 5 Pro 5000 Series Ram 32 GB SSD 1 TB Layar 14 inch Touchscreen
Rp
4.890.000
4.9
480 Terjual
Jakarta Pusat",https://shopee.co.id/Laptop-Gaming-HP-Elitebook-845-G8-AMD-Ryzen-5-Pro-5000-Series-Ram-32-GB-SSD-1-TB-Layar-14-inch-Touchscreen-i.353682130.28971411977?extraParams=%7B%22display_model_id%22%3A370692046898%2C%22model_selection_logic%22%3A3%7D&sp_atk=048bf3a5-35ef-48ad-a126-a389ae756a72&xptdk=048bf3a5-35ef-48ad-a126-a389ae756a72
https://down-id.img.susercontent.com/file/id-11134207-8224o-mkp16yboimtc1c,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Infinix XBOOK B14 Ryzen 7 7735HS 16GB 1TB SSD 14 inch WUXGA IPS Windows 11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,6.499.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,108 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,,Hadiah Gratis,"Infinix XBOOK B14 Ryzen 7 7735HS 16GB 1TB SSD 14 inch WUXGA IPS Windows 11
Rp
6.499.000
Hadiah Gratis
4.9
108 Terjual
Jakarta Selatan",https://shopee.co.id/Infinix-XBOOK-B14-Ryzen-7-7735HS-16GB-1TB-SSD-14-inch-WUXGA-IPS-Windows-11-i.217781231.27684148012?extraParams=%7B%22display_model_id%22%3A430526847820%2C%22model_selection_logic%22%3A3%7D&sp_atk=78587691-07fa-41cd-818f-0909764456f7&xptdk=78587691-07fa-41cd-818f-0909764456f7
https://down-id.img.susercontent.com/file/id-11134207-7r98s-ltdc3fw9cv3xbe,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,"Garansi Resmi+Bisa COD Asli Baru Laptop Murah RAM 16GB + SSD 512GB 15.6""IPS Intel N95 Gratis Instalasi Windows 11 + office laptop gaming Generasi ke-11 Tipis Dan Portabel desain grafis Asus vivobook Siswa laptop hp Kunci sidik jari Garansi 1 Tahun",,Rp,2.950.000,-48%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,2RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,Hadiah Gratis,"Garansi Resmi+Bisa COD Asli Baru Laptop Murah RAM 16GB + SSD 512GB 15.6""IPS Intel N95 Gratis Instalasi Windows 11 + office laptop gaming Generasi ke-11 Tipis Dan Portabel desain grafis Asus vivobook Siswa laptop hp Kunci sidik jari Garansi 1 Tahun
Rp
2.950.000
-48%
Hadiah Gratis
4.8
2RB+ Terjual
Jakarta Utara",https://shopee.co.id/Garansi-Resmi-Bisa-COD-Asli-Baru-Laptop-Murah-RAM-16GB-SSD-512GB-15.6-IPS-Intel-N95-Gratis-Instalasi-Windows-11-office-laptop-gaming-Generasi-ke-11-Tipis-Dan-Portabel-desain-grafis-Asus-vivobook-Siswa-laptop-hp-Kunci-sidik-jari-Garansi-1-Tahun-i.1068352915.23361450670?extraParams=%7B%22display_model_id%22%3A290143430676%2C%22model_selection_logic%22%3A3%7D&sp_atk=41f658ad-fad6-4afb-b4ec-1ef57e913dc2&xptdk=41f658ad-fad6-4afb-b4ec-1ef57e913dc2
