-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-shopee-primary,pointer-events-none,text-xs/sp14_2,pointer-events-none_2,text-shopee-green,pointer-events-none_3,align-middle,w-auto,text-white,truncate,img_2,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-81ztj-me8jgl2acumc19,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Lenovo Ideapad Slim 3 14IRH10 Intel Core i5 13420H - Ram 16GB Storage 512GB SSD Windows 11 + OFFICE 14.0 INCH WUXGA IPS BLIT -3NID -3PID,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,9.984.000,-38%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,834 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Lenovo Ideapad Slim 3 14IRH10 Intel Core i5 13420H - Ram 16GB Storage 512GB SSD Windows 11 + OFFICE 14.0 INCH WUXGA IPS BLIT -3NID -3PID
Rp
9.984.000
-38%
4.9
834 Terjual
3-4 Hari
Jakarta Utara",https://shopee.co.id/Lenovo-Ideapad-Slim-3-14IRH10-Intel-Core-i5-13420H-Ram-16GB-Storage-512GB-SSD-Windows-11-OFFICE-14.0-INCH-WUXGA-IPS-BLIT-3NID-3PID-i.872169559.20079968936?extraParams=%7B%22display_model_id%22%3A99878902955%2C%22model_selection_logic%22%3A3%7D&sp_atk=841797c4-8e8d-4cbc-8854-6c63a1237474&xptdk=841797c4-8e8d-4cbc-8854-6c63a1237474
https://down-id.img.susercontent.com/file/id-11134207-7ra0s-mcuiktbnask746,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Lenovo V15 i3-1315U 512GB SSD 8GB IPS Win11+OHS,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,8.529.000,-17%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,90 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Laptop Lenovo V15 i3-1315U 512GB SSD 8GB IPS Win11+OHS
Rp
8.529.000
-17%
4.9
90 Terjual
< 2 Hari
Tangerang",https://shopee.co.id/Laptop-Lenovo-V15-i3-1315U-512GB-SSD-8GB-IPS-Win11-OHS-i.1102135040.24801037665?extraParams=%7B%22display_model_id%22%3A223331961717%2C%22model_selection_logic%22%3A3%7D&sp_atk=46de4b35-23b2-4ef4-9c37-d9eef31fbb89&xptdk=46de4b35-23b2-4ef4-9c37-d9eef31fbb89
https://down-id.img.susercontent.com/file/id-11134207-8224o-mkovntlz47wl6a,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,"Lenovo Ideapad Slim 3i 14"" I3 8GB 1TB SSD Win11",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,7.599.000,,,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,144 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,Hadiah Gratis,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Lenovo Ideapad Slim 3i 14"" I3 8GB 1TB SSD Win11
Rp
7.599.000
Hadiah Gratis
5.0
144 Terjual
< 2 Hari
Bandung",https://shopee.co.id/Lenovo-Ideapad-Slim-3i-14-I3-8GB-1TB-SSD-Win11-i.32751035.17218488261?extraParams=%7B%22display_model_id%22%3A325563137020%2C%22model_selection_logic%22%3A3%7D&sp_atk=b28c17fe-0c24-4fb1-a272-fd38b127585a&xptdk=b28c17fe-0c24-4fb1-a272-fd38b127585a
https://down-id.img.susercontent.com/file/id-11134207-81ztp-mes1srfz2dj57b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Lenovo V14 i3-1315U 512GB SSD 8GB IPS FHD Win11+OHS,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,10.549.000,-14%,,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,145 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Lenovo V14 i3-1315U 512GB SSD 8GB IPS FHD Win11+OHS
Rp
10.549.000
-14%
4.9
145 Terjual
< 2 Hari
Jakarta Barat",https://shopee.co.id/Lenovo-V14-i3-1315U-512GB-SSD-8GB-IPS-FHD-Win11-OHS-i.1058492880.27538456033?extraParams=%7B%22display_model_id%22%3A295654424073%2C%22model_selection_logic%22%3A3%7D&sp_atk=4306c7a7-e635-4b38-b061-5b8bbda8a590&xptdk=4306c7a7-e635-4b38-b061-5b8bbda8a590
https://down-id.img.susercontent.com/file/id-11134207-81ztc-mdxdbbzwwbuve7,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"LENOVO IDEAPAD SLIM 3 i3 1315u 8GB 512GB 14"" FHD TN W11 OHS",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,7.999.000,-6%,,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,78 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bogor,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"LENOVO IDEAPAD SLIM 3 i3 1315u 8GB 512GB 14"" FHD TN W11 OHS
Rp
7.999.000
-6%
4.9
78 Terjual
< 2 Hari
Bogor",https://shopee.co.id/LENOVO-IDEAPAD-SLIM-3-i3-1315u-8GB-512GB-14-FHD-TN-W11-OHS-i.1599769533.28340545690?extraParams=%7B%22display_model_id%22%3A355050144865%2C%22model_selection_logic%22%3A3%7D&sp_atk=e05d25f2-655d-40f3-a8ba-a2d75bb5b8cc&xptdk=e05d25f2-655d-40f3-a8ba-a2d75bb5b8cc
https://down-id.img.susercontent.com/file/id-11134207-81zti-mfp5i3mja7m34b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Lenovo V14-G4-AMN Ryzen 3 8GB 256GB SSD FHD,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,6.982.300,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,10 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Lenovo V14-G4-AMN Ryzen 3 8GB 256GB SSD FHD
Rp
6.982.300
-1%
5.0
10 Terjual
Besok 12:00
Surabaya",https://shopee.co.id/Lenovo-V14-G4-AMN-Ryzen-3-8GB-256GB-SSD-FHD-i.348905854.26092835312?extraParams=%7B%22display_model_id%22%3A118761211739%2C%22model_selection_logic%22%3A3%7D&sp_atk=1cb447a7-f14c-47f0-9a95-150ab26b5cf4&xptdk=1cb447a7-f14c-47f0-9a95-150ab26b5cf4
https://down-id.img.susercontent.com/file/id-11134207-8224w-mi4azxdxh1qb30,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Lenovo V15 G5 Core i3 16GB 512GB Win11 IPS,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,8.399.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,3 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 11:00,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,"Lenovo V15 G5 Core i3 16GB 512GB Win11 IPS
Rp
8.399.000
3 Terjual
Besok 11:00
Surabaya",https://shopee.co.id/Lenovo-V15-G5-Core-i3-16GB-512GB-Win11-IPS-i.96950295.50102946617?extraParams=%7B%22display_model_id%22%3A410341081886%2C%22model_selection_logic%22%3A3%7D&sp_atk=7925683a-dfbe-4fcc-90ab-0cd6c8ee02c6&xptdk=7925683a-dfbe-4fcc-90ab-0cd6c8ee02c6
https://down-id.img.susercontent.com/file/id-11134207-82252-mgbtz0w2n7kc71,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Lenovo Ideapad Slim 3 14 i3 8GB 512GB W11 FHD,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,7.816.000,-35%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,4.8,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,167 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,Hadiah Gratis,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Lenovo Ideapad Slim 3 14 i3 8GB 512GB W11 FHD
Rp
7.816.000
-35%
Hadiah Gratis
4.8
167 Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/Lenovo-Ideapad-Slim-3-14-i3-8GB-512GB-W11-FHD-i.250649369.12084055106?extraParams=%7B%22display_model_id%22%3A253889804372%2C%22model_selection_logic%22%3A3%7D&sp_atk=009431c8-9f14-44f0-9923-8582171585a2&xptdk=009431c8-9f14-44f0-9923-8582171585a2
https://down-id.img.susercontent.com/file/id-11134207-8224p-mgxh39xw3g22e6,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"LAPTOP Lenovo V14 G5 I3 Gen 13 16GB 512GB SSD Windows 11 14.0"" FHD",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,7.804.000,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,317 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,,,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"LAPTOP Lenovo V14 G5 I3 Gen 13 16GB 512GB SSD Windows 11 14.0"" FHD
Rp
7.804.000
-1%
Cicilan
5.0
317 Terjual
3-4 Hari
Depok",https://shopee.co.id/LAPTOP-Lenovo-V14-G5-I3-Gen-13-16GB-512GB-SSD-Windows-11-14.0-FHD-i.331211968.11950412143?extraParams=%7B%22display_model_id%22%3A285193672052%2C%22model_selection_logic%22%3A3%7D&sp_atk=3dbfe429-f9bf-4b85-ac7e-be10e26e4139&xptdk=3dbfe429-f9bf-4b85-ac7e-be10e26e4139
https://down-id.img.susercontent.com/file/id-11134207-8224w-mjwcqwzx0gef5d,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"LENOVO IdeaPad Slim 3 14IRU8-6DID(Arctic Grey)/6CID(Abyss Blue) Intel® Core i3-1315U 8GB 256GB SSD Integrated Intel® UHD Graphics 14"" FHD IPS Windows® 11 + OHS 2024 2YEAR",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,8.900.000,,,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,3 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Makassar,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"LENOVO IdeaPad Slim 3 14IRU8-6DID(Arctic Grey)/6CID(Abyss Blue) Intel® Core i3-1315U 8GB 256GB SSD Integrated Intel® UHD Graphics 14"" FHD IPS Windows® 11 + OHS 2024 2YEAR
Rp
8.900.000
5.0
3 Terjual
< 2 Hari
Makassar",https://shopee.co.id/LENOVO-IdeaPad-Slim-3-14IRU8-6DID(Arctic-Grey)-6CID(Abyss-Blue)-Intel%C2%AE-Core-i3-1315U-8GB-256GB-SSD-Integrated-Intel%C2%AE-UHD-Graphics-14-FHD-IPS-Windows%C2%AE-11-OHS-2024-2YEAR-i.385043865.57955277376?extraParams=%7B%22display_model_id%22%3A277362649132%2C%22model_selection_logic%22%3A3%7D&sp_atk=bd9a3760-eaa4-4d08-9c8b-06bb40a64f33&xptdk=bd9a3760-eaa4-4d08-9c8b-06bb40a64f33
