-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-shopee-primary,pointer-events-none,text-xs/sp14_2,pointer-events-none_2,w-auto,text-white,pointer-events-none_3,align-middle,truncate,img_2,text-xs_2,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-8224o-mjhvzxc7ctmp0f,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Lenovo IdeaPad Slim 3i Intel Core i3 1315U 8GB 51GB SSD Windows 11 Ofice Full HD 14 inch Laptop 5NID,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,7.816.000,-48%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,10RB+ Terjual,"Lenovo IdeaPad Slim 3i Intel Core i3 1315U 8GB 51GB SSD Windows 11 Ofice Full HD 14 inch Laptop 5NID
Rp
7.816.000
-48%
4.9
10RB+ Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/Lenovo-IdeaPad-Slim-3i-Intel-Core-i3-1315U-8GB-51GB-SSD-Windows-11-Ofice-Full-HD-14-inch-Laptop-5NID-i.468999408.18558718491?extraParams=%7B%22display_model_id%22%3A310658191156%2C%22model_selection_logic%22%3A3%7D&sp_atk=9c23a5f7-c642-429e-9c80-179f2141deac&xptdk=9c23a5f7-c642-429e-9c80-179f2141deac
https://down-id.img.susercontent.com/file/id-11134207-822wi-mmzwcgy6db7ldf,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LENOVO IDEAPAD SLIM 3 14 I3 1315 8GB 256GB 14.0FHD BLIT Windows 11 + Office,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,7.817.000,-2%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,203 Terjual,"LENOVO IDEAPAD SLIM 3 14 I3 1315 8GB 256GB 14.0FHD BLIT Windows 11 + Office
Rp
7.817.000
-2%
5.0
203 Terjual
Besok 12:00
Surabaya",https://shopee.co.id/LENOVO-IDEAPAD-SLIM-3-14-I3-1315-8GB-256GB-14.0FHD-BLIT-Windows-11-Office-i.1039970542.21785935244?extraParams=%7B%22display_model_id%22%3A157090869187%2C%22model_selection_logic%22%3A3%7D&sp_atk=6222ce31-de7b-4b7c-82a6-436d336f5901&xptdk=6222ce31-de7b-4b7c-82a6-436d336f5901
https://down-id.img.susercontent.com/file/id-11134207-8224u-mhfr4bizksg91e,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Lenovo Ideapad Slim 3i i3-1315U 512GB SSD 8GB Win11+OHS,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,8.429.000,-11%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,193 Terjual,"Lenovo Ideapad Slim 3i i3-1315U 512GB SSD 8GB Win11+OHS
Rp
8.429.000
-11%
5.0
193 Terjual
< 2 Hari
Tangerang",https://shopee.co.id/Lenovo-Ideapad-Slim-3i-i3-1315U-512GB-SSD-8GB-Win11-OHS-i.1102135040.28436568357?extraParams=%7B%22display_model_id%22%3A237819718626%2C%22model_selection_logic%22%3A3%7D&sp_atk=1397d125-204f-43d0-9bef-4dd088530f44&xptdk=1397d125-204f-43d0-9bef-4dd088530f44
https://down-id.img.susercontent.com/file/id-11134207-8224y-mjhvzxc28t8nf6,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Lenovo V14 Gen 5 Core I3 1315U 8GB 256SSD Windows 11 Full HD14 inch Intel Laptop 7AID,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,7.813.000,-51%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,570 Terjual,"Lenovo V14 Gen 5 Core I3 1315U 8GB 256SSD Windows 11 Full HD14 inch Intel Laptop 7AID
Rp
7.813.000
-51%
4.9
570 Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/Lenovo-V14-Gen-5-Core-I3-1315U-8GB-256SSD-Windows-11-Full-HD14-inch-Intel-Laptop-7AID-i.468999408.19575458785?extraParams=%7B%22display_model_id%22%3A282350942582%2C%22model_selection_logic%22%3A3%7D&sp_atk=d08cfec0-8988-4c2d-9426-738ef5a7fc73&xptdk=d08cfec0-8988-4c2d-9426-738ef5a7fc73
https://down-id.img.susercontent.com/file/id-11134207-81ztc-mephbs8ql3pi24,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Lenovo V14 i3-1315U 512GB SSD 8GB IPS FHD Win11+OHS,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,8.529.000,-19%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,112 Terjual,"Lenovo V14 i3-1315U 512GB SSD 8GB IPS FHD Win11+OHS
Rp
8.529.000
-19%
5.0
112 Terjual
< 2 Hari
Tangerang",https://shopee.co.id/Lenovo-V14-i3-1315U-512GB-SSD-8GB-IPS-FHD-Win11-OHS-i.1102135040.40007738249?extraParams=%7B%22display_model_id%22%3A258606741072%2C%22model_selection_logic%22%3A3%7D&sp_atk=c3770f15-f984-4885-ba4c-b47eaa6c8224&xptdk=c3770f15-f984-4885-ba4c-b47eaa6c8224
https://down-id.img.susercontent.com/file/id-11134207-81ztm-mexqkonhmkud79,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Lenovo IdeaPad Slim 3 14IAN8 Intel Intel N100 8GB SSD 512GB 14 inch W11+OH2024,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,6.499.000,,,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,84 Terjual,"Lenovo IdeaPad Slim 3 14IAN8 Intel Intel N100 8GB SSD 512GB 14 inch W11+OH2024
Rp
6.499.000
5.0
84 Terjual
Besok 12:00
Surabaya",https://shopee.co.id/Lenovo-IdeaPad-Slim-3-14IAN8-Intel-Intel-N100-8GB-SSD-512GB-14-inch-W11-OH2024-i.935417348.42120501346?extraParams=%7B%22display_model_id%22%3A315756838447%2C%22model_selection_logic%22%3A3%7D&sp_atk=7028a71b-9994-450b-9c95-5c4d6e3ec302&xptdk=7028a71b-9994-450b-9c95-5c4d6e3ec302
https://down-id.img.susercontent.com/file/id-11134207-8224u-mkrw0oyc4ged14,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LENOVO IDEAPAD SLIM 1 14AMN7 AMD ATHLON 7120U 8GB RAM 512GB SSD 14'' HD Windows 11 Home OHS 2021 Cloud Grey 82VF006UID rekomendasi laptop sekolah tugas kuliah kerja murah kualitas mantap desain tipis ringan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,6.689.000,,,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,20 Terjual,"LENOVO IDEAPAD SLIM 1 14AMN7 AMD ATHLON 7120U 8GB RAM 512GB SSD 14'' HD Windows 11 Home OHS 2021 Cloud Grey 82VF006UID rekomendasi laptop sekolah tugas kuliah kerja murah kualitas mantap desain tipis ringan
Rp
6.689.000
5.0
20 Terjual
< 2 Hari
Malang",https://shopee.co.id/LENOVO-IDEAPAD-SLIM-1-14AMN7-AMD-ATHLON-7120U-8GB-RAM-512GB-SSD-14''-HD-Windows-11-Home-OHS-2021-Cloud-Grey-82VF006UID-rekomendasi-laptop-sekolah-tugas-kuliah-kerja-murah-kualitas-mantap-desain-tipis-ringan-i.26681244.26229019590?extraParams=%7B%22display_model_id%22%3A237487731848%2C%22model_selection_logic%22%3A3%7D&sp_atk=8420ae35-3d14-4fa9-9e0b-a0487c95eb4c&xptdk=8420ae35-3d14-4fa9-9e0b-a0487c95eb4c
https://down-id.img.susercontent.com/file/id-11134207-7ra0j-mblsrn33baskbf,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LENOVO IDEAPAD SLIM 3i 14IRU8 6CID 6DID 6EID 6FID INTEL CORE i3-1315U 8GB 512GB WIN 11 HOME + OFFICE HOME 2024 + M 365 1 YEAR,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,8.250.000,,,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,636 Terjual,"LENOVO IDEAPAD SLIM 3i 14IRU8 6CID 6DID 6EID 6FID INTEL CORE i3-1315U 8GB 512GB WIN 11 HOME + OFFICE HOME 2024 + M 365 1 YEAR
Rp
8.250.000
5.0
636 Terjual
Besok 12:00
Surabaya",https://shopee.co.id/LENOVO-IDEAPAD-SLIM-3i-14IRU8-6CID-6DID-6EID-6FID-INTEL-CORE-i3-1315U-8GB-512GB-WIN-11-HOME-OFFICE-HOME-2024-M-365-1-YEAR-i.386010831.17787370739?extraParams=%7B%22display_model_id%22%3A271557652475%2C%22model_selection_logic%22%3A3%7D&sp_atk=f1e21b66-b997-4ce1-b300-b94ffeac1076&xptdk=f1e21b66-b997-4ce1-b300-b94ffeac1076
https://down-id.img.susercontent.com/file/sg-11134201-23010-c3ccuoutjnmv9c,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Lenovo V14 Gen 5 Core i3 1315U 8GB 256SSD Windows 11 FHD 14 Inch Laptop Murah 7AID,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,7.813.000,-23%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,2RB+ Terjual,"Lenovo V14 Gen 5 Core i3 1315U 8GB 256SSD Windows 11 FHD 14 Inch Laptop Murah 7AID
Rp
7.813.000
-23%
4.9
2RB+ Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/Lenovo-V14-Gen-5-Core-i3-1315U-8GB-256SSD-Windows-11-FHD-14-Inch-Laptop-Murah-7AID-i.468999408.13376833376?extraParams=%7B%22display_model_id%22%3A305144590737%2C%22model_selection_logic%22%3A3%7D&sp_atk=f9b22a5d-32fd-460f-8a04-a698dbfed2a3&xptdk=f9b22a5d-32fd-460f-8a04-a698dbfed2a3
https://down-id.img.susercontent.com/file/id-11134207-82250-mha1km4lxibx1b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Lenovo V15 i3-1315U 512GB SSD 8GB FHD IPS Win11+OHS,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,8.549.000,-17%,,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,366 Terjual,"Lenovo V15 i3-1315U 512GB SSD 8GB FHD IPS Win11+OHS
Rp
8.549.000
-17%
4.9
366 Terjual
< 2 Hari
Jakarta Barat",https://shopee.co.id/Lenovo-V15-i3-1315U-512GB-SSD-8GB-FHD-IPS-Win11-OHS-i.1058492880.25051040929?extraParams=%7B%22display_model_id%22%3A226852754651%2C%22model_selection_logic%22%3A3%7D&sp_atk=07fd6bd1-9538-4d76-9020-c099259b8b32&xptdk=07fd6bd1-9538-4d76-9020-c099259b8b32
