-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-shopee-primary,pointer-events-none,text-xs/sp14_2,pointer-events-none_2,w-auto,text-white,pointer-events-none_3,align-middle,text-shopee-green,truncate,img_2,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-8224p-mglxbtriglqn3c,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Lenovo Ideapad Slim 3i 14 Core i3 1315U 16GB 512GB SSD Windows 11 14.0 FHD Grey,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,7.598.000,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang Selatan,8 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Lenovo Ideapad Slim 3i 14 Core i3 1315U 16GB 512GB SSD Windows 11 14.0 FHD Grey
Rp
7.598.000
-1%
5.0
8 Terjual
< 2 Hari
Tangerang Selatan",https://shopee.co.id/Lenovo-Ideapad-Slim-3i-14-Core-i3-1315U-16GB-512GB-SSD-Windows-11-14.0-FHD-Grey-i.251705568.40809660910?extraParams=%7B%22display_model_id%22%3A370560764597%2C%22model_selection_logic%22%3A3%7D&sp_atk=ccf18772-a884-4631-b968-8f3db6fff3e3&xptdk=ccf18772-a884-4631-b968-8f3db6fff3e3
https://down-id.img.susercontent.com/file/id-11134207-822wm-mmqzizpzshs5a6,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop Lenovo ThinkPad T14 T14S Intel i5 Gen 10/11 RAM 16GB SSD 1TB 14”,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,4.300.000,,,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,35 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Laptop Lenovo ThinkPad T14 T14S Intel i5 Gen 10/11 RAM 16GB SSD 1TB 14”
Rp
4.300.000
5.0
35 Terjual
3-4 Hari
Jakarta Pusat",https://shopee.co.id/Laptop-Lenovo-ThinkPad-T14-T14S-Intel-i5-Gen-10-11-RAM-16GB-SSD-1TB-14%E2%80%9D-i.44765089.57952815340?extraParams=%7B%22display_model_id%22%3A350815960564%2C%22model_selection_logic%22%3A3%7D&sp_atk=5c3b6a02-7d2a-416d-97f8-4d674862aeb4&xptdk=5c3b6a02-7d2a-416d-97f8-4d674862aeb4
https://down-id.img.susercontent.com/file/id-11134207-81ztp-me5asamx7t3601,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"LENOVO THINKPAD  X280 I5 GEN 7 8GB/256GB, LAYAR HD 12 INCH SECOND BERGARANSI",,Rp,3.300.000,,,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,3 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"LENOVO THINKPAD X280 I5 GEN 7 8GB/256GB, LAYAR HD 12 INCH SECOND BERGARANSI
Rp
3.300.000
5.0
3 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/LENOVO-THINKPAD-X280-I5-GEN-7-8GB-256GB-LAYAR-HD-12-INCH-SECOND-BERGARANSI-i.1477923255.29590998806?extraParams=%7B%22display_model_id%22%3A216285485918%2C%22model_selection_logic%22%3A3%7D&sp_atk=36977258-bb0d-409f-a6bc-a72e57384c14&xptdk=36977258-bb0d-409f-a6bc-a72e57384c14
https://down-id.img.susercontent.com/file/id-11134207-822ws-mlhfxogu8npfad,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Lenovo Ideapad Slim 1i 15 i5 16GB 1TB SSD FHD,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,9.498.000,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bogor,27 Terjual,Hadiah Gratis,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Lenovo Ideapad Slim 1i 15 i5 16GB 1TB SSD FHD
Rp
9.498.000
-1%
Hadiah Gratis
5.0
27 Terjual
< 2 Hari
Bogor",https://shopee.co.id/Lenovo-Ideapad-Slim-1i-15-i5-16GB-1TB-SSD-FHD-i.1418474373.43450344707?extraParams=%7B%22display_model_id%22%3A302438287341%2C%22model_selection_logic%22%3A3%7D&sp_atk=e63c9192-9089-4466-b695-f00009ffb26f&xptdk=e63c9192-9089-4466-b695-f00009ffb26f
https://down-id.img.susercontent.com/file/id-11134207-7r990-lwmd5aze2osdac,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Lenovo Ideapad 330S masih bagus 90% cocok untuk desain dan gaming RAM 12GB Core I5,,Rp,3.000.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang Selatan,< 2 Hari,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,"Laptop Lenovo Ideapad 330S masih bagus 90% cocok untuk desain dan gaming RAM 12GB Core I5
Rp
3.000.000
< 2 Hari
Tangerang Selatan",https://shopee.co.id/Laptop-Lenovo-Ideapad-330S-masih-bagus-90-cocok-untuk-desain-dan-gaming-RAM-12GB-Core-I5-i.66797295.29753038796?extraParams=%7B%22display_model_id%22%3A217588511296%2C%22model_selection_logic%22%3A3%7D&sp_atk=ddd61981-1662-479c-93cb-0041af6c235c&xptdk=ddd61981-1662-479c-93cb-0041af6c235c
https://down-id.img.susercontent.com/file/id-11134207-822ws-mn9o8a60dfk5f1,,LAPTOP LENOVO THINKPAD T490 T490S CORE I3 I5 I7 GENERASI 8 LAYAR 14 INCH MURAH MULUS BERGARANSI,,Rp,3.220.000,-8%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,4-7 Hari,,,"LAPTOP LENOVO THINKPAD T490 T490S CORE I3 I5 I7 GENERASI 8 LAYAR 14 INCH MURAH MULUS BERGARANSI
Rp
3.220.000
-8%
4-7 Hari
Jakarta Barat",https://shopee.co.id/LAPTOP-LENOVO-THINKPAD-T490-T490S-CORE-I3-I5-I7-GENERASI-8-LAYAR-14-INCH-MURAH-MULUS-BERGARANSI-i.1803076207.57459134587?extraParams=%7B%22display_model_id%22%3A390810252834%2C%22model_selection_logic%22%3A3%7D&sp_atk=8f4a7455-7a7c-4ae0-b896-da02d7e02aaf&xptdk=8f4a7455-7a7c-4ae0-b896-da02d7e02aaf
https://down-id.img.susercontent.com/file/id-11134207-7ra0u-mbp41i09ti1c31,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Lenovo Thinkpad T460 Core i5 8GB 256GB SSD 14""",,Rp,3.300.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Makassar,< 2 Hari,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,"Lenovo Thinkpad T460 Core i5 8GB 256GB SSD 14""
Rp
3.300.000
< 2 Hari
Makassar",https://shopee.co.id/Lenovo-Thinkpad-T460-Core-i5-8GB-256GB-SSD-14--i.11267362.25595802881?extraParams=%7B%22display_model_id%22%3A253588014922%2C%22model_selection_logic%22%3A3%7D&sp_atk=92baeaed-7e31-4788-8260-ec4cba618390&xptdk=92baeaed-7e31-4788-8260-ec4cba618390
https://down-id.img.susercontent.com/file/id-11134207-7r98u-lqy9jboiuq2hb1,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop Lenovo ThinkPad  X280 i5 Gen 8th SSD  - Second Bergaransi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,3.095.000,,,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,208 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Laptop Lenovo ThinkPad X280 i5 Gen 8th SSD - Second Bergaransi
Rp
3.095.000
4.9
208 Terjual
3-4 Hari
Jakarta Pusat",https://shopee.co.id/Laptop-Lenovo-ThinkPad-X280-i5-Gen-8th-SSD-Second-Bergaransi-i.174578880.18177396897?extraParams=%7B%22display_model_id%22%3A175775896648%2C%22model_selection_logic%22%3A3%7D&sp_atk=c6915a30-f067-4950-b77b-90f8b813262c&xptdk=c6915a30-f067-4950-b77b-90f8b813262c
https://down-id.img.susercontent.com/file/id-11134207-81ztj-menufuob4dfo2b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Laptop LENOVO IDEAPAD SLIM 3i INTEL i3 GEN 12 16GB 512GB SSD 14"" FHD WIN11HOME",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,7.599.000,,,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,53 Terjual,Hadiah Gratis,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Laptop LENOVO IDEAPAD SLIM 3i INTEL i3 GEN 12 16GB 512GB SSD 14"" FHD WIN11HOME
Rp
7.599.000
Hadiah Gratis
5.0
53 Terjual
< 2 Hari
Bandung",https://shopee.co.id/Laptop-LENOVO-IDEAPAD-SLIM-3i-INTEL-i3-GEN-12-16GB-512GB-SSD-14-FHD-WIN11HOME-i.300290440.18224485219?extraParams=%7B%22display_model_id%22%3A272408043886%2C%22model_selection_logic%22%3A3%7D&sp_atk=129eda08-c81e-486d-894d-680a9df1cac5&xptdk=129eda08-c81e-486d-894d-680a9df1cac5
https://down-id.img.susercontent.com/file/id-11134207-7ra0o-mc06975bzemjfa,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Lenovo Thinkpad T480 Core i5 Gen8 RAM 16GB SSD 256GB 14 Inch Second bergaransi,,Rp,2.900.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,4-7 Hari,,,"Laptop Lenovo Thinkpad T480 Core i5 Gen8 RAM 16GB SSD 256GB 14 Inch Second bergaransi
Rp
2.900.000
4-7 Hari
Jakarta Pusat",https://shopee.co.id/Laptop-Lenovo-Thinkpad-T480-Core-i5-Gen8-RAM-16GB-SSD-256GB-14-Inch-Second-bergaransi-i.1477923255.28327871573?extraParams=%7B%22display_model_id%22%3A242755670472%2C%22model_selection_logic%22%3A3%7D&sp_atk=99e640b7-adbb-4c05-911f-199ff9d75360&xptdk=99e640b7-adbb-4c05-911f-199ff9d75360
