-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,inline-block,img,text-xs/sp14_2,text-xs,text-shopee-primary,pointer-events-none_3,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7rbkc-m70e9qesc0x398,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,LENOVO LEGION 20 CORE i7 GEN 7 RAM 8GB SSD 128GB SECOND/BEKAS,Rp,7.000.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bekasi,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,,,,"LENOVO LEGION 20 CORE i7 GEN 7 RAM 8GB SSD 128GB SECOND/BEKAS
Rp
7.000.000
< 2 Hari
Bekasi",https://shopee.co.id/LENOVO-LEGION-20-CORE-i7-GEN-7-RAM-8GB-SSD-128GB-SECOND-BEKAS-i.316371267.29728579092?extraParams=%7B%22display_model_id%22%3A242805437563%2C%22model_selection_logic%22%3A3%7D&sp_atk=546cc200-d2c3-4882-8029-ca858be784ea&xptdk=546cc200-d2c3-4882-8029-ca858be784ea
https://down-id.img.susercontent.com/file/id-11134207-7rash-m1xgc07uvty450,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,PROMO Lenovo Thinkpad L-Series Core i5/i7 SSD 512GB,Rp,2.969.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,197 Terjual,,,,"PROMO Lenovo Thinkpad L-Series Core i5/i7 SSD 512GB
Rp
2.969.000
4.9
197 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/PROMO-Lenovo-Thinkpad-L-Series-Core-i5-i7-SSD-512GB-i.92762228.25450168016?extraParams=%7B%22display_model_id%22%3A306745009227%2C%22model_selection_logic%22%3A3%7D&sp_atk=856bcd45-f2d7-47c2-99cd-ff28ebea7410&xptdk=856bcd45-f2d7-47c2-99cd-ff28ebea7410
https://down-id.img.susercontent.com/file/id-11134201-23030-o9fapn19n6nvf6,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Lenovo Thinpad K2450 Core i3 4GB Windows 10,Rp,1.450.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,,,,"Lenovo Thinpad K2450 Core i3 4GB Windows 10
Rp
1.450.000
5.0
1 Terjual
< 2 Hari
Malang",https://shopee.co.id/Lenovo-Thinpad-K2450-Core-i3-4GB-Windows-10-i.44435356.18074945936?extraParams=%7B%22display_model_id%22%3A195734909246%2C%22model_selection_logic%22%3A3%7D&sp_atk=d9bee22f-4659-412b-a5ae-dfcdc8f7cb8a&xptdk=d9bee22f-4659-412b-a5ae-dfcdc8f7cb8a
https://down-id.img.susercontent.com/file/id-11134207-7r991-lxkw4dk54jz2f3,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,LENOVO 13 CORE I7 GEN 7 RAM 16 GB SSD 256 GB BEKAS SECOND,Rp,7.000.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,,4-8 Hari,,,,"LENOVO 13 CORE I7 GEN 7 RAM 16 GB SSD 256 GB BEKAS SECOND
Rp
7.000.000
4-8 Hari
Jakarta Utara",https://shopee.co.id/LENOVO-13-CORE-I7-GEN-7-RAM-16-GB-SSD-256-GB-BEKAS-SECOND-i.939372100.26755099653?extraParams=%7B%22display_model_id%22%3A197645667116%2C%22model_selection_logic%22%3A3%7D&sp_atk=53629fd8-db97-4550-a4ec-0e8333351283&xptdk=53629fd8-db97-4550-a4ec-0e8333351283
https://down-id.img.susercontent.com/file/id-11134207-8224z-mhujjhgddr7p2f,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Lenovo Thinkpad T495s Ryzen 5 | T490s T490 Core i7 Gen 8 Touchsceen - Second Murah Bergaransi,Rp,3.301.500,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,230 Terjual,-7%,,,"Laptop Lenovo Thinkpad T495s Ryzen 5 | T490s T490 Core i7 Gen 8 Touchsceen - Second Murah Bergaransi
Rp
3.301.500
-7%
5.0
230 Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/Laptop-Lenovo-Thinkpad-T495s-Ryzen-5-T490s-T490-Core-i7-Gen-8-Touchsceen-Second-Murah-Bergaransi-i.1041928516.23058108045?extraParams=%7B%22display_model_id%22%3A246367880251%2C%22model_selection_logic%22%3A3%7D&sp_atk=5d29c97f-7298-49fb-93f4-7add4deaa0fb&xptdk=5d29c97f-7298-49fb-93f4-7add4deaa0fb
https://down-id.img.susercontent.com/file/id-11134207-7rasi-m5mj2t631egyc6,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Dual Grafis LENOVO IDEAPAD 310-14ikb Core i5 gen 7 NVIDIA RAM 8 SSD  - LAPTOP SECOND - LAPTOP BEKAS,Rp,3.050.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,,,,"Laptop Dual Grafis LENOVO IDEAPAD 310-14ikb Core i5 gen 7 NVIDIA RAM 8 SSD - LAPTOP SECOND - LAPTOP BEKAS
Rp
3.050.000
< 2 Hari
Malang",https://shopee.co.id/Laptop-Dual-Grafis-LENOVO-IDEAPAD-310-14ikb-Core-i5-gen-7-NVIDIA-RAM-8-SSD-LAPTOP-SECOND-LAPTOP-BEKAS-i.44435356.26824813686?extraParams=%7B%22display_model_id%22%3A198185041307%2C%22model_selection_logic%22%3A3%7D&sp_atk=262b93cb-c484-425c-81ea-64fd068d72f5&xptdk=262b93cb-c484-425c-81ea-64fd068d72f5
https://down-id.img.susercontent.com/file/id-11134201-23020-ry9nf25pnynv0e,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Obral Lenovo Thinkpad X280 Core i5 Gen8 RAM 16GB SSD 512GB Ultrabook,Rp,2.294.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,403 Terjual,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"Obral Lenovo Thinkpad X280 Core i5 Gen8 RAM 16GB SSD 512GB Ultrabook
Rp
2.294.000
-1%
4.8
403 Terjual
< 2 Hari
Jakarta Barat",https://shopee.co.id/Obral-Lenovo-Thinkpad-X280-Core-i5-Gen8-RAM-16GB-SSD-512GB-Ultrabook-i.609911463.17391035812?extraParams=%7B%22display_model_id%22%3A410322707214%2C%22model_selection_logic%22%3A3%7D&sp_atk=65e7a5bd-6a68-4c0c-af70-d83ba17d68be&xptdk=65e7a5bd-6a68-4c0c-af70-d83ba17d68be
https://down-id.img.susercontent.com/file/id-11134207-7rasd-m1a7r90kxvc377,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop premium Lenovo G40-70 core i3 gen 4 GPU radeon ram 8gb bekas mulus,Rp,2.399.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Besok,,,,"Laptop premium Lenovo G40-70 core i3 gen 4 GPU radeon ram 8gb bekas mulus
Rp
2.399.000
Besok
Surabaya",https://shopee.co.id/Laptop-premium-Lenovo-G40-70-core-i3-gen-4-GPU-radeon-ram-8gb-bekas-mulus-i.1362178737.27412727359?extraParams=%7B%22display_model_id%22%3A89654936818%2C%22model_selection_logic%22%3A3%7D&sp_atk=fd17e87b-7955-424f-ba3c-1dde2c2c46ba&xptdk=fd17e87b-7955-424f-ba3c-1dde2c2c46ba
https://down-id.img.susercontent.com/file/id-11134207-7qula-lh5t2mspixnw22,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Lenovo Thinkpad X1 Carbon Core i5 -  i7 / 7th Gen / 8 / 256GB SSD / Second / Bekas,Rp,5.490.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jambi,,,,5-7 Hari,,,,"Lenovo Thinkpad X1 Carbon Core i5 - i7 / 7th Gen / 8 / 256GB SSD / Second / Bekas
Rp
5.490.000
5-7 Hari
Jambi",https://shopee.co.id/Lenovo-Thinkpad-X1-Carbon-Core-i5-i7-7th-Gen-8-256GB-SSD-Second-Bekas-i.2770853.19789035690?extraParams=%7B%22display_model_id%22%3A186765070062%2C%22model_selection_logic%22%3A3%7D&sp_atk=9b453d8d-b0e4-4a7b-8fe1-efebe42fa696&xptdk=9b453d8d-b0e4-4a7b-8fe1-efebe42fa696
https://down-id.img.susercontent.com/file/id-11134207-7rask-m5wry9elf69ue7,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Lenovo Thinkpad X Series Core i5 16GB 1TB Second,Rp,2.560.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,254 Terjual,,,,"Lenovo Thinkpad X Series Core i5 16GB 1TB Second
Rp
2.560.000
5.0
254 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Lenovo-Thinkpad-X-Series-Core-i5-16GB-1TB-Second-i.1434879797.28822786054?extraParams=%7B%22display_model_id%22%3A218233336720%2C%22model_selection_logic%22%3A3%7D&sp_atk=db8c3389-ff17-43f2-9d03-49904f532eb4&xptdk=db8c3389-ff17-43f2-9d03-49904f532eb4
