-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-shopee-primary,pointer-events-none,text-xs/sp14_2,pointer-events-none_2,w-auto,text-white,pointer-events-none_3,align-middle,text-shopee-green,truncate,img_2,text-white_2,text-white_2_link,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7ra0u-mcchginpsqit33,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Lenovo Ideapad Slim 5 16 Core 7 16GB 2TB SSD,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,9.494.000,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bekasi,13 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=42556517663&shopid=1563161820,"Lenovo Ideapad Slim 5 16 Core 7 16GB 2TB SSD
Rp
9.494.000
-1%
5.0
13 Terjual
< 2 Hari
Bekasi",https://shopee.co.id/Lenovo-Ideapad-Slim-5-16-Core-7-16GB-2TB-SSD-i.1563161820.42556517663?extraParams=%7B%22display_model_id%22%3A365436917460%2C%22model_selection_logic%22%3A3%7D&sp_atk=e820b650-94c8-4806-8299-47e0ffc45bc4&xptdk=e820b650-94c8-4806-8299-47e0ffc45bc4
https://down-id.img.susercontent.com/file/id-11134207-7r98x-lw58j54np6gt9f,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Lenovo V14 G5 Irl I3 1315U 8GB 512GB 14"" Fhd Ips W11H Ohs24 resmi",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,8.599.000,,,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Kediri,50 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=26151793018&shopid=12084313,"Lenovo V14 G5 Irl I3 1315U 8GB 512GB 14"" Fhd Ips W11H Ohs24 resmi
Rp
8.599.000
4.9
50 Terjual
2-3 Hari
Kab. Kediri",https://shopee.co.id/Lenovo-V14-G5-Irl-I3-1315U-8GB-512GB-14-Fhd-Ips-W11H-Ohs24-resmi-i.12084313.26151793018?extraParams=%7B%22display_model_id%22%3A310268533676%2C%22model_selection_logic%22%3A3%7D&sp_atk=2bbb6727-12f8-4817-b4af-03b7678f7b95&xptdk=2bbb6727-12f8-4817-b4af-03b7678f7b95
https://down-id.img.susercontent.com/file/id-11134207-822wt-mnb3gy21ntvk8a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Lenovo V14 Gaming Ryzen 5 24GB 1TB SSD FHD,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,7.199.000,,,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,145 Terjual,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=9568480955&shopid=32751035,"Lenovo V14 Gaming Ryzen 5 24GB 1TB SSD FHD
Rp
7.199.000
Cicilan
Hadiah Gratis
5.0
145 Terjual
< 2 Hari
Bandung",https://shopee.co.id/Lenovo-V14-Gaming-Ryzen-5-24GB-1TB-SSD-FHD-i.32751035.9568480955?extraParams=%7B%22display_model_id%22%3A400563122437%2C%22model_selection_logic%22%3A3%7D&sp_atk=ad83304e-b519-49cf-964c-18e74a5b2536&xptdk=ad83304e-b519-49cf-964c-18e74a5b2536
https://down-id.img.susercontent.com/file/id-11134207-822wh-mncmghmutgqp89,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop Lenovo Gaming Core i5 / i7 Ram 8GB SSD 256GB + Full Bonus Original Murah Bergaransi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.895.000,-16%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,3RB+ Terjual,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=7585468124&shopid=205412005,"Laptop Lenovo Gaming Core i5 / i7 Ram 8GB SSD 256GB + Full Bonus Original Murah Bergaransi
Rp
1.895.000
-16%
Cicilan
4.9
3RB+ Terjual
< 2 Hari
Bandung",https://shopee.co.id/Laptop-Lenovo-Gaming-Core-i5-i7-Ram-8GB-SSD-256GB-Full-Bonus-Original-Murah-Bergaransi-i.205412005.7585468124?extraParams=%7B%22display_model_id%22%3A291655069939%2C%22model_selection_logic%22%3A3%7D&sp_atk=2a72887d-a7f7-4678-bf95-c8c73c8a3ef1&xptdk=2a72887d-a7f7-4678-bf95-c8c73c8a3ef1
https://down-id.img.susercontent.com/file/id-11134207-7ra0k-mb7ip1hzp1mgbe,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Lenovo Thinkpad T14 Gen 2 Core i7 16GB 1TB SSD,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,7.895.034,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 10:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,3 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=40905250931&shopid=7863445,"Lenovo Thinkpad T14 Gen 2 Core i7 16GB 1TB SSD
Rp
7.895.034
-1%
5.0
3 Terjual
Besok 10:00
Surabaya",https://shopee.co.id/Lenovo-Thinkpad-T14-Gen-2-Core-i7-16GB-1TB-SSD-i.7863445.40905250931?extraParams=%7B%22display_model_id%22%3A265443472151%2C%22model_selection_logic%22%3A3%7D&sp_atk=0e66e7b5-4f8b-4c5d-b0a2-3d22760668fa&xptdk=0e66e7b5-4f8b-4c5d-b0a2-3d22760668fa
https://down-id.img.susercontent.com/file/id-11134207-7rasm-m27ncbf8q89u80,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP LENOVO IDEAPAD SLIM 3i 14 - INTEL I3 1215U 16GB RAM 512GB SSD WINDOWS 11 OHS,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,7.817.000,-2%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,76 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=28316595310&shopid=1367937206,"LAPTOP LENOVO IDEAPAD SLIM 3i 14 - INTEL I3 1215U 16GB RAM 512GB SSD WINDOWS 11 OHS
Rp
7.817.000
-2%
4.9
76 Terjual
< 2 Hari
Depok",https://shopee.co.id/LAPTOP-LENOVO-IDEAPAD-SLIM-3i-14-INTEL-I3-1215U-16GB-RAM-512GB-SSD-WINDOWS-11-OHS-i.1367937206.28316595310?extraParams=%7B%22display_model_id%22%3A253916616638%2C%22model_selection_logic%22%3A3%7D&sp_atk=fd8b7385-7228-494d-873d-966e139adf33&xptdk=fd8b7385-7228-494d-873d-966e139adf33
https://down-id.img.susercontent.com/file/id-11134207-8224p-mgn29fem1gjt7f,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Laptop Lenovo ThinkPad T14 Core i7-1185G7 Ram 16Gb Ssd 512Gb Nvme 14"" Full Hd Windows 11 Pro",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,6.140.000,-2%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,4 Terjual,Hadiah Gratis,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=29487648420&shopid=29444629,"Laptop Lenovo ThinkPad T14 Core i7-1185G7 Ram 16Gb Ssd 512Gb Nvme 14"" Full Hd Windows 11 Pro
Rp
6.140.000
-2%
Hadiah Gratis
5.0
4 Terjual
Besok
Surabaya",https://shopee.co.id/Laptop-Lenovo-ThinkPad-T14-Core-i7-1185G7-Ram-16Gb-Ssd-512Gb-Nvme-14-Full-Hd-Windows-11-Pro-i.29444629.29487648420?extraParams=%7B%22display_model_id%22%3A262299188973%2C%22model_selection_logic%22%3A3%7D&sp_atk=19c86c98-cf2e-47de-852a-6f465c84e6c5&xptdk=19c86c98-cf2e-47de-852a-6f465c84e6c5
https://down-id.img.susercontent.com/file/id-11134207-82250-mir40hpjcnbb76,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Lenovo IdeaPad Slim 1i 15 Touchscreen i5 16GB 512GB Windows 11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,9.498.000,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bekasi,162 Terjual,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=3579442491&shopid=121972254,"Lenovo IdeaPad Slim 1i 15 Touchscreen i5 16GB 512GB Windows 11
Rp
9.498.000
-1%
Cicilan
5.0
162 Terjual
< 2 Hari
Bekasi",https://shopee.co.id/Lenovo-IdeaPad-Slim-1i-15-Touchscreen-i5-16GB-512GB-Windows-11-i.121972254.3579442491?extraParams=%7B%22display_model_id%22%3A184174125906%2C%22model_selection_logic%22%3A3%7D&sp_atk=32690558-9e1f-4236-817e-7b30c6192b7c&xptdk=32690558-9e1f-4236-817e-7b30c6192b7c
https://down-id.img.susercontent.com/file/id-11134207-7ra0k-mcpxpdxf4qp39c,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Lenovo Thinkpad Yoga L390 L13 I7 I5 16GB 1TB SSD,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,4.500.000,,,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,56 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=29634711660&shopid=1458974603,"Lenovo Thinkpad Yoga L390 L13 I7 I5 16GB 1TB SSD
Rp
4.500.000
5.0
56 Terjual
< 2 Hari
Jakarta Barat",https://shopee.co.id/Lenovo-Thinkpad-Yoga-L390-L13-I7-I5-16GB-1TB-SSD-i.1458974603.29634711660?extraParams=%7B%22display_model_id%22%3A277452247744%2C%22model_selection_logic%22%3A3%7D&sp_atk=0eed06ee-5429-4fb8-be0b-71ae87e244e6&xptdk=0eed06ee-5429-4fb8-be0b-71ae87e244e6
https://down-id.img.susercontent.com/file/id-11134207-7r98u-lpp4nd77n8zpb9,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Lenovo Thinkpad T480 Core I5 16GB 512GB SSD,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.990.000,,,4.8,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,77 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=25354946873&shopid=1135921590,"Lenovo Thinkpad T480 Core I5 16GB 512GB SSD
Rp
2.990.000
4.8
77 Terjual
Besok
Surabaya",https://shopee.co.id/Lenovo-Thinkpad-T480-Core-I5-16GB-512GB-SSD-i.1135921590.25354946873?extraParams=%7B%22display_model_id%22%3A243732915080%2C%22model_selection_logic%22%3A3%7D&sp_atk=c3f58044-7209-4b28-b920-6c2cd0a77536&xptdk=c3f58044-7209-4b28-b920-6c2cd0a77536
