-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,truncate,img,text-xs/sp14_2,text-xs,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,text-shopee-primary,pointer-events-none_3,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7r98s-lva6lrk4gi4jca,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Lenovo Intel Core i5 / i7  RAM 8GB / 16GB  SSD 256GB / 500GB windows 10 / 11 -  siap pakai,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.250.000,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.6,10RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,"Laptop Lenovo Intel Core i5 / i7 RAM 8GB / 16GB SSD 256GB / 500GB windows 10 / 11 - siap pakai
Rp
1.250.000
Cicilan
4.6
10RB+ Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Laptop-Lenovo-Intel-Core-i5-i7-RAM-8GB-16GB-SSD-256GB-500GB-windows-10-11-siap-pakai-i.230649038.8711661572?extraParams=%7B%22display_model_id%22%3A147254078177%2C%22model_selection_logic%22%3A3%7D&sp_atk=4fdfb14e-9538-4382-8b70-1c24d3ee300c&xptdk=4fdfb14e-9538-4382-8b70-1c24d3ee300c
https://down-id.img.susercontent.com/file/id-11134207-822wt-mn1btg27tlag10,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Laptop Lenovo ThinkPad X13 Gen 1 i5 13.3"" Slim",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,3.100.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,137 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,-3%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"Laptop Lenovo ThinkPad X13 Gen 1 i5 13.3"" Slim
Rp
3.100.000
-3%
4.9
137 Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/Laptop-Lenovo-ThinkPad-X13-Gen-1-i5-13.3-Slim-i.472460537.28628275276?extraParams=%7B%22display_model_id%22%3A415163578946%2C%22model_selection_logic%22%3A3%7D&sp_atk=f938e4ce-62dd-4bb3-abf2-832733a222d3&xptdk=f938e4ce-62dd-4bb3-abf2-832733a222d3
https://down-id.img.susercontent.com/file/id-11134207-8224p-mh1q6adcs3db57,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Lenovo Thinkpad T480s Core i5 16GB 256GB SSD Siap Pakai,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.795.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,1RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,"Lenovo Thinkpad T480s Core i5 16GB 256GB SSD Siap Pakai
Rp
2.795.000
4.9
1RB+ Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/Lenovo-Thinkpad-T480s-Core-i5-16GB-256GB-SSD-Siap-Pakai-i.20347114.23075108188?extraParams=%7B%22display_model_id%22%3A405497900938%2C%22model_selection_logic%22%3A3%7D&sp_atk=ac6aba14-22fd-4abb-a636-ac6f9a94e2a7&xptdk=ac6aba14-22fd-4abb-a636-ac6f9a94e2a7
https://down-id.img.susercontent.com/file/id-11134207-822wh-mn15xmynv4lke3,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Lenovo ThinkPad T480/T480s i5 8GB 256GB SSD,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,2.800.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,1RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,"Lenovo ThinkPad T480/T480s i5 8GB 256GB SSD
Rp
2.800.000
4.9
1RB+ Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/Lenovo-ThinkPad-T480-T480s-i5-8GB-256GB-SSD-i.472460537.20607028919?extraParams=%7B%22display_model_id%22%3A445475043877%2C%22model_selection_logic%22%3A3%7D&sp_atk=48dfc5c7-6ad5-4a09-b32b-4add07a2bd40&xptdk=48dfc5c7-6ad5-4a09-b32b-4add07a2bd40
https://down-id.img.susercontent.com/file/id-11134207-822wr-mn6tm0mmlvd4fd,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Lenovo Thinkpad Core i5 | RAM 4GB / 8GB / 16GB | SSD 256GB | Mulus / Second  / Original Series / Berkualitas / Bergaransi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.450.000,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,7RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,"Laptop Lenovo Thinkpad Core i5 | RAM 4GB / 8GB / 16GB | SSD 256GB | Mulus / Second / Original Series / Berkualitas / Bergaransi
Rp
2.450.000
Cicilan
4.8
7RB+ Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Laptop-Lenovo-Thinkpad-Core-i5-RAM-4GB-8GB-16GB-SSD-256GB-Mulus-Second-Original-Series-Berkualitas-Bergaransi-i.30169103.1949980283?extraParams=%7B%22display_model_id%22%3A89912344643%2C%22model_selection_logic%22%3A3%7D&sp_atk=0895fa82-1460-4401-9f7b-3b03425702ed&xptdk=0895fa82-1460-4401-9f7b-3b03425702ed
https://down-id.img.susercontent.com/file/id-11134207-822wr-mn15xmyo0qvc6a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Laptop Lenovo Thinkpad T460/T460S Core i5/i7 14""",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,2.200.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,652 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,"Laptop Lenovo Thinkpad T460/T460S Core i5/i7 14""
Rp
2.200.000
5.0
652 Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/Laptop-Lenovo-Thinkpad-T460-T460S-Core-i5-i7-14--i.472460537.16744462599?extraParams=%7B%22display_model_id%22%3A365460020915%2C%22model_selection_logic%22%3A3%7D&sp_atk=3992a4d7-df10-47b3-b437-2ccb42694900&xptdk=3992a4d7-df10-47b3-b437-2ccb42694900
https://down-id.img.susercontent.com/file/id-11134207-7ra0r-mb493uksw9093c,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Lenovo X-serie Core i5 Gen 8 Ram 16GB SSD 256GB OS windows 10/11 - siap pakai,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.550.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.5,1RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,"Laptop Lenovo X-serie Core i5 Gen 8 Ram 16GB SSD 256GB OS windows 10/11 - siap pakai
Rp
1.550.000
4.5
1RB+ Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Laptop-Lenovo-X-serie-Core-i5-Gen-8-Ram-16GB-SSD-256GB-OS-windows-10-11-siap-pakai-i.230649038.18544038357?extraParams=%7B%22display_model_id%22%3A265422861422%2C%22model_selection_logic%22%3A3%7D&sp_atk=c51e493a-7ce3-43d0-b15d-018d3210916a&xptdk=c51e493a-7ce3-43d0-b15d-018d3210916a
https://down-id.img.susercontent.com/file/id-11134207-7r98q-lt0qs414hp4t2f,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Lenovo Thinkpad Yoga 11E 300E I5/I7 360 Lipat 360 Stylus Pen Second Mulus Bergaransi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.500.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,167 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,-6%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"Lenovo Thinkpad Yoga 11E 300E I5/I7 360 Lipat 360 Stylus Pen Second Mulus Bergaransi
Rp
1.500.000
-6%
5.0
167 Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/Lenovo-Thinkpad-Yoga-11E-300E-I5-I7-360-Lipat-360-Stylus-Pen-Second-Mulus-Bergaransi-i.926974868.15797016718?extraParams=%7B%22display_model_id%22%3A296036243401%2C%22model_selection_logic%22%3A3%7D&sp_atk=e10b906c-b745-4222-9325-6b25e29df52e&xptdk=e10b906c-b745-4222-9325-6b25e29df52e
https://down-id.img.susercontent.com/file/id-11134207-7r98t-logma4y233w9de,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Lenovo Thinkpad L13/L14/L15 Core i3/i5 Gen 10 Murah Bergaransi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,2.600.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,123 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,-4%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"Laptop Lenovo Thinkpad L13/L14/L15 Core i3/i5 Gen 10 Murah Bergaransi
Rp
2.600.000
-4%
4.9
123 Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/Laptop-Lenovo-Thinkpad-L13-L14-L15-Core-i3-i5-Gen-10-Murah-Bergaransi-i.472460537.21095464069?extraParams=%7B%22display_model_id%22%3A355503356585%2C%22model_selection_logic%22%3A3%7D&sp_atk=2b4d5092-c7ce-4994-95a1-e5f63b8ecd7e&xptdk=2b4d5092-c7ce-4994-95a1-e5f63b8ecd7e
https://down-id.img.susercontent.com/file/id-11134207-822wk-mn15xmyb57gg35,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"[Bekas] Laptop Lenovo Thinkpad T470/T470S Core i5/i7 SUPER MURAH - Layar 14"" inch SECOND BERKUALITAS",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,2.300.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,1RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,"[Bekas] Laptop Lenovo Thinkpad T470/T470S Core i5/i7 SUPER MURAH - Layar 14"" inch SECOND BERKUALITAS
Rp
2.300.000
4.9
1RB+ Terjual
3-4 Hari
Jakarta Utara",https://shopee.co.id/-Bekas-Laptop-Lenovo-Thinkpad-T470-T470S-Core-i5-i7-SUPER-MURAH-Layar-14-inch-SECOND-BERKUALITAS-i.472460537.19305769725?extraParams=%7B%22display_model_id%22%3A204764950505%2C%22model_selection_logic%22%3A3%7D&sp_atk=f44b230a-50da-4642-b14a-2809b5d76cb0&xptdk=f44b230a-50da-4642-b14a-2809b5d76cb0
