-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,pointer-events-none,align-middle,text-shopee-primary,pointer-events-none_2,img,text-xs/sp14_3,text-xs,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-822wr-mndrzxcicxs505,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,DELL LATITUDE 3420 11TH i5-1145G7/RAM 32GB/SSD 1TB NVME/INTEL IRIS/FHD /BACKLITE,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,4.000.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bogor,,,,,,,"DELL LATITUDE 3420 11TH i5-1145G7/RAM 32GB/SSD 1TB NVME/INTEL IRIS/FHD /BACKLITE
Rp
4.000.000
Bogor",https://shopee.co.id/DELL-LATITUDE-3420-11TH-i5-1145G7-RAM-32GB-SSD-1TB-NVME-INTEL-IRIS-FHD-BACKLITE-i.861378616.53308506612?extraParams=%7B%22display_model_id%22%3A445754367846%2C%22model_selection_logic%22%3A3%7D&sp_atk=188ce070-e23e-4082-89ba-131c1eb67665&xptdk=188ce070-e23e-4082-89ba-131c1eb67665
https://down-id.img.susercontent.com/file/sg-11134201-22120-eh19vgqb1nlv8b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP LENOVO THINKPAD YOGA 11E/300E /100ETouchscreen - RAM 8/256GB MULUS,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,-6%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,61 Terjual,,"LAPTOP LENOVO THINKPAD YOGA 11E/300E /100ETouchscreen - RAM 8/256GB MULUS
Rp
1.500.000
-6%
4.9
61 Terjual
Jakarta Utara",https://shopee.co.id/LAPTOP-LENOVO-THINKPAD-YOGA-11E-300E-100ETouchscreen-RAM-8-256GB-MULUS-i.925485019.23715111360?extraParams=%7B%22display_model_id%22%3A146503806435%2C%22model_selection_logic%22%3A3%7D&sp_atk=5a4f340d-31fc-4fc4-8067-7b07c03a1964&xptdk=5a4f340d-31fc-4fc4-8067-7b07c03a1964
https://down-id.img.susercontent.com/file/id-11134201-822wp-mlvr3gb5iccgf9,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Gaming HP VICTUS 15 RTX4050-6GB Intel Core i5 13420H RAM 32GB 2TB FHD IPS 144Hz Win 11 Home,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,14.948.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bogor,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,57 Terjual,Hadiah Gratis,"Laptop Gaming HP VICTUS 15 RTX4050-6GB Intel Core i5 13420H RAM 32GB 2TB FHD IPS 144Hz Win 11 Home
Rp
14.948.000
-1%
Hadiah Gratis
5.0
57 Terjual
Bogor",https://shopee.co.id/Laptop-Gaming-HP-VICTUS-15-RTX4050-6GB-Intel-Core-i5-13420H-RAM-32GB-2TB-FHD-IPS-144Hz-Win-11-Home-i.1418474373.28634595982?extraParams=%7B%22display_model_id%22%3A340213875958%2C%22model_selection_logic%22%3A3%7D&sp_atk=18a672da-3c4a-42e7-8b0b-5390885ad873&xptdk=18a672da-3c4a-42e7-8b0b-5390885ad873
https://down-id.img.susercontent.com/file/id-11134207-8224z-mjdqlnah1pfodb,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Microsoft Surface Pro 7+ Core i7 1185G7 Iris Xe Ram 16Gb Ssd 1Tb Fullset,,Rp,5.350.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.0,1 Terjual,,"Laptop Microsoft Surface Pro 7+ Core i7 1185G7 Iris Xe Ram 16Gb Ssd 1Tb Fullset
Rp
5.350.000
4.0
1 Terjual
Jakarta Pusat",https://shopee.co.id/Laptop-Microsoft-Surface-Pro-7-Core-i7-1185G7-Iris-Xe-Ram-16Gb-Ssd-1Tb-Fullset-i.64979891.24671123887?extraParams=%7B%22display_model_id%22%3A307326666324%2C%22model_selection_logic%22%3A3%7D&sp_atk=eb8ce76c-38b6-43ef-851e-70144f84ee72&xptdk=eb8ce76c-38b6-43ef-851e-70144f84ee72
https://down-id.img.susercontent.com/file/id-11134207-7r98s-lsm75e5x8bpicf,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"Laptop Lenovo Yoga 260 ,11E , 300E , 12 , 460. X380 X390 370 L390 L380 Touchscreen Core i5 i7 Gen 6, 8 + BONUS!!! PALING MURAH PALING MULUS WORT IT TO BUY",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.600.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,-6%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,162 Terjual,,"Laptop Lenovo Yoga 260 ,11E , 300E , 12 , 460. X380 X390 370 L390 L380 Touchscreen Core i5 i7 Gen 6, 8 + BONUS!!! PALING MURAH PALING MULUS WORT IT TO BUY
Rp
1.600.000
-6%
4.9
162 Terjual
Jakarta Utara",https://shopee.co.id/Laptop-Lenovo-Yoga-260-11E-300E-12-460.-X380-X390-370-L390-L380-Touchscreen-Core-i5-i7-Gen-6-8-BONUS!!!-PALING-MURAH-PALING-MULUS-WORT-IT-TO-BUY-i.1065701352.24917555378?extraParams=%7B%22display_model_id%22%3A420535118469%2C%22model_selection_logic%22%3A3%7D&sp_atk=c4e23bd0-ad61-4f95-9da9-6a2d14f52ccf&xptdk=c4e23bd0-ad61-4f95-9da9-6a2d14f52ccf
https://down-id.img.susercontent.com/file/id-11134207-82251-mjwa0w5trh1e48,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Original /Laptop Panasonic QV8 intel Core i5 Gen8 | RAM 8GB | SSD 512GB  Layar 12 inci touchscreen| Mulus / Second / Berkualitas / Bergaransi.,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,3.199.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,-48%,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,68 Terjual,,"Original /Laptop Panasonic QV8 intel Core i5 Gen8 | RAM 8GB | SSD 512GB Layar 12 inci touchscreen| Mulus / Second / Berkualitas / Bergaransi.
Rp
3.199.000
-48%
5.0
68 Terjual
Jakarta Barat",https://shopee.co.id/Original-Laptop-Panasonic-QV8-intel-Core-i5-Gen8-RAM-8GB-SSD-512GB-Layar-12-inci-touchscreen-Mulus-Second-Berkualitas-Bergaransi.-i.1621404466.41176472333?extraParams=%7B%22display_model_id%22%3A340482457035%2C%22model_selection_logic%22%3A3%7D&sp_atk=cdeccf02-b7ca-467e-bb51-8459c981e8cd&xptdk=cdeccf02-b7ca-467e-bb51-8459c981e8cd
https://down-id.img.susercontent.com/file/id-11134207-822wt-mncor12zql1f01,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Asus Vivobook Go 14 E410KA Intel Pentium Silver N6000 512GB SSD 14.0 FHD Win11Home Star Black,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,4.699.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bogor,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,11 Terjual,,"Laptop Asus Vivobook Go 14 E410KA Intel Pentium Silver N6000 512GB SSD 14.0 FHD Win11Home Star Black
Rp
4.699.000
5.0
11 Terjual
Bogor",https://shopee.co.id/Laptop-Asus-Vivobook-Go-14-E410KA-Intel-Pentium-Silver-N6000-512GB-SSD-14.0-FHD-Win11Home-Star-Black-i.1415296245.28769458056?extraParams=%7B%22display_model_id%22%3A302446085419%2C%22model_selection_logic%22%3A3%7D&sp_atk=5124fcf7-6f61-4739-92bf-676b02200e43&xptdk=5124fcf7-6f61-4739-92bf-676b02200e43
https://down-id.img.susercontent.com/file/id-11134207-7rask-m293ju6sdxsz25,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,"MICROSOFT SURFACE PRO 6/INTEL CORE I5-8350U/RAM 8GB/SSD 256GB/WIN11/12,6""",,Rp,5.300.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,,,,,"MICROSOFT SURFACE PRO 6/INTEL CORE I5-8350U/RAM 8GB/SSD 256GB/WIN11/12,6""
Rp
5.300.000
Surabaya",https://shopee.co.id/MICROSOFT-SURFACE-PRO-6-INTEL-CORE-I5-8350U-RAM-8GB-SSD-256GB-WIN11-12-6--i.513167346.27966696708?extraParams=%7B%22display_model_id%22%3A207950146679%2C%22model_selection_logic%22%3A3%7D&sp_atk=ab99b8e4-bda4-4fef-b339-244680ebe66a&xptdk=ab99b8e4-bda4-4fef-b339-244680ebe66a
https://down-id.img.susercontent.com/file/sg-11134275-825as-mfxspffblij126,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,"BARU!!! NEW Microsoft Surface Pro 9 13"" Core i7-1265U EVO Ram 16GB SSD 256GB",,Rp,26.825.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,,,,,,,"BARU!!! NEW Microsoft Surface Pro 9 13"" Core i7-1265U EVO Ram 16GB SSD 256GB
Rp
26.825.000
Kab. Cirebon",https://shopee.co.id/BARU!!!-NEW-Microsoft-Surface-Pro-9-13-Core-i7-1265U-EVO-Ram-16GB-SSD-256GB-i.1363197531.27243081711?extraParams=%7B%22display_model_id%22%3A259037481635%2C%22model_selection_logic%22%3A3%7D&sp_atk=82ff1fb8-d274-4a0d-b78d-b6f798cac8f6&xptdk=82ff1fb8-d274-4a0d-b78d-b6f798cac8f6
https://down-id.img.susercontent.com/file/sg-11134201-22120-yxb7gynbiclva7,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop HP EliteBook 830 840 850 G3 G4 G5 G6 G7 G8  Intel I5 I7 Generasi 8 Murah Mulus Berkualitas,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,3.100.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,-3%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.5,25 Terjual,,"Laptop HP EliteBook 830 840 850 G3 G4 G5 G6 G7 G8 Intel I5 I7 Generasi 8 Murah Mulus Berkualitas
Rp
3.100.000
-3%
4.5
25 Terjual
Jakarta Utara",https://shopee.co.id/Laptop-HP-EliteBook-830-840-850-G3-G4-G5-G6-G7-G8-Intel-I5-I7-Generasi-8-Murah-Mulus-Berkualitas-i.817857955.20144826937?extraParams=%7B%22display_model_id%22%3A365397334798%2C%22model_selection_logic%22%3A3%7D&sp_atk=8c960b29-9b89-4b30-ac0a-6d968be62213&xptdk=8c960b29-9b89-4b30-ac0a-6d968be62213
