-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,pointer-events-none,align-middle,text-shopee-primary,pointer-events-none_2,img,text-xs/sp14_3,text-xs,truncate,inline-block,_container,_container_link
https://down-id.img.susercontent.com/file/sg-11134201-22120-uj6tral98jkvfe,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Microsoft surface pro 7 i5 gen 11 Display 12'' 2k RAM 8GB SSD128GB,Rp,11.699.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,,,,,,"Microsoft surface pro 7 i5 gen 11 Display 12'' 2k RAM 8GB SSD128GB
Rp
11.699.000
Jakarta Pusat",https://shopee.co.id/Microsoft-surface-pro-7-i5-gen-11-Display-12''-2k-RAM-8GB-SSD128GB-i.146481127.20466201501?extraParams=%7B%22display_model_id%22%3A213404386154%2C%22model_selection_logic%22%3A3%7D&sp_atk=85e8becc-891e-4647-b228-acaafe860710&xptdk=85e8becc-891e-4647-b228-acaafe860710
https://down-id.img.susercontent.com/file/id-11134207-7rasm-m2kwdxzxrer67f,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MICROSOFT SURFACE BOOK 2 1832 GEN 8 CI7 RAM 16GB SSD 512GB GTX1050,Rp,5.027.500,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,-3%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,4 Terjual,,,"MICROSOFT SURFACE BOOK 2 1832 GEN 8 CI7 RAM 16GB SSD 512GB GTX1050
Rp
5.027.500
-3%
5.0
4 Terjual
Jakarta Pusat",https://shopee.co.id/MICROSOFT-SURFACE-BOOK-2-1832-GEN-8-CI7-RAM-16GB-SSD-512GB-GTX1050-i.135743364.25067642880?extraParams=%7B%22display_model_id%22%3A246981716437%2C%22model_selection_logic%22%3A3%7D&sp_atk=a971f635-8f81-4b12-8a17-407bcec8730e&xptdk=a971f635-8f81-4b12-8a17-407bcec8730e
https://down-id.img.susercontent.com/file/id-11134207-7r98r-ln9xzkdozxq4c4,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MICROSOFT SURFACE BOOK 3 I5 1035G7 8GB RAM 256GB SSD SLIM MULUS NVIDIA GTX 1650,Rp,8.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,,,,,,,,"MICROSOFT SURFACE BOOK 3 I5 1035G7 8GB RAM 256GB SSD SLIM MULUS NVIDIA GTX 1650
Rp
8.500.000
Jakarta Timur",https://shopee.co.id/MICROSOFT-SURFACE-BOOK-3-I5-1035G7-8GB-RAM-256GB-SSD-SLIM-MULUS-NVIDIA-GTX-1650-i.20542553.21185659504?extraParams=%7B%22display_model_id%22%3A137745795834%2C%22model_selection_logic%22%3A3%7D&sp_atk=0a90c8f9-be4a-4a5e-b4de-767427f54b88&xptdk=0a90c8f9-be4a-4a5e-b4de-767427f54b88
https://down-id.img.susercontent.com/file/id-11134207-81ztl-me4di1e0pxxge7,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Microsoft surface laptop 4 core i7 gen 11 ram 16gb ssd 256gb,Rp,6.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Pekanbaru,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,5 Terjual,,,"Microsoft surface laptop 4 core i7 gen 11 ram 16gb ssd 256gb
Rp
6.500.000
4.8
5 Terjual
Pekanbaru",https://shopee.co.id/Microsoft-surface-laptop-4-core-i7-gen-11-ram-16gb-ssd-256gb-i.569548331.42558606250?extraParams=%7B%22display_model_id%22%3A292094607699%2C%22model_selection_logic%22%3A3%7D&sp_atk=c6d7f956-a1ab-42dd-83ff-886ac93bbeb8&xptdk=c6d7f956-a1ab-42dd-83ff-886ac93bbeb8
https://down-id.img.susercontent.com/file/3ab842fd12b7f0977939bc9445672759,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop Microsoft Surface Pro 8 i7 gen 11 RAM 16GB SSD 256GB,Rp,14.999.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,,,,,"Laptop Microsoft Surface Pro 8 i7 gen 11 RAM 16GB SSD 256GB
Rp
14.999.000
Jakarta Barat",https://shopee.co.id/Laptop-Microsoft-Surface-Pro-8-i7-gen-11-RAM-16GB-SSD-256GB-i.288633588.17140322114?extraParams=%7B%22display_model_id%22%3A435404673305%2C%22model_selection_logic%22%3A3%7D&sp_atk=c4782a8c-22c7-43e8-a8a9-6ea09b9eeeaf&xptdk=c4782a8c-22c7-43e8-a8a9-6ea09b9eeeaf
https://down-id.img.susercontent.com/file/id-11134207-822wm-mliqyh8063ns72,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Microsoft surface Laptop studio 2 core i7-13TH (32 /1 TB) NVIDIA GEFORCE RTX 4050 (6Gb) Touchscreen,Rp,29.900.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Deli Serdang,,,,,,,,"Microsoft surface Laptop studio 2 core i7-13TH (32 /1 TB) NVIDIA GEFORCE RTX 4050 (6Gb) Touchscreen
Rp
29.900.000
Kab. Deli Serdang",https://shopee.co.id/Microsoft-surface-Laptop-studio-2-core-i7-13TH-(32-1-TB)-NVIDIA-GEFORCE-RTX-4050-(6Gb)-Touchscreen-i.221346965.43579108706?extraParams=%7B%22display_model_id%22%3A375616150079%2C%22model_selection_logic%22%3A3%7D&sp_atk=ad67227d-29bc-4ec1-8a69-9bf6a9b7bff4&xptdk=ad67227d-29bc-4ec1-8a69-9bf6a9b7bff4
https://down-id.img.susercontent.com/file/cf348f4692f121d5761bf6e0b49db060,,Microsoft Surface Pro 7 Platinum / Black i3 4GB/128GB,Rp,11.696.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.0,1 Terjual,Cicilan,,"Microsoft Surface Pro 7 Platinum / Black i3 4GB/128GB
Rp
11.696.000
Cicilan
4.0
1 Terjual
Jakarta Pusat",https://shopee.co.id/Microsoft-Surface-Pro-7-Platinum-Black-i3-4GB-128GB-i.223342437.7242219668?extraParams=%7B%22display_model_id%22%3A60290111362%2C%22model_selection_logic%22%3A3%7D&sp_atk=15328f11-8a49-4210-b1c9-dab843c4b78e&xptdk=15328f11-8a49-4210-b1c9-dab843c4b78e
https://down-id.img.susercontent.com/file/sg-11134201-22100-29kc9u6fiqived,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Notebook Samsung Chrombook 11 Intel Celeron N4020 Ram4/32gb Fullset Mulus,Rp,1.650.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,569 Terjual,,,"Notebook Samsung Chrombook 11 Intel Celeron N4020 Ram4/32gb Fullset Mulus
Rp
1.650.000
4.8
569 Terjual
Jakarta Barat",https://shopee.co.id/Notebook-Samsung-Chrombook-11-Intel-Celeron-N4020-Ram4-32gb-Fullset-Mulus-i.816009841.17686149182?extraParams=%7B%22display_model_id%22%3A182480027227%2C%22model_selection_logic%22%3A3%7D&sp_atk=475e41f9-bba3-4f04-9c1f-de7160eb6847&xptdk=475e41f9-bba3-4f04-9c1f-de7160eb6847
https://down-id.img.susercontent.com/file/dd49a700432c38b94dddf731f9e28abe,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,laptop samsung white series np275e4v 14inch 2gb ram 500gb hdd mulus kinclong like new,Rp,1.099.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,-41%,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.7,9 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,"laptop samsung white series np275e4v 14inch 2gb ram 500gb hdd mulus kinclong like new
Rp
1.099.000
-41%
4.7
9 Terjual
Tangerang",https://shopee.co.id/laptop-samsung-white-series-np275e4v-14inch-2gb-ram-500gb-hdd-mulus-kinclong-like-new-i.18199758.19424785479?extraParams=%7B%22display_model_id%22%3A173720055088%2C%22model_selection_logic%22%3A3%7D&sp_atk=f9be2d48-64f5-4400-8f99-57656276a42a&xptdk=f9be2d48-64f5-4400-8f99-57656276a42a
https://down-id.img.susercontent.com/file/id-11134207-8224r-mjruuwksidc6a4,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Acer Series Core i7 / i5 / i3 | AMD Ryzen,Rp,2.900.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,32 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,"Laptop Acer Series Core i7 / i5 / i3 | AMD Ryzen
Rp
2.900.000
4.8
32 Terjual
Jakarta Timur",https://shopee.co.id/Laptop-Acer-Series-Core-i7-i5-i3-AMD-Ryzen-i.26647239.22048797667?extraParams=%7B%22display_model_id%22%3A267545073231%2C%22model_selection_logic%22%3A3%7D&sp_atk=c44c0df1-edda-4adb-8acf-1c1cb302d4fe&xptdk=c44c0df1-edda-4adb-8acf-1c1cb302d4fe
