-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-shopee-primary,pointer-events-none,img,text-xs/sp14_2,text-xs,pointer-events-none_2,align-middle,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-81ztl-mfb3rcbxxafc1e,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Laptop Microsoft Surface Pro 5 2in1 Tablet Core i5 7th Gen RAM 8GB SSD 256GB Layar 13in Touchscreen 2k QHD | Keyboard lepas-pasang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,4.825.000,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,58 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,"Laptop Microsoft Surface Pro 5 2in1 Tablet Core i5 7th Gen RAM 8GB SSD 256GB Layar 13in Touchscreen 2k QHD | Keyboard lepas-pasang
Rp
4.825.000
-1%
5.0
58 Terjual
Jakarta Pusat",https://shopee.co.id/Laptop-Microsoft-Surface-Pro-5-2in1-Tablet-Core-i5-7th-Gen-RAM-8GB-SSD-256GB-Layar-13in-Touchscreen-2k-QHD-Keyboard-lepas-pasang-i.134416131.41852887316?extraParams=%7B%22display_model_id%22%3A244181447857%2C%22model_selection_logic%22%3A3%7D&sp_atk=210c4a1f-7c64-4602-9257-47868b6f5643&xptdk=210c4a1f-7c64-4602-9257-47868b6f5643
https://down-id.img.susercontent.com/file/id-11134207-7rbk4-m8lz73f84t8i3b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Laptop Surface Pro core i5 Gen6 2,5Ghz 8/256 Window mulus",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.098.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,12 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,Cicilan,"Laptop Surface Pro core i5 Gen6 2,5Ghz 8/256 Window mulus
Rp
1.098.000
Cicilan
4.8
12 Terjual
Tangerang",https://shopee.co.id/Laptop-Surface-Pro-core-i5-Gen6-2-5Ghz-8-256-Window-mulus-i.48358453.10434019695?extraParams=%7B%22display_model_id%22%3A111746455154%2C%22model_selection_logic%22%3A3%7D&sp_atk=1e1f1ef4-0d2e-4b53-8584-12b4e8f7bc5c&xptdk=1e1f1ef4-0d2e-4b53-8584-12b4e8f7bc5c
https://down-id.img.susercontent.com/file/id-11134207-822wh-mncmghmutgqp89,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop Lenovo Gaming Core i5 / i7 Ram 8GB SSD 256GB + Full Bonus Original Murah Bergaransi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.895.000,-16%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,3RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,Cicilan,"Laptop Lenovo Gaming Core i5 / i7 Ram 8GB SSD 256GB + Full Bonus Original Murah Bergaransi
Rp
1.895.000
-16%
Cicilan
4.9
3RB+ Terjual
Bandung",https://shopee.co.id/Laptop-Lenovo-Gaming-Core-i5-i7-Ram-8GB-SSD-256GB-Full-Bonus-Original-Murah-Bergaransi-i.205412005.7585468124?extraParams=%7B%22display_model_id%22%3A291655069939%2C%22model_selection_logic%22%3A3%7D&sp_atk=d7a8b36f-b082-4d22-8d8e-985e7ad3cecb&xptdk=d7a8b36f-b082-4d22-8d8e-985e7ad3cecb
https://down-id.img.susercontent.com/file/id-11134207-7rbk1-maw9n9dzit884e,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop Murah Lenovo Mix 520 2in1 Core i5 Gen8 RAM 8GB SSD Touchscreen Win 10 Murah Bergaransi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,2.399.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.7,42 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,"Laptop Murah Lenovo Mix 520 2in1 Core i5 Gen8 RAM 8GB SSD Touchscreen Win 10 Murah Bergaransi
Rp
2.399.000
4.7
42 Terjual
Jakarta Barat",https://shopee.co.id/Laptop-Murah-Lenovo-Mix-520-2in1-Core-i5-Gen8-RAM-8GB-SSD-Touchscreen-Win-10-Murah-Bergaransi-i.22503994.29637506392?extraParams=%7B%22display_model_id%22%3A300358858759%2C%22model_selection_logic%22%3A3%7D&sp_atk=b1288ec0-5a97-459a-91fa-299e3ec61d38&xptdk=b1288ec0-5a97-459a-91fa-299e3ec61d38
https://down-id.img.susercontent.com/file/id-11134207-7r98v-lvczaqvy7x8nc6,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Lenovo Thinkpad X220 X230 X240 X250 X260 X270 X280 Core I3 I5 I7 Gen 6/7 MURAH MULUS BERKUALITAS,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,2.400.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,21 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,"Laptop Lenovo Thinkpad X220 X230 X240 X250 X260 X270 X280 Core I3 I5 I7 Gen 6/7 MURAH MULUS BERKUALITAS
Rp
2.400.000
5.0
21 Terjual
Jakarta Utara",https://shopee.co.id/Laptop-Lenovo-Thinkpad-X220-X230-X240-X250-X260-X270-X280-Core-I3-I5-I7-Gen-6-7-MURAH-MULUS-BERKUALITAS-i.1064874109.29350106123?extraParams=%7B%22display_model_id%22%3A420494093206%2C%22model_selection_logic%22%3A3%7D&sp_atk=5c7dc62d-88f5-49c9-8f35-8316e6c78881&xptdk=5c7dc62d-88f5-49c9-8f35-8316e6c78881
https://down-id.img.susercontent.com/file/id-11134207-7rasi-m292tnsxex8ge1,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,LAPTOP LENOVO THINKPAD X220 i5 /RAM 4GB/512 SSD /WIN10/FREE MOUSE & TAS,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.500.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,"LAPTOP LENOVO THINKPAD X220 i5 /RAM 4GB/512 SSD /WIN10/FREE MOUSE & TAS
Rp
1.500.000
5.0
1 Terjual
Jakarta Barat",https://shopee.co.id/LAPTOP-LENOVO-THINKPAD-X220-i5-RAM-4GB-512-SSD-WIN10-FREE-MOUSE-TAS-i.1370746900.27313168291?extraParams=%7B%22display_model_id%22%3A241962240454%2C%22model_selection_logic%22%3A3%7D&sp_atk=0ec83c97-b70c-42fe-bb8e-4d995f83effc&xptdk=0ec83c97-b70c-42fe-bb8e-4d995f83effc
https://down-id.img.susercontent.com/file/id-11134207-82251-mh64ad66nz7yea,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Surface Laptop 2 Second Mulus Intel Core i7 Gen 8 RAM 16gb SSD 512GB Touchscreen Original Bergaransi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,3.475.000,-31%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,4 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,"Surface Laptop 2 Second Mulus Intel Core i7 Gen 8 RAM 16gb SSD 512GB Touchscreen Original Bergaransi
Rp
3.475.000
-31%
5.0
4 Terjual
Jakarta Pusat",https://shopee.co.id/Surface-Laptop-2-Second-Mulus-Intel-Core-i7-Gen-8-RAM-16gb-SSD-512GB-Touchscreen-Original-Bergaransi-i.1034763811.51051533287?extraParams=%7B%22display_model_id%22%3A307557136619%2C%22model_selection_logic%22%3A3%7D&sp_atk=8b8dadd6-b454-45d6-838e-8c2e3112e52d&xptdk=8b8dadd6-b454-45d6-838e-8c2e3112e52d
https://down-id.img.susercontent.com/file/id-11134207-82251-mjruuwksjrwm22,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Lenovo ThinkPad All Series | Core i7 / i5 / i3 | AMD Ryzen | RAM 8/16GB | SSD 128/256GB,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.500.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.6,3RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,,"Lenovo ThinkPad All Series | Core i7 / i5 / i3 | AMD Ryzen | RAM 8/16GB | SSD 128/256GB
Rp
2.500.000
4.6
3RB+ Terjual
Jakarta Timur",https://shopee.co.id/Lenovo-ThinkPad-All-Series-Core-i7-i5-i3-AMD-Ryzen-RAM-8-16GB-SSD-128-256GB-i.26647239.22816370913?extraParams=%7B%22display_model_id%22%3A325794360257%2C%22model_selection_logic%22%3A3%7D&sp_atk=3caf335e-05f9-4153-a369-e7961ba0a586&xptdk=3caf335e-05f9-4153-a369-e7961ba0a586
https://down-id.img.susercontent.com/file/id-11134207-7r98p-lo24geol4z9l60,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,"Netbook lenovo S1030 Ram 2 gb ,internal 320 gb",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,600.000,-8%,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,13 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,,"Netbook lenovo S1030 Ram 2 gb ,internal 320 gb
Rp
600.000
-8%
5.0
13 Terjual
Tangerang",https://shopee.co.id/Netbook-lenovo-S1030-Ram-2-gb-internal-320-gb-i.41632262.25850901251?extraParams=%7B%22display_model_id%22%3A235799223615%2C%22model_selection_logic%22%3A3%7D&sp_atk=741a026b-cec3-455d-9436-3a11f2ad3a81&xptdk=741a026b-cec3-455d-9436-3a11f2ad3a81
https://down-id.img.susercontent.com/file/id-11134207-7r98q-lso1814cm8k94f,https://down-id.img.susercontent.com/file/id-11134258-7ra0q-mbesqwmkb0gu9c,Laptop Lenovo ThinkPad Core i7/i5 RAM 8GB SSD 256GB Mulus Original Bergansi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,3.300.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,1RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,Cicilan,"Laptop Lenovo ThinkPad Core i7/i5 RAM 8GB SSD 256GB Mulus Original Bergansi
Rp
3.300.000
Cicilan
4.9
1RB+ Terjual
Bandung",https://shopee.co.id/Laptop-Lenovo-ThinkPad-Core-i7-i5-RAM-8GB-SSD-256GB-Mulus-Original-Bergansi-i.250685702.5932719080?extraParams=%7B%22display_model_id%22%3A147122979488%2C%22model_selection_logic%22%3A3%7D&sp_atk=6938f1a2-88ec-40b0-8c36-9217d1ac0a24&xptdk=6938f1a2-88ec-40b0-8c36-9217d1ac0a24
