-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-shopee-primary,pointer-events-none,truncate,img,text-xs/sp14_2,text-xs,pointer-events-none_2,align-middle,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7r98p-lrqyilrvlmrd07,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Microsoft Surface Laptop 1 2 3 Intel Core i5 Laptop Kerja Premium Second Bergaransi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,3.057.300,-10%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Kombo Hemat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,44 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,"Microsoft Surface Laptop 1 2 3 Intel Core i5 Laptop Kerja Premium Second Bergaransi
Rp
3.057.300
-10%
Kombo Hemat
4.9
44 Terjual
Jakarta Barat",https://shopee.co.id/Microsoft-Surface-Laptop-1-2-3-Intel-Core-i5-Laptop-Kerja-Premium-Second-Bergaransi-i.984637109.21683236724?extraParams=%7B%22display_model_id%22%3A255222212382%2C%22model_selection_logic%22%3A3%7D&sp_atk=13b741e6-b017-452f-aa84-9f3dffa86fef&xptdk=13b741e6-b017-452f-aa84-9f3dffa86fef
https://down-id.img.susercontent.com/file/id-11134207-7r98t-lqz9dwi8qyk90e,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Microsoft Surface Pro 5 Core i5 Gen 7 Second Seken RAM 4GB 8GB SSD 128GB 256GB | Lenovo X1 Tablet Gen 3,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.982.600,-10%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Kombo Hemat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,118 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,"Microsoft Surface Pro 5 Core i5 Gen 7 Second Seken RAM 4GB 8GB SSD 128GB 256GB | Lenovo X1 Tablet Gen 3
Rp
2.982.600
-10%
Kombo Hemat
4.8
118 Terjual
Jakarta Barat",https://shopee.co.id/Microsoft-Surface-Pro-5-Core-i5-Gen-7-Second-Seken-RAM-4GB-8GB-SSD-128GB-256GB-Lenovo-X1-Tablet-Gen-3-i.984637109.22258782790?extraParams=%7B%22display_model_id%22%3A340568705635%2C%22model_selection_logic%22%3A3%7D&sp_atk=170796f9-77e3-4ada-8252-f6240838357e&xptdk=170796f9-77e3-4ada-8252-f6240838357e
https://down-id.img.susercontent.com/file/id-11134207-7r992-lwvacltwfg8t21,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Microsoft surface laptop 2 Second murah bergaransi touchscreen,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,2.800.000,-2%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.7,5 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,"Microsoft surface laptop 2 Second murah bergaransi touchscreen
Rp
2.800.000
-2%
4.7
5 Terjual
Jakarta Pusat",https://shopee.co.id/Microsoft-surface-laptop-2-Second-murah-bergaransi-touchscreen-i.141518567.27253549496?extraParams=%7B%22display_model_id%22%3A137999560443%2C%22model_selection_logic%22%3A3%7D&sp_atk=4104afa8-0f99-4824-83f6-01616db76a16&xptdk=4104afa8-0f99-4824-83f6-01616db76a16
https://down-id.img.susercontent.com/file/id-11134207-8224y-mkdlcz4y6u4kc8,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Microsoft Surface Pro 5 Laptop 1/2/3 Second / Seken | Core i5 / i7 Gen 7–10 RAM 4–16GB SSD 128–256GB | Laptop Kerja Bergaransi Laptop Lenovo Bekas Mouse Touchpad Keyboard Aman,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,2.998.410,-11%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Kombo Hemat,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,"Laptop Microsoft Surface Pro 5 Laptop 1/2/3 Second / Seken | Core i5 / i7 Gen 7–10 RAM 4–16GB SSD 128–256GB | Laptop Kerja Bergaransi Laptop Lenovo Bekas Mouse Touchpad Keyboard Aman
Rp
2.998.410
-11%
Kombo Hemat
Jakarta Barat",https://shopee.co.id/Laptop-Microsoft-Surface-Pro-5-Laptop-1-2-3-Second-Seken-Core-i5-i7-Gen-7%E2%80%9310-RAM-4%E2%80%9316GB-SSD-128%E2%80%93256GB-Laptop-Kerja-Bergaransi-Laptop-Lenovo-Bekas-Mouse-Touchpad-Keyboard-Aman-i.172218482.29167002854?extraParams=%7B%22display_model_id%22%3A187958731871%2C%22model_selection_logic%22%3A3%7D&sp_atk=3fea4b5a-c168-4fc3-9a40-7d7ad171422e&xptdk=3fea4b5a-c168-4fc3-9a40-7d7ad171422e
https://down-id.img.susercontent.com/file/id-11134207-822wj-mlsw4k5ohjb7b3,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Microsoft Surface Pro 5 Core i5 | 12.3Inch | Ram 8GB | S 256GB | HD Graphics 620 / 4GB - Laptop Second Makassar,,Rp,3.500.000,,,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Makassar,"Laptop Microsoft Surface Pro 5 Core i5 | 12.3Inch | Ram 8GB | S 256GB | HD Graphics 620 / 4GB - Laptop Second Makassar
Rp
3.500.000
Makassar",https://shopee.co.id/Laptop-Microsoft-Surface-Pro-5-Core-i5-12.3Inch-Ram-8GB-S-256GB-HD-Graphics-620-4GB-Laptop-Second-Makassar-i.42310262.44807204866?extraParams=%7B%22display_model_id%22%3A320641271081%2C%22model_selection_logic%22%3A3%7D&sp_atk=2b0eae10-9c59-4c87-a308-9c5774451261&xptdk=2b0eae10-9c59-4c87-a308-9c5774451261
https://down-id.img.susercontent.com/file/id-11134207-8224o-mjpc1zko54w008,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,MICROSOFT Surface Laptop 3 Used Core i7 16GB 256GB Touchscreen 13 Inch Mulus,,Rp,4.990.000,-38%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,"MICROSOFT Surface Laptop 3 Used Core i7 16GB 256GB Touchscreen 13 Inch Mulus
Rp
4.990.000
-38%
Jakarta Pusat",https://shopee.co.id/MICROSOFT-Surface-Laptop-3-Used-Core-i7-16GB-256GB-Touchscreen-13-Inch-Mulus-i.927645705.54404944759?extraParams=%7B%22display_model_id%22%3A365457500248%2C%22model_selection_logic%22%3A3%7D&sp_atk=91707e5f-fcc7-4cd2-bf25-5a4ce66173c2&xptdk=91707e5f-fcc7-4cd2-bf25-5a4ce66173c2
https://down-id.img.susercontent.com/file/id-11134207-7r98v-lspi3cxe6em500,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,surface pro 4 second murah bergaransi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,2.250.000,-2%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.0,6 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,"surface pro 4 second murah bergaransi
Rp
2.250.000
-2%
4.0
6 Terjual
Jakarta Pusat",https://shopee.co.id/surface-pro-4-second-murah-bergaransi-i.141518567.24867915244?extraParams=%7B%22display_model_id%22%3A108309472251%2C%22model_selection_logic%22%3A3%7D&sp_atk=c2bbba54-edd1-4acf-b081-6d6d70738a95&xptdk=c2bbba54-edd1-4acf-b081-6d6d70738a95
https://down-id.img.susercontent.com/file/id-11134207-7r98t-lscftz1zyzp0eb,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Second Miscrosoft Surface Pro 5 second murah bergaransi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,2.553.000,-2%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.6,42 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,"Second Miscrosoft Surface Pro 5 second murah bergaransi
Rp
2.553.000
-2%
4.6
42 Terjual
Jakarta Pusat",https://shopee.co.id/Second-Miscrosoft-Surface-Pro-5-second-murah-bergaransi-i.141518567.12142984206?extraParams=%7B%22display_model_id%22%3A240395079607%2C%22model_selection_logic%22%3A3%7D&sp_atk=f06790b4-d504-42be-ad88-160d487ded12&xptdk=f06790b4-d504-42be-ad88-160d487ded12
https://down-id.img.susercontent.com/file/id-11134207-81ztc-me85g72wsb9fbc,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Microsoft Surface 2 Touchscreen Ram 16gb SSD 256gb 12 inch Mulus Original Second Bergaransi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,4.275.000,-43%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,"Laptop Microsoft Surface 2 Touchscreen Ram 16gb SSD 256gb 12 inch Mulus Original Second Bergaransi
Rp
4.275.000
-43%
5.0
1 Terjual
Jakarta Pusat",https://shopee.co.id/Laptop-Microsoft-Surface-2-Touchscreen-Ram-16gb-SSD-256gb-12-inch-Mulus-Original-Second-Bergaransi-i.1034763811.28741110290?extraParams=%7B%22display_model_id%22%3A340213244635%2C%22model_selection_logic%22%3A3%7D&sp_atk=d35f252b-6fdc-450f-abde-0c09709de410&xptdk=d35f252b-6fdc-450f-abde-0c09709de410
https://down-id.img.susercontent.com/file/id-11134207-7rbk6-m66icjbornd29b,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop  2 in 1 Microsoft Surface Pro 4 Core i5 - 6th / 4GB - SSD 128GB - TOUCHSCREEN / Second Mulus & Bergaransi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,4.499.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,28 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,"Laptop 2 in 1 Microsoft Surface Pro 4 Core i5 - 6th / 4GB - SSD 128GB - TOUCHSCREEN / Second Mulus & Bergaransi
Rp
4.499.000
4.9
28 Terjual
Jakarta Pusat",https://shopee.co.id/Laptop-2-in-1-Microsoft-Surface-Pro-4-Core-i5-6th-4GB-SSD-128GB-TOUCHSCREEN-Second-Mulus-Bergaransi-i.92762228.26955845459?extraParams=%7B%22display_model_id%22%3A185683512038%2C%22model_selection_logic%22%3A3%7D&sp_atk=a488fe14-f867-44f4-b4ec-f1c4124c4ef2&xptdk=a488fe14-f867-44f4-b4ec-f1c4124c4ef2
