-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,img,text-xs/sp14_2,text-xs,pointer-events-none,align-middle,inline-block,text-shopee-primary,pointer-events-none_2,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7r98q-lx9hvynt791m1a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Lenovo ThinkPad T530 Core I5 / I7 RAM 16GB SSD 512GB,Rp,1.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.4,44 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,,,,,"Laptop Lenovo ThinkPad T530 Core I5 / I7 RAM 16GB SSD 512GB
Rp
1.500.000
4.4
44 Terjual
Bandung",https://shopee.co.id/Laptop-Lenovo-ThinkPad-T530-Core-I5-I7-RAM-16GB-SSD-512GB-i.275228473.25605116985?extraParams=%7B%22display_model_id%22%3A246131995991%2C%22model_selection_logic%22%3A3%7D&sp_atk=9e00c57d-d369-40d6-9efb-9a3a19cf845f&xptdk=9e00c57d-d369-40d6-9efb-9a3a19cf845f
https://down-id.img.susercontent.com/file/id-11134207-7ra0g-mbjfv4l7lakm83,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,HARGA LAPTOP BEKAS  || Netbook Samsung Chomebook XE303C12 cam layar 11.6 mulusss,Rp,499.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,1RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,,"HARGA LAPTOP BEKAS || Netbook Samsung Chomebook XE303C12 cam layar 11.6 mulusss
Rp
499.000
4.8
1RB+ Terjual
Jakarta Barat",https://shopee.co.id/HARGA-LAPTOP-BEKAS-Netbook-Samsung-Chomebook-XE303C12-cam-layar-11.6-mulusss-i.9911872.11785456121?extraParams=%7B%22display_model_id%22%3A168183589968%2C%22model_selection_logic%22%3A3%7D&sp_atk=cde0d8f4-2cc8-4e37-a82f-ac703e555f3c&xptdk=cde0d8f4-2cc8-4e37-a82f-ac703e555f3c
https://down-id.img.susercontent.com/file/id-11134207-7ra0n-mbemb251zl5l4e,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop HP EliteBook 820 830 850 G3 G7 HP Probook X360 MULUS NO MINUS,Rp,1.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,170 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,-6%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"Laptop HP EliteBook 820 830 850 G3 G7 HP Probook X360 MULUS NO MINUS
Rp
1.500.000
-6%
4.8
170 Terjual
Jakarta Utara",https://shopee.co.id/Laptop-HP-EliteBook-820-830-850-G3-G7-HP-Probook-X360-MULUS-NO-MINUS-i.802578957.12296971070?extraParams=%7B%22display_model_id%22%3A267374955369%2C%22model_selection_logic%22%3A3%7D&sp_atk=26bf3bd9-55cf-4301-9e13-813cdd1d559d&xptdk=26bf3bd9-55cf-4301-9e13-813cdd1d559d
https://down-id.img.susercontent.com/file/id-11134207-8224z-miv1p9lso1z820,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop 2in1 Tablet Lenovo Ideapad D330 N4000  Ram 4GB Ssd eMMc 64GB - Second Bergaransi,Rp,1.599.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,157 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,,"Laptop 2in1 Tablet Lenovo Ideapad D330 N4000 Ram 4GB Ssd eMMc 64GB - Second Bergaransi
Rp
1.599.000
4.9
157 Terjual
Jakarta Pusat",https://shopee.co.id/Laptop-2in1-Tablet-Lenovo-Ideapad-D330-N4000-Ram-4GB-Ssd-eMMc-64GB-Second-Bergaransi-i.174578880.28751576893?extraParams=%7B%22display_model_id%22%3A187551997746%2C%22model_selection_logic%22%3A3%7D&sp_atk=8c24c76d-dc17-43b6-8555-7889a1173b45&xptdk=8c24c76d-dc17-43b6-8555-7889a1173b45
https://down-id.img.susercontent.com/file/id-11134207-7ra0n-mbma3ql58is498,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP LENOVO THINKPAD YOGA 11E 300E FLIP 360 TOUCHSCREEN BEKAS MURAH BERGARANSI SECOND MULUS UNBK,Rp,1.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,328 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,-6%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"LAPTOP LENOVO THINKPAD YOGA 11E 300E FLIP 360 TOUCHSCREEN BEKAS MURAH BERGARANSI SECOND MULUS UNBK
Rp
1.500.000
-6%
4.9
328 Terjual
Jakarta Utara",https://shopee.co.id/LAPTOP-LENOVO-THINKPAD-YOGA-11E-300E-FLIP-360-TOUCHSCREEN-BEKAS-MURAH-BERGARANSI-SECOND-MULUS-UNBK-i.940039185.20871721785?extraParams=%7B%22display_model_id%22%3A177180912668%2C%22model_selection_logic%22%3A3%7D&sp_atk=bd5bc422-602e-4917-b8f3-654b7de6f135&xptdk=bd5bc422-602e-4917-b8f3-654b7de6f135
https://down-id.img.susercontent.com/file/sg-11134201-22090-v2s72by0kwhvf0,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"laptop sekolah murah HP ChromeBook 11 G8 EE, Like New, Seri Baru",Rp,1.650.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,68 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,,"laptop sekolah murah HP ChromeBook 11 G8 EE, Like New, Seri Baru
Rp
1.650.000
4.8
68 Terjual
Jakarta Barat",https://shopee.co.id/laptop-sekolah-murah-HP-ChromeBook-11-G8-EE-Like-New-Seri-Baru-i.816009841.16386227890?extraParams=%7B%22display_model_id%22%3A174591539244%2C%22model_selection_logic%22%3A3%7D&sp_atk=2c875e89-8319-4e5f-bbb2-fcaec6630be7&xptdk=2c875e89-8319-4e5f-bbb2-fcaec6630be7
https://down-id.img.susercontent.com/file/sg-11134201-23010-e1ulrkd9i7lv00,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Asus K53SC intel Core i7 Ram 8GB SSD 256GB/1TB - Siap pakai,Rp,2.550.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.2,48 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,,"Laptop Asus K53SC intel Core i7 Ram 8GB SSD 256GB/1TB - Siap pakai
Rp
2.550.000
4.2
48 Terjual
Jakarta Pusat",https://shopee.co.id/Laptop-Asus-K53SC-intel-Core-i7-Ram-8GB-SSD-256GB-1TB-Siap-pakai-i.230649038.23517931418?extraParams=%7B%22display_model_id%22%3A127829663115%2C%22model_selection_logic%22%3A3%7D&sp_atk=6f6f39ad-b7e4-441f-b74f-5fe7e566a903&xptdk=6f6f39ad-b7e4-441f-b74f-5fe7e566a903
https://down-id.img.susercontent.com/file/id-11134207-822wh-mn1btg27wefc6b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"[Bekas] Laptop Lenovo Thinkpad Intel Core i5 - x220 x230 x240 x250 x260 x270 x280 - Layar 12,5"" Inch",Rp,1.800.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,1RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,Cicilan,"[Bekas] Laptop Lenovo Thinkpad Intel Core i5 - x220 x230 x240 x250 x260 x270 x280 - Layar 12,5"" Inch
Rp
1.800.000
Cicilan
4.9
1RB+ Terjual
Jakarta Utara",https://shopee.co.id/-Bekas-Laptop-Lenovo-Thinkpad-Intel-Core-i5-x220-x230-x240-x250-x260-x270-x280-Layar-12-5-Inch-i.472460537.17347533105?extraParams=%7B%22display_model_id%22%3A128307180602%2C%22model_selection_logic%22%3A3%7D&sp_atk=d8406361-3723-4345-9905-b4baaecb6eb2&xptdk=d8406361-3723-4345-9905-b4baaecb6eb2
https://down-id.img.susercontent.com/file/id-11134207-822wm-mn1btg2820p4de,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop HP X360/745 G5 Core i3/i5/i7 | MURAH SLIM ORIGINAL BERGARANSI,Rp,1.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,71 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,-6%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"Laptop HP X360/745 G5 Core i3/i5/i7 | MURAH SLIM ORIGINAL BERGARANSI
Rp
1.500.000
-6%
4.9
71 Terjual
Jakarta Utara",https://shopee.co.id/Laptop-HP-X360-745-G5-Core-i3-i5-i7-MURAH-SLIM-ORIGINAL-BERGARANSI-i.472460537.22400112763?extraParams=%7B%22display_model_id%22%3A385478344647%2C%22model_selection_logic%22%3A3%7D&sp_atk=b2a7f662-c763-4e28-a2e7-bfa97ade61fc&xptdk=b2a7f662-c763-4e28-a2e7-bfa97ade61fc
https://down-id.img.susercontent.com/file/sg-11134201-22120-52qo171j6alvb5,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop supermurah dell core i5 ram 8gb ram 16gb gaming desain ok normal bergaransi,Rp,900.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.6,151 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,,,,,"Laptop supermurah dell core i5 ram 8gb ram 16gb gaming desain ok normal bergaransi
Rp
900.000
4.6
151 Terjual
Kab. Tangerang",https://shopee.co.id/Laptop-supermurah-dell-core-i5-ram-8gb-ram-16gb-gaming-desain-ok-normal-bergaransi-i.72458775.17584511460?extraParams=%7B%22display_model_id%22%3A295084017285%2C%22model_selection_logic%22%3A3%7D&sp_atk=25dc020f-4718-44a1-b9f0-6e15676b092e&xptdk=25dc020f-4718-44a1-b9f0-6e15676b092e
