-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,truncate,img,text-xs/sp14_2,text-xs,pointer-events-none,align-middle,text-shopee-primary,pointer-events-none_2,_container,_container_link
https://down-id.img.susercontent.com/file/35fa5d2bd08a851d3033656622132876,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop  Panasonic CF-NX3 /NX2 ram 10gb SSD 512gb Promo MURAH bagus bergaransi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.990.000,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,78 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,"Laptop Panasonic CF-NX3 /NX2 ram 10gb SSD 512gb Promo MURAH bagus bergaransi
Rp
1.990.000
Cicilan
4.9
78 Terjual
Jakarta Utara",https://shopee.co.id/Laptop-Panasonic-CF-NX3-NX2-ram-10gb-SSD-512gb-Promo-MURAH-bagus-bergaransi-i.180759007.10025326876?extraParams=%7B%22display_model_id%22%3A95213066879%2C%22model_selection_logic%22%3A3%7D&sp_atk=7361a0e6-1759-4804-9c2c-4308f25d60d4&xptdk=7361a0e6-1759-4804-9c2c-4308f25d60d4
https://down-id.img.susercontent.com/file/id-11134207-7rbkc-m9a5pjzcc47y9b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP SLIMS DAN RINGAN TOSHIBA G83 i7 GEN IRIS XE RAM 16GB SSD 1TB BERGARANSI,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,3.040.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.7,76 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"LAPTOP SLIMS DAN RINGAN TOSHIBA G83 i7 GEN IRIS XE RAM 16GB SSD 1TB BERGARANSI
Rp
3.040.000
-1%
4.7
76 Terjual
Jakarta Barat",https://shopee.co.id/LAPTOP-SLIMS-DAN-RINGAN-TOSHIBA-G83-i7-GEN-IRIS-XE-RAM-16GB-SSD-1TB-BERGARANSI-i.20247673.25794903073?extraParams=%7B%22display_model_id%22%3A243363801889%2C%22model_selection_logic%22%3A3%7D&sp_atk=4cf487d5-5487-4de9-ab20-d4739bddea03&xptdk=4cf487d5-5487-4de9-ab20-d4739bddea03
https://down-id.img.susercontent.com/file/id-11134207-7ra0m-mc67vz32xjrlee,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MICROSOFT SURFACE PRO 7+  i5 -1135G7 11TH GEN/ RAM 16GB DDR4/2 in 1 touchscreen INTEL IRIS - NON STYLUS PEN,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.999.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.1,17 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,,,"MICROSOFT SURFACE PRO 7+ i5 -1135G7 11TH GEN/ RAM 16GB DDR4/2 in 1 touchscreen INTEL IRIS - NON STYLUS PEN
Rp
1.999.000
4.1
17 Terjual
Tangerang",https://shopee.co.id/MICROSOFT-SURFACE-PRO-7-i5-1135G7-11TH-GEN-RAM-16GB-DDR4-2-in-1-touchscreen-INTEL-IRIS-NON-STYLUS-PEN-i.772901883.23758414474?extraParams=%7B%22display_model_id%22%3A275454055472%2C%22model_selection_logic%22%3A3%7D&sp_atk=c1d12199-b29d-4bc1-9184-46b53776446f&xptdk=c1d12199-b29d-4bc1-9184-46b53776446f
https://down-id.img.susercontent.com/file/id-11134207-7ra0g-mduz20ntj05sa6,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP BEKAS MURAH KONDISI APA ADANYA SEGALA MACAM MERK ADA,,Rp,450.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.6,155 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,"LAPTOP BEKAS MURAH KONDISI APA ADANYA SEGALA MACAM MERK ADA
Rp
450.000
4.6
155 Terjual
Surabaya",https://shopee.co.id/LAPTOP-BEKAS-MURAH-KONDISI-APA-ADANYA-SEGALA-MACAM-MERK-ADA-i.399515617.23045528604?extraParams=%7B%22display_model_id%22%3A242776138767%2C%22model_selection_logic%22%3A3%7D&sp_atk=b402dde1-9288-4c9b-a03e-dbdffd155496&xptdk=b402dde1-9288-4c9b-a03e-dbdffd155496
https://down-id.img.susercontent.com/file/id-11134207-7r990-lnrd4jpexpi35e,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Netbook Asus eepc X101H 10 inch Quadcore N2600 4Cpu SUDAH SSD 256gb (second),,Rp,1.250.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,,,"Netbook Asus eepc X101H 10 inch Quadcore N2600 4Cpu SUDAH SSD 256gb (second)
Rp
1.250.000
5.0
1 Terjual
Bandung",https://shopee.co.id/Netbook-Asus-eepc-X101H-10-inch-Quadcore-N2600-4Cpu-SUDAH-SSD-256gb-(second)-i.124824098.24450291583?extraParams=%7B%22display_model_id%22%3A255007449022%2C%22model_selection_logic%22%3A3%7D&sp_atk=533094a9-28bc-496a-ae90-02321103569e&xptdk=533094a9-28bc-496a-ae90-02321103569e
https://down-id.img.susercontent.com/file/id-11134207-8224y-mjruuwksfk7a95,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Dell Series | 5310 Gen10 | 5300 Core i7 | RAM 8 / 16GB | SSD 128GB / 256GB,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.632.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.7,359 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,-6%,,"Laptop Dell Series | 5310 Gen10 | 5300 Core i7 | RAM 8 / 16GB | SSD 128GB / 256GB
Rp
2.632.000
-6%
4.7
359 Terjual
Jakarta Timur",https://shopee.co.id/Laptop-Dell-Series-5310-Gen10-5300-Core-i7-RAM-8-16GB-SSD-128GB-256GB-i.26647239.23674513166?extraParams=%7B%22display_model_id%22%3A415579290433%2C%22model_selection_logic%22%3A3%7D&sp_atk=82be0e46-bb70-442b-bd41-74a289b90b8a&xptdk=82be0e46-bb70-442b-bd41-74a289b90b8a
https://down-id.img.susercontent.com/file/id-11134207-822wj-mlvewviyh2bs72,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop Bekas Murah Laptop Kerja Laptop Sekolah Normal Siap Pakai,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,525.000,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Lumajang,,,"Laptop Bekas Murah Laptop Kerja Laptop Sekolah Normal Siap Pakai
Rp
525.000
Kab. Lumajang",https://shopee.co.id/Laptop-Bekas-Murah-Laptop-Kerja-Laptop-Sekolah-Normal-Siap-Pakai-i.45806703.19067255738?extraParams=%7B%22display_model_id%22%3A420672564030%2C%22model_selection_logic%22%3A3%7D&sp_atk=4549b8e5-4084-49a6-92ce-edfe0dd27bc3&xptdk=4549b8e5-4084-49a6-92ce-edfe0dd27bc3
https://down-id.img.susercontent.com/file/id-11134207-7ra0k-mc1pp3zm38v5d5,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Bekas Lenovo 100e Chromebook,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,755.000,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,353 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,"Laptop Bekas Lenovo 100e Chromebook
Rp
755.000
Cicilan
4.8
353 Terjual
Jakarta Pusat",https://shopee.co.id/Laptop-Bekas-Lenovo-100e-Chromebook-i.45901998.1457413347?extraParams=%7B%22display_model_id%22%3A241365914000%2C%22model_selection_logic%22%3A3%7D&sp_atk=26746520-4f18-4b60-8780-37016a2d80a0&xptdk=26746520-4f18-4b60-8780-37016a2d80a0
https://down-id.img.susercontent.com/file/id-11134207-8224o-milhgpkya7sx0b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Dell Latitude 7320 Intel Core i7 Gen 11 Ram 16GB SSD 512GB Murah Dan Bergaransi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,2.265.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,42 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,-2%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"Dell Latitude 7320 Intel Core i7 Gen 11 Ram 16GB SSD 512GB Murah Dan Bergaransi
Rp
2.265.000
-2%
5.0
42 Terjual
Bandung",https://shopee.co.id/Dell-Latitude-7320-Intel-Core-i7-Gen-11-Ram-16GB-SSD-512GB-Murah-Dan-Bergaransi-i.904364106.23115342319?extraParams=%7B%22display_model_id%22%3A400256489416%2C%22model_selection_logic%22%3A3%7D&sp_atk=6492302f-b49a-4c39-bb0b-65f087fa1630&xptdk=6492302f-b49a-4c39-bb0b-65f087fa1630
https://down-id.img.susercontent.com/file/id-11134207-7rask-m3ub9y015m6of4,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Apple Laptop Macbook Pro MD101 2011 2012 2013 11.6/13.3inch Mac IOS sistem Core I7/I5 Ram 8GB SSD 256GB Original,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,2.899.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.7,866 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,,,"Apple Laptop Macbook Pro MD101 2011 2012 2013 11.6/13.3inch Mac IOS sistem Core I7/I5 Ram 8GB SSD 256GB Original
Rp
2.899.000
4.7
866 Terjual
Tangerang",https://shopee.co.id/Apple-Laptop-Macbook-Pro-MD101-2011-2012-2013-11.6-13.3inch-Mac-IOS-sistem-Core-I7-I5-Ram-8GB-SSD-256GB-Original-i.772901883.18383066284?extraParams=%7B%22display_model_id%22%3A250934394429%2C%22model_selection_logic%22%3A3%7D&sp_atk=7d255d24-3cca-4fad-990a-c5d470ff12cd&xptdk=7d255d24-3cca-4fad-990a-c5d470ff12cd
