-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,img,text-xs/sp14_2,text-xs,pointer-events-none,align-middle,truncate,text-shopee-primary,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7rbk3-ma0phtleovzv7b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Microsoft Surface Pro 9 13"" Core i7-1265U Intel EVO Ram 16GB SSD 512GB NEW Laptop Tablet",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,19.000.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,4 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,,,"Microsoft Surface Pro 9 13"" Core i7-1265U Intel EVO Ram 16GB SSD 512GB NEW Laptop Tablet
Rp
19.000.000
5.0
4 Terjual
Jakarta Timur",https://shopee.co.id/Microsoft-Surface-Pro-9-13-Core-i7-1265U-Intel-EVO-Ram-16GB-SSD-512GB-NEW-Laptop-Tablet-i.180134181.22117754045?extraParams=%7B%22display_model_id%22%3A230735324892%2C%22model_selection_logic%22%3A3%7D&sp_atk=0c23a8bd-c973-4d09-b682-c8c7a03c3a30&xptdk=0c23a8bd-c973-4d09-b682-c8c7a03c3a30
https://down-id.img.susercontent.com/file/5349566442ddfa3158da268cc85dcd1d,,"MICROSOFT SURFACE GO 2 PENTIUM GOLD 4425 10,5 4GB 64SSD W10 + COVER (B",,Rp,12.800.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,Cicilan,,"MICROSOFT SURFACE GO 2 PENTIUM GOLD 4425 10,5 4GB 64SSD W10 + COVER (B
Rp
12.800.000
Cicilan
Tangerang",https://shopee.co.id/MICROSOFT-SURFACE-GO-2-PENTIUM-GOLD-4425-10-5-4GB-64SSD-W10-COVER-(B-i.273404371.7239157455?extraParams=%7B%22display_model_id%22%3A62790988984%2C%22model_selection_logic%22%3A3%7D&sp_atk=12d83f75-65c0-4b73-8be6-0dfed612813e&xptdk=12d83f75-65c0-4b73-8be6-0dfed612813e
https://down-id.img.susercontent.com/file/id-11134207-7rbk8-magowqyi8v1g61,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Microsoft Surface Laptop 6,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,26.550.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,,,"Microsoft Surface Laptop 6
Rp
26.550.000
Malang",https://shopee.co.id/Microsoft-Surface-Laptop-6-i.60576704.29287109417?extraParams=%7B%22display_model_id%22%3A244184010980%2C%22model_selection_logic%22%3A3%7D&sp_atk=76c51614-2975-4879-add0-4292a651074e&xptdk=76c51614-2975-4879-add0-4292a651074e
https://down-id.img.susercontent.com/file/id-11134207-7r98r-ln9xzkdozxq4c4,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MICROSOFT SURFACE BOOK 3 I5 1035G7 8GB RAM 256GB SSD SLIM MULUS NVIDIA GTX 1650,,Rp,8.500.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,,,"MICROSOFT SURFACE BOOK 3 I5 1035G7 8GB RAM 256GB SSD SLIM MULUS NVIDIA GTX 1650
Rp
8.500.000
Jakarta Timur",https://shopee.co.id/MICROSOFT-SURFACE-BOOK-3-I5-1035G7-8GB-RAM-256GB-SSD-SLIM-MULUS-NVIDIA-GTX-1650-i.20542553.21185659504?extraParams=%7B%22display_model_id%22%3A137745795834%2C%22model_selection_logic%22%3A3%7D&sp_atk=7cbb83d5-83d7-4ac7-981a-08cc11fa7ac8&xptdk=7cbb83d5-83d7-4ac7-981a-08cc11fa7ac8
https://down-id.img.susercontent.com/file/id-11134207-82250-mjuuuapkefwn70,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Microsoft Surface Book 3 Core i7-10th NVIDIA Quadro RTX 3000 6GB (32GB/1TB) Touchscreen,,Rp,14.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Deli Serdang,,,"Microsoft Surface Book 3 Core i7-10th NVIDIA Quadro RTX 3000 6GB (32GB/1TB) Touchscreen
Rp
14.500.000
5.0
1 Terjual
Kab. Deli Serdang",https://shopee.co.id/Microsoft-Surface-Book-3-Core-i7-10th-NVIDIA-Quadro-RTX-3000-6GB-(32GB-1TB)-Touchscreen-i.18280197.24455628602?extraParams=%7B%22display_model_id%22%3A214844590373%2C%22model_selection_logic%22%3A3%7D&sp_atk=f65d9e98-5aaa-46af-81bf-8463411d3f88&xptdk=f65d9e98-5aaa-46af-81bf-8463411d3f88
https://down-id.img.susercontent.com/file/id-11134207-7rasd-m5y2fonuqww6c1,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Microsoft Surface Pro 11 Plus Elite Ram 16GB 32GB 64GB SSD 256GB 512GB 1TB 2TB tablet windows laptop ter-tipis ter-ringan ter-kecil window,,Rp,13.390.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,"Microsoft Surface Pro 11 Plus Elite Ram 16GB 32GB 64GB SSD 256GB 512GB 1TB 2TB tablet windows laptop ter-tipis ter-ringan ter-kecil window
Rp
13.390.000
Jakarta Barat",https://shopee.co.id/Microsoft-Surface-Pro-11-Plus-Elite-Ram-16GB-32GB-64GB-SSD-256GB-512GB-1TB-2TB-tablet-windows-laptop-ter-tipis-ter-ringan-ter-kecil-window-i.288633588.22565118185?extraParams=%7B%22display_model_id%22%3A257593653169%2C%22model_selection_logic%22%3A3%7D&sp_atk=82a2d45c-8dd5-46a7-a5ef-515671a8dce3&xptdk=82a2d45c-8dd5-46a7-a5ef-515671a8dce3
https://down-id.img.susercontent.com/file/id-11134207-822wl-mn6tm0mmkgsoc0,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Lenovo Thinkpad X250/T450/L550 | X260/T460/L560 | X270/T470/L570 | X280/T480 | i3/i5/i7 | Mulus / Second / Original / Berkualitas / Bergaransi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,4RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,Cicilan,,"Laptop Lenovo Thinkpad X250/T450/L550 | X260/T460/L560 | X270/T470/L570 | X280/T480 | i3/i5/i7 | Mulus / Second / Original / Berkualitas / Bergaransi
Rp
2.500.000
Cicilan
4.9
4RB+ Terjual
Jakarta Pusat",https://shopee.co.id/Laptop-Lenovo-Thinkpad-X250-T450-L550-X260-T460-L560-X270-T470-L570-X280-T480-i3-i5-i7-Mulus-Second-Original-Berkualitas-Bergaransi-i.30169103.3517051058?extraParams=%7B%22display_model_id%22%3A241478148428%2C%22model_selection_logic%22%3A3%7D&sp_atk=7c5f2135-9d19-46e6-aaf6-d6d96b5c67ce&xptdk=7c5f2135-9d19-46e6-aaf6-d6d96b5c67ce
https://down-id.img.susercontent.com/file/sg-11134201-23010-wyvm9hl92ulv25,,Microsoft Surface Pro 8 i5 win 11 256GB 8GB with cover _ Hub. Febri,,Rp,18.500.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,"Microsoft Surface Pro 8 i5 win 11 256GB 8GB with cover _ Hub. Febri
Rp
18.500.000
Surabaya",https://shopee.co.id/Microsoft-Surface-Pro-8-i5-win-11-256GB-8GB-with-cover-_-Hub.-Febri-i.312483241.16491893663?extraParams=%7B%22display_model_id%22%3A146514394268%2C%22model_selection_logic%22%3A3%7D&sp_atk=36174021-a477-45e7-b93e-ef3612091c14&xptdk=36174021-a477-45e7-b93e-ef3612091c14
https://down-id.img.susercontent.com/file/cf348f4692f121d5761bf6e0b49db060,,Microsoft Surface Pro 7 Platinum / Black i3 4GB/128GB,,Rp,11.696.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.0,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,Cicilan,,"Microsoft Surface Pro 7 Platinum / Black i3 4GB/128GB
Rp
11.696.000
Cicilan
4.0
1 Terjual
Jakarta Pusat",https://shopee.co.id/Microsoft-Surface-Pro-7-Platinum-Black-i3-4GB-128GB-i.223342437.7242219668?extraParams=%7B%22display_model_id%22%3A60290111362%2C%22model_selection_logic%22%3A3%7D&sp_atk=05d2e0e2-fcf2-4827-a14e-58b0ec121f14&xptdk=05d2e0e2-fcf2-4827-a14e-58b0ec121f14
https://down-id.img.susercontent.com/file/97e1abea78b92e92616a2f98642d46f9,,"READY Microsoft Surface Pro 5 12.3"" 2017 Model - Core i7/8GB/256GB",,Rp,27.090.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,Cicilan,,"READY Microsoft Surface Pro 5 12.3"" 2017 Model - Core i7/8GB/256GB
Rp
27.090.000
Cicilan
Jakarta Pusat",https://shopee.co.id/READY-Microsoft-Surface-Pro-5-12.3-2017-Model-Core-i7-8GB-256GB-i.95757483.1777087865?extraParams=%7B%22display_model_id%22%3A62604950991%2C%22model_selection_logic%22%3A3%7D&sp_atk=fd25daba-3981-4d61-9965-aa4317102b6e&xptdk=fd25daba-3981-4d61-9965-aa4317102b6e
