-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-shopee-primary,pointer-events-none,truncate,img,text-xs/sp14_2,text-xs,pointer-events-none_2,w-auto,text-white,pointer-events-none_3,align-middle,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-8224p-mia3in7a7h1g12,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI THIN 15 I5 13420H RTX4050 6GB/ 16GB 512GB W11 15.6FHD 144HZ BLIT 2Y GRY -B13VE.3415,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,14.590.000,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Produk Baru,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,4 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,"MSI THIN 15 I5 13420H RTX4050 6GB/ 16GB 512GB W11 15.6FHD 144HZ BLIT 2Y GRY -B13VE.3415
Rp
14.590.000
-1%
Produk Baru
5.0
4 Terjual
Besok
Surabaya",https://shopee.co.id/MSI-THIN-15-I5-13420H-RTX4050-6GB-16GB-512GB-W11-15.6FHD-144HZ-BLIT-2Y-GRY-B13VE.3415-i.1471949508.48803123867?extraParams=%7B%22display_model_id%22%3A420300377370%2C%22model_selection_logic%22%3A3%7D&sp_atk=5d3b665b-1fc5-495a-be04-0e49edca0a7d&xptdk=5d3b665b-1fc5-495a-be04-0e49edca0a7d
https://down-id.img.susercontent.com/file/id-11134207-81ztp-mf3iseephibwb7,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop MSI GF63 7RD Core i7-7700HQ GTX 1050 Ram 8Gb Ssd 256Gb,,Rp,5.900.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,"Laptop MSI GF63 7RD Core i7-7700HQ GTX 1050 Ram 8Gb Ssd 256Gb
Rp
5.900.000
1 Terjual
< 2 Hari
Malang",https://shopee.co.id/Laptop-MSI-GF63-7RD-Core-i7-7700HQ-GTX-1050-Ram-8Gb-Ssd-256Gb-i.79997666.25497197775?extraParams=%7B%22display_model_id%22%3A266755174845%2C%22model_selection_logic%22%3A3%7D&sp_atk=afe7b9d7-df56-43da-a6d4-42ede6d9682a&xptdk=afe7b9d7-df56-43da-a6d4-42ede6d9682a
https://down-id.img.susercontent.com/file/sg-11134201-82285-mhu9ht76ovlwb1,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,MSI MODERN 14 I3 1315 8GB 512GB W11 14.0FHD BLIT IPS 2Y BLK -C13M.1468,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,8.516.000,-48%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Hadiah Gratis,,,3-4 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,"MSI MODERN 14 I3 1315 8GB 512GB W11 14.0FHD BLIT IPS 2Y BLK -C13M.1468
Rp
8.516.000
-48%
Hadiah Gratis
3-4 Hari
Jakarta Utara",https://shopee.co.id/MSI-MODERN-14-I3-1315-8GB-512GB-W11-14.0FHD-BLIT-IPS-2Y-BLK-C13M.1468-i.1273153296.44702583764?extraParams=%7B%22display_model_id%22%3A320445019840%2C%22model_selection_logic%22%3A3%7D&sp_atk=486a6f75-f77e-4a65-8bd2-113e69a7bffd&xptdk=486a6f75-f77e-4a65-8bd2-113e69a7bffd
https://down-id.img.susercontent.com/file/sg-11134201-8226q-mhu8yydy800393,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,MSI MODERN 14 i3 1315U - RAM 8GB 512GB W11 14.0FHD BLIT IPS -F13MG.818,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,8.511.000,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,,,3-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,"MSI MODERN 14 i3 1315U - RAM 8GB 512GB W11 14.0FHD BLIT IPS -F13MG.818
Rp
8.511.000
-1%
3-5 Hari
Jakarta Utara",https://shopee.co.id/MSI-MODERN-14-i3-1315U-RAM-8GB-512GB-W11-14.0FHD-BLIT-IPS-F13MG.818-i.1640101372.47602588674?extraParams=%7B%22display_model_id%22%3A355822641904%2C%22model_selection_logic%22%3A3%7D&sp_atk=8c104f7c-4863-4502-840a-01f94f1eac93&xptdk=8c104f7c-4863-4502-840a-01f94f1eac93
https://down-id.img.susercontent.com/file/id-11134207-8224o-mijsi7r7pslee6,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,"MSI Modern 14 F13MG-296 - Intel i5-1334U - 8GB - 512GB - 14"" FHD - W11 - Office",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,9.949.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,3 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Makassar,"MSI Modern 14 F13MG-296 - Intel i5-1334U - 8GB - 512GB - 14"" FHD - W11 - Office
Rp
9.949.000
5.0
3 Terjual
< 2 Hari
Makassar",https://shopee.co.id/MSI-Modern-14-F13MG-296-Intel-i5-1334U-8GB-512GB-14-FHD-W11-Office-i.43209604.27393512216?extraParams=%7B%22display_model_id%22%3A380247152079%2C%22model_selection_logic%22%3A3%7D&sp_atk=37ae002b-918f-46f6-902e-21f1cfeed348&xptdk=37ae002b-918f-46f6-902e-21f1cfeed348
https://down-id.img.susercontent.com/file/id-11134207-822wn-mm9rwidywkxw45,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI MODERN 14 C7M 9S7-14JK12-280 RYZEN 7 7730U 16GB -SSD 512GB -WIN11+OHS,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,10.844.000,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,"MSI MODERN 14 C7M 9S7-14JK12-280 RYZEN 7 7730U 16GB -SSD 512GB -WIN11+OHS
Rp
10.844.000
-1%
1 Terjual
< 2 Hari
Bandung",https://shopee.co.id/MSI-MODERN-14-C7M-9S7-14JK12-280-RYZEN-7-7730U-16GB-SSD-512GB-WIN11-OHS-i.677356281.44858365108?extraParams=%7B%22display_model_id%22%3A287512101949%2C%22model_selection_logic%22%3A3%7D&sp_atk=de499ff4-9599-46f5-ab2f-dacba5a433b5&xptdk=de499ff4-9599-46f5-ab2f-dacba5a433b5
https://down-id.img.susercontent.com/file/id-11134207-8224p-mjru38vfrdhge2,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI Modern 14  647 Intel Core i5-1334U 8GB SSD 512GB 14INCH W11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,9.580.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Palembang,"MSI Modern 14 647 Intel Core i5-1334U 8GB SSD 512GB 14INCH W11
Rp
9.580.000
1 Terjual
< 2 Hari
Palembang",https://shopee.co.id/MSI-Modern-14-647-Intel-Core-i5-1334U-8GB-SSD-512GB-14INCH-W11-i.39381924.55755039602?extraParams=%7B%22display_model_id%22%3A345464454837%2C%22model_selection_logic%22%3A3%7D&sp_atk=d582e7bf-b2b6-49a3-9c98-f8cfb0495ce7&xptdk=d582e7bf-b2b6-49a3-9c98-f8cfb0495ce7
https://down-id.img.susercontent.com/file/id-11134207-8224x-mjl84h8mnugxa0,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"MSI CYBORG 15 GeForce RTX5060 8GB - CORE i5 210H RAM 16GB SSD 512GB Windows 11+Office Layar 15.6"" FHD 144HZ 4ZRGB 2Y+ADP BLK -B2RWFKG.051",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,19.487.000,-37%,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,"MSI CYBORG 15 GeForce RTX5060 8GB - CORE i5 210H RAM 16GB SSD 512GB Windows 11+Office Layar 15.6"" FHD 144HZ 4ZRGB 2Y+ADP BLK -B2RWFKG.051
Rp
19.487.000
-37%
1 Terjual
Besok
Surabaya",https://shopee.co.id/MSI-CYBORG-15-GeForce-RTX5060-8GB-CORE-i5-210H-RAM-16GB-SSD-512GB-Windows-11-Office-Layar-15.6-FHD-144HZ-4ZRGB-2Y-ADP-BLK-B2RWFKG.051-i.1112723412.42415298387?extraParams=%7B%22display_model_id%22%3A261265111411%2C%22model_selection_logic%22%3A3%7D&sp_atk=f20667b7-d48b-4827-a112-4e41312c2749&xptdk=f20667b7-d48b-4827-a112-4e41312c2749
https://down-id.img.susercontent.com/file/id-11134207-82252-mhbsq7n4ywax09,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI Modern 14-F13MG Core i5 1334U 8GB 512GB SSD 14.0FHD IPS Windows11+OHS 2024 -647ID / 299ID,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,9.137.000,-2%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,18 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,"MSI Modern 14-F13MG Core i5 1334U 8GB 512GB SSD 14.0FHD IPS Windows11+OHS 2024 -647ID / 299ID
Rp
9.137.000
-2%
4.9
18 Terjual
< 2 Hari
Jakarta Selatan",https://shopee.co.id/MSI-Modern-14-F13MG-Core-i5-1334U-8GB-512GB-SSD-14.0FHD-IPS-Windows11-OHS-2024-647ID-299ID-i.257997524.21460476595?extraParams=%7B%22display_model_id%22%3A147087833719%2C%22model_selection_logic%22%3A3%7D&sp_atk=9198bbb9-9997-48a3-9047-8c0240d7cc42&xptdk=9198bbb9-9997-48a3-9047-8c0240d7cc42
https://down-id.img.susercontent.com/file/id-11134207-8224u-mjl0s94fka9u15,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"MSI THIN 15 GeForce RTX4050 6GB - Intel i5 13420H RAM 16GB SSD 512GB Windows 11 Layar 15.6"" FHD 144HZ BLIT 2Y GRY -B13VE.3415",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,14.615.000,-30%,,Produk Baru,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,"MSI THIN 15 GeForce RTX4050 6GB - Intel i5 13420H RAM 16GB SSD 512GB Windows 11 Layar 15.6"" FHD 144HZ BLIT 2Y GRY -B13VE.3415
Rp
14.615.000
-30%
Produk Baru
2 Terjual
Besok
Surabaya",https://shopee.co.id/MSI-THIN-15-GeForce-RTX4050-6GB-Intel-i5-13420H-RAM-16GB-SSD-512GB-Windows-11-Layar-15.6-FHD-144HZ-BLIT-2Y-GRY-B13VE.3415-i.1112723412.52103704728?extraParams=%7B%22display_model_id%22%3A320354030684%2C%22model_selection_logic%22%3A3%7D&sp_atk=29316b73-9faa-45bd-87e1-f41d6d2c11ec&xptdk=29316b73-9faa-45bd-87e1-f41d6d2c11ec
