-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-shopee-primary,pointer-events-none,text-xs/sp14_2,pointer-events-none_2,w-auto,text-white,pointer-events-none_3,align-middle,text-shopee-green,truncate,img_2,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-8224o-mghg0t89pw5p2b,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,MSI Modern 14 C13M i3 8GB 512GB Win 11 IPS,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,8.556.000,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,4.8,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,11 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"MSI Modern 14 C13M i3 8GB 512GB Win 11 IPS
Rp
8.556.000
-1%
4.8
11 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/MSI-Modern-14-C13M-i3-8GB-512GB-Win-11-IPS-i.1316244009.24185453792?extraParams=%7B%22display_model_id%22%3A290178702793%2C%22model_selection_logic%22%3A3%7D&sp_atk=c900301e-c319-4acd-98d0-379abea0feb9&xptdk=c900301e-c319-4acd-98d0-379abea0feb9
https://down-id.img.susercontent.com/file/id-11134207-822wg-mmipw3etoruq99,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI Modern 13 F13MOG 073ID Core i5 1334U 8GB 512GB W11 OHS M365 Platinum Gray,,Rp,9.999.999,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Denpasar,1 Terjual,,,"MSI Modern 13 F13MOG 073ID Core i5 1334U 8GB 512GB W11 OHS M365 Platinum Gray
Rp
9.999.999
1 Terjual
3-4 Hari
Denpasar",https://shopee.co.id/MSI-Modern-13-F13MOG-073ID-Core-i5-1334U-8GB-512GB-W11-OHS-M365-Platinum-Gray-i.546310202.51958063737?extraParams=%7B%22display_model_id%22%3A410716652869%2C%22model_selection_logic%22%3A3%7D&sp_atk=a5209119-8c3d-44f2-b7dd-7b952b7787a6&xptdk=a5209119-8c3d-44f2-b7dd-7b952b7787a6
https://down-id.img.susercontent.com/file/id-11134207-822wn-mlx5cj6vrea744,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"MSI Thin 15 B13VE 3415 i5 13420H 16GB 512GB Ssd GeForce RTX 4050 6GB 15.6"" Fhd Windows 11 - Notebook Gaming MSI THIN 15 B13VE-3415ID I5-13420H",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,13.669.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,Besok 12:00,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,"MSI Thin 15 B13VE 3415 i5 13420H 16GB 512GB Ssd GeForce RTX 4050 6GB 15.6"" Fhd Windows 11 - Notebook Gaming MSI THIN 15 B13VE-3415ID I5-13420H
Rp
13.669.000
Besok 12:00
Surabaya",https://shopee.co.id/MSI-Thin-15-B13VE-3415-i5-13420H-16GB-512GB-Ssd-GeForce-RTX-4050-6GB-15.6-Fhd-Windows-11-Notebook-Gaming-MSI-THIN-15-B13VE-3415ID-I5-13420H-i.186184847.48452523538?extraParams=%7B%22display_model_id%22%3A325243332531%2C%22model_selection_logic%22%3A3%7D&sp_atk=2d3f5517-3be3-4389-8292-29a8a733e0f5&xptdk=2d3f5517-3be3-4389-8292-29a8a733e0f5
https://down-id.img.susercontent.com/file/id-11134207-822wi-mmbiqhjxn8js71,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,MSI Modern 14 F13MG Intel Core i5-1334U 8GB SSD 512GB 14 W11+OfficeHome,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,10.552.000,,,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surakarta (Solo),,,,"MSI Modern 14 F13MG Intel Core i5-1334U 8GB SSD 512GB 14 W11+OfficeHome
Rp
10.552.000
Surakarta (Solo)",https://shopee.co.id/MSI-Modern-14-F13MG-Intel-Core-i5-1334U-8GB-SSD-512GB-14-W11-OfficeHome-i.484463974.49407941074?extraParams=%7B%22display_model_id%22%3A395703255575%2C%22model_selection_logic%22%3A3%7D&sp_atk=0960364a-443f-4b16-897a-d2db2d09634d&xptdk=0960364a-443f-4b16-897a-d2db2d09634d
https://down-id.img.susercontent.com/file/id-11134207-822wo-mlk1p4hiipkzf2,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,LAPTOP MSI MODERN 14 C13M 1468ID i3-1315U 8GB- 512GB BLACK,,Rp,6.999.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Samarinda,3-4 Hari,,,"LAPTOP MSI MODERN 14 C13M 1468ID i3-1315U 8GB- 512GB BLACK
Rp
6.999.000
3-4 Hari
Samarinda",https://shopee.co.id/LAPTOP-MSI-MODERN-14-C13M-1468ID-i3-1315U-8GB-512GB-BLACK-i.21772487.54106923416?extraParams=%7B%22display_model_id%22%3A340619060562%2C%22model_selection_logic%22%3A3%7D&sp_atk=3fca65dd-95a0-4435-811f-250cbe4f1ba9&xptdk=3fca65dd-95a0-4435-811f-250cbe4f1ba9
https://down-id.img.susercontent.com/file/id-11134207-822wk-mmifppid4w01d5,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI THIN 15 GeForceRTX3050 4GB - I5 13420H | RAM8GB - SSD512GB W11 15.6FHD 144HZ BLIT 2Y GRY -B13UC.3449,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,13.062.000,-31%,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,Besok,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,"MSI THIN 15 GeForceRTX3050 4GB - I5 13420H | RAM8GB - SSD512GB W11 15.6FHD 144HZ BLIT 2Y GRY -B13UC.3449
Rp
13.062.000
-31%
Besok
Surabaya",https://shopee.co.id/MSI-THIN-15-GeForceRTX3050-4GB-I5-13420H-RAM8GB-SSD512GB-W11-15.6FHD-144HZ-BLIT-2Y-GRY-B13UC.3449-i.1112723412.51708033782?extraParams=%7B%22display_model_id%22%3A390714546840%2C%22model_selection_logic%22%3A3%7D&sp_atk=2926bfdf-f9d7-4f30-b997-2f6ea0082415&xptdk=2926bfdf-f9d7-4f30-b997-2f6ea0082415
https://down-id.img.susercontent.com/file/id-11134207-822wr-mlrd688cbqpx02,,MSI Modern 14 F13MG 647 I5 1334 8 512 W11 Black,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,9.031.300,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Makassar,1 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,"MSI Modern 14 F13MG 647 I5 1334 8 512 W11 Black
Rp
9.031.300
1 Terjual
< 2 Hari
Makassar",https://shopee.co.id/MSI-Modern-14-F13MG-647-I5-1334-8-512-W11-Black-i.223121949.58157143546?extraParams=%7B%22display_model_id%22%3A320637301834%2C%22model_selection_logic%22%3A3%7D&sp_atk=4e72748c-99c1-403f-9230-72c5a0911899&xptdk=4e72748c-99c1-403f-9230-72c5a0911899
https://down-id.img.susercontent.com/file/sg-11134201-7rat9-mb3c8bnwzrpf92,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI Modern 14 C7M Ryzen 7 16GB 512GB SSD Win 11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,9.229.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Banjarbaru,< 2 Hari,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,"MSI Modern 14 C7M Ryzen 7 16GB 512GB SSD Win 11
Rp
9.229.000
< 2 Hari
Banjarbaru",https://shopee.co.id/MSI-Modern-14-C7M-Ryzen-7-16GB-512GB-SSD-Win-11-i.214007276.40754766985?extraParams=%7B%22display_model_id%22%3A253526738714%2C%22model_selection_logic%22%3A3%7D&sp_atk=351a7b5d-959a-4a49-b318-e7d39797fa07&xptdk=351a7b5d-959a-4a49-b318-e7d39797fa07
https://down-id.img.susercontent.com/file/id-11134207-822wj-mn2eddbaq4n879,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI THIN 15 B13UCX INTEL i5 NVIDIA RTX 2050 4GB RAM 16GB LAYAR FHD 144Hz | LAPTOP GAMING LAPTOP DESIGN EDITING | KING IAM STORE,,Rp,9.328.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,< 2 Hari,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,"MSI THIN 15 B13UCX INTEL i5 NVIDIA RTX 2050 4GB RAM 16GB LAYAR FHD 144Hz | LAPTOP GAMING LAPTOP DESIGN EDITING | KING IAM STORE
Rp
9.328.000
< 2 Hari
Bandung",https://shopee.co.id/MSI-THIN-15-B13UCX-INTEL-i5-NVIDIA-RTX-2050-4GB-RAM-16GB-LAYAR-FHD-144Hz-LAPTOP-GAMING-LAPTOP-DESIGN-EDITING-KING-IAM-STORE-i.151596342.55908866767?extraParams=%7B%22display_model_id%22%3A430786289476%2C%22model_selection_logic%22%3A3%7D&sp_atk=942b63d2-f8fc-4ef1-b871-d0ad7b031cb5&xptdk=942b63d2-f8fc-4ef1-b871-d0ad7b031cb5
https://down-id.img.susercontent.com/file/id-11134207-8224z-mkji6887wyyte7,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI Modern 14 F13MG 678ID - Intel Core i5-1334U 512GB SSD 8GB RAM UHD Graphics - Gray Notebook Laptop - GM,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,9.599.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,2-3 Hari,,,"MSI Modern 14 F13MG 678ID - Intel Core i5-1334U 512GB SSD 8GB RAM UHD Graphics - Gray Notebook Laptop - GM
Rp
9.599.000
2-3 Hari
Surabaya",https://shopee.co.id/MSI-Modern-14-F13MG-678ID-Intel-Core-i5-1334U-512GB-SSD-8GB-RAM-UHD-Graphics-Gray-Notebook-Laptop-GM-i.1305881561.50056044479?extraParams=%7B%22display_model_id%22%3A420551295555%2C%22model_selection_logic%22%3A3%7D&sp_atk=8a35a2c2-4289-4031-97a1-478b8d5e5e97&xptdk=8a35a2c2-4289-4031-97a1-478b8d5e5e97
