-image-yazkc-11,text-sm,inline-block,text-xs/sp14,font-medium,truncate,text-xs,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,text-shopee-primary,-image-yazkc-11_2,pointer-events-none_3,img,text-xs/sp14_3,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-8224r-mib2cda4zhmpff,"MSI MODERN 14 F13MG-647ID Intel Core i5 1344U 14"" FHD IPS-Level 8GB 512GB Windows 11 Home Black",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,8.580.000,Produk Baru,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Samarinda,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,"MSI MODERN 14 F13MG-647ID Intel Core i5 1344U 14"" FHD IPS-Level 8GB 512GB Windows 11 Home Black
Rp
8.580.000
Produk Baru
1 Terjual
< 2 Hari
Samarinda",https://shopee.co.id/MSI-MODERN-14-F13MG-647ID-Intel-Core-i5-1344U-14-FHD-IPS-Level-8GB-512GB-Windows-11-Home-Black-i.26472715.47003204233?extraParams=%7B%22display_model_id%22%3A435536181395%2C%22model_selection_logic%22%3A3%7D&sp_atk=5e895128-bd7d-4d99-9833-6b77cad02863&xptdk=5e895128-bd7d-4d99-9833-6b77cad02863
https://down-id.img.susercontent.com/file/id-11134207-822wq-mluipv4dmmf579,MSI Thin A15 B7UCX,,Rp,9.600.000,,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sleman,-3%,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,"MSI Thin A15 B7UCX
Rp
9.600.000
-3%
< 2 Hari
Kab. Sleman",https://shopee.co.id/MSI-Thin-A15-B7UCX-i.1768128794.55157224372?extraParams=%7B%22display_model_id%22%3A380644341900%2C%22model_selection_logic%22%3A3%7D&sp_atk=cf82799d-c5b5-4a2f-8f65-84a24a23f82c&xptdk=cf82799d-c5b5-4a2f-8f65-84a24a23f82c
https://down-id.img.susercontent.com/file/id-11134207-8224t-mixzh8ja3x1gbe,LAPTOP Msi Modern 14  i5 Gen 13 16GB 512GB Windows 11 +OHS 14.0 inch FHD,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,9.332.000,,25 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,-1%,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,"LAPTOP Msi Modern 14 i5 Gen 13 16GB 512GB Windows 11 +OHS 14.0 inch FHD
Rp
9.332.000
-1%
4.9
25 Terjual
3-4 Hari
Depok",https://shopee.co.id/LAPTOP-Msi-Modern-14-i5-Gen-13-16GB-512GB-Windows-11-OHS-14.0-inch-FHD-i.331211968.10408802191?extraParams=%7B%22display_model_id%22%3A355380463487%2C%22model_selection_logic%22%3A3%7D&sp_atk=f0d3917d-08c6-43b7-aa2b-3c69c2779599&xptdk=f0d3917d-08c6-43b7-aa2b-3c69c2779599
https://down-id.img.susercontent.com/file/id-11134207-7r990-m03th1c9lkhe3f,Laptop MSI Modern 14 C12MO/Core i3-1315U/8GB/512GB SSD/14 FHD IPS/Win 11 Home+OHS 2021,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,10.200.000,,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Samarinda,,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,"Laptop MSI Modern 14 C12MO/Core i3-1315U/8GB/512GB SSD/14 FHD IPS/Win 11 Home+OHS 2021
Rp
10.200.000
< 2 Hari
Samarinda",https://shopee.co.id/Laptop-MSI-Modern-14-C12MO-Core-i3-1315U-8GB-512GB-SSD-14-FHD-IPS-Win-11-Home-OHS-2021-i.451538119.24035972316?extraParams=%7B%22display_model_id%22%3A148789491472%2C%22model_selection_logic%22%3A3%7D&sp_atk=0709d4dc-7ba1-4961-8385-89d5236f5dc1&xptdk=0709d4dc-7ba1-4961-8385-89d5236f5dc1
https://down-id.img.susercontent.com/file/id-11134207-822wp-mm5ugc1t4qhbc6,MSI Thin 15 B13UC 2409 Intel Core I5-13420H 15.6'' RTX3050 4GB Windows 11 9S7-16R831-2409 COSMOS GRAY rekomendasi laptop gaming multitasking untuk kuliah teknik dan kerja desain 3d editing,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,12.709.000,,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 11:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,"MSI Thin 15 B13UC 2409 Intel Core I5-13420H 15.6'' RTX3050 4GB Windows 11 9S7-16R831-2409 COSMOS GRAY rekomendasi laptop gaming multitasking untuk kuliah teknik dan kerja desain 3d editing
Rp
12.709.000
5.0
2 Terjual
Besok 11:00
Surabaya",https://shopee.co.id/MSI-Thin-15-B13UC-2409-Intel-Core-I5-13420H-15.6''-RTX3050-4GB-Windows-11-9S7-16R831-2409-COSMOS-GRAY-rekomendasi-laptop-gaming-multitasking-untuk-kuliah-teknik-dan-kerja-desain-3d-editing-i.26681244.29569271464?extraParams=%7B%22display_model_id%22%3A237092902833%2C%22model_selection_logic%22%3A3%7D&sp_atk=946e74e9-8f11-48f9-bc33-ea639ec2c92d&xptdk=946e74e9-8f11-48f9-bc33-ea639ec2c92d
https://down-id.img.susercontent.com/file/id-11134207-8224x-mgd8jqzx0oaz42,"MSI Modern 14 F13MG Core i5-1334U 8GB 512GB 14"" FHD IPS W11 OHS",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,9.690.000,,9 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sleman,,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,"MSI Modern 14 F13MG Core i5-1334U 8GB 512GB 14"" FHD IPS W11 OHS
Rp
9.690.000
5.0
9 Terjual
< 2 Hari
Kab. Sleman",https://shopee.co.id/MSI-Modern-14-F13MG-Core-i5-1334U-8GB-512GB-14-FHD-IPS-W11-OHS-i.40255164.18185797392?extraParams=%7B%22display_model_id%22%3A430200213991%2C%22model_selection_logic%22%3A3%7D&sp_atk=06bc849b-7b7d-43d1-8699-0d315828c749&xptdk=06bc849b-7b7d-43d1-8699-0d315828c749
https://down-id.img.susercontent.com/file/id-11134207-822wk-mmlgjd74hiip08,MSI MODERN 14 INTEL CORE I5 1334U 8GB 512GB WINDOWS 11 14.0 FULL HD BLIT -F13MG.647,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,9.337.000,,5 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bogor,,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,"MSI MODERN 14 INTEL CORE I5 1334U 8GB 512GB WINDOWS 11 14.0 FULL HD BLIT -F13MG.647
Rp
9.337.000
5.0
5 Terjual
< 2 Hari
Kab. Bogor",https://shopee.co.id/MSI-MODERN-14-INTEL-CORE-I5-1334U-8GB-512GB-WINDOWS-11-14.0-FULL-HD-BLIT-F13MG.647-i.1368474464.29067827103?extraParams=%7B%22display_model_id%22%3A282021048280%2C%22model_selection_logic%22%3A3%7D&sp_atk=5d743b2a-dae0-4b9a-ad3e-d2e9f807df64&xptdk=5d743b2a-dae0-4b9a-ad3e-d2e9f807df64
https://down-id.img.susercontent.com/file/id-11134207-8224o-mghqhmisil8t28,MSI MODERN 14 9S7-14J111-1282 I5-1235 16GB 512GB,,Rp,8.635.000,,3-7 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,,,,"MSI MODERN 14 9S7-14J111-1282 I5-1235 16GB 512GB
Rp
8.635.000
3-7 Hari
Malang",https://shopee.co.id/MSI-MODERN-14-9S7-14J111-1282-I5-1235-16GB-512GB-i.1553551968.45900594470?extraParams=%7B%22display_model_id%22%3A395582628148%2C%22model_selection_logic%22%3A3%7D&sp_atk=2ce6c4d1-460c-4ec0-a6c8-81675ca9c3e9&xptdk=2ce6c4d1-460c-4ec0-a6c8-81675ca9c3e9
https://down-id.img.susercontent.com/file/id-11134207-7rasi-m53xhkdsrjb664,MSI Modern 14 BR10RBSW DualVga IPS Laptop,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,5.800.000,,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,"MSI Modern 14 BR10RBSW DualVga IPS Laptop
Rp
5.800.000
< 2 Hari
Jakarta Barat",https://shopee.co.id/MSI-Modern-14-BR10RBSW-DualVga-IPS-Laptop-i.850155898.26173796024?extraParams=%7B%22display_model_id%22%3A168667988528%2C%22model_selection_logic%22%3A3%7D&sp_atk=6ef8bb0c-c808-4a09-9ae7-80f7d280fbed&xptdk=6ef8bb0c-c808-4a09-9ae7-80f7d280fbed
https://down-id.img.susercontent.com/file/id-11134207-8224t-mi06uk0d03ra8d,MSI Gaming GF63 Thin i7 8GB SSD GTX 1050 Ti,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,6.300.000,,3-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,,,,"MSI Gaming GF63 Thin i7 8GB SSD GTX 1050 Ti
Rp
6.300.000
3-5 Hari
Bandung",https://shopee.co.id/MSI-Gaming-GF63-Thin-i7-8GB-SSD-GTX-1050-Ti-i.261317525.52402763377?extraParams=%7B%22display_model_id%22%3A345267665842%2C%22model_selection_logic%22%3A3%7D&sp_atk=f176ef13-4907-427b-ac53-17350507ecd8&xptdk=f176ef13-4907-427b-ac53-17350507ecd8
