-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,truncate,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,inline-block,text-shopee-green,text-shopee-primary,pointer-events-none_3,img,text-xs/sp14_3,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-8224z-mjbj7536wnb5ea,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI Gaming Bravo 15 AMD Ryzen 5 144Hz Display,Rp,6.999.000,Produk Baru,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,,< 2 Hari,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,"MSI Gaming Bravo 15 AMD Ryzen 5 144Hz Display
Rp
6.999.000
Produk Baru
< 2 Hari
Bandung",https://shopee.co.id/MSI-Gaming-Bravo-15-AMD-Ryzen-5-144Hz-Display-i.136426278.48404449722?extraParams=%7B%22display_model_id%22%3A400416200005%2C%22model_selection_logic%22%3A3%7D&sp_atk=0ee0f38c-e53a-4b4f-b233-94da1fab4fe5&xptdk=0ee0f38c-e53a-4b4f-b233-94da1fab4fe5
https://down-id.img.susercontent.com/file/sg-11134201-7rav1-mb1d47nhsc5sac,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI GF63 i5 RTX2050 8GB 512SSD 144Hz IPS,Rp,9.095.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,,< 2 Hari,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,"MSI GF63 i5 RTX2050 8GB 512SSD 144Hz IPS
Rp
9.095.000
< 2 Hari
Malang",https://shopee.co.id/MSI-GF63-i5-RTX2050-8GB-512SSD-144Hz-IPS-i.44435356.28687607190?extraParams=%7B%22display_model_id%22%3A300392083270%2C%22model_selection_logic%22%3A3%7D&sp_atk=cf855be3-3439-445f-87ff-45cf02396d5b&xptdk=cf855be3-3439-445f-87ff-45cf02396d5b
https://down-id.img.susercontent.com/file/id-11134207-8224v-mh39hu2ece161e,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI Modern 14 F13MG Gray Notebook i5 512GB SSD,Rp,10.149.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,2-3 Hari,,,,,"MSI Modern 14 F13MG Gray Notebook i5 512GB SSD
Rp
10.149.000
2-3 Hari
Malang",https://shopee.co.id/MSI-Modern-14-F13MG-Gray-Notebook-i5-512GB-SSD-i.135935289.50801457081?extraParams=%7B%22display_model_id%22%3A325133761094%2C%22model_selection_logic%22%3A3%7D&sp_atk=c312c220-0553-4322-9bda-0c4ff4431b44&xptdk=c312c220-0553-4322-9bda-0c4ff4431b44
https://down-id.img.susercontent.com/file/id-11134207-8224z-mimpib1mskcj96,https://down-id.img.susercontent.com/file/id-11134258-7ra0q-mbesqwmkb0gu9c,"MSI Modern 14 F13MG-14S121-647 Core i5-1334U 8GB 512SSD 14"" FHD IPS Win11 Home",Rp,9.539.000,Produk Baru,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 11:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,Besok 11:00,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,"MSI Modern 14 F13MG-14S121-647 Core i5-1334U 8GB 512SSD 14"" FHD IPS Win11 Home
Rp
9.539.000
-1%
Produk Baru
Besok 11:00
Surabaya",https://shopee.co.id/MSI-Modern-14-F13MG-14S121-647-Core-i5-1334U-8GB-512SSD-14-FHD-IPS-Win11-Home-i.1446411701.45153585182?extraParams=%7B%22display_model_id%22%3A370341265901%2C%22model_selection_logic%22%3A3%7D&sp_atk=52c2b619-6aa4-4699-b8d1-3e5a49d48067&xptdk=52c2b619-6aa4-4699-b8d1-3e5a49d48067
https://down-id.img.susercontent.com/file/id-11134207-81zte-mezmgynl44csba,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI GF63 i5-11400H 8GB 512GB SSD GTX 1650 Black,Rp,6.600.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,< 2 Hari,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,"MSI GF63 i5-11400H 8GB 512GB SSD GTX 1650 Black
Rp
6.600.000
< 2 Hari
Jakarta Barat",https://shopee.co.id/MSI-GF63-i5-11400H-8GB-512GB-SSD-GTX-1650-Black-i.953200515.43870965817?extraParams=%7B%22display_model_id%22%3A306708881653%2C%22model_selection_logic%22%3A3%7D&sp_atk=f7940920-a1b3-4314-85b6-9c755b68f62c&xptdk=f7940920-a1b3-4314-85b6-9c755b68f62c
https://down-id.img.susercontent.com/file/id-11134207-8224o-mghg0t89pw5p2b,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,MSI Modern 14 C13M i3 8GB 512GB Win 11 IPS,Rp,8.556.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,11 Terjual,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,"MSI Modern 14 C13M i3 8GB 512GB Win 11 IPS
Rp
8.556.000
-1%
4.8
11 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/MSI-Modern-14-C13M-i3-8GB-512GB-Win-11-IPS-i.1316244009.24185453792?extraParams=%7B%22display_model_id%22%3A290178702793%2C%22model_selection_logic%22%3A3%7D&sp_atk=f1dbdf04-0891-4fd2-ae21-96529e1d9d3b&xptdk=f1dbdf04-0891-4fd2-ae21-96529e1d9d3b
https://down-id.img.susercontent.com/file/id-11134207-8224v-mibhfnaw8v7qcd,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI GF63 THIN 11SC INTEL i5 NVIDIA GTX 1650 MAX Q DESIGN RAM 16GB SSD 512GB LAYAR 144Hz,Rp,8.321.000,Produk Baru,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,,2 Terjual,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,"MSI GF63 THIN 11SC INTEL i5 NVIDIA GTX 1650 MAX Q DESIGN RAM 16GB SSD 512GB LAYAR 144Hz
Rp
8.321.000
Produk Baru
2 Terjual
< 2 Hari
Bandung",https://shopee.co.id/MSI-GF63-THIN-11SC-INTEL-i5-NVIDIA-GTX-1650-MAX-Q-DESIGN-RAM-16GB-SSD-512GB-LAYAR-144Hz-i.151596342.55503175877?extraParams=%7B%22display_model_id%22%3A420775602989%2C%22model_selection_logic%22%3A3%7D&sp_atk=43607087-3c21-45c0-a7a2-4dc0352b8fb4&xptdk=43607087-3c21-45c0-a7a2-4dc0352b8fb4
https://down-id.img.susercontent.com/file/sg-11134201-8225j-mhu9etpq1urk53,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI MODERN 14 INTEL CORE I3 1315 8GB 512GB W11 OFFICE 14.0FHD BACKLIT IPS 2Y GRAY -F13MG.818,Rp,8.576.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,3-4 Hari,-52%,,,,"MSI MODERN 14 INTEL CORE I3 1315 8GB 512GB W11 OFFICE 14.0FHD BACKLIT IPS 2Y GRAY -F13MG.818
Rp
8.576.000
-52%
3-4 Hari
Jakarta Utara",https://shopee.co.id/MSI-MODERN-14-INTEL-CORE-I3-1315-8GB-512GB-W11-OFFICE-14.0FHD-BACKLIT-IPS-2Y-GRAY-F13MG.818-i.1273198518.56602577536?extraParams=%7B%22display_model_id%22%3A360826357733%2C%22model_selection_logic%22%3A3%7D&sp_atk=5de074f4-4f36-43d7-80dd-51af2dc7271b&xptdk=5de074f4-4f36-43d7-80dd-51af2dc7271b
https://down-id.img.susercontent.com/file/sg-11134201-825zv-mk3h8m8zu6mc7c,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI Modern 14 F13MG 678 Laptop Core i5-1334U 8GB 512GB SSD 14 FHD W11,Rp,10.175.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surakarta (Solo),https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,< 2 Hari,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,"MSI Modern 14 F13MG 678 Laptop Core i5-1334U 8GB 512GB SSD 14 FHD W11
Rp
10.175.000
< 2 Hari
Surakarta (Solo)",https://shopee.co.id/MSI-Modern-14-F13MG-678-Laptop-Core-i5-1334U-8GB-512GB-SSD-14-FHD-W11-i.85278048.47155631997?extraParams=%7B%22display_model_id%22%3A390507896082%2C%22model_selection_logic%22%3A3%7D&sp_atk=16e24cf4-b350-46b2-ba5c-16c0ecfea97d&xptdk=16e24cf4-b350-46b2-ba5c-16c0ecfea97d
https://down-id.img.susercontent.com/file/id-11134207-822wn-mmh1v2haff2dbd,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop MSI GAMING GF63 Thin 10SCSR Intel Core i5-10200H NVIDIA GeForce GTX 1650 Ram 8Gb Ssd 512Gb,Rp,7.535.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,,2-3 Hari,,,,,"Laptop MSI GAMING GF63 Thin 10SCSR Intel Core i5-10200H NVIDIA GeForce GTX 1650 Ram 8Gb Ssd 512Gb
Rp
7.535.000
2-3 Hari
Malang",https://shopee.co.id/Laptop-MSI-GAMING-GF63-Thin-10SCSR-Intel-Core-i5-10200H-NVIDIA-GeForce-GTX-1650-Ram-8Gb-Ssd-512Gb-i.141725604.26537521213?extraParams=%7B%22display_model_id%22%3A375709847150%2C%22model_selection_logic%22%3A3%7D&sp_atk=f1ee03c3-30c1-4bba-8d76-377728a22eb8&xptdk=f1ee03c3-30c1-4bba-8d76-377728a22eb8
https://down-id.img.susercontent.com/file/id-11134207-822wr-mmtsipppbk7a1b,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,MSI GF65 Thin 10SDR BARU ! BNOB !,Rp,8.500.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Pontianak,,< 2 Hari,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,"MSI GF65 Thin 10SDR BARU ! BNOB !
Rp
8.500.000
< 2 Hari
Pontianak",https://shopee.co.id/MSI-GF65-Thin-10SDR-BARU-!-BNOB-!-i.1227922541.53358462461?extraParams=%7B%22display_model_id%22%3A420750901954%2C%22model_selection_logic%22%3A3%7D&sp_atk=2a7a2eb3-b7eb-4302-ab4f-d14032feaf76&xptdk=2a7a2eb3-b7eb-4302-ab4f-d14032feaf76
