-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,img,text-xs/sp14_2,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,w-auto,text-white,truncate,text-xs_2,text-shopee-primary,text-white_2,text-white_2_link,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7rbk0-m96vfwj8qtcd1f,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,MSI GF63 Thin 10UC i5 10500H RTX 3050 RAM 16GB SSD 512GB Laptop Second Gaming Desain Gen 10 RTX3050,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,9.300.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,,,,5 Terjual,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=26685531169&shopid=6356067,"MSI GF63 Thin 10UC i5 10500H RTX 3050 RAM 16GB SSD 512GB Laptop Second Gaming Desain Gen 10 RTX3050
Rp
9.300.000
5.0
5 Terjual
4-5 Hari
Depok",https://shopee.co.id/MSI-GF63-Thin-10UC-i5-10500H-RTX-3050-RAM-16GB-SSD-512GB-Laptop-Second-Gaming-Desain-Gen-10-RTX3050-i.6356067.26685531169?extraParams=%7B%22display_model_id%22%3A302076361653%2C%22model_selection_logic%22%3A3%7D&sp_atk=1615468b-aa80-4ff6-aa63-df6284d5ca2b&xptdk=1615468b-aa80-4ff6-aa63-df6284d5ca2b
https://down-id.img.susercontent.com/file/id-11134207-822wo-mmmr5v27tog32f,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop MSI Thin GF63 12UCX Intel Core i5-12450H NVIDIA GeForce RTX 2050 Ram 8GB SSD 512GB Siap Pakai,,Rp,9.350.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,< 2 Hari,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=40021262246&shopid=79997666,"Laptop MSI Thin GF63 12UCX Intel Core i5-12450H NVIDIA GeForce RTX 2050 Ram 8GB SSD 512GB Siap Pakai
Rp
9.350.000
< 2 Hari
Malang",https://shopee.co.id/Laptop-MSI-Thin-GF63-12UCX-Intel-Core-i5-12450H-NVIDIA-GeForce-RTX-2050-Ram-8GB-SSD-512GB-Siap-Pakai-i.79997666.40021262246?extraParams=%7B%22display_model_id%22%3A286732762112%2C%22model_selection_logic%22%3A3%7D&sp_atk=d4fda5d6-83b4-4e07-b2c2-82a03771cd8d&xptdk=d4fda5d6-83b4-4e07-b2c2-82a03771cd8d
https://down-id.img.susercontent.com/file/id-11134207-8224v-mkpejykmu61300,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,MSI Sword 16 HX i7 14700HX RTX 4050 Layar 2.5K 240Hz Second Likenew,,Rp,16.999.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bekasi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,< 2 Hari,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=52506199848&shopid=1016445026,"MSI Sword 16 HX i7 14700HX RTX 4050 Layar 2.5K 240Hz Second Likenew
Rp
16.999.000
< 2 Hari
Bekasi",https://shopee.co.id/MSI-Sword-16-HX-i7-14700HX-RTX-4050-Layar-2.5K-240Hz-Second-Likenew-i.1016445026.52506199848?extraParams=%7B%22display_model_id%22%3A350563781122%2C%22model_selection_logic%22%3A3%7D&sp_atk=a12a54ee-9395-450b-9c32-e272d4222a81&xptdk=a12a54ee-9395-450b-9c32-e272d4222a81
https://down-id.img.susercontent.com/file/id-11134207-7rbke-m7ci5oouia5294,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,MSI GL62M i7 GTX 1050 16GB 512GB Gaming Laptop,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,5.900.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,,,,2 Terjual,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=26129668379&shopid=6356067,"MSI GL62M i7 GTX 1050 16GB 512GB Gaming Laptop
Rp
5.900.000
2 Terjual
4-5 Hari
Depok",https://shopee.co.id/MSI-GL62M-i7-GTX-1050-16GB-512GB-Gaming-Laptop-i.6356067.26129668379?extraParams=%7B%22display_model_id%22%3A227519052359%2C%22model_selection_logic%22%3A3%7D&sp_atk=cdee462a-8974-4ce3-a555-c110b5ae95cf&xptdk=cdee462a-8974-4ce3-a555-c110b5ae95cf
https://down-id.img.susercontent.com/file/id-11134207-7ra0i-mc7rn9wt45s7f5,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,MSI Modern 14 C5M Ryzen 5 8GB 512GB SSD Black,,Rp,6.200.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,< 2 Hari,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=40958596616&shopid=1285644349,"MSI Modern 14 C5M Ryzen 5 8GB 512GB SSD Black
Rp
6.200.000
< 2 Hari
Jakarta Barat",https://shopee.co.id/MSI-Modern-14-C5M-Ryzen-5-8GB-512GB-SSD-Black-i.1285644349.40958596616?extraParams=%7B%22display_model_id%22%3A305723735861%2C%22model_selection_logic%22%3A3%7D&sp_atk=8d0968d3-e86a-4a2c-8dc7-0aa63711b227&xptdk=8d0968d3-e86a-4a2c-8dc7-0aa63711b227
https://down-id.img.susercontent.com/file/id-11134207-7ras8-m5wfihuoe8ko21,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI GF63 Thin 10SC Core i5 10500H Nvidia GTX 1650 RAM 16GB SSD 512GB Laptop Second Gaming Gen 10,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,7.700.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,,,,1 Terjual,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=29825239857&shopid=6356067,"MSI GF63 Thin 10SC Core i5 10500H Nvidia GTX 1650 RAM 16GB SSD 512GB Laptop Second Gaming Gen 10
Rp
7.700.000
5.0
1 Terjual
4-5 Hari
Depok",https://shopee.co.id/MSI-GF63-Thin-10SC-Core-i5-10500H-Nvidia-GTX-1650-RAM-16GB-SSD-512GB-Laptop-Second-Gaming-Gen-10-i.6356067.29825239857?extraParams=%7B%22display_model_id%22%3A99747990018%2C%22model_selection_logic%22%3A3%7D&sp_atk=6891daf5-5d91-44e3-98ff-573667bc869e&xptdk=6891daf5-5d91-44e3-98ff-573667bc869e
https://down-id.img.susercontent.com/file/id-11134207-822wu-mlyflv6t3u2pfa,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,laptop msi ge75 raider 9sf seken minus layar,,Rp,12.000.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Lumajang,,,,2-3 Hari,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=50607347914&shopid=13266471,"laptop msi ge75 raider 9sf seken minus layar
Rp
12.000.000
2-3 Hari
Kab. Lumajang",https://shopee.co.id/laptop-msi-ge75-raider-9sf-seken-minus-layar-i.13266471.50607347914?extraParams=%7B%22display_model_id%22%3A315654588926%2C%22model_selection_logic%22%3A3%7D&sp_atk=f5df7687-92cf-4329-9562-d3b9f7ca6ccd&xptdk=f5df7687-92cf-4329-9562-d3b9f7ca6ccd
https://down-id.img.susercontent.com/file/id-11134207-7rbk8-m6wjch4wy2wacc,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop MSI GS65 9SD 863ID - B7975H i7  SECOND GOOD CONDITIONS,,Rp,10.999.999,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,< 2 Hari,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=27778186997&shopid=11356345,"Laptop MSI GS65 9SD 863ID - B7975H i7 SECOND GOOD CONDITIONS
Rp
10.999.999
< 2 Hari
Jakarta Barat",https://shopee.co.id/Laptop-MSI-GS65-9SD-863ID-B7975H-i7-SECOND-GOOD-CONDITIONS-i.11356345.27778186997?extraParams=%7B%22display_model_id%22%3A247780447722%2C%22model_selection_logic%22%3A3%7D&sp_atk=0ffd79ce-3787-4d7e-b2ce-171f5a242b39&xptdk=0ffd79ce-3787-4d7e-b2ce-171f5a242b39
https://down-id.img.susercontent.com/file/1cc6bd8c5b0f06bdc00e7690f064851f,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI GE60 2QD Apache Gaming Laptop i7 16GB SSD RGB,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,6.990.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,,,,4-5 Hari,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=18342888367&shopid=6356067,"MSI GE60 2QD Apache Gaming Laptop i7 16GB SSD RGB
Rp
6.990.000
4-5 Hari
Depok",https://shopee.co.id/MSI-GE60-2QD-Apache-Gaming-Laptop-i7-16GB-SSD-RGB-i.6356067.18342888367?extraParams=%7B%22display_model_id%22%3A117382303422%2C%22model_selection_logic%22%3A3%7D&sp_atk=a7367619-0b8c-4688-b8ea-8d7bf839a3fd&xptdk=a7367619-0b8c-4688-b8ea-8d7bf839a3fd
https://down-id.img.susercontent.com/file/sg-11134201-22110-qyb94lurzzjvca,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,MSI GP62MVR Gaming Laptop Core i7 GTX 1060 16GB,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,8.990.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,,,,2 Terjual,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=20163010744&shopid=6356067,"MSI GP62MVR Gaming Laptop Core i7 GTX 1060 16GB
Rp
8.990.000
5.0
2 Terjual
4-5 Hari
Depok",https://shopee.co.id/MSI-GP62MVR-Gaming-Laptop-Core-i7-GTX-1060-16GB-i.6356067.20163010744?extraParams=%7B%22display_model_id%22%3A183232620825%2C%22model_selection_logic%22%3A3%7D&sp_atk=c2a4a481-4569-4cf9-91ee-060f62235fd2&xptdk=c2a4a481-4569-4cf9-91ee-060f62235fd2
