-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,img,text-xs/sp14_2,text-xs,pointer-events-none,align-middle,truncate,text-shopee-primary,pointer-events-none_2,_container,_container_link
https://down-id.img.susercontent.com/file/e1b49e8dd73c8aebe4e0e47cabfd1d1c,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,REALME Book Laptop 8GB SSD 256 / 512 i3 i5 CORE Realme Book Garansi Resmi Realme,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,9.999.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bekasi,,,,"REALME Book Laptop 8GB SSD 256 / 512 i3 i5 CORE Realme Book Garansi Resmi Realme
Rp
9.999.000
5.0
1 Terjual
Bekasi",https://shopee.co.id/REALME-Book-Laptop-8GB-SSD-256-512-i3-i5-CORE-Realme-Book-Garansi-Resmi-Realme-i.227051022.10145442793?extraParams=%7B%22display_model_id%22%3A84718705657%2C%22model_selection_logic%22%3A3%7D&sp_atk=31415ce8-54b2-432f-854f-a8052a104a03&xptdk=31415ce8-54b2-432f-854f-a8052a104a03
https://down-id.img.susercontent.com/file/c282a2e46e228817f1273c93bb3f4188,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,REALME BOOK PRIME I5 8+512 GB NVMe SSD/i5-11320H/ Intel® Iris® Xe Graphics/14.0inch/35.5cm/OS Architecture-64bit/Resolution-2160*1440/Windows 11 home - Garansi Resmi,,Rp,11.999.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tuban,Cicilan,,,"REALME BOOK PRIME I5 8+512 GB NVMe SSD/i5-11320H/ Intel® Iris® Xe Graphics/14.0inch/35.5cm/OS Architecture-64bit/Resolution-2160*1440/Windows 11 home - Garansi Resmi
Rp
11.999.000
Cicilan
Kab. Tuban",https://shopee.co.id/REALME-BOOK-PRIME-I5-8-512-GB-NVMe-SSD-i5-11320H-Intel%C2%AE-Iris%C2%AE-Xe-Graphics-14.0inch-35.5cm-OS-Architecture-64bit-Resolution-2160*1440-Windows-11-home-Garansi-Resmi-i.26138052.15874567953?extraParams=%7B%22display_model_id%22%3A171864361295%2C%22model_selection_logic%22%3A3%7D&sp_atk=0b6abf9c-e38a-4243-b227-4039b9385aed&xptdk=0b6abf9c-e38a-4243-b227-4039b9385aed
https://down-id.img.susercontent.com/file/id-11134207-82250-mi1l2tr2a0p085,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Original /Laptop Panasonic CF-QV8 2in1 Core i5 Gen8 | RAM 8GB | SSD 512GB | Mulus / Second / Berkualitas / Bergaransi.,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,3.099.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,25 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,-61%,,"Original /Laptop Panasonic CF-QV8 2in1 Core i5 Gen8 | RAM 8GB | SSD 512GB | Mulus / Second / Berkualitas / Bergaransi.
Rp
3.099.000
-61%
5.0
25 Terjual
Jakarta Barat",https://shopee.co.id/Original-Laptop-Panasonic-CF-QV8-2in1-Core-i5-Gen8-RAM-8GB-SSD-512GB-Mulus-Second-Berkualitas-Bergaransi.-i.1621404466.56951499125?extraParams=%7B%22display_model_id%22%3A177361080247%2C%22model_selection_logic%22%3A3%7D&sp_atk=e12fbe95-ea70-42d4-9a82-1f5e06eaefbd&xptdk=e12fbe95-ea70-42d4-9a82-1f5e06eaefbd
https://down-id.img.susercontent.com/file/id-11134207-822wi-mn6v4xiuoohx38,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Dell Latitude Core i5 / i7 RAM 8GB SSD 256 |  Second Original Dan Murah,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.750.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,272 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,,"Laptop Dell Latitude Core i5 / i7 RAM 8GB SSD 256 | Second Original Dan Murah
Rp
2.750.000
4.8
272 Terjual
Jakarta Pusat",https://shopee.co.id/Laptop-Dell-Latitude-Core-i5-i7-RAM-8GB-SSD-256-Second-Original-Dan-Murah-i.872249560.19065145063?extraParams=%7B%22display_model_id%22%3A256746820072%2C%22model_selection_logic%22%3A3%7D&sp_atk=1c1c1b11-b988-4378-ad0d-d0973e4e4d0b&xptdk=1c1c1b11-b988-4378-ad0d-d0973e4e4d0b
https://down-id.img.susercontent.com/file/id-11134207-8224w-mi2kbu0n44qp5a,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,LAPTOP BARU DASER S1 S2 15 INCH FHD CELERON N5905A SSD 1TB RAM 16GB GARANSI TUKAR UNIT,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,2.400.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.6,23 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,-4%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"LAPTOP BARU DASER S1 S2 15 INCH FHD CELERON N5905A SSD 1TB RAM 16GB GARANSI TUKAR UNIT
Rp
2.400.000
-4%
4.6
23 Terjual
Jakarta Utara",https://shopee.co.id/LAPTOP-BARU-DASER-S1-S2-15-INCH-FHD-CELERON-N5905A-SSD-1TB-RAM-16GB-GARANSI-TUKAR-UNIT-i.817857955.29789949443?extraParams=%7B%22display_model_id%22%3A208646104578%2C%22model_selection_logic%22%3A3%7D&sp_atk=ab16b52d-6dad-4c17-af23-12a9fd9d1ca8&xptdk=ab16b52d-6dad-4c17-af23-12a9fd9d1ca8
https://down-id.img.susercontent.com/file/id-11134207-822wr-mn6tm0mmlvd4fd,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Lenovo Thinkpad Core i5 | RAM 4GB / 8GB / 16GB | SSD 256GB | Mulus / Second  / Original Series / Berkualitas / Bergaransi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.450.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,7RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,Cicilan,,,"Laptop Lenovo Thinkpad Core i5 | RAM 4GB / 8GB / 16GB | SSD 256GB | Mulus / Second / Original Series / Berkualitas / Bergaransi
Rp
2.450.000
Cicilan
4.8
7RB+ Terjual
Jakarta Pusat",https://shopee.co.id/Laptop-Lenovo-Thinkpad-Core-i5-RAM-4GB-8GB-16GB-SSD-256GB-Mulus-Second-Original-Series-Berkualitas-Bergaransi-i.30169103.1949980283?extraParams=%7B%22display_model_id%22%3A89912344643%2C%22model_selection_logic%22%3A3%7D&sp_atk=3ad372d1-34e7-43ed-b046-c1a6e6c9b81b&xptdk=3ad372d1-34e7-43ed-b046-c1a6e6c9b81b
https://down-id.img.susercontent.com/file/id-11134207-822wl-mn6tm0mmkgsoc0,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Lenovo Thinkpad X250/T450/L550 | X260/T460/L560 | X270/T470/L570 | X280/T480 | i3/i5/i7 | Mulus / Second / Original / Berkualitas / Bergaransi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,4RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,Cicilan,,,"Laptop Lenovo Thinkpad X250/T450/L550 | X260/T460/L560 | X270/T470/L570 | X280/T480 | i3/i5/i7 | Mulus / Second / Original / Berkualitas / Bergaransi
Rp
2.500.000
Cicilan
4.9
4RB+ Terjual
Jakarta Pusat",https://shopee.co.id/Laptop-Lenovo-Thinkpad-X250-T450-L550-X260-T460-L560-X270-T470-L570-X280-T480-i3-i5-i7-Mulus-Second-Original-Berkualitas-Bergaransi-i.30169103.3517051058?extraParams=%7B%22display_model_id%22%3A241478148428%2C%22model_selection_logic%22%3A3%7D&sp_atk=e09721cf-93b3-4ed9-9595-53816e1e2f0e&xptdk=e09721cf-93b3-4ed9-9595-53816e1e2f0e
https://down-id.img.susercontent.com/file/id-11134207-7ra0s-mb7dqdinrodac5,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,LAPTOP LEPTOP ACER 14INCH GENERASI TERBARU,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.850.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.4,58 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,,,,"LAPTOP LEPTOP ACER 14INCH GENERASI TERBARU
Rp
1.850.000
4.4
58 Terjual
Jakarta Timur",https://shopee.co.id/LAPTOP-LEPTOP-ACER-14INCH-GENERASI-TERBARU-i.21730609.15719930628?extraParams=%7B%22display_model_id%22%3A48027300489%2C%22model_selection_logic%22%3A3%7D&sp_atk=6dc76d74-cfa1-43e9-b32f-c9caf5efd56f&xptdk=6dc76d74-cfa1-43e9-b32f-c9caf5efd56f
https://down-id.img.susercontent.com/file/id-11134207-7rasf-m2mg69w9m62ncf,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,HP Pro C640 Chromebook i5 10310U - chromebook HP - HP Chromebook PRO C640,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,2.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,67 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,,"HP Pro C640 Chromebook i5 10310U - chromebook HP - HP Chromebook PRO C640
Rp
2.500.000
4.9
67 Terjual
Jakarta Pusat",https://shopee.co.id/HP-Pro-C640-Chromebook-i5-10310U-chromebook-HP-HP-Chromebook-PRO-C640-i.853725038.27467736942?extraParams=%7B%22display_model_id%22%3A257037311549%2C%22model_selection_logic%22%3A3%7D&sp_atk=69bf73c3-6e4d-401e-8e1a-d52e115cf28a&xptdk=69bf73c3-6e4d-401e-8e1a-d52e115cf28a
https://down-id.img.susercontent.com/file/id-11134207-7rasg-m1nsof6oigft5d,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,LARIS !! LAPTOP Acer Aspire Core i3 / RAM 8GBHDD 1TB/  WIN 10 / 14 INCH / DAPAT BONUS TAS DAN MOUSE,,Rp,1.650.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.1,17 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,"LARIS !! LAPTOP Acer Aspire Core i3 / RAM 8GBHDD 1TB/ WIN 10 / 14 INCH / DAPAT BONUS TAS DAN MOUSE
Rp
1.650.000
4.1
17 Terjual
Jakarta Barat",https://shopee.co.id/LARIS-!!-LAPTOP-Acer-Aspire-Core-i3-RAM-8GBHDD-1TB-WIN-10-14-INCH-DAPAT-BONUS-TAS-DAN-MOUSE-i.1267423242.28864837630?extraParams=%7B%22display_model_id%22%3A236911455582%2C%22model_selection_logic%22%3A3%7D&sp_atk=115db818-bbc8-4a7e-af0e-77020d596780&xptdk=115db818-bbc8-4a7e-af0e-77020d596780
