-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-shopee-primary,pointer-events-none,truncate,img,text-xs/sp14_2,text-xs,pointer-events-none_2,align-middle,_container,_container_link
https://down-id.img.susercontent.com/file/2e9a3a48e9e28f005f51065fd9447e22,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"free printer Laptop HP 14 Dual Core RAM 8GB/1 TB/SSD 256GB Windows 10 ""FREE MOUSE / TAS""",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.603.000,-55%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.6,1RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,"free printer Laptop HP 14 Dual Core RAM 8GB/1 TB/SSD 256GB Windows 10 ""FREE MOUSE / TAS""
Rp
1.603.000
-55%
Cicilan
4.6
1RB+ Terjual
Jakarta Barat",https://shopee.co.id/free-printer-Laptop-HP-14-Dual-Core-RAM-8GB-1-TB-SSD-256GB-Windows-10-FREE-MOUSE-TAS--i.21620531.8121454176?extraParams=%7B%22display_model_id%22%3A81016935304%2C%22model_selection_logic%22%3A3%7D&sp_atk=51e1cde7-0818-411e-93e7-5ae0ed05ea64&xptdk=51e1cde7-0818-411e-93e7-5ae0ed05ea64
https://down-id.img.susercontent.com/file/id-11134207-7r98s-lrgqffj55m8pcd,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"LAPTOP LENOVO THINKPAD L380 L390 X380 X390 INTEL CORE I5 I7 Generasi 8 LAYAR 13"" SECOND MURAH BERKUALITAS -FREE GIFT",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,3.000.000,-3%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,66 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,"LAPTOP LENOVO THINKPAD L380 L390 X380 X390 INTEL CORE I5 I7 Generasi 8 LAYAR 13"" SECOND MURAH BERKUALITAS -FREE GIFT
Rp
3.000.000
-3%
4.9
66 Terjual
Jakarta Utara",https://shopee.co.id/LAPTOP-LENOVO-THINKPAD-L380-L390-X380-X390-INTEL-CORE-I5-I7-Generasi-8-LAYAR-13-SECOND-MURAH-BERKUALITAS-FREE-GIFT-i.817857955.20280730888?extraParams=%7B%22display_model_id%22%3A234598490532%2C%22model_selection_logic%22%3A3%7D&sp_atk=e8d035d0-39b5-4593-9e20-78c3dc862cec&xptdk=e8d035d0-39b5-4593-9e20-78c3dc862cec
https://down-id.img.susercontent.com/file/id-11134207-7ras9-m3bt72qb98un51,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Asus 14 win-10 intel dual core /RAM 8GB/1TB || [FREE MOUSE],https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.345.000,-48%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.5,774 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,"Laptop Asus 14 win-10 intel dual core /RAM 8GB/1TB || [FREE MOUSE]
Rp
1.345.000
-48%
4.5
774 Terjual
Jakarta Barat",https://shopee.co.id/Laptop-Asus-14-win-10-intel-dual-core-RAM-8GB-1TB-FREE-MOUSE--i.86838885.9191755767?extraParams=%7B%22display_model_id%22%3A77155849396%2C%22model_selection_logic%22%3A3%7D&sp_atk=98e8ab90-d6e8-464e-a567-7f5ae25dfb60&xptdk=98e8ab90-d6e8-464e-a567-7f5ae25dfb60
https://down-id.img.susercontent.com/file/id-11134207-822wp-mmik6pzcjmdra0,,Toshiba Dynabook S73 Intel Core I3 I5 Gen 8 10 11 Ram 8gb Ssd 256gb Siap Pakai Bergaransi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.668.000,-11%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,94 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,"Toshiba Dynabook S73 Intel Core I3 I5 Gen 8 10 11 Ram 8gb Ssd 256gb Siap Pakai Bergaransi
Rp
2.668.000
-11%
4.9
94 Terjual
Jakarta Pusat",https://shopee.co.id/Toshiba-Dynabook-S73-Intel-Core-I3-I5-Gen-8-10-11-Ram-8gb-Ssd-256gb-Siap-Pakai-Bergaransi-i.1302168963.29674239525?extraParams=%7B%22display_model_id%22%3A248999767871%2C%22model_selection_logic%22%3A3%7D&sp_atk=aaef4977-9b9e-48b7-8a74-8c74992a799b&xptdk=aaef4977-9b9e-48b7-8a74-8c74992a799b
https://down-id.img.susercontent.com/file/id-11134207-7rasd-m0prvohucn4we6,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Acer Travelmate  Intel Core i5 Gen 8 Ram 8GB SSD 256GB - siap pakai,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.599.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.6,539 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,"Laptop Acer Travelmate Intel Core i5 Gen 8 Ram 8GB SSD 256GB - siap pakai
Rp
2.599.000
4.6
539 Terjual
Jakarta Pusat",https://shopee.co.id/Laptop-Acer-Travelmate-Intel-Core-i5-Gen-8-Ram-8GB-SSD-256GB-siap-pakai-i.230649038.20052319674?extraParams=%7B%22display_model_id%22%3A205426036906%2C%22model_selection_logic%22%3A3%7D&sp_atk=8b60dcce-978f-4829-8000-b53f681fc104&xptdk=8b60dcce-978f-4829-8000-b53f681fc104
https://down-id.img.susercontent.com/file/id-11134207-8224r-mgi3pzvr59u208,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"Asli 95% Baru Grade A Macbook Air 2015 2017 13"" Origina SECOND LIKE NEW MULUS PERFECT RAM 8GB SSD 256GB 512GD SSD",,Rp,2.850.000,-59%,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.7,137 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,"Asli 95% Baru Grade A Macbook Air 2015 2017 13"" Origina SECOND LIKE NEW MULUS PERFECT RAM 8GB SSD 256GB 512GD SSD
Rp
2.850.000
-59%
4.7
137 Terjual
Jakarta Pusat",https://shopee.co.id/Asli-95-Baru-Grade-A-Macbook-Air-2015-2017-13-Origina-SECOND-LIKE-NEW-MULUS-PERFECT-RAM-8GB-SSD-256GB-512GD-SSD-i.1478930982.28584956281?extraParams=%7B%22display_model_id%22%3A260725158609%2C%22model_selection_logic%22%3A3%7D&sp_atk=8c6dd1f2-8a70-4bb0-9244-32d59ceaef82&xptdk=8c6dd1f2-8a70-4bb0-9244-32d59ceaef82
https://down-id.img.susercontent.com/file/id-11134207-7rasl-m41nydlnm75mf2,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Acer Travelmate P256-M Intel Core i3  Ram 8GB SSD 258GB OS Windows - siap pakai,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.650.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.5,222 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,"Laptop Acer Travelmate P256-M Intel Core i3 Ram 8GB SSD 258GB OS Windows - siap pakai
Rp
1.650.000
4.5
222 Terjual
Jakarta Pusat",https://shopee.co.id/Laptop-Acer-Travelmate-P256-M-Intel-Core-i3-Ram-8GB-SSD-258GB-OS-Windows-siap-pakai-i.230649038.23001285529?extraParams=%7B%22display_model_id%22%3A206812222902%2C%22model_selection_logic%22%3A3%7D&sp_atk=2ceac466-c863-4747-a022-46da1e9c24a0&xptdk=2ceac466-c863-4747-a022-46da1e9c24a0
https://down-id.img.susercontent.com/file/id-11134207-7qul3-lgnd1lmntcks98,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Acer Chromebook 311, (Touchscreen), Super Slim, Ringan, Mulus, Like New, Seri Baru, Lengkap",,Rp,1.800.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,6 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,"Acer Chromebook 311, (Touchscreen), Super Slim, Ringan, Mulus, Like New, Seri Baru, Lengkap
Rp
1.800.000
5.0
6 Terjual
Jakarta Barat",https://shopee.co.id/Acer-Chromebook-311-(Touchscreen)-Super-Slim-Ringan-Mulus-Like-New-Seri-Baru-Lengkap-i.816009841.22342128938?extraParams=%7B%22display_model_id%22%3A204287477331%2C%22model_selection_logic%22%3A3%7D&sp_atk=35834e84-5f57-4ed0-b442-9f1f3eb1f742&xptdk=35834e84-5f57-4ed0-b442-9f1f3eb1f742
https://down-id.img.susercontent.com/file/id-11134207-7rasj-m4e94jtifby29d,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"LAPTOP SAMSUNG CHROMEBOOK 4GB 32GB BONUS TAS, MOUSE, MOUSE PAD, KEYBOARD PROTECTOR",,Rp,770.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.5,185 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,"LAPTOP SAMSUNG CHROMEBOOK 4GB 32GB BONUS TAS, MOUSE, MOUSE PAD, KEYBOARD PROTECTOR
Rp
770.000
4.5
185 Terjual
Kab. Tangerang",https://shopee.co.id/LAPTOP-SAMSUNG-CHROMEBOOK-4GB-32GB-BONUS-TAS-MOUSE-MOUSE-PAD-KEYBOARD-PROTECTOR-i.1092295006.26022248586?extraParams=%7B%22display_model_id%22%3A262487348883%2C%22model_selection_logic%22%3A3%7D&sp_atk=ec07888c-f8dd-4f6f-8d07-c6842d03bed3&xptdk=ec07888c-f8dd-4f6f-8d07-c6842d03bed3
https://down-id.img.susercontent.com/file/id-11134207-82251-mjt7lmlykgsidd,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop All Series Gen 6 | Dell / Asus / Fujitsu / Acer | Core i7 / i5 / i3 | AMD Ryzen,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.256.000,-6%,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.7,170 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,"Laptop All Series Gen 6 | Dell / Asus / Fujitsu / Acer | Core i7 / i5 / i3 | AMD Ryzen
Rp
2.256.000
-6%
4.7
170 Terjual
Jakarta Timur",https://shopee.co.id/Laptop-All-Series-Gen-6-Dell-Asus-Fujitsu-Acer-Core-i7-i5-i3-AMD-Ryzen-i.26647239.22570255300?extraParams=%7B%22display_model_id%22%3A425340517688%2C%22model_selection_logic%22%3A3%7D&sp_atk=8f826346-531a-4e0b-bcc8-dfa5430c1042&xptdk=8f826346-531a-4e0b-bcc8-dfa5430c1042
