-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,img,text-xs/sp14_2,text-xs,pointer-events-none,align-middle,text-shopee-primary,pointer-events-none_2,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-822wp-mn2j6v5nmdc1a5,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop HP EliteBook / Probook / Folio Core i5 / i7 RAM 8GB / 16GB Notebook Second Slim 14 inch | 840 G5 - G4 / G3 / G2 / G1 / 840 G2 / 640 G2 / Folio 1040,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.600.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,299 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,,,,"Laptop HP EliteBook / Probook / Folio Core i5 / i7 RAM 8GB / 16GB Notebook Second Slim 14 inch | 840 G5 - G4 / G3 / G2 / G1 / 840 G2 / 640 G2 / Folio 1040
Rp
2.600.000
4.8
299 Terjual
Kab. Tangerang",https://shopee.co.id/Laptop-HP-EliteBook-Probook-Folio-Core-i5-i7-RAM-8GB-16GB-Notebook-Second-Slim-14-inch-840-G5-G4-G3-G2-G1-840-G2-640-G2-Folio-1040-i.177626251.27723568980?extraParams=%7B%22display_model_id%22%3A350457700049%2C%22model_selection_logic%22%3A3%7D&sp_atk=0bc9281e-4dc3-4ced-8563-08edd37ce902&xptdk=0bc9281e-4dc3-4ced-8563-08edd37ce902
https://down-id.img.susercontent.com/file/id-11134207-7r98v-lr33wf62w95586,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,laptop samsung white series np275e4v 14inch 2gb ram 500gb hdd mulus no minus,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.099.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,3 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,-50%,,,"laptop samsung white series np275e4v 14inch 2gb ram 500gb hdd mulus no minus
Rp
1.099.000
-50%
5.0
3 Terjual
Tangerang",https://shopee.co.id/laptop-samsung-white-series-np275e4v-14inch-2gb-ram-500gb-hdd-mulus-no-minus-i.41632262.25161419201?extraParams=%7B%22display_model_id%22%3A217298966832%2C%22model_selection_logic%22%3A3%7D&sp_atk=84f0d09f-5a7f-40a0-a730-bb305dd0d4d3&xptdk=84f0d09f-5a7f-40a0-a730-bb305dd0d4d3
https://down-id.img.susercontent.com/file/id-11134207-7rasm-m3n5q1ko4yl99f,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"LAPTOP ACER INTEL CORE i3 | RAM 8GB SSD 512GB | 14 INCH WINDOWS 10 + OFFICE - BONUS TAS LAPTOP, MOUSE, MOUSE PAD",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.274.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,12 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"LAPTOP ACER INTEL CORE i3 | RAM 8GB SSD 512GB | 14 INCH WINDOWS 10 + OFFICE - BONUS TAS LAPTOP, MOUSE, MOUSE PAD
Rp
2.274.000
-1%
5.0
12 Terjual
Jakarta Barat",https://shopee.co.id/LAPTOP-ACER-INTEL-CORE-i3-RAM-8GB-SSD-512GB-14-INCH-WINDOWS-10-OFFICE-BONUS-TAS-LAPTOP-MOUSE-MOUSE-PAD-i.566072969.26070461545?extraParams=%7B%22display_model_id%22%3A185631145228%2C%22model_selection_logic%22%3A3%7D&sp_atk=f7e33f83-3e2e-48a0-b21b-59a0cb44e940&xptdk=f7e33f83-3e2e-48a0-b21b-59a0cb44e940
https://down-id.img.susercontent.com/file/id-11134207-822wi-mlfs6xruefi8b6,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop Lenovo ideapad D330 2in1 CELLERON /Ram 4GB /EMMC 64GB -Second Mulus Bergarasi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.599.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,221 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,-47%,,,"Laptop Lenovo ideapad D330 2in1 CELLERON /Ram 4GB /EMMC 64GB -Second Mulus Bergarasi
Rp
1.599.000
-47%
4.9
221 Terjual
Jakarta Pusat",https://shopee.co.id/Laptop-Lenovo-ideapad-D330-2in1-CELLERON-Ram-4GB-EMMC-64GB-Second-Mulus-Bergarasi-i.92762228.18180113508?extraParams=%7B%22display_model_id%22%3A286588717592%2C%22model_selection_logic%22%3A3%7D&sp_atk=618c53f0-1109-4ad9-bffe-ab7a0962f947&xptdk=618c53f0-1109-4ad9-bffe-ab7a0962f947
https://down-id.img.susercontent.com/file/id-11134207-7r98t-lyqfc8s8lte069,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Asus Chromebook CX22N, (OS Chrome), Seri Baru, Slim, Fullset, Silver",,Rp,1.200.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,10 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,"Asus Chromebook CX22N, (OS Chrome), Seri Baru, Slim, Fullset, Silver
Rp
1.200.000
5.0
10 Terjual
Jakarta Barat",https://shopee.co.id/Asus-Chromebook-CX22N-(OS-Chrome)-Seri-Baru-Slim-Fullset-Silver-i.816009841.28307497268?extraParams=%7B%22display_model_id%22%3A49451017950%2C%22model_selection_logic%22%3A3%7D&sp_atk=3c4dd53f-58f5-48ad-86c6-e51fc8eee08d&xptdk=3c4dd53f-58f5-48ad-86c6-e51fc8eee08d
https://down-id.img.susercontent.com/file/id-11134207-822ws-mn9qbeyudnute2,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Laptop HP 240 / 14S Core i5 Gen 6 | 8GB / SSD 256GB | 14"" HD LED",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.454.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.2,16 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bekasi,-38%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"Laptop HP 240 / 14S Core i5 Gen 6 | 8GB / SSD 256GB | 14"" HD LED
Rp
1.454.000
-38%
4.2
16 Terjual
Kab. Bekasi",https://shopee.co.id/Laptop-HP-240-14S-Core-i5-Gen-6-8GB-SSD-256GB-14-HD-LED-i.1392606552.42907417199?extraParams=%7B%22display_model_id%22%3A307380320458%2C%22model_selection_logic%22%3A3%7D&sp_atk=4e16c908-988e-42b4-80f4-30dc12c5ad88&xptdk=4e16c908-988e-42b4-80f4-30dc12c5ad88
https://down-id.img.susercontent.com/file/id-11134207-81ztk-mf2ackoc9lak6a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Lenovo Thinkpad Yoga  100E 300E 11E  Celeron/ CORE I3 I5 I7 TOUCHSCREEN | MURAH serta BERGARANSI,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,43 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,-6%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"Laptop Lenovo Thinkpad Yoga 100E 300E 11E Celeron/ CORE I3 I5 I7 TOUCHSCREEN | MURAH serta BERGARANSI
Rp
1.500.000
-6%
4.8
43 Terjual
Jakarta Utara",https://shopee.co.id/Laptop-Lenovo-Thinkpad-Yoga-100E-300E-11E-Celeron-CORE-I3-I5-I7-TOUCHSCREEN-MURAH-serta-BERGARANSI-i.1064874109.20592903286?extraParams=%7B%22display_model_id%22%3A307377273822%2C%22model_selection_logic%22%3A3%7D&sp_atk=e55cf768-c175-4c8c-8e30-4d99c494f7a8&xptdk=e55cf768-c175-4c8c-8e30-4d99c494f7a8
https://down-id.img.susercontent.com/file/id-11134207-7rasd-m446j615whpff8,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP ASUS SLIM A407 RAM 8 SLIM NORMAL || LAPTOP SECOND || LAPTOP SSD,,Rp,1.650.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.6,35 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Malang,,,,"LAPTOP ASUS SLIM A407 RAM 8 SLIM NORMAL || LAPTOP SECOND || LAPTOP SSD
Rp
1.650.000
4.6
35 Terjual
Kab. Malang",https://shopee.co.id/LAPTOP-ASUS-SLIM-A407-RAM-8-SLIM-NORMAL-LAPTOP-SECOND-LAPTOP-SSD-i.577464325.13864816340?extraParams=%7B%22display_model_id%22%3A185662997286%2C%22model_selection_logic%22%3A3%7D&sp_atk=3b040fc2-b5cc-4a5e-9788-f335e6b88d02&xptdk=3b040fc2-b5cc-4a5e-9788-f335e6b88d02
https://down-id.img.susercontent.com/file/id-11134207-822wk-ml9ifbijjtog54,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,ACER ASPIRE 3 A314-22 | AMD ATHLON 3050U / 3020E | 8GB RAM | SSD 512GB | 14 INCH,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,4.124.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,84 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,-2%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"ACER ASPIRE 3 A314-22 | AMD ATHLON 3050U / 3020E | 8GB RAM | SSD 512GB | 14 INCH
Rp
4.124.000
-2%
5.0
84 Terjual
Jakarta Barat",https://shopee.co.id/ACER-ASPIRE-3-A314-22-AMD-ATHLON-3050U-3020E-8GB-RAM-SSD-512GB-14-INCH-i.201662108.27852852799?extraParams=%7B%22display_model_id%22%3A215174200013%2C%22model_selection_logic%22%3A3%7D&sp_atk=963b9188-ec30-4abc-8784-64e5c5b47961&xptdk=963b9188-ec30-4abc-8784-64e5c5b47961
https://down-id.img.susercontent.com/file/c2c0ea4068707b20b84c3e9eb187665c,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Notebook Acer Aspire ES1 Intel Celeron 11.6 inci RAM 4GB SSD 240GB,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.345.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,85 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,-36%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"Notebook Acer Aspire ES1 Intel Celeron 11.6 inci RAM 4GB SSD 240GB
Rp
1.345.000
-36%
4.8
85 Terjual
Jakarta Barat",https://shopee.co.id/Notebook-Acer-Aspire-ES1-Intel-Celeron-11.6-inci-RAM-4GB-SSD-240GB-i.86838885.13080705782?extraParams=%7B%22display_model_id%22%3A134537535867%2C%22model_selection_logic%22%3A3%7D&sp_atk=ba62fc33-ec84-4603-96f8-d4161b57697d&xptdk=ba62fc33-ec84-4603-96f8-d4161b57697d
