-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,img,text-xs/sp14_2,text-xs,pointer-events-none,align-middle,inline-block,text-shopee-primary,pointer-events-none_2,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-822wh-mn6vzgqhmdqg9a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Lenovo Thinkpad  Intel Core i5 / i7 | SSD 256 - 512 | Second / Murah / Bagus / Berkualitas.,Rp,2.450.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,,,"Laptop Lenovo Thinkpad Intel Core i5 / i7 | SSD 256 - 512 | Second / Murah / Bagus / Berkualitas.
Rp
2.450.000
5.0
1 Terjual
Jakarta Pusat",https://shopee.co.id/Laptop-Lenovo-Thinkpad-Intel-Core-i5-i7-SSD-256-512-Second-Murah-Bagus-Berkualitas.-i.76874386.22408175971?extraParams=%7B%22display_model_id%22%3A355744308814%2C%22model_selection_logic%22%3A3%7D&sp_atk=890c1b22-d194-4009-9765-3bd7a17159ef&xptdk=890c1b22-d194-4009-9765-3bd7a17159ef
https://down-id.img.susercontent.com/file/id-11134207-822wn-mn1btg283f9k3c,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,[Bekas] LAPTOP LENOVO THINKPAD X395 E14 AMD RYZEN 5 PRO - SLIM - Cocok buat Kantoran / Kuliahan / Gaming - Bonus Tas,Rp,3.300.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,165 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,-3%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"[Bekas] LAPTOP LENOVO THINKPAD X395 E14 AMD RYZEN 5 PRO - SLIM - Cocok buat Kantoran / Kuliahan / Gaming - Bonus Tas
Rp
3.300.000
-3%
4.9
165 Terjual
Jakarta Utara",https://shopee.co.id/-Bekas-LAPTOP-LENOVO-THINKPAD-X395-E14-AMD-RYZEN-5-PRO-SLIM-Cocok-buat-Kantoran-Kuliahan-Gaming-Bonus-Tas-i.472460537.18983995154?extraParams=%7B%22display_model_id%22%3A380414036088%2C%22model_selection_logic%22%3A3%7D&sp_atk=f669cd90-692d-4c63-8461-1388aca993aa&xptdk=f669cd90-692d-4c63-8461-1388aca993aa
https://down-id.img.susercontent.com/file/id-11134207-8224z-miv1p9lso1z820,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop 2in1 Tablet Lenovo Ideapad D330 N4000  Ram 4GB Ssd eMMc 64GB - Second Bergaransi,Rp,1.599.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,157 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,,"Laptop 2in1 Tablet Lenovo Ideapad D330 N4000 Ram 4GB Ssd eMMc 64GB - Second Bergaransi
Rp
1.599.000
4.9
157 Terjual
Jakarta Pusat",https://shopee.co.id/Laptop-2in1-Tablet-Lenovo-Ideapad-D330-N4000-Ram-4GB-Ssd-eMMc-64GB-Second-Bergaransi-i.174578880.28751576893?extraParams=%7B%22display_model_id%22%3A187551997746%2C%22model_selection_logic%22%3A3%7D&sp_atk=d3e4d287-8541-4a74-bc05-467c126ea6ae&xptdk=d3e4d287-8541-4a74-bc05-467c126ea6ae
https://down-id.img.susercontent.com/file/id-11134207-8224r-mhuiqahhpp1f73,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Lenovo Thinkpad X13 Core i7 Gen 10 RAM 16GB SSD 1TB - Laptop Bekas Original Bergaransi Siap Pakai,Rp,4.370.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,38 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,-38%,,,"Lenovo Thinkpad X13 Core i7 Gen 10 RAM 16GB SSD 1TB - Laptop Bekas Original Bergaransi Siap Pakai
Rp
4.370.000
-38%
5.0
38 Terjual
Jakarta Utara",https://shopee.co.id/Lenovo-Thinkpad-X13-Core-i7-Gen-10-RAM-16GB-SSD-1TB-Laptop-Bekas-Original-Bergaransi-Siap-Pakai-i.1041928516.27409943345?extraParams=%7B%22display_model_id%22%3A440146608460%2C%22model_selection_logic%22%3A3%7D&sp_atk=4f05d749-6ed0-4718-ad97-be605f765baf&xptdk=4f05d749-6ed0-4718-ad97-be605f765baf
https://down-id.img.susercontent.com/file/id-11134207-822wh-mn15xmynv4lke3,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,[Bekas] Laptop Lenovo ThinkPad T480/T480s i5 RAM 8GB SSD 256GB - Bekas Original Bergaransi,Rp,2.800.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,1RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,,"[Bekas] Laptop Lenovo ThinkPad T480/T480s i5 RAM 8GB SSD 256GB - Bekas Original Bergaransi
Rp
2.800.000
4.9
1RB+ Terjual
Jakarta Utara",https://shopee.co.id/-Bekas-Laptop-Lenovo-ThinkPad-T480-T480s-i5-RAM-8GB-SSD-256GB-Bekas-Original-Bergaransi-i.472460537.20607028919?extraParams=%7B%22display_model_id%22%3A445475043877%2C%22model_selection_logic%22%3A3%7D&sp_atk=047f1017-8539-40d6-ac3f-8861f29541c0&xptdk=047f1017-8539-40d6-ac3f-8861f29541c0
https://down-id.img.susercontent.com/file/sg-11134201-23010-c7ycuc3g86lvfc,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP GAMING DELL PRECISION 3510 3530 5510 5520 5530 7430 7510 7740 M3800 M4600 M4700 M6800 MULUSSSS MANTAPPPP,Rp,2.200.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,3.7,7 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,-4%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"LAPTOP GAMING DELL PRECISION 3510 3530 5510 5520 5530 7430 7510 7740 M3800 M4600 M4700 M6800 MULUSSSS MANTAPPPP
Rp
2.200.000
-4%
3.7
7 Terjual
Jakarta Utara",https://shopee.co.id/LAPTOP-GAMING-DELL-PRECISION-3510-3530-5510-5520-5530-7430-7510-7740-M3800-M4600-M4700-M6800-MULUSSSS-MANTAPPPP-i.926977477.22017802175?extraParams=%7B%22display_model_id%22%3A302306438315%2C%22model_selection_logic%22%3A3%7D&sp_atk=2471717e-96ad-473b-98fb-95db006e9626&xptdk=2471717e-96ad-473b-98fb-95db006e9626
https://down-id.img.susercontent.com/file/id-11134207-82250-milms7zq3ymca6,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop HP Elitebook | Probook Core i5 / i7 Ram 16Gb SSD 512Gb MURAH & BERGARANSI,Rp,1.715.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.6,8 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,-2%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"Laptop HP Elitebook | Probook Core i5 / i7 Ram 16Gb SSD 512Gb MURAH & BERGARANSI
Rp
1.715.000
-2%
4.6
8 Terjual
Bandung",https://shopee.co.id/Laptop-HP-Elitebook-Probook-Core-i5-i7-Ram-16Gb-SSD-512Gb-MURAH-BERGARANSI-i.904364106.26836790599?extraParams=%7B%22display_model_id%22%3A260134612119%2C%22model_selection_logic%22%3A3%7D&sp_atk=e6bd75aa-e854-4591-ba24-cd4489a85eb1&xptdk=e6bd75aa-e854-4591-ba24-cd4489a85eb1
https://down-id.img.susercontent.com/file/id-11134207-822wq-mmvjvcvuf4sg35,,LAPTOP SECOND ORIGINAL DELL HP LENOVO,Rp,1.900.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,53 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,,"LAPTOP SECOND ORIGINAL DELL HP LENOVO
Rp
1.900.000
5.0
53 Terjual
Jakarta Barat",https://shopee.co.id/LAPTOP-SECOND-ORIGINAL-DELL-HP-LENOVO-i.1797726227.49158569200?extraParams=%7B%22display_model_id%22%3A340793158208%2C%22model_selection_logic%22%3A3%7D&sp_atk=7b5e3c89-5318-40fa-ab29-b1f4e2cccc2b&xptdk=7b5e3c89-5318-40fa-ab29-b1f4e2cccc2b
https://down-id.img.susercontent.com/file/id-11134207-7rash-m2c6o1hx615v32,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,LAPTOP ASUS X441MA N4000 RAM 4GB /512 SSD BONUS TAS & MOUSE,Rp,1.600.000,,,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,,"LAPTOP ASUS X441MA N4000 RAM 4GB /512 SSD BONUS TAS & MOUSE
Rp
1.600.000
1 Terjual
Jakarta Barat",https://shopee.co.id/LAPTOP-ASUS-X441MA-N4000-RAM-4GB-512-SSD-BONUS-TAS-MOUSE-i.1370746900.28516986811?extraParams=%7B%22display_model_id%22%3A69834434420%2C%22model_selection_logic%22%3A3%7D&sp_atk=beaf5bc6-2afe-430e-9aaf-05e6c5633163&xptdk=beaf5bc6-2afe-430e-9aaf-05e6c5633163
https://down-id.img.susercontent.com/file/id-11134207-822wl-mlq2lpjyhsecd8,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,CNAST Laptop Baru Intel Core i7 16GB RAM 1TB 15.6 inch Windows11 Gaming/Edit untuk Kerja/Kuliah,Rp,6.870.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.7,70 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,-2%,,,"CNAST Laptop Baru Intel Core i7 16GB RAM 1TB 15.6 inch Windows11 Gaming/Edit untuk Kerja/Kuliah
Rp
6.870.000
-2%
4.7
70 Terjual
Jakarta Barat",https://shopee.co.id/CNAST-Laptop-Baru-Intel-Core-i7-16GB-RAM-1TB-15.6-inch-Windows11-Gaming-Edit-untuk-Kerja-Kuliah-i.1604225238.28541201213?extraParams=%7B%22display_model_id%22%3A139470116232%2C%22model_selection_logic%22%3A3%7D&sp_atk=e7184385-6dff-4429-993a-c6498e966bda&xptdk=e7184385-6dff-4429-993a-c6498e966bda
